ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3181,3520,3472,3586,3428,3544,3686,3515,3572,3571,3246,3537,3515,3406,3048,3593,3477,3340,3055,2989,3575,3564,3536,3393
3182,3519,3481,3585,3427,3548,3691,3512,3575,3577,3250,3533,3518,3411,3052,3597,3483,3340,3055,2989,3575,3564,3536,3393
3182,3517,3481,3583,3426,3547,3685,3508,3572,3577,3250,3533,3518,3411,3052,3597,3483,3337,3052,2993,3576,3565,3539,3394
3177,3517,3481,3583,3426,3547,3685,3508,3572,3577,3246,3535,3515,3403,3054,3593,3469,3336,3051,2986,3578,3569,3542,3388
3177,3520,3483,3587,3429,3549,3690,3518,3573,3567,3247,3540,3517,3410,3052,3595,3473,3327,3053,2997,3572,3569,3542,3388
3181,3527,3480,3580,3434,3552,3687,3519,3571,3572,3249,3531,3516,3410,3052,3595,3473,3327,3053,2997,3572,3562,3538,3383
3181,3522,3481,3583,3432,3552,3687,3519,3571,3572,3249,3531,3516,3412,3052,3592,3449,3335,3052,2998,3571,3563,3543,3401
3181,3522,3481,3583,3432,3547,3690,3519,3572,3565,3254,3533,3515,3411,3055,3598,3478,3342,3052,2996,3576,3562,3528,3400
3183,3521,3484,3583,3432,3551,3686,3511,3570,3571,3243,3532,3520,3409,3058,3594,3470,3342,3052,2996,3576,3562,3528,3400
3185,3524,3481,3583,3432,3548,3688,3516,3572,3571,3243,3532,3520,3409,3058,3594,3470,3343,3049,2993,3575,3553,3534,3396
3190,3524,3481,3583,3432,3548,3688,3516,3572,3566,3245,3530,3514,3409,3057,3574,3478,3342,3056,2996,3572,3556,3537,3402
3190,3513,3480,3588,3426,3550,3688,3519,3570,3564,3245,3534,3510,3413,3060,3588,3475,3333,3054,2988,3571,3556,3537,3402
3190,3519,3487,3581,3429,3549,3685,3515,3576,3572,3244,3531,3510,3413,3060,3588,3475,3333,3054,2988,3571,3569,3536,3400
3188,3525,3486,3583,3428,3549,3685,3515,3576,3572,3244,3531,3510,3409,3059,3592,3476,3338,3051,2995,3576,3552,3537,3399
3188,3525,3486,3583,3428,3548,3679,3512,3572,3570,3242,3531,3509,3411,3061,3594,3480,3328,3056,2994,3575,3566,3539,3398
3188,3528,3485,3587,3430,3544,3690,3502,3573,3579,3247,3531,3511,3396,3063,3591,3474,3328,3056,2994,3575,3566,3539,3398
3184,3521,3482,3584,3431,3547,3686,3508,3577,3579,3247,3531,3511,3396,3063,3591,3474,3335,3051,2986,3568,3566,3537,3392
3192,3521,3482,3584,3431,3547,3686,3508,3577,3570,3244,3532,3511,3410,3060,3593,3481,3336,3055,2989,3578,3571,3537,3400
3192,3528,3480,3584,3433,3553,3691,3509,3569,3577,3244,3528,3504,3409,3066,3593,3476,3338,3028,2996,3574,3571,3537,3400
3182,3522,3481,3583,3436,3547,3678,3514,3573,3569,3250,3528,3509,3409,3066,3593,3476,3338,3028,2996,3574,3569,3537,3398
3185,3523,3484,3583,3429,3547,3678,3514,3573,3569,3250,3528,3509,3410,3070,3593,3478,3334,3051,2990,3574,3568,3537,3395
3185,3523,3484,3583,3429,3549,3688,3512,3576,3570,3246,3526,3517,3412,3067,3594,3475,3325,3051,2997,3571,3561,3536,3403
3182,3522,3476,3586,3429,3544,3686,3518,3573,3574,3248,3522,3517,3412,3064,3590,3467,3325,3051,2997,3571,3561,3536,3403
3181,3518,3485,3580,3435,3549,3685,3511,3571,3574,3248,3522,3517,3412,3064,3590,3467,3330,3046,2994,3578,3557,3529,3401
3176,3518,3485,3580,3435,3549,3685,3511,3571,3570,3246,3531,3519,3412,3062,3595,3466,3298,3052,2997,3578,3566,3536,3389
3176,3521,3478,3582,3425,3544,3688,3516,3578,3572,3216,3539,3520,3413,3064,3598,3467,3326,3054,2994,3577,3566,3536,3389
3181,3523,3478,3579,3428,3545,3689,3514,3572,3560,3252,3534,3520,3413,3064,3598,3467,3326,3054,2994,3577,3556,3541,3398
