ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3114,3344,3028,3336,3020,3179,3210,2735,3013,2703,3002,3333,2960,3144,2971,2861,3135,2288,2738,2543,3379,3304,3349,3173,3431,3650,3532,3625,3434,3562,3701,3507,3555,3516,3479,3665,3552,3506,3409,3561,3544,3478,3050,2934,3670,3647,3649,3485,3110,3353,3168,3353,3288,3089,3407,3263,3191,2815,2989,3332,2897,3199,3237,3003,3216,3212,2768,2588,3378,3382,3373,3295
3102,3339,3039,3329,3020,3186,3212,2733,3007,2700,3006,3332,2965,3135,2972,2909,3144,2288,2738,2543,3379,3304,3349,3173,3432,3640,3541,3633,3433,3564,3694,3505,3561,3515,3473,3661,3558,3508,3414,3562,3542,3478,3050,2934,3670,3647,3649,3485,3112,3364,3168,3353,3290,3092,3406,3276,3196,2817,2988,3338,2898,3198,3250,3005,3222,3212,2768,2588,3378,3382,3373,3295
3110,3335,3037,3332,3019,3167,3205,2733,3018,2700,3006,3332,2965,3135,2972,2909,3144,2287,2709,2537,3392,3363,3352,3192,3431,3642,3539,3638,3435,3553,3693,3514,3540,3515,3473,3661,3558,3508,3414,3562,3542,3480,3047,2934,3674,3649,3649,3494,3112,3366,3159,3353,3285,3053,3402,3277,3195,2817,2988,3338,2898,3198,3250,3005,3222,3217,2769,2587,3379,3387,3368,3298
3106,3335,3037,3332,3019,3167,3205,2733,3018,2699,3005,3340,2962,3140,2977,2911,3142,2282,2731,2543,3384,3355,3345,3190,3432,3642,3539,3638,3435,3553,3693,3514,3540,3515,3476,3666,3556,3510,3415,3562,3540,3483,3048,2928,3672,3649,3646,3482,3109,3366,3159,3353,3285,3053,3402,3277,3195,2815,2985,3338,2895,3203,3246,3000,3220,3212,2770,2588,3374,3380,3375,3295
3106,3342,3025,3324,3024,3180,3210,2740,3011,2704,3004,3335,2965,3135,2972,2914,3108,2288,2742,2545,3378,3355,3345,3190,3432,3651,3544,3636,3437,3554,3692,3511,3557,3510,3473,3662,3556,3505,3411,3560,3546,3479,3048,2933,3673,3649,3646,3482,3109,3366,3163,3352,3280,3092,3408,3274,3195,2814,2980,3339,2897,3200,3248,3001,3198,3216,2774,2591,3380,3380,3375,3295
3102,3346,3031,3331,3016,3180,3195,2725,3017,2701,3002,3335,2962,3135,2972,2914,3108,2288,2742,2545,3378,3367,3344,3191,3428,3649,3544,3634,3427,3558,3695,3498,3560,3520,3472,3663,3558,3505,3411,3560,3546,3479,3048,2933,3673,3654,3653,3486,3104,3367,3164,3351,3289,3093,3403,3275,3195,2812,2986,3337,2899,3200,3248,3001,3198,3216,2774,2591,3380,3378,3370,3298
3108,3343,3036,3321,3028,3180,3195,2725,3017,2701,3002,3335,2962,3135,2975,2909,3141,2287,2744,2545,3386,3366,3350,3198,3431,3651,3544,3637,3434,3558,3695,3498,3560,3520,3472,3663,3558,3499,3410,3561,3545,3481,3037,2934,3672,3650,3654,3489,3108,3367,3163,3347,3289,3093,3403,3275,3195,2812,2986,3337,2899,3201,3250,3003,3222,3216,2775,2587,3373,3385,3375,3294
3108,3343,3036,3321,3028,3177,3210,2745,3008,2697,3010,3327,2965,3148,2972,2903,3139,2282,2744,2528,3374,3360,3332,3194,3431,3651,3544,3637,3434,3566,3695,3511,3558,3519,3474,3663,3561,3504,3408,3561,3535,3468,3044,2929,3675,3651,3651,3473,3108,3367,3163,3347,3289,3086,3406,3267,3199,2810,2983,3339,2901,3199,3242,3005,3221,3214,2775,2591,3379,3385,3375,3288
3112,3338,3023,3324,3024,3183,3213,2745,3010,2698,3006,3336,2965,3142,2970,2915,3140,2282,2744,2528,3374,3360,3332,3194,3429,3650,3540,3628,3436,3553,3693,3503,3558,3506,3472,3664,3552,3503,3416,3561,3545,3468,3044,2929,3675,3651,3651,3473,3105,3363,3167,3345,3287,3094,3410,3276,3196,2810,2985,3334,2893,3202,3248,2998,3217,3214,2775,2591,3379,3385,3375,3288
3109,3344,3030,3327,3017,3186,3201,2744,3019,2698,3006,3336,2965,3142,2970,2915,3140,2297,2739,2537,3375,3356,3353,3186,3429,3654,3538,3634,3444,3555,3691,3503,3557,3506,3472,3664,3552,3503,3416,3561,3545,3482,3049,2937,3674,3650,3654,3487,3111,3365,3161,3351,3286,3088,3405,3272,3195,2810,2985,3334,2893,3202,3248,2998,3217,3214,2773,2590,3384,3374,3375,3293
3110,3344,3030,3327,3017,3186,3201,2744,3019,2694,2997,3329,2969,3132,2976,2899,3142,2271,2740,2528,3381,3362,3354,3187,3431,3654,3538,3634,3444,3555,3691,3503,3557,3511,3481,3663,3564,3504,3410,3562,3530,3484,3044,2933,3678,3649,3618,3490,3111,3365,3161,3351,3286,3088,3405,3272,3195,2806,2984,3341,2892,3203,3243,3005,3220,3218,2774,2590,3381,3388,3374,3297
3110,3344,3038,3318,3010,3184,3210,2745,3022,2688,3009,3333,2966,3145,2966,2907,3144,2294,2740,2546,3381,3362,3354,3187,3431,3650,3533,3636,3433,3557,3693,3502,3561,3516,3472,3666,3562,3506,3404,3567,3541,3474,3045,2934,3680,3649,3618,3490,3111,3353,3164,3348,3290,3088,3410,3246,3193,2815,2989,3335,2897,3202,3250,3004,3214,3216,2768,2590,3374,3388,3374,3297
3109,3347,3030,3323,3025,3176,3217,2743,3020,2696,3007,3336,2966,3145,2966,2907,3144,2294,2740,2546,3381,3357,3359,3197,3427,3651,3537,3632,3433,3556,3694,3498,3557,3511,3480,3668,3564,3506,3404,3567,3541,3474,3045,2934,3680,3642,3651,3486,3111,3366,3164,3352,3288,3089,3403,3274,3197,2814,2981,3327,2899,3202,3250,3004,3214,3216,2768,2590,3374,3385,3377,3298
3109,3341,3036,3321,3015,3176,3217,2743,3020,2696,3007,3336,2966,3140,2975,2909,3140,2295,2743,2544,3384,3355,3354,3191,3427,3654,3533,3630,3440,3556,3694,3498,3557,3511,3480,3668,3564,3510,3409,3558,3543,3484,3046,2938,3667,3644,3649,3493,3112,3361,3168,3344,3285,3089,3403,3274,3197,2814,2981,3327,2899,3203,3246,3004,3217,3210,2771,2591,3381,3377,3374,3293
3109,3341,3036,3321,3015,3193,3216,2745,3020,2690,2999,3339,2962,3141,2975,2910,3135,2284,2743,2545,3375,3361,3351,3181,3427,3654,3533,3630,3440,3553,3692,3501,3560,3505,3481,3663,3568,3515,3414,3563,3546,3475,3050,2932,3673,3649,3650,3494,3112,3361,3168,3344,3285,3083,3407,3273,3196,2813,2982,3335,2898,3199,3245,3005,3218,3215,2774,2588,3375,3387,3374,3290
3110,3346,3032,3330,3012,3179,3211,2744,3019,2686,3007,3336,2970,3141,2975,2901,3139,2284,2743,2545,3375,3361,3351,3181,3430,3646,3544,3634,3441,3559,3692,3495,3558,3514,3474,3663,3561,3508,3413,3567,3542,3475,3050,2932,3673,3649,3650,3494,3114,3367,3156,3354,3289,3088,3402,3277,3200,2818,2987,3342,2892,3201,3246,3001,3223,3215,2774,2588,3375,3387,3374,3290
3104,3346,3023,3323,3011,3185,3199,2746,3011,2686,3007,3336,2970,3141,2975,2901,3139,2289,2745,2544,3380,3360,3353,3190,3401,3645,3537,3621,3438,3555,3695,3500,3554,3514,3474,3663,3561,3508,3413,3567,3542,3475,3048,2934,3667,3653,3654,3502,3107,3369,3165,3345,3289,3087,3408,3275,3192,2818,2987,3342,2892,3201,3246,3001,3223,3216,2773,2588,3381,3386,3373,3294
3112,3346,3023,3323,3011,3185,3199,2746,3011,2702,2996,3325,2971,3144,2978,2896,3138,2290,2736,2547,3377,3359,3339,3180,3426,3645,3537,3621,3438,3555,3695,3500,3554,3512,3479,3664,3564,3511,3403,3567,3548,3474,3047,2937,3675,3651,3655,3497,3110,3369,3165,3345,3289,3087,3408,3275,3192,2816,2985,3342,2894,3200,3248,2997,3222,3211,2767,2589,3371,3378,3374,3299
3112,3342,3034,3332,3014,3174,3205,2745,3020,2696,2999,3340,2962,3146,2977,2909,3138,2290,2745,2545,3380,3359,3339,3180,3426,3654,3533,3630,3435,3556,3688,3479,3554,3518,3476,3664,3565,3501,3415,3563,3543,3470,3050,2925,3675,3651,3655,3497,3110,3368,3166,3354,3288,3092,3404,3270,3200,2814,2984,3336,2891,3205,3248,3004,3217,3208,2775,2590,3381,3378,3374,3299
3102,3338,3033,3328,3020,3172,3208,2746,3018,2699,3001,3338,2967,3146,2977,2909,3138,2290,2745,2545,3380,3359,3344,3197,3425,3646,3534,3636,3437,3550,3689,3500,3564,3515,3476,3668,3561,3501,3415,3563,3543,3470,3050,2925,3675,3657,3649,3487,3103,3364,3165,3339,3291,3090,3406,3273,3190,2814,2987,3332,2898,3205,3248,3004,3217,3208,2775,2590,3381,3380,3378,3297
3107,3344,3029,3313,3012,3172,3208,2746,3018,2699,3001,3338,2967,3146,2975,2912,3142,2293,2741,2536,3384,3352,3348,3191,3435,3653,3536,3632,3438,3550,3689,3500,3564,3515,3476,3668,3561,3504,3418,3568,3544,3478,3046,2935,3674,3655,3651,3495,3104,3369,3155,3354,3287,3090,3406,3273,3190,2814,2987,3332,2898,3202,3249,2993,3223,3216,2768,2589,3381,3376,3376,3296
3107,3344,3029,3313,3012,3181,3190,2743,3023,2696,3001,3333,2970,3144,2976,2910,3132,2281,2741,2547,3379,3346,3342,3190,3435,3653,3536,3632,3438,3557,3676,3493,3560,3513,3479,3662,3566,3509,3412,3566,3540,3470,3050,2930,3675,3651,3643,3497,3104,3369,3155,3354,3287,3086,3404,3276,3199,2809,2986,3341,2899,3198,3248,3006,3221,3219,2772,2588,3380,3385,3371,3296
3110,3343,3037,3331,3019,3176,3213,2745,3019,2700,2996,3337,2971,3147,2977,2906,3137,2281,2741,2547,3379,3346,3342,3190,3422,3654,3541,3630,3434,3551,3688,3493,3556,3519,3454,3655,3561,3506,3416,3568,3543,3470,3050,2930,3675,3651,3643,3497,3106,3363,3166,3344,3290,3082,3398,3270,3199,2817,2988,3341,2897,3200,3245,3005,3214,3219,2772,2588,3380,3385,3371,3296
3112,3330,3032,3329,3019,3170,3200,2732,3023,2700,2996,3337,2971,3147,2977,2906,3137,2300,2743,2545,3385,3359,3352,3189,3434,3653,3535,3631,3438,3549,3690,3490,3556,3519,3454,3655,3561,3506,3416,3568,3543,3466,3045,2934,3672,3657,3655,3495,3111,3362,3166,3346,3290,3088,3405,3273,3197,2817,2988,3341,2897,3200,3245,3005,3214,3214,2772,2587,3378,3382,3370,3300
3107,3330,3032,3329,3019,3170,3200,2732,3023,2701,3005,3327,2962,3146,2975,2909,3139,2286,2743,2546,3381,3361,3341,3184,3430,3653,3535,3631,3438,3549,3690,3490,3556,3509,3476,3659,3560,3512,3420,3571,3542,3462,3043,2937,3674,3643,3651,3496,3110,3362,3166,3346,3290,3088,3405,3273,3197,2806,2982,3324,2898,3200,3247,2957,3218,3205,2776,2589,3376,3378,3369,3292
3107,3339,3030,3327,3021,3168,3209,2745,3018,2699,2997,3336,2965,3145,2974,2909,3132,2285,2742,2550,3385,3361,3341,3184,3430,3650,3535,3633,3441,3544,3696,3497,3558,3505,3479,3667,3562,3511,3417,3562,3540,3468,3042,2936,3676,3643,3651,3496,3110,3358,3159,3353,3290,3091,3406,3260,3193,2814,2986,3343,2899,3199,3249,2999,3220,3217,2776,2591,3378,3378,3369,3292
3098,3337,3029,3325,3023,3180,3202,2738,3023,2696,3006,3332,2958,3145,2974,2909,3132,2285,2742,2550,3385,3364,3349,3191,3428,3649,3537,3635,3438,3554,3689,3488,3555,3517,3474,3643,3563,3511,3417,3562,3540,3468,3042,2936,3676,3649,3656,3498,3107,3364,3163,3349,3291,3085,3402,3273,3194,2804,2984,3338,2889,3199,3249,2999,3220,3217,2776,2591,3378,3382,3375,3293
3104,3339,3032,3332,3004,3180,3202,2738,3023,2696,3006,3332,2958,3151,2972,2907,3106,2284,2737,2547,3379,3362,3342,3188,3428,3648,3545,3635,3437,3554,3689,3488,3555,3517,3474,3643,3563,3509,3391,3565,3549,3465,3048,2935,3675,3651,3650,3492,3111,3362,3165,3351,3290,3085,3402,3273,3194,2804,2984,3338,2889,3205,3243,3004,3218,3217,2777,2591,3377,3386,3372,3296
3104,3339,3032,3332,3004,3162,3207,2749,3017,2702,3003,3328,2970,3148,2976,2908,3145,2283,2737,2544,3383,3358,3348,3186,3428,3648,3545,3635,3437,3551,3689,3490,3558,3518,3478,3669,3563,3512,3417,3568,3542,3465,3043,2935,3677,3638,3645,3500,3111,3362,3165,3351,3290,3088,3407,3272,3197,2818,2987,3342,2897,3201,3249,2997,3213,3206,2770,2590,3378,3380,3364,3287
3105,3348,3035,3327,3017,3181,3210,2744,3018,2697,3002,3326,2968,3144,2973,2904,3141,2283,2737,2544,3383,3358,3348,3186,3432,3653,3533,3620,3445,3553,3690,3491,3560,3497,3478,3667,3561,3503,3420,3569,3538,3465,3043,2935,3677,3638,3645,3500,3107,3364,3167,3343,3286,3091,3408,3274,3200,2816,2981,3340,2896,3198,3249,3005,3222,3206,2770,2590,3378,3380,3364,3287
