ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3379,3634,3488,3620,3553,3503,3694,3576,3552,3465,3424,3616,3525,3498,3531,3533,3552,3515,3046,2904,3662,3656,3653,3544
3387,3631,3493,3620,3553,3503,3694,3576,3552,3465,3424,3630,3526,3500,3526,3530,3556,3544,3048,2908,3661,3660,3651,3554
3387,3631,3493,3629,3560,3498,3704,3576,3555,3465,3419,3639,3524,3497,3531,3528,3549,3543,3042,2904,3662,3661,3650,3554
3387,3630,3492,3631,3563,3503,3701,3581,3548,3462,3419,3636,3521,3496,3528,3528,3549,3543,3042,2904,3662,3661,3650,3554
3383,3627,3494,3629,3557,3502,3703,3581,3548,3462,3419,3636,3521,3496,3528,3525,3548,3543,3047,2906,3666,3634,3644,3553
3383,3627,3494,3629,3557,3502,3703,3578,3554,3464,3422,3631,3526,3499,3523,3524,3551,3549,3048,2907,3661,3650,3650,3554
3387,3629,3490,3621,3565,3500,3702,3577,3556,3464,3422,3634,3523,3497,3525,3537,3549,3550,3041,2907,3661,3650,3650,3554
3383,3624,3490,3633,3559,3501,3705,3580,3546,3474,3423,3634,3523,3497,3525,3537,3549,3550,3041,2904,3660,3665,3648,3556
3383,3627,3489,3633,3559,3501,3705,3580,3546,3474,3423,3637,3532,3497,3525,3533,3552,3549,3042,2907,3660,3649,3650,3551
3383,3627,3489,3630,3563,3503,3708,3581,3557,3470,3420,3636,3527,3496,3526,3534,3556,3542,3045,2906,3665,3651,3653,3551
3380,3617,3489,3627,3563,3506,3704,3568,3560,3466,3425,3632,3525,3483,3523,3534,3556,3542,3045,2906,3665,3651,3653,3552
3374,3626,3490,3629,3561,3500,3709,3568,3560,3466,3425,3632,3525,3483,3523,3534,3556,3536,3044,2907,3659,3653,3653,3543
3374,3626,3490,3629,3561,3500,3709,3573,3564,3471,3419,3632,3524,3494,3519,3534,3552,3549,3047,2907,3664,3667,3648,3550
3386,3628,3496,3629,3556,3501,3706,3578,3557,3475,3418,3632,3515,3497,3526,3534,3552,3548,3047,2907,3664,3667,3648,3550
3379,3626,3491,3632,3565,3502,3703,3579,3559,3474,3421,3632,3515,3497,3526,3534,3552,3548,3047,2911,3662,3657,3643,3552
3375,3624,3486,3632,3565,3502,3703,3579,3559,3474,3421,3624,3522,3491,3530,3535,3553,3541,3047,2910,3669,3654,3651,3558
3375,3624,3486,3627,3556,3495,3709,3578,3564,3470,3418,3634,3523,3498,3532,3537,3552,3545,3043,2911,3659,3655,3648,3558
3376,3630,3484,3622,3562,3503,3700,3579,3560,3462,3417,3632,3519,3500,3524,3537,3552,3545,3043,2911,3659,3655,3648,3548
3381,3625,3485,3628,3554,3500,3704,3579,3560,3462,3417,3632,3519,3500,3524,3530,3558,3541,3043,2908,3661,3651,3647,3553
3381,3625,3485,3628,3554,3500,3704,3577,3548,3465,3418,3625,3524,3497,3523,3534,3556,3537,3048,2909,3671,3658,3641,3553
3372,3624,3483,3631,3557,3502,3702,3580,3555,3468,3420,3635,3525,3497,3531,3533,3559,3547,3047,2909,3671,3658,3641,3553
3373,3625,3477,3617,3555,3497,3700,3577,3556,3460,3427,3635,3525,3497,3531,3533,3559,3547,3047,2908,3664,3638,3655,3561
3376,3618,3472,3617,3555,3497,3700,3577,3556,3460,3427,3638,3527,3489,3524,3532,3548,3552,3042,2901,3660,3656,3647,3555
3376,3618,3472,3624,3553,3496,3706,3574,3550,3467,3423,3637,3529,3496,3532,3534,3556,3549,3045,2905,3664,3656,3654,3555
3374,3620,3473,3601,3563,3491,3698,3573,3556,3463,3424,3642,3531,3500,3525,3534,3556,3549,3045,2905,3664,3656,3654,3558
3367,3618,3478,3621,3556,3487,3698,3573,3556,3463,3424,3642,3531,3500,3525,3542,3560,3546,3048,2911,3659,3654,3659,3561
3367,3618,3478,3621,3556,3487,3698,3568,3554,3461,3430,3640,3533,3496,3533,3534,3555,3544,3043,2881,3666,3655,3662,3558
3369,3625,3466,3625,3557,3482,3694,3577,3544,3463,3433,3642,3532,3496,3530,3541,3554,3547,3043,2881,3666,3655,3662,3558
3377,3627,3472,3621,3560,3488,3702,3576,3552,3459,3437,3642,3532,3496,3530,3541,3554,3547,3043,2901,3665,3654,3657,3548
3372,3624,3472,3621,3560,3488,3702,3576,3552,3459,3437,3643,3526,3500,3531,3535,3557,3542,3031,2906,3670,3660,3646,3556
3372,3624,3472,3621,3546,3486,3698,3571,3551,3460,3435,3636,3529,3496,3530,3534,3561,3540,3037,2902,3665,3659,3660,3556
3374,3621,3472,3621,3555,3472,3697,3582,3553,3460,3437,3634,3528,3506,3529,3534,3561,3540,3037,2902,3665,3659,3660,3555
3375,3632,3473,3623,3553,3470,3700,3582,3553,3460,3437,3634,3528,3506,3529,3534,3556,3539,3043,2905,3668,3655,3652,3551
3375,3632,3473,3623,3553,3470,3700,3583,3552,3459,3434,3645,3528,3502,3534,3529,3553,3546,3040,2904,3667,3651,3650,3558
3376,3624,3472,3621,3557,3484,3695,3579,3551,3455,3443,3642,3529,3507,3528,3534,3544,3544,3048,2904,3667,3651,3650,3558
3375,3632,3472,3622,3550,3483,3699,3573,3555,3462,3414,3642,3529,3507,3528,3534,3544,3544,3048,2902,3663,3652,3654,3548
3377,3627,3473,3622,3550,3483,3699,3573,3555,3462,3414,3636,3533,3501,3529,3532,3554,3544,3041,2904,3663,3651,3656,3554
3377,3627,3473,3625,3557,3485,3701,3580,3550,3444,3438,3642,3528,3491,3528,3529,3553,3548,3046,2901,3666,3654,3648,3554
3377,3612,3470,3618,3562,3486,3697,3578,3553,3451,3438,3649,3530,3499,3532,3529,3553,3548,3046,2901,3666,3654,3648,3555
3380,3633,3473,3625,3553,3491,3701,3578,3553,3451,3438,3649,3530,3499,3532,3532,3556,3544,3045,2902,3669,3653,3657,3554
3380,3633,3473,3625,3553,3491,3701,3577,3546,3451,3440,3645,3532,3505,3520,3530,3556,3547,3041,2902,3665,3656,3657,3556
3380,3624,3476,3618,3552,3486,3694,3568,3554,3447,3444,3647,3529,3488,3539,3536,3554,3547,3035,2902,3665,3656,3657,3556
3381,3621,3475,3621,3553,3478,3694,3579,3543,3452,3454,3647,3529,3488,3539,3536,3554,3547,3035,2904,3666,3652,3652,3554
3381,3627,3478,3621,3553,3478,3694,3579,3543,3452,3454,3640,3529,3499,3531,3532,3552,3546,3045,2898,3668,3660,3655,3558
3381,3627,3478,3626,3550,3481,3697,3579,3552,3456,3447,3643,3530,3504,3534,3532,3554,3549,3031,2903,3670,3655,3656,3558
3376,3630,3476,3622,3557,3487,3695,3572,3550,3454,3448,3648,3532,3496,3534,3532,3554,3549,3031,2903,3670,3655,3656,3552
3380,3629,3479,3621,3556,3489,3694,3572,3550,3454,3448,3648,3532,3496,3534,3534,3556,3544,3043,2901,3669,3656,3658,3550
3380,3629,3479,3621,3556,3489,3694,3583,3551,3454,3448,3647,3528,3499,3527,3533,3553,3553,3048,2904,3666,3658,3658,3541
3385,3626,3482,3624,3554,3486,3701,3575,3553,3460,3439,3647,3525,3500,3528,3526,3560,3544,3044,2904,3666,3658,3658,3541
3382,3627,3488,3622,3546,3499,3700,3579,3556,3459,3445,3647,3525,3500,3528,3526,3560,3544,3044,2906,3665,3651,3649,3552
3381,3632,3486,3622,3546,3499,3700,3579,3556,3459,3445,3645,3526,3503,3529,3526,3563,3543,3043,2905,3668,3651,3650,3554
3381,3632,3486,3619,3554,3494,3700,3581,3562,3468,3431,3651,3526,3498,3527,3532,3551,3544,3041,2902,3666,3648,3649,3554
3383,3630,3490,3631,3552,3506,3701,3578,3553,3466,3437,3643,3524,3497,3524,3532,3551,3544,3041,2902,3666,3648,3649,3549
3389,3617,3488,3626,3549,3507,3702,3578,3553,3466,3437,3643,3524,3497,3524,3521,3554,3547,3048,2907,3668,3647,3651,3556
3389,3617,3488,3626,3549,3507,3702,3579,3552,3461,3439,3645,3530,3500,3523,3526,3552,3550,3042,2906,3664,3657,3655,3552
3382,3623,3493,3626,3554,3502,3702,3578,3553,3464,3438,3650,3525,3495,3525,3538,3554,3548,3046,2906,3664,3657,3655,3552
3379,3626,3488,3629,3558,3503,3696,3577,3556,3462,3435,3650,3525,3495,3525,3538,3554,3548,3046,2907,3662,3655,3657,3554
3379,3632,3492,3629,3558,3503,3696,3577,3556,3462,3435,3648,3527,3493,3519,3527,3554,3544,3048,2903,3662,3658,3654,3550
3379,3632,3492,3623,3554,3502,3702,3583,3556,3467,3440,3648,3522,3484,3522,3534,3561,3542,3049,2900,3670,3658,3659,3550
3380,3613,3493,3625,3553,3510,3707,3576,3558,3466,3434,3641,3520,3502,3519,3534,3561,3542,3049,2900,3670,3658,3659,3544
3381,3625,3489,3626,3558,3503,3697,3576,3558,3466,3434,3641,3520,3502,3519,3532,3560,3543,3044,2907,3663,3653,3655,3549
3381,3625,3489,3626,3558,3503,3697,3577,3555,3466,3436,3642,3522,3483,3520,3535,3555,3552,3049,2905,3662,3654,3657,3550
3376,3625,3486,3625,3557,3504,3697,3578,3556,3468,3437,3650,3525,3499,3522,3536,3555,3549,3046,2905,3662,3654,3657,3550
3373,3627,3486,3624,3558,3490,3708,3578,3562,3458,3433,3650,3525,3499,3522,3536,3555,3549,3046,2909,3666,3652,3657,3535
3376,3631,3486,3624,3558,3490,3708,3578,3562,3458,3433,3646,3521,3499,3529,3529,3553,3553,3044,2911,3668,3657,3656,3548
3376,3631,3486,3621,3550,3500,3708,3584,3559,3469,3435,3645,3527,3504,3526,3539,3559,3548,3048,2909,3670,3655,3659,3548
3371,3621,3481,3618,3542,3501,3701,3583,3557,3471,3429,3643,3528,3500,3515,3539,3559,3548,3048,2909,3670,3655,3659,3549
3368,3630,3477,3612,3556,3499,3708,3583,3557,3471,3429,3643,3528,3500,3515,3535,3554,3547,3051,2909,3668,3653,3657,3551
3368,3630,3477,3612,3556,3499,3708,3585,3564,3458,3434,3642,3528,3504,3527,3536,3557,3552,3050,2911,3665,3656,3661,3552
3368,3622,3475,3618,3552,3502,3701,3567,3554,3464,3429,3647,3530,3509,3525,3542,3557,3552,3044,2911,3665,3656,3661,3552
3368,3614,3476,3614,3548,3501,3698,3574,3550,3467,3432,3647,3530,3509,3525,3542,3557,3552,3044,2911,3665,3644,3659,3554
3366,3617,3477,3614,3548,3501,3698,3574,3550,3467,3432,3645,3536,3503,3514,3540,3563,3548,3050,2909,3665,3653,3660,3558
3366,3617,3477,3609,3549,3498,3693,3574,3555,3459,3432,3645,3520,3502,3523,3533,3555,3551,3048,2911,3663,3652,3661,3558
3370,3619,3475,3616,3554,3496,3704,3582,3559,3475,3430,3647,3521,3491,3526,3533,3555,3551,3048,2911,3663,3652,3661,3554
3370,3613,3479,3626,3550,3497,3699,3582,3559,3475,3430,3647,3521,3491,3526,3535,3561,3548,3049,2900,3666,3656,3657,3556
3370,3613,3479,3626,3550,3497,3699,3574,3556,3469,3426,3641,3523,3506,3518,3530,3550,3551,3050,2909,3669,3655,3659,3557
3377,3630,3482,3622,3556,3504,3707,3580,3558,3470,3427,3641,3521,3499,3523,3533,3556,3544,3052,2909,3669,3655,3659,3557
3374,3631,3486,3630,3546,3512,3706,3583,3559,3470,3430,3641,3521,3499,3523,3533,3556,3544,3052,2909,3669,3657,3657,3550
3374,3633,3489,3630,3546,3512,3706,3583,3559,3470,3430,3646,3513,3500,3525,3526,3557,3549,3047,2904,3665,3662,3654,3544
3374,3633,3489,3622,3552,3501,3707,3578,3560,3472,3427,3646,3518,3501,3526,3529,3552,3536,3044,2908,3665,3656,3658,3544
3369,3627,3488,3622,3552,3503,3706,3573,3561,3475,3427,3636,3517,3502,3523,3529,3552,3536,3044,2908,3665,3656,3658,3546
3377,3628,3485,3624,3548,3511,3701,3573,3561,3475,3427,3636,3517,3502,3523,3528,3553,3545,3050,2909,3664,3653,3662,3548
3377,3628,3485,3624,3548,3511,3701,3584,3558,3463,3429,3647,3519,3501,3529,3528,3543,3547,3050,2914,3639,3658,3664,3546
3377,3624,3483,3625,3548,3504,3705,3581,3561,3466,3429,3647,3523,3501,3526,3534,3550,3551,3049,2914,3639,3658,3664,3546
3384,3631,3486,3616,3543,3514,3705,3584,3560,3461,3429,3647,3523,3501,3526,3534,3550,3551,3049,2911,3673,3660,3659,3546
3377,3627,3488,3616,3543,3514,3705,3584,3560,3461,3429,3644,3526,3503,3520,3521,3560,3547,3046,2904,3671,3656,3651,3553
3377,3627,3488,3622,3560,3511,3709,3567,3562,3475,3422,3642,3526,3493,3519,3531,3551,3550,3048,2910,3677,3659,3659,3553
3379,3624,3496,3629,3551,3513,3708,3571,3552,3479,3422,3645,3526,3499,3517,3531,3551,3550,3048,2910,3677,3659,3659,3551
3384,3637,3491,3633,3549,3513,3706,3571,3552,3479,3422,3645,3526,3499,3517,3525,3552,3543,3052,2912,3667,3647,3658,3554
3384,3637,3491,3633,3549,3513,3706,3570,3560,3482,3425,3645,3521,3501,3520,3535,3554,3545,3046,2911,3665,3657,3658,3550
3379,3622,3496,3623,3553,3503,3701,3578,3557,3480,3422,3636,3523,3496,3522,3537,3556,3542,3046,2911,3665,3657,3658,3550
3384,3626,3491,3629,3553,3510,3702,3576,3563,3479,3424,3636,3523,3496,3522,3537,3556,3542,3046,2916,3666,3664,3665,3553
3385,3630,3486,3629,3553,3510,3702,3576,3563,3479,3424,3639,3531,3503,3522,3538,3556,3542,3055,2916,3668,3661,3659,3550
3385,3630,3486,3629,3548,3508,3701,3579,3560,3480,3418,3645,3528,3498,3522,3543,3547,3544,3045,2914,3675,3663,3661,3550
3381,3624,3486,3624,3550,3505,3701,3575,3564,3478,3421,3639,3526,3503,3517,3543,3547,3544,3045,2914,3675,3663,3661,3554
3379,3629,3491,3627,3548,3509,3704,3575,3564,3478,3421,3639,3526,3503,3517,3537,3556,3550,3053,2910,3675,3657,3660,3546
3379,3629,3491,3627,3548,3509,3704,3584,3562,3478,3416,3640,3526,3505,3517,3545,3551,3538,3050,2916,3669,3657,3651,3550
3379,3630,3490,3622,3545,3515,3703,3578,3560,3474,3417,3641,3525,3504,3517,3533,3561,3553,3048,2916,3669,3657,3651,3550
3378,3639,3495,3625,3552,3509,3705,3585,3562,3484,3411,3641,3525,3504,3517,3533,3561,3553,3048,2918,3668,3654,3662,3545
