ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3075,3310,2971,3291,2974,3141,3166,2692,2971,2628,2970,3283,2884,3099,2899,2834,3103,2223,2705,2498,3345,3326,3317,3152,3373,3598,3525,3591,3317,3541,3675,3532,3546,3488,3427,3622,3550,3486,3404,3551,3540,3511,3045,2923,3612,3552,3585,3338,3079,3347,3129,3333,3264,3057,3385,3255,3176,2764,2947,3321,2856,3176,3228,2965,3201,3194,2751,2562,3356,3365,3349,3277
3076,3306,2971,3291,2974,3141,3166,2692,2971,2628,2970,3298,2888,3097,2927,2835,3100,2236,2705,2501,3351,3328,3313,3154,3369,3585,3525,3591,3317,3541,3675,3532,3546,3488,3427,3620,3551,3482,3405,3556,3539,3508,3045,2920,3614,3555,3580,3328,3081,3338,3135,3333,3264,3057,3385,3255,3176,2764,2947,3318,2852,3179,3229,2958,3193,3191,2751,2559,3357,3362,3342,3275
3076,3306,2971,3284,2968,3140,3144,2688,2966,2604,2971,3302,2888,3089,2909,2830,3095,2239,2715,2491,3348,3330,3314,3154,3369,3585,3525,3590,3307,3540,3672,3532,3548,3491,3430,3615,3547,3496,3395,3556,3540,3510,3041,2921,3605,3551,3587,3328,3081,3338,3135,3325,3265,3058,3382,3245,3174,2781,2948,3317,2854,3179,3228,2965,3196,3193,2756,2562,3356,3362,3350,3275
3079,3299,2973,3293,2972,3135,3155,2688,2969,2628,2971,3299,2886,3098,2927,2830,3095,2239,2715,2491,3348,3330,3314,3153,3374,3595,3531,3590,3308,3544,3682,3531,3552,3491,3430,3619,3552,3467,3405,3556,3540,3510,3041,2921,3605,3551,3587,3327,3074,3348,3134,3327,3262,3054,3385,3253,3175,2778,2943,3320,2853,3178,3229,2965,3196,3193,2756,2562,3356,3362,3350,3272
3084,3291,2971,3293,2958,3130,3144,2688,2969,2628,2971,3299,2886,3098,2927,2841,3100,2038,2709,2499,3349,3325,3314,3133,3371,3590,3526,3583,3316,3550,3669,3531,3552,3491,3430,3619,3552,3467,3405,3560,3544,3508,3036,2921,3609,3551,3583,3329,3082,3345,3136,3322,3267,3061,3391,3253,3175,2778,2943,3320,2853,3178,3229,2968,3198,3195,2755,2565,3361,3365,3348,3274
3084,3291,2971,3293,2958,3130,3144,2693,2960,2608,2976,3294,2893,3102,2909,2834,3098,2233,2704,2495,3338,3330,3311,3152,3371,3590,3526,3583,3316,3550,3669,3532,3550,3488,3426,3616,3553,3490,3404,3558,3544,3510,3039,2918,3610,3556,3577,3332,3082,3345,3136,3322,3267,3061,3391,3250,3173,2769,2945,3317,2854,3170,3229,2961,3190,3189,2751,2556,3361,3366,3337,3276
3079,3300,2967,3286,2970,3132,3161,2688,2967,2631,2973,3301,2875,3090,2912,2840,3098,2239,2706,2495,3338,3330,3311,3152,3371,3593,3523,3592,3304,3537,3679,3532,3555,3478,3428,3621,3554,3492,3405,3552,3543,3511,3026,2918,3610,3556,3577,3332,3083,3345,3131,3328,3263,3056,3384,3250,3178,2775,2948,3314,2856,3179,3225,2962,3197,3192,2752,2556,3361,3366,3337,3276
3076,3306,2975,3291,2969,3121,3159,2677,2969,2630,2972,3301,2875,3090,2912,2840,3098,2239,2706,2493,3349,3326,3308,3154,3372,3597,3522,3587,3308,3538,3680,3533,3548,3486,3434,3621,3554,3492,3405,3552,3543,3511,3026,2920,3612,3552,3583,3327,3085,3346,3139,3329,3268,3060,3386,3253,3178,2774,2947,3314,2856,3179,3225,2962,3197,3192,2752,2562,3358,3360,3347,3274
3078,3310,2970,3291,2969,3121,3159,2677,2969,2630,2972,3298,2888,3101,2922,2837,3098,2233,2710,2489,3345,3328,3309,3143,3371,3594,3525,3587,3308,3538,3680,3533,3548,3486,3434,3629,3556,3500,3410,3559,3551,3509,3045,2922,3614,3553,3586,3329,3076,3342,3138,3329,3268,3060,3386,3253,3178,2774,2947,3318,2850,3167,3227,2961,3196,3195,2756,2565,3355,3364,3349,3270
3078,3310,2970,3288,2960,3135,3162,2669,2966,2622,2969,3302,2890,3096,2914,2847,3094,2239,2712,2499,3340,3316,3310,3143,3371,3594,3525,3589,3307,3542,3677,3532,3543,3481,3429,3613,3555,3492,3402,3561,3544,3503,3044,2925,3616,3550,3581,3329,3076,3342,3138,3322,3266,3058,3380,3253,3173,2774,2950,3318,2853,3175,3228,2962,3197,3193,2756,2563,3360,3361,3350,3270
