ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3169,3388,3377,3447,3268,3383,3548,3393,3414,3314,3036,3218,3288,3097,2712,3344,3332,3335,2940,2805,3230,3276,2782,2936
3169,3375,3376,3452,3266,3384,3542,3386,3408,3311,3031,3219,3290,3092,2720,3347,3326,3345,2941,2805,3224,3276,2782,2936
3163,3379,3380,3450,3274,3377,3546,3402,3415,3312,3039,3221,3288,3092,2720,3347,3326,3345,2941,2805,3224,3286,2785,2937
3166,3386,3367,3454,3272,3377,3546,3402,3415,3312,3039,3221,3288,3098,2743,3349,3331,3340,2941,2803,3221,3298,2780,2932
3166,3386,3367,3454,3272,3378,3541,3402,3410,3308,3033,3218,3284,3102,2757,3349,3338,3344,2937,2797,3219,3283,2777,2934
3164,3374,3377,3446,3270,3383,3542,3404,3417,3310,3029,3223,3284,3105,2776,3354,3337,3344,2937,2797,3219,3283,2777,2934
3160,3374,3374,3450,3275,3379,3546,3399,3410,3310,3029,3223,3284,3105,2776,3354,3337,3344,2941,2795,3221,3288,2775,2928
3163,3374,3374,3450,3275,3379,3546,3399,3410,3310,3030,3217,3290,3104,2790,3348,3336,3338,2935,2803,3213,3286,2776,2920
3163,3382,3373,3456,3275,3378,3543,3396,3410,3312,3030,3212,3285,3103,2800,3351,3339,3344,2934,2796,3213,3286,2776,2920
3160,3368,3373,3449,3279,3374,3536,3407,3409,3310,3030,3216,3288,3103,2800,3351,3339,3344,2934,2796,3213,3285,2757,2922
3160,3377,3371,3453,3271,3374,3536,3407,3409,3310,3030,3216,3288,3108,2814,3346,3342,3346,2943,2803,3210,3284,2765,2921
3160,3377,3371,3453,3271,3379,3542,3399,3409,3306,3029,3205,3294,3106,2826,3349,3343,3334,2943,2802,3207,3271,2760,2912
3158,3378,3369,3451,3270,3361,3547,3408,3411,3303,3031,3222,3300,3108,2834,3354,3347,3334,2943,2802,3207,3271,2760,2912
3158,3381,3368,3445,3274,3374,3546,3406,3413,3303,3031,3222,3300,3108,2834,3354,3347,3357,2937,2802,3209,3278,2758,2911
3154,3381,3368,3445,3274,3374,3546,3406,3413,3305,3024,3208,3296,3110,2845,3350,3338,3354,2940,2803,3202,3280,2749,2903
3154,3374,3376,3455,3269,3380,3545,3400,3408,3304,3028,3210,3294,3110,2845,3351,3347,3351,2940,2802,3202,3280,2749,2903
3154,3378,3375,3437,3275,3375,3543,3404,3412,3300,3025,3215,3297,3110,2845,3351,3347,3351,2940,2802,3202,3273,2741,2894
3154,3378,3369,3444,3273,3375,3543,3404,3412,3300,3025,3215,3297,3101,2867,3353,3345,3351,2945,2797,3200,3271,2680,2899
3154,3378,3369,3444,3273,3378,3546,3400,3411,3309,3011,3206,3297,3112,2881,3352,3350,3358,2944,2801,3195,3277,2742,2900
3155,3370,3366,3447,3274,3377,3547,3403,3394,3306,3010,3200,3293,3114,2892,3356,3353,3358,2944,2801,3195,3277,2742,2900
3155,3366,3371,3445,3275,3376,3538,3401,3409,3306,3010,3200,3293,3114,2892,3356,3353,3359,2934,2800,3198,3271,2738,2900
3155,3366,3371,3445,3275,3376,3538,3401,3409,3302,3000,3192,3296,3119,2898,3351,3353,3357,2941,2803,3198,3278,2745,2900
3155,3372,3368,3454,3277,3373,3540,3399,3410,3310,2994,3181,3298,3112,2911,3355,3351,3357,2944,2781,3197,3278,2745,2900
3151,3368,3370,3453,3272,3369,3537,3408,3411,3305,2981,3167,3299,3112,2911,3355,3351,3357,2944,2781,3197,3277,2742,2901
3149,3361,3369,3452,3266,3369,3537,3408,3411,3305,2981,3167,3299,3120,2920,3352,3357,3357,2948,2802,3190,3275,2745,2900
3149,3361,3369,3452,3266,3372,3545,3399,3411,3303,2916,3161,3298,3123,2925,3351,3356,3361,2936,2797,3189,3272,2745,2902
3152,3371,3368,3444,3283,3374,3543,3409,3412,3307,2964,3125,3297,3124,2935,3350,3359,3361,2936,2797,3189,3272,2745,2902
3155,3372,3371,3442,3273,3381,3542,3408,3408,3307,2964,3125,3297,3124,2935,3350,3359,3344,2943,2799,3182,3275,2748,2894
