ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3096,3448,3494,3583,3426,3543,3700,3587,3582,3552,3173,3442,3552,3421,3213,3605,3558,3552,3075,2973,3445,3444,3313,3153
3102,3446,3506,3577,3422,3560,3702,3581,3583,3552,3173,3442,3552,3421,3213,3605,3558,3545,3069,2974,3447,3449,3314,3145
3109,3446,3506,3577,3422,3560,3702,3581,3583,3553,3179,3451,3552,3418,3217,3606,3556,3544,3071,2975,3448,3442,3326,3155
3109,3446,3501,3583,3426,3553,3707,3576,3586,3552,3186,3457,3555,3424,3227,3585,3555,3558,3072,2970,3451,3442,3326,3155
3118,3447,3497,3585,3421,3555,3702,3583,3584,3548,3205,3465,3558,3424,3227,3585,3555,3558,3072,2970,3451,3456,3319,3168
3111,3454,3500,3577,3418,3555,3702,3583,3584,3548,3205,3465,3558,3421,3222,3605,3556,3554,3073,2973,3464,3448,3358,3173
3111,3454,3500,3577,3418,3549,3705,3579,3569,3553,3214,3476,3563,3435,3220,3605,3558,3547,3071,2977,3467,3460,3363,3175
3115,3459,3497,3583,3416,3553,3697,3567,3586,3552,3216,3478,3561,3415,3225,3609,3556,3547,3071,2977,3467,3460,3363,3175
3111,3449,3502,3585,3409,3545,3701,3576,3583,3552,3216,3478,3561,3415,3225,3609,3556,3542,3076,2974,3468,3464,3368,3161
3104,3449,3502,3585,3409,3545,3701,3576,3583,3558,3210,3472,3560,3426,3214,3610,3556,3543,3065,2981,3465,3455,3365,3167
3104,3454,3498,3578,3413,3547,3705,3574,3587,3558,3210,3466,3552,3430,3218,3612,3559,3546,3066,2978,3467,3455,3365,3167
3099,3457,3496,3577,3422,3549,3700,3583,3587,3558,3201,3457,3562,3430,3218,3612,3559,3546,3066,2978,3467,3461,3360,3163
3096,3445,3500,3579,3416,3549,3700,3583,3587,3558,3201,3457,3562,3424,3221,3608,3556,3556,3073,2975,3465,3457,3353,3157
3096,3445,3500,3579,3416,3548,3701,3582,3584,3552,3204,3463,3551,3428,3224,3600,3555,3552,3069,2984,3462,3455,3358,3160
3102,3450,3493,3579,3409,3550,3689,3580,3584,3556,3208,3471,3558,3429,3227,3611,3560,3552,3069,2984,3462,3455,3358,3160
3109,3451,3500,3576,3409,3547,3702,3582,3586,3556,3208,3471,3558,3429,3227,3611,3560,3557,3075,2974,3467,3454,3366,3168
3109,3451,3500,3576,3409,3547,3702,3582,3586,3554,3213,3468,3560,3429,3229,3612,3556,3547,3069,2975,3475,3464,3366,3178
3109,3458,3488,3575,3416,3544,3705,3578,3580,3552,3222,3477,3564,3429,3232,3603,3557,3548,3069,2977,3475,3464,3366,3178
3110,3443,3488,3576,3424,3556,3701,3575,3585,3554,3217,3483,3560,3429,3232,3603,3557,3548,3069,2977,3475,3459,3369,3177
3102,3448,3494,3581,3419,3556,3701,3575,3585,3554,3217,3483,3560,3435,3228,3605,3560,3556,3069,2978,3478,3455,3371,3179
3102,3448,3494,3581,3419,3549,3700,3575,3590,3554,3216,3477,3563,3427,3221,3610,3558,3551,3076,2976,3465,3463,3373,3179
3094,3451,3483,3579,3416,3553,3693,3584,3583,3561,3215,3476,3564,3423,3222,3607,3556,3551,3076,2976,3465,3463,3373,3179
3078,3439,3494,3578,3414,3544,3699,3574,3583,3561,3215,3476,3564,3423,3222,3607,3556,3555,3074,2972,3464,3460,3363,3173
3094,3439,3494,3578,3414,3544,3699,3574,3583,3553,3210,3469,3562,3412,3218,3616,3556,3549,3071,2976,3470,3457,3365,3173
3094,3448,3492,3577,3415,3548,3699,3580,3585,3554,3206,3459,3558,3430,3215,3610,3561,3543,3070,2976,3467,3457,3365,3173
3089,3445,3490,3579,3421,3543,3699,3586,3583,3560,3207,3466,3569,3430,3215,3610,3561,3543,3070,2976,3467,3457,3365,3167
3087,3447,3495,3580,3421,3543,3699,3586,3583,3560,3207,3466,3569,3428,3222,3611,3553,3551,3070,2975,3464,3456,3363,3169
3087,3447,3495,3580,3421,3550,3698,3583,3584,3554,3209,3461,3560,3421,3217,3609,3560,3542,3067,2966,3468,3454,3360,3169
3083,3450,3487,3579,3422,3540,3697,3580,3588,3552,3207,3453,3559,3432,3219,3606,3562,3542,3067,2966,3468,3454,3360,3169
3094,3449,3488,3576,3410,3543,3697,3579,3583,3552,3207,3453,3559,3432,3219,3606,3562,3547,3071,2981,3465,3452,3362,3173
3095,3449,3488,3576,3410,3543,3697,3579,3583,3551,3213,3478,3562,3428,3220,3602,3563,3548,3071,2979,3474,3460,3371,3185
3095,3449,3489,3577,3418,3533,3699,3580,3582,3549,3210,3470,3564,3437,3220,3607,3550,3546,3071,2981,3478,3460,3371,3185
3094,3449,3486,3576,3421,3545,3702,3579,3580,3546,3217,3480,3560,3437,3220,3607,3550,3546,3071,2981,3478,3463,3374,3185
3090,3448,3486,3567,3420,3545,3702,3579,3580,3546,3217,3480,3560,3431,3220,3614,3555,3549,3074,2981,3476,3460,3379,3187
3090,3448,3486,3567,3420,3548,3701,3573,3584,3556,3210,3478,3562,3420,3210,3611,3555,3556,3075,2976,3475,3460,3381,3187
3087,3441,3485,3581,3410,3548,3699,3579,3586,3550,3213,3477,3562,3428,3219,3614,3556,3556,3075,2976,3475,3460,3381,3187
3083,3445,3486,3578,3413,3544,3701,3583,3581,3550,3213,3477,3562,3428,3219,3614,3556,3548,3072,2979,3465,3464,3380,3184
3079,3445,3486,3578,3413,3544,3701,3583,3581,3555,3212,3475,3562,3429,3216,3611,3558,3555,3073,2980,3476,3466,3378,3183
3079,3444,3483,3570,3416,3545,3697,3570,3581,3551,3218,3478,3560,3425,3218,3611,3564,3554,3076,2971,3475,3466,3378,3183
3082,3448,3461,3576,3416,3542,3700,3575,3585,3549,3222,3484,3563,3425,3218,3611,3564,3554,3076,2971,3475,3464,3384,3181
3092,3448,3484,3576,3418,3542,3700,3575,3585,3549,3222,3484,3563,3432,3229,3611,3557,3550,3075,2975,3482,3473,3394,3191
3092,3448,3484,3576,3418,3536,3695,3583,3585,3554,3234,3489,3560,3438,3228,3616,3559,3550,3058,2975,3484,3469,3405,3202
3094,3450,3481,3575,3408,3539,3696,3578,3585,3546,3240,3488,3564,3437,3222,3609,3564,3550,3058,2975,3484,3469,3405,3202
3093,3448,3485,3577,3414,3541,3704,3576,3586,3546,3240,3488,3564,3437,3222,3609,3564,3549,3064,2977,3479,3468,3394,3193
3088,3448,3485,3577,3414,3541,3704,3576,3586,3551,3236,3477,3564,3438,3222,3614,3558,3540,3073,2976,3486,3454,3395,3191
3088,3450,3479,3573,3414,3537,3704,3576,3584,3547,3234,3492,3563,3438,3221,3610,3552,3549,3070,2980,3484,3454,3395,3191
3084,3448,3488,3569,3406,3541,3699,3582,3583,3549,3234,3493,3569,3438,3221,3610,3552,3549,3070,2980,3484,3463,3398,3194
3085,3450,3486,3573,3408,3541,3699,3582,3583,3549,3234,3493,3569,3442,3211,3611,3558,3551,3072,2981,3485,3464,3379,3195
3085,3450,3486,3573,3408,3542,3695,3583,3580,3559,3227,3494,3566,3436,3213,3619,3560,3546,3069,2977,3482,3450,3398,3194
3084,3449,3482,3569,3408,3542,3697,3577,3586,3547,3230,3489,3570,3436,3219,3609,3560,3546,3069,2977,3482,3450,3398,3194
3088,3446,3479,3573,3407,3543,3697,3579,3578,3547,3230,3489,3570,3436,3219,3609,3560,3551,3069,2975,3481,3468,3401,3194
3090,3446,3479,3573,3407,3543,3697,3579,3578,3549,3232,3496,3573,3440,3222,3616,3558,3558,3071,2978,3490,3473,3403,3202
3090,3448,3487,3569,3402,3546,3699,3579,3585,3550,3229,3492,3568,3441,3215,3616,3560,3548,3076,2976,3486,3473,3403,3202
3097,3457,3485,3572,3408,3542,3693,3580,3583,3549,3236,3492,3564,3441,3215,3616,3560,3548,3076,2976,3486,3476,3405,3193
3096,3450,3478,3579,3404,3542,3693,3580,3583,3549,3236,3492,3564,3426,3225,3610,3558,3554,3071,2979,3490,3468,3404,3190
3096,3450,3478,3579,3404,3537,3700,3571,3581,3559,3236,3493,3565,3436,3225,3616,3561,3542,3054,2980,3494,3472,3408,3200
3095,3454,3484,3573,3409,3542,3707,3577,3583,3554,3245,3498,3564,3446,3226,3616,3559,3542,3054,2980,3494,3472,3408,3200
3103,3449,3485,3570,3409,3543,3690,3581,3584,3554,3245,3498,3564,3446,3226,3616,3559,3545,3067,2981,3492,3473,3420,3202
3104,3449,3485,3570,3409,3543,3690,3581,3584,3550,3240,3499,3564,3438,3231,3615,3558,3545,3076,2974,3498,3472,3418,3200
3104,3457,3484,3572,3406,3540,3697,3583,3583,3543,3238,3499,3558,3445,3226,3604,3556,3542,3072,2975,3496,3472,3418,3200
3102,3466,3488,3573,3404,3544,3699,3579,3582,3553,3239,3498,3566,3445,3226,3604,3556,3542,3072,2975,3496,3464,3419,3213
3113,3460,3484,3571,3407,3544,3699,3579,3582,3553,3239,3498,3566,3445,3227,3604,3558,3551,3070,2982,3496,3475,3429,3210
3113,3460,3484,3571,3407,3542,3699,3581,3583,3555,3238,3510,3574,3440,3224,3612,3558,3541,3070,2979,3496,3477,3428,3213
3106,3462,3491,3566,3396,3541,3701,3581,3579,3544,3242,3495,3566,3448,3225,3613,3556,3541,3070,2979,3496,3477,3428,3213
3101,3457,3481,3560,3396,3549,3697,3576,3581,3544,3242,3495,3566,3448,3225,3613,3556,3542,3074,2978,3502,3475,3430,3212
3102,3457,3481,3560,3396,3549,3697,3576,3581,3548,3245,3508,3566,3438,3228,3611,3559,3552,3074,2977,3498,3476,3435,3220
3102,3459,3486,3568,3395,3544,3697,3572,3588,3555,3245,3504,3560,3444,3222,3610,3553,3553,3072,2980,3500,3476,3435,3220
3102,3458,3473,3573,3398,3549,3688,3575,3585,3546,3242,3506,3558,3444,3222,3610,3553,3553,3072,2980,3500,3477,3444,3214
3106,3451,3482,3565,3394,3549,3688,3575,3585,3546,3242,3506,3558,3444,3227,3608,3564,3545,3063,2978,3503,3471,3437,3221
3106,3451,3482,3565,3394,3546,3692,3583,3583,3560,3242,3506,3567,3445,3229,3613,3556,3545,3072,2970,3500,3480,3441,3224
3104,3453,3482,3572,3394,3540,3696,3580,3584,3556,3244,3509,3562,3430,3227,3610,3555,3545,3072,2970,3500,3480,3441,3224
3101,3465,3485,3574,3394,3541,3692,3575,3585,3556,3244,3509,3562,3430,3227,3610,3555,3546,3065,2979,3505,3484,3443,3221
