ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3436,3647,3580,3668,3520,3584,3728,3582,3585,3532,3385,3614,3500,3436,3311,3537,3538,3528,3053,2922,3646,3643,3591,3442
3436,3647,3580,3668,3520,3584,3728,3579,3582,3534,3386,3616,3503,3454,3307,3536,3540,3521,3052,2931,3651,3648,3593,3425
3438,3650,3577,3667,3510,3585,3734,3580,3588,3533,3390,3612,3496,3455,3319,3538,3538,3525,3042,2931,3651,3648,3593,3425
3440,3650,3580,3662,3523,3595,3727,3589,3582,3528,3393,3612,3496,3455,3319,3538,3538,3525,3042,2922,3649,3648,3593,3445
3435,3646,3575,3662,3523,3595,3727,3589,3582,3528,3393,3615,3504,3452,3322,3538,3531,3527,3048,2928,3650,3640,3593,3434
3435,3646,3575,3664,3523,3574,3731,3589,3581,3520,3395,3611,3506,3456,3328,3536,3542,3526,3054,2929,3648,3634,3593,3434
3430,3647,3570,3663,3517,3576,3731,3585,3579,3534,3402,3607,3517,3464,3337,3536,3542,3526,3054,2929,3648,3634,3593,3446
3430,3653,3574,3660,3515,3583,3726,3585,3579,3534,3402,3607,3517,3464,3337,3539,3541,3526,3050,2929,3651,3642,3604,3447
3430,3653,3574,3660,3515,3583,3726,3583,3581,3525,3399,3628,3520,3465,3333,3542,3540,3524,3051,2929,3651,3647,3604,3451
3434,3649,3566,3654,3517,3578,3729,3585,3585,3522,3405,3619,3524,3469,3335,3543,3546,3523,3055,2929,3651,3647,3604,3451
3430,3644,3575,3653,3515,3580,3726,3573,3580,3535,3395,3619,3524,3469,3335,3543,3546,3523,3055,2930,3654,3645,3605,3451
3428,3653,3576,3653,3515,3580,3726,3573,3580,3535,3395,3625,3518,3461,3336,3547,3538,3534,3052,2931,3648,3633,3607,3449
3428,3653,3576,3661,3515,3584,3726,3575,3580,3526,3392,3624,3512,3455,3335,3540,3539,3528,3049,2928,3635,3639,3600,3449
3403,3644,3575,3660,3514,3584,3731,3580,3582,3526,3392,3618,3511,3458,3337,3540,3539,3528,3049,2928,3635,3639,3600,3450
3433,3655,3571,3662,3512,3586,3728,3580,3582,3526,3392,3618,3511,3458,3337,3533,3541,3527,3053,2930,3650,3641,3598,3449
3433,3655,3571,3662,3512,3586,3728,3589,3580,3532,3391,3619,3506,3460,3344,3535,3537,3531,3049,2922,3650,3641,3599,3450
3428,3640,3576,3671,3514,3584,3726,3589,3578,3537,3388,3616,3506,3462,3348,3530,3537,3532,3055,2922,3650,3641,3599,3450
3428,3649,3578,3669,3519,3582,3731,3581,3584,3530,3395,3616,3506,3462,3348,3530,3537,3532,3055,2928,3650,3645,3600,3443
3441,3642,3581,3669,3519,3582,3731,3581,3584,3530,3395,3618,3505,3460,3360,3525,3536,3529,3042,2926,3647,3642,3601,3449
3441,3642,3581,3665,3522,3586,3730,3586,3579,3526,3395,3625,3497,3465,3367,3527,3536,3533,3049,2926,3655,3641,3600,3449
3438,3647,3577,3664,3516,3577,3728,3583,3583,3533,3393,3610,3506,3464,3362,3527,3536,3533,3049,2926,3655,3641,3600,3454
3430,3652,3572,3661,3508,3584,3722,3583,3583,3533,3393,3610,3506,3464,3362,3523,3545,3529,3044,2927,3652,3629,3602,3449
3430,3652,3572,3661,3508,3584,3722,3587,3579,3525,3391,3621,3508,3464,3364,3535,3539,3525,3055,2928,3647,3637,3602,3449
3432,3645,3574,3662,3517,3585,3728,3583,3583,3530,3381,3620,3507,3466,3364,3532,3509,3531,3048,2928,3647,3637,3602,3449
3431,3646,3581,3667,3510,3591,3729,3583,3585,3522,3383,3620,3507,3466,3364,3532,3509,3531,3048,2929,3649,3642,3604,3445
3429,3649,3579,3667,3510,3591,3729,3583,3585,3522,3383,3614,3505,3470,3361,3524,3536,3524,3052,2928,3649,3643,3602,3453
3429,3649,3579,3667,3510,3596,3729,3585,3583,3532,3382,3621,3505,3466,3365,3522,3537,3530,3050,2926,3651,3638,3608,3453
3430,3647,3578,3658,3508,3597,3726,3576,3576,3538,3384,3620,3503,3461,3385,3522,3537,3530,3050,2926,3651,3638,3608,3454
3432,3647,3573,3670,3509,3590,3721,3576,3576,3538,3384,3620,3503,3461,3385,3525,3536,3528,3050,2925,3656,3643,3609,3461
3432,3647,3573,3670,3509,3590,3721,3585,3578,3518,3402,3624,3503,3470,3397,3530,3541,3528,3052,2935,3654,3648,3624,3465
3425,3639,3562,3648,3515,3576,3729,3574,3573,3519,3417,3637,3533,3487,3411,3547,3552,3530,3047,2935,3654,3648,3624,3465
3423,3642,3558,3656,3510,3568,3721,3581,3575,3519,3426,3637,3533,3487,3411,3547,3552,3530,3047,2927,3658,3651,3627,3484
3422,3647,3557,3656,3510,3568,3721,3581,3575,3519,3426,3638,3537,3487,3406,3548,3544,3531,3053,2921,3661,3650,3629,3469
3422,3647,3557,3655,3504,3565,3718,3578,3570,3517,3428,3638,3540,3498,3399,3549,3545,3526,3052,2928,3662,3645,3626,3469
3429,3640,3562,3654,3503,3573,3717,3579,3577,3522,3428,3641,3513,3486,3393,3549,3545,3526,3052,2928,3662,3645,3626,3468
3420,3645,3560,3654,3507,3580,3725,3579,3577,3522,3428,3641,3513,3486,3393,3557,3546,3532,3052,2929,3660,3642,3622,3464
3420,3645,3560,3654,3507,3580,3725,3577,3580,3526,3427,3639,3534,3492,3392,3553,3548,3514,3050,2928,3657,3637,3620,3464
3418,3648,3556,3648,3503,3574,3715,3579,3578,3507,3429,3632,3541,3493,3400,3553,3554,3528,3054,2928,3657,3637,3620,3464
3421,3642,3559,3657,3513,3566,3720,3580,3581,3514,3422,3632,3541,3493,3400,3553,3554,3528,3054,2929,3659,3641,3626,3472
3419,3636,3554,3657,3513,3566,3720,3580,3581,3514,3422,3641,3547,3494,3415,3553,3539,3540,3051,2930,3659,3641,3615,3480
3419,3636,3554,3649,3507,3562,3719,3581,3579,3517,3434,3641,3549,3496,3421,3555,3552,3540,3050,2927,3663,3640,3628,3480
3416,3641,3548,3625,3511,3562,3720,3585,3571,3504,3433,3640,3549,3490,3424,3555,3552,3540,3050,2927,3663,3640,3628,3478
3418,3642,3552,3644,3510,3566,3723,3585,3571,3504,3433,3640,3549,3490,3424,3555,3544,3540,3050,2923,3661,3641,3601,3481
3418,3642,3552,3644,3510,3566,3723,3581,3575,3511,3434,3642,3545,3490,3418,3557,3549,3530,3052,2924,3656,3641,3628,3473
3414,3644,3552,3654,3509,3565,3719,3580,3566,3523,3425,3639,3536,3496,3411,3554,3547,3537,3048,2924,3656,3641,3628,3473
3422,3631,3559,3647,3507,3565,3725,3577,3570,3512,3427,3639,3536,3496,3411,3554,3547,3537,3048,2928,3661,3632,3622,3471
3415,3642,3555,3647,3507,3565,3725,3577,3570,3512,3427,3636,3543,3491,3414,3552,3555,3537,3049,2933,3660,3639,3625,3469
3415,3642,3555,3653,3508,3568,3721,3577,3578,3512,3429,3635,3546,3484,3416,3552,3547,3538,3051,2920,3657,3642,3627,3469
3418,3642,3554,3654,3516,3568,3717,3581,3571,3515,3426,3634,3533,3488,3423,3552,3547,3538,3051,2920,3657,3642,3627,3471
3421,3643,3560,3653,3505,3565,3719,3581,3571,3515,3426,3634,3533,3488,3423,3549,3556,3532,3051,2924,3653,3648,3623,3472
3421,3643,3560,3653,3505,3565,3719,3580,3575,3512,3423,3634,3542,3485,3424,3550,3552,3548,3050,2921,3655,3639,3627,3471
3423,3641,3557,3658,3506,3581,3721,3586,3574,3516,3421,3640,3536,3488,3429,3545,3548,3526,3050,2921,3655,3639,3627,3471
3422,3641,3565,3653,3506,3569,3724,3584,3578,3510,3422,3640,3536,3488,3429,3545,3548,3526,3050,2922,3653,3640,3617,3456
3426,3648,3565,3653,3506,3569,3724,3584,3578,3510,3422,3630,3536,3492,3425,3539,3546,3537,3050,2927,3653,3632,3615,3467
3426,3648,3565,3654,3516,3577,3720,3587,3579,3516,3430,3641,3533,3491,3420,3544,3537,3532,3053,2923,3655,3637,3612,3467
3426,3645,3569,3651,3510,3577,3726,3578,3580,3522,3391,3638,3536,3490,3432,3544,3537,3532,3053,2923,3655,3637,3612,3453
3433,3643,3562,3642,3503,3580,3725,3578,3580,3522,3391,3638,3536,3490,3432,3545,3545,3539,3050,2926,3655,3635,3616,3461
3433,3643,3562,3642,3503,3580,3725,3580,3574,3512,3422,3633,3540,3483,3427,3544,3540,3538,3052,2922,3657,3638,3620,3465
3426,3638,3559,3654,3503,3576,3722,3591,3582,3516,3422,3635,3534,3497,3428,3542,3553,3537,3054,2922,3657,3638,3620,3465
3423,3640,3555,3655,3504,3572,3722,3581,3563,3514,3432,3635,3534,3497,3428,3542,3553,3537,3054,2923,3660,3639,3622,3465
3424,3641,3559,3655,3504,3572,3722,3581,3563,3514,3432,3636,3538,3490,3419,3546,3550,3537,3048,2925,3652,3629,3620,3465
3424,3641,3559,3657,3504,3573,3718,3574,3574,3512,3424,3638,3539,3485,3430,3542,3553,3543,3051,2923,3659,3637,3622,3465
3421,3625,3562,3645,3505,3573,3719,3573,3574,3515,3426,3630,3537,3502,3425,3542,3553,3543,3051,2923,3659,3637,3622,3469
3418,3629,3562,3650,3500,3570,3721,3573,3574,3515,3426,3630,3537,3502,3425,3555,3549,3541,3051,2922,3655,3638,3621,3468
3418,3629,3562,3650,3500,3570,3721,3579,3579,3520,3424,3634,3546,3497,3438,3552,3550,3530,3051,2926,3650,3639,3625,3464
3415,3641,3561,3650,3497,3573,3713,3581,3575,3520,3421,3632,3544,3496,3428,3558,3545,3536,3055,2926,3650,3639,3625,3464
3423,3633,3560,3649,3498,3564,3722,3585,3577,3520,3424,3632,3544,3496,3428,3558,3545,3536,3055,2923,3655,3636,3632,3461
