ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3122,3358,3054,3344,3015,3194,3224,2768,3035,2733,3024,3331,2991,3167,2988,2938,3157,2281,2747,2564,3393,3376,3369,3205,3428,3591,3583,3607,3407,3595,3722,3596,3584,3533,3491,3618,3634,3505,3396,3617,3582,3572,3068,2955,3519,3381,3376,3086,3117,3368,3177,3341,3295,3102,3413,3278,3206,2827,2994,3343,2909,3201,3255,3011,3220,3221,2771,2595,3382,3393,3372,3305
3128,3353,3061,3341,3032,3194,3224,2768,3035,2733,3024,3331,2991,3160,2982,2937,3107,2282,2751,2561,3396,3377,3347,3212,3428,3591,3583,3605,3408,3595,3722,3596,3584,3533,3491,3618,3634,3508,3395,3630,3585,3563,3072,2955,3522,3381,3379,3102,3122,3360,3173,3359,3283,3102,3413,3278,3206,2827,2994,3343,2909,3204,3258,3011,3224,3223,2779,2593,3388,3391,3382,3306
3128,3353,3061,3341,3032,3193,3219,2759,3050,2724,3028,3359,2990,3158,2992,2932,3159,2294,2752,2560,3400,3382,3312,3191,3428,3591,3583,3605,3408,3593,3720,3592,3587,3531,3485,3620,3625,3510,3391,3624,3577,3572,3077,2953,3524,3390,3383,3096,3122,3360,3173,3359,3283,3098,3413,3270,3208,2829,2996,3345,2903,3204,3256,3007,3224,3224,2779,2593,3384,3384,3375,3295
3119,3358,3056,3343,3038,3199,3214,2762,3036,2727,3030,3357,2984,3157,2990,2944,3157,2294,2752,2560,3400,3382,3312,3191,3427,3583,3588,3607,3399,3598,3714,3598,3591,3525,3491,3616,3634,3508,3391,3624,3581,3572,3077,2953,3524,3390,3383,3096,3121,3373,3173,3357,3295,3103,3415,3284,3205,2827,2998,3351,2898,3204,3254,3012,3230,3224,2779,2593,3384,3384,3375,3295
3130,3347,3047,3346,3025,3190,3213,2759,3026,2727,3030,3357,2984,3157,2990,2944,3157,2287,2747,2560,3399,3377,3368,3196,3430,3589,3583,3605,3398,3593,3726,3596,3583,3525,3491,3616,3634,3508,3391,3624,3581,3567,3074,2954,3521,3390,3384,3098,3122,3375,3179,3360,3298,3104,3418,3280,3201,2827,2998,3351,2898,3204,3254,3012,3230,3226,2773,2595,3383,3387,3377,3305
3130,3347,3047,3346,3025,3190,3213,2759,3026,2714,3027,3350,2998,3155,2989,2926,3158,2271,2751,2558,3395,3363,3366,3206,3423,3589,3583,3605,3398,3593,3726,3596,3583,3534,3492,3627,3628,3508,3387,3619,3579,3572,3071,2948,3525,3381,3383,3098,3117,3375,3179,3360,3298,3104,3418,3280,3201,2831,2994,3348,2905,3206,3260,3010,3221,3224,2776,2595,3378,3390,3382,3306
3130,3352,3049,3341,3034,3196,3227,2755,3044,2729,3023,3352,2989,3154,2995,2941,3152,2283,2747,2558,3402,3363,3366,3206,3423,3592,3590,3598,3393,3598,3719,3595,3585,3534,3491,3620,3631,3497,3393,3630,3579,3574,3069,2954,3525,3381,3383,3098,3117,3360,3175,3349,3299,3104,3415,3272,3206,2826,2992,3342,2906,3204,3252,3010,3224,3220,2778,2593,3385,3390,3382,3306
3125,3359,3056,3340,3039,3192,3216,2764,3040,2732,3029,3356,2985,3154,2995,2941,3152,2283,2747,2558,3402,3381,3368,3151,3431,3586,3590,3609,3395,3597,3717,3600,3584,3526,3488,3620,3632,3497,3393,3630,3579,3574,3069,2954,3525,3383,3382,3092,3121,3374,3172,3355,3293,3101,3416,3280,3203,2826,2996,3345,2904,3204,3252,3010,3224,3220,2778,2593,3385,3392,3373,3305
3129,3319,3049,3350,3032,3192,3216,2764,3040,2732,3029,3356,2985,3158,2989,2940,3157,2290,2755,2562,3395,3373,3365,3203,3429,3583,3581,3613,3395,3597,3717,3600,3584,3526,3488,3620,3632,3507,3390,3629,3579,3572,3072,2958,3519,3384,3383,3101,3114,3364,3173,3355,3284,3101,3416,3280,3203,2826,2996,3345,2904,3205,3257,3011,3229,3222,2778,2593,3383,3387,3376,3291
3129,3319,3049,3350,3032,3193,3228,2755,3034,2727,3024,3355,2994,3158,2983,2932,3157,2287,2738,2559,3397,3369,3363,3208,3429,3583,3581,3613,3395,3594,3721,3595,3592,3534,3489,3618,3628,3508,3387,3626,3580,3575,3073,2955,3525,3387,3386,3094,3114,3364,3173,3355,3284,3099,3406,3283,3206,2832,2990,3345,2908,3211,3254,3003,3220,3219,2776,2595,3388,3390,3372,3300
3127,3342,3057,3341,3033,3196,3226,2748,3034,2723,3028,3352,2993,3167,2986,2939,3155,2287,2738,2559,3397,3369,3363,3208,3431,3578,3585,3606,3393,3588,3720,3599,3582,3536,3489,3610,3628,3506,3378,3625,3584,3575,3073,2955,3525,3387,3386,3094,3118,3376,3170,3359,3296,3104,3418,3284,3197,2817,2994,3339,2905,3210,3245,3000,3223,3219,2776,2595,3388,3390,3372,3300
