ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3402,3598,3566,3613,3451,3577,3716,3588,3575,3516,3451,3626,3603,3490,3429,3600,3565,3558,3050,2936,3595,3505,3509,3100
3388,3598,3566,3613,3451,3577,3716,3588,3575,3516,3449,3632,3584,3493,3428,3596,3567,3555,3054,2935,3594,3509,3509,3106
3388,3603,3563,3611,3437,3552,3714,3592,3574,3518,3443,3625,3593,3487,3409,3593,3566,3551,3053,2936,3593,3509,3509,3106
3377,3604,3558,3603,3420,3575,3710,3586,3578,3518,3437,3621,3592,3487,3409,3593,3566,3551,3053,2936,3593,3500,3513,3122
3381,3600,3564,3613,3409,3575,3710,3586,3578,3518,3437,3621,3592,3491,3403,3590,3566,3547,3058,2937,3602,3518,3530,3148
3381,3600,3564,3613,3409,3570,3715,3590,3579,3514,3433,3627,3589,3487,3386,3592,3555,3554,3061,2937,3595,3533,3535,3171
3372,3597,3556,3612,3413,3577,3714,3587,3577,3515,3418,3618,3583,3488,3382,3584,3563,3554,3061,2937,3595,3533,3535,3171
3370,3606,3558,3609,3399,3583,3715,3593,3578,3515,3418,3618,3583,3488,3382,3584,3563,3549,3064,2936,3598,3544,3539,3211
3369,3606,3558,3609,3399,3583,3715,3593,3578,3516,3411,3619,3583,3484,3366,3582,3562,3562,3058,2939,3610,3545,3552,3232
3369,3603,3564,3610,3394,3585,3718,3595,3581,3526,3411,3622,3581,3484,3346,3597,3558,3561,3064,2937,3603,3545,3552,3232
3377,3597,3563,3617,3379,3581,3720,3588,3579,3526,3410,3619,3583,3484,3346,3597,3558,3561,3064,2937,3603,3566,3561,3268
3372,3577,3560,3618,3375,3581,3720,3588,3579,3526,3410,3619,3583,3491,3345,3589,3568,3563,3058,2945,3611,3553,3565,3292
3372,3577,3560,3618,3375,3585,3725,3596,3578,3534,3406,3614,3578,3489,3341,3595,3567,3563,3065,2952,3606,3572,3567,3315
3370,3587,3561,3628,3353,3585,3713,3582,3584,3540,3409,3607,3577,3492,3323,3602,3563,3563,3065,2952,3606,3572,3567,3315
3378,3613,3568,3625,3350,3584,3698,3593,3585,3540,3409,3607,3577,3492,3323,3602,3563,3549,3067,2944,3616,3575,3570,3331
3375,3613,3568,3625,3350,3584,3698,3593,3585,3541,3413,3620,3580,3487,3324,3598,3566,3550,3067,2950,3617,3586,3575,3355
3375,3610,3568,3623,3340,3594,3709,3595,3589,3544,3423,3623,3576,3488,3316,3595,3565,3552,3063,2952,3623,3586,3575,3355
3395,3616,3575,3626,3316,3591,3715,3582,3587,3547,3426,3621,3577,3488,3316,3595,3565,3552,3063,2952,3623,3586,3578,3362
3389,3616,3571,3613,3299,3591,3715,3582,3587,3547,3426,3621,3577,3491,3290,3602,3564,3547,3071,2955,3626,3545,3572,3336
3389,3616,3571,3613,3299,3597,3706,3578,3590,3546,3429,3629,3577,3488,3274,3609,3562,3539,3070,2966,3623,3567,3569,3316
3402,3618,3573,3614,3283,3597,3711,3580,3588,3554,3436,3636,3587,3492,3256,3610,3562,3539,3070,2966,3623,3567,3569,3316
3405,3622,3550,3620,3272,3594,3711,3562,3583,3554,3436,3636,3587,3492,3256,3610,3562,3541,3067,2966,3627,3567,3569,3290
3417,3622,3550,3620,3272,3594,3711,3562,3583,3562,3452,3630,3596,3487,3245,3614,3555,3518,3074,2964,3631,3562,3557,3275
3417,3633,3580,3622,3260,3600,3705,3552,3588,3567,3458,3641,3606,3489,3238,3616,3560,3519,3065,2967,3628,3562,3557,3275
3424,3624,3580,3616,3269,3602,3700,3549,3586,3555,3467,3654,3597,3489,3238,3616,3560,3519,3065,2967,3628,3560,3572,3276
3425,3640,3581,3622,3280,3602,3700,3549,3586,3555,3467,3654,3597,3486,3243,3615,3548,3512,3068,2964,3641,3583,3579,3296
3425,3640,3581,3622,3280,3598,3700,3543,3587,3564,3472,3655,3600,3496,3252,3614,3550,3512,3067,2966,3636,3597,3594,3316
3427,3637,3579,3628,3286,3598,3706,3541,3583,3562,3474,3654,3602,3499,3269,3613,3551,3512,3067,2966,3636,3597,3594,3316
3426,3648,3578,3627,3299,3600,3698,3534,3585,3562,3474,3654,3602,3499,3269,3613,3551,3502,3060,2966,3650,3607,3601,3328
3421,3648,3578,3627,3299,3600,3698,3534,3585,3560,3469,3655,3600,3488,3278,3615,3551,3489,3062,2961,3624,3610,3608,3342
3421,3639,3571,3631,3312,3595,3705,3531,3587,3558,3462,3656,3595,3498,3290,3618,3552,3502,3062,2964,3647,3610,3608,3342
3422,3640,3580,3631,3335,3594,3691,3542,3583,3560,3458,3656,3593,3498,3290,3618,3552,3502,3062,2964,3647,3611,3610,3374
3413,3635,3572,3629,3344,3594,3691,3542,3583,3560,3458,3656,3593,3504,3318,3612,3550,3507,3061,2959,3649,3617,3608,3390
3413,3635,3572,3629,3344,3592,3704,3543,3586,3558,3463,3641,3594,3499,3332,3611,3561,3509,3062,2968,3648,3612,3618,3413
3415,3638,3566,3629,3362,3582,3703,3544,3582,3557,3463,3641,3591,3507,3340,3612,3556,3509,3062,2968,3648,3612,3618,3413
3416,3640,3565,3634,3366,3580,3713,3547,3583,3557,3463,3641,3591,3507,3340,3612,3556,3512,3067,2967,3654,3610,3618,3420
3411,3640,3565,3634,3366,3580,3713,3547,3583,3549,3470,3658,3595,3515,3347,3608,3556,3520,3063,2967,3655,3612,3621,3428
3411,3634,3570,3625,3348,3592,3702,3551,3581,3553,3464,3648,3598,3510,3329,3612,3560,3513,3068,2971,3654,3612,3621,3428
3413,3630,3572,3629,3336,3589,3712,3547,3588,3561,3472,3655,3600,3510,3329,3612,3560,3513,3068,2971,3654,3611,3609,3417
3419,3638,3569,3618,3328,3589,3712,3547,3588,3561,3472,3655,3600,3506,3324,3618,3553,3520,3067,2969,3645,3594,3604,3402
3419,3638,3569,3618,3328,3592,3708,3538,3581,3561,3468,3664,3604,3498,3321,3619,3553,3520,3064,2968,3653,3600,3610,3388
3425,3622,3571,3625,3323,3592,3702,3549,3583,3562,3482,3659,3604,3508,3311,3615,3555,3520,3064,2968,3653,3600,3610,3388
3429,3641,3564,3635,3312,3600,3709,3540,3574,3562,3482,3659,3604,3508,3311,3615,3555,3514,3067,2965,3652,3608,3610,3369
3433,3641,3564,3635,3312,3600,3709,3540,3574,3560,3480,3659,3601,3505,3286,3615,3558,3517,3064,2965,3647,3604,3605,3357
3433,3635,3571,3624,3302,3592,3698,3530,3582,3553,3484,3661,3604,3509,3286,3617,3557,3510,3058,2970,3651,3604,3605,3357
3430,3637,3569,3624,3290,3583,3699,3534,3583,3555,3493,3659,3606,3509,3286,3617,3557,3510,3058,2970,3651,3599,3601,3341
3432,3640,3572,3626,3281,3583,3699,3534,3583,3555,3493,3659,3606,3501,3279,3618,3558,3508,3061,2968,3655,3600,3606,3326
3432,3640,3572,3626,3281,3591,3692,3530,3581,3554,3489,3661,3609,3504,3276,3618,3552,3496,3065,2964,3652,3602,3604,3332
3433,3633,3571,3621,3272,3591,3692,3523,3581,3552,3492,3661,3602,3506,3271,3618,3554,3496,3065,2964,3652,3602,3604,3332
3432,3645,3575,3624,3283,3593,3699,3529,3581,3552,3492,3661,3602,3506,3271,3618,3554,3480,3058,2966,3656,3609,3605,3330
3428,3645,3575,3624,3283,3593,3699,3529,3581,3557,3488,3653,3602,3510,3266,3618,3552,3483,3061,2963,3655,3608,3611,3334
3428,3644,3570,3626,3288,3588,3696,3522,3580,3545,3485,3665,3601,3508,3272,3622,3556,3496,3057,2963,3653,3608,3611,3334
