ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3121,3357,3042,3337,3026,3179,3213,2753,3025,2707,3002,3347,2979,3151,2984,2913,3140,2303,2745,2551,3389,3364,3352,3202,3427,3623,3524,3622,3496,3511,3693,3565,3550,3450,3507,3659,3586,3522,3507,3565,3563,3541,3043,2906,3644,3610,3601,3473,3107,3373,3173,3353,3293,3094,3415,3280,3200,2819,2994,3342,2903,3208,3256,3000,3223,3220,2778,2592,3382,3381,3376,3293
3121,3357,3042,3337,3026,3179,3213,2754,3026,2685,3011,3343,2981,3147,2982,2910,3147,2293,2744,2550,3385,3371,3350,3198,3427,3623,3524,3622,3496,3511,3693,3570,3551,3458,3508,3668,3584,3526,3504,3568,3568,3537,3043,2911,3643,3608,3623,3464,3107,3373,3173,3353,3293,3094,3415,3279,3201,2822,2992,3340,2902,3206,3255,3012,3226,3222,2775,2595,3384,3388,3379,3305
3119,3354,3037,3335,3028,3176,3224,2747,3024,2710,3011,3342,2980,3146,2983,2920,3143,2288,2741,2550,3385,3371,3350,3198,3425,3635,3526,3628,3500,3527,3693,3571,3548,3456,3506,3646,3588,3528,3497,3571,3556,3533,3048,2911,3643,3608,3623,3464,3115,3372,3168,3349,3289,3094,3408,3283,3196,2806,2995,3344,2896,3204,3230,3007,3226,3216,2769,2595,3384,3388,3379,3305
3120,3351,3042,3336,3025,3175,3214,2753,3029,2712,3005,3342,2980,3146,2983,2920,3143,2288,2741,2547,3392,3353,3352,3198,3423,3633,3529,3622,3500,3521,3705,3572,3550,3468,3499,3646,3588,3528,3497,3571,3556,3533,3048,2906,3638,3597,3619,3458,3120,3371,3171,3361,3291,3095,3409,3279,3205,2819,2997,3344,2896,3204,3230,3007,3226,3216,2769,2589,3383,3386,3375,3303
3108,3358,3042,3336,3025,3175,3214,2753,3029,2712,3005,3343,2975,3144,2977,2919,3141,2283,2746,2550,3384,3362,3351,3192,3430,3629,3528,3622,3500,3521,3705,3572,3550,3468,3499,3652,3590,3529,3499,3580,3566,3544,3042,2909,3641,3602,3624,3450,3120,3368,3172,3361,3291,3095,3409,3279,3205,2819,2997,3341,2906,3208,3257,3010,3223,3209,2779,2592,3385,3388,3382,3300
3108,3358,3042,3335,3019,3180,3210,2755,3014,2710,3014,3334,2967,3146,2983,2931,3150,2288,2747,2541,3390,3352,3358,3192,3430,3629,3528,3624,3508,3517,3698,3570,3551,3459,3503,3663,3586,3524,3497,3568,3553,3550,3051,2909,3643,3605,3608,3450,3120,3368,3172,3358,3288,3101,3411,3274,3203,2820,2964,3343,2904,3209,3254,3007,3226,3222,2779,2593,3388,3390,3381,3300
3112,3348,3041,3334,3031,3177,3211,2752,3027,2711,3010,3332,2981,3149,2983,2931,3150,2288,2747,2541,3390,3352,3358,3198,3424,3630,3524,3627,3496,3519,3692,3572,3542,3455,3496,3652,3592,3524,3507,3568,3553,3550,3051,2909,3643,3605,3608,3463,3118,3372,3162,3355,3294,3101,3408,3276,3202,2822,2996,3344,2904,3196,3252,3007,3226,3222,2779,2593,3388,3390,3381,3300
3118,3347,3046,3329,3029,3188,3218,2752,3027,2711,3010,3332,2981,3149,2983,2915,3142,2293,2751,2555,3386,3370,3355,3195,3425,3628,3528,3633,3500,3518,3698,3572,3542,3455,3496,3652,3592,3524,3507,3562,3565,3540,3045,2911,3645,3600,3624,3457,3121,3372,3174,3357,3294,3091,3410,3276,3202,2822,2996,3344,2904,3196,3252,3003,3223,3216,2778,2592,3387,3385,3382,3302
3118,3347,3046,3329,3029,3188,3218,2748,3028,2716,3007,3341,2979,3154,2985,2921,3143,2291,2744,2550,3382,3366,3361,3192,3425,3628,3528,3633,3500,3518,3698,3575,3551,3457,3502,3660,3589,3525,3492,3564,3567,3546,3049,2910,3639,3595,3618,3454,3121,3372,3174,3357,3294,3091,3410,3278,3202,2823,2994,3343,2898,3201,3254,3009,3220,3218,2773,2592,3382,3387,3368,3299
3107,3353,3042,3335,3028,3178,3213,2758,3024,2709,3008,3334,2971,3150,2968,2919,3148,2293,2742,2550,3382,3366,3361,3192,3429,3633,3525,3610,3497,3519,3696,3569,3553,3448,3507,3660,3596,3518,3489,3569,3561,3551,3046,2910,3639,3595,3618,3454,3117,3373,3174,3353,3294,3101,3416,3280,3199,2798,2990,3347,2904,3206,3254,3003,3223,3216,2779,2592,3382,3387,3368,3299
3117,3349,3044,3335,3026,3175,3212,2747,3028,2710,3013,3334,2971,3150,2968,2919,3148,2293,2742,2545,3390,3370,3340,3188,3428,3627,3527,3631,3499,3521,3700,3570,3552,3467,3501,3660,3596,3518,3489,3569,3561,3551,3046,2905,3638,3611,3617,3459,3120,3364,3176,3353,3293,3099,3418,3271,3202,2822,2996,3347,2904,3206,3254,3003,3223,3216,2779,2587,3383,3384,3375,3304
3113,3345,3048,3335,3026,3175,3212,2747,3028,2710,3013,3344,2976,3154,2983,2916,3146,2298,2742,2555,3389,3367,3351,3200,3434,3632,3527,3631,3499,3521,3700,3570,3552,3467,3501,3657,3591,3523,3490,3563,3566,3550,3050,2909,3640,3600,3620,3461,3120,3351,3171,3353,3293,3099,3418,3271,3202,2822,2996,3344,2906,3203,3252,3007,3223,3218,2778,2595,3381,3384,3382,3301
3113,3345,3048,3326,3027,3184,3216,2747,3029,2698,3010,3319,2973,3140,2960,2924,3134,2286,2741,2550,3386,3368,3348,3200,3434,3632,3527,3628,3496,3527,3701,3575,3544,3455,3501,3660,3590,3519,3483,3567,3564,3547,3049,2911,3645,3608,3619,3461,3120,3351,3171,3359,3296,3100,3412,3279,3203,2821,2997,3341,2901,3207,3257,3007,3228,3221,2768,2593,3383,3391,3381,3301
3109,3349,3041,3336,3026,3184,3208,2749,3027,2713,3012,3348,2971,3149,2982,2924,3134,2286,2741,2550,3386,3368,3348,3201,3429,3623,3530,3627,3500,3522,3696,3552,3552,3458,3499,3649,3590,3519,3489,3567,3564,3547,3049,2911,3645,3608,3619,3451,3121,3369,3172,3357,3283,3097,3407,3284,3200,2819,2995,3343,2901,3207,3257,3007,3228,3221,2768,2593,3383,3391,3381,3298
3113,3348,3043,3332,3027,3190,3216,2749,3027,2713,3012,3348,2971,3149,2982,2920,3147,2284,2739,2554,3388,3370,3354,3194,3433,3634,3537,3631,3501,3520,3700,3552,3552,3458,3499,3649,3590,3519,3489,3567,3562,3536,3045,2908,3638,3613,3628,3450,3117,3371,3174,3351,3294,3093,3409,3284,3200,2819,2995,3343,2901,3207,3257,3009,3225,3220,2773,2594,3383,3391,3380,3298
3113,3348,3043,3332,3027,3190,3216,2749,3027,2687,3012,3326,2975,3139,2984,2918,3148,2298,2746,2548,3388,3372,3352,3200,3433,3634,3537,3631,3501,3520,3700,3570,3555,3464,3502,3660,3586,3516,3493,3574,3561,3544,3046,2907,3640,3610,3617,3447,3117,3371,3174,3351,3294,3093,3409,3278,3197,2824,2992,3342,2904,3195,3257,3004,3213,3222,2779,2570,3384,3389,3374,3303
3120,3344,3049,3333,3026,3187,3212,2749,3031,2711,3012,3341,2975,3144,2986,2920,3148,2284,2737,2548,3388,3372,3352,3200,3439,3630,3539,3635,3491,3520,3686,3570,3550,3460,3504,3659,3582,3520,3484,3567,3554,3543,3046,2907,3640,3610,3617,3447,3120,3365,3174,3354,3295,3100,3416,3274,3201,2818,2991,3345,2900,3201,3252,3012,3222,3221,2776,2570,3384,3389,3374,3303
3121,3346,3044,3334,3030,3182,3215,2755,3025,2711,3011,3341,2975,3144,2986,2920,3148,2284,2737,2547,3386,3368,3359,3182,3435,3641,3533,3628,3500,3521,3692,3565,3552,3461,3504,3659,3582,3520,3484,3567,3554,3543,3046,2902,3648,3620,3616,3455,3121,3368,3168,3353,3295,3098,3411,3281,3202,2823,2992,3345,2900,3201,3252,3012,3222,3221,2776,2588,3387,3378,3371,3298
3118,3340,3035,3334,3030,3182,3215,2755,3025,2711,3011,3334,2969,3153,2983,2920,3148,2290,2746,2553,3389,3366,3357,3185,3436,3633,3526,3628,3500,3521,3692,3565,3552,3461,3504,3655,3590,3515,3490,3573,3562,3546,3048,2908,3645,3620,3625,3460,3119,3376,3173,3353,3295,3098,3411,3281,3202,2823,2992,3346,2906,3206,3255,3006,3228,3213,2778,2592,3386,3389,3375,3304
3118,3340,3035,3340,3018,3186,3215,2748,3019,2696,3012,3342,2963,3142,2981,2908,3149,2291,2743,2545,3386,3356,3352,3185,3436,3633,3526,3632,3489,3514,3693,3568,3556,3459,3502,3653,3591,3526,3480,3575,3562,3547,3052,2911,3644,3605,3618,3460,3119,3376,3173,3359,3292,3100,3417,3283,3203,2811,2996,3342,2901,3206,3251,3002,3219,3219,2773,2586,3383,3386,3368,3304
3122,3351,3044,3328,3026,3187,3214,2741,3026,2705,3012,3344,2970,3148,2983,2908,3149,2291,2743,2545,3386,3356,3352,3199,3435,3634,3523,3627,3484,3515,3692,3571,3553,3453,3507,3666,3590,3523,3487,3575,3562,3547,3052,2911,3644,3605,3618,3450,3123,3359,3177,3349,3297,3093,3419,3277,3202,2823,2994,3345,2905,3203,3252,3002,3219,3219,2773,2586,3383,3386,3368,3299
3117,3352,3033,3327,3034,3192,3222,2741,3026,2705,3012,3344,2970,3148,2983,2917,3147,2297,2744,2554,3388,3367,3355,3195,3439,3637,3527,3632,3490,3511,3694,3571,3553,3453,3507,3666,3590,3523,3487,3569,3561,3546,3047,2911,3655,3616,3626,3455,3121,3358,3170,3360,3286,3096,3412,3277,3202,2823,2994,3345,2905,3203,3252,3011,3223,3222,2778,2592,3384,3389,3379,3304
3117,3352,3033,3327,3034,3192,3222,2750,3018,2709,3017,3340,2973,3143,2978,2923,3149,2292,2739,2556,3380,3366,3358,3199,3439,3637,3527,3632,3490,3511,3694,3571,3556,3455,3503,3654,3592,3527,3488,3575,3549,3544,3041,2913,3652,3623,3622,3457,3121,3358,3170,3360,3286,3096,3412,3266,3207,2827,2987,3345,2901,3205,3254,3008,3224,3218,2778,2592,3380,3388,3380,3295
3121,3351,3031,3333,3028,3189,3219,2739,3019,2708,3019,3345,2976,3152,2978,2920,3150,2292,2733,2556,3380,3366,3358,3199,3436,3643,3529,3632,3486,3519,3700,3565,3548,3457,3514,3666,3595,3528,3482,3579,3565,3548,3047,2913,3652,3623,3622,3457,3122,3369,3172,3359,3295,3094,3411,3283,3201,2818,2995,3346,2898,3206,3254,3009,3226,3225,2772,2592,3380,3388,3380,3295
3118,3353,3041,3334,3026,3183,3217,2749,3028,2710,3012,3345,2976,3152,2978,2920,3150,2292,2733,2547,3387,3372,3357,3200,3434,3639,3519,3614,3490,3511,3692,3558,3544,3453,3508,3666,3595,3528,3482,3579,3565,3548,3047,2911,3645,3607,3623,3455,3122,3368,3168,3358,3294,3101,3413,3280,3196,2818,2997,3346,2898,3206,3254,3009,3226,3225,2772,2596,3387,3386,3376,3297
3122,3334,3037,3334,3026,3183,3217,2749,3028,2710,3012,3348,2976,3148,2985,2922,3147,2277,2747,2552,3387,3370,3356,3199,3430,3642,3521,3614,3490,3511,3692,3558,3544,3453,3508,3667,3603,3518,3482,3585,3562,3543,3045,2910,3646,3611,3626,3453,3121,3367,3170,3358,3294,3101,3413,3280,3196,2818,2997,3344,2906,3204,3253,3007,3220,3223,2779,2595,3386,3391,3370,3301
3122,3334,3037,3341,3014,3180,3216,2755,3024,2707,3016,3341,2976,3137,2979,2919,3139,2287,2748,2552,3382,3362,3350,3199,3430,3642,3521,3619,3486,3510,3696,3563,3551,3456,3516,3667,3596,3524,3488,3576,3563,3546,3051,2911,3652,3625,3627,3453,3121,3367,3170,3356,3296,3099,3411,3277,3200,2825,2993,3343,2901,3207,3251,3006,3222,3221,2778,2594,3386,3388,3381,3301
3118,3347,3038,3338,3028,3190,3222,2752,3019,2716,3012,3340,2976,3153,2985,2919,3139,2287,2748,2552,3382,3362,3350,3200,3428,3636,3493,3626,3488,3520,3691,3565,3550,3451,3508,3664,3594,3525,3474,3576,3563,3546,3051,2911,3652,3625,3627,3452,3118,3369,3174,3358,3291,3093,3410,3280,3200,2825,2997,3344,2899,3204,3248,3006,3222,3221,2778,2594,3386,3388,3381,3300
3115,3350,3048,3324,3016,3183,3220,2752,3019,2716,3012,3340,2976,3153,2985,2919,3149,2304,2747,2537,3384,3366,3361,3199,3426,3625,3527,3624,3492,3527,3699,3565,3550,3451,3508,3664,3594,3525,3474,3581,3567,3548,3050,2915,3646,3614,3625,3449,3120,3368,3175,3353,3285,3091,3408,3280,3200,2825,2997,3344,2899,3204,3248,3006,3227,3215,2777,2594,3387,3385,3379,3276
3115,3350,3048,3324,3016,3183,3220,2758,3030,2707,3022,3342,2976,3153,2974,2915,3152,2175,2746,2556,3391,3363,3360,3188,3426,3625,3527,3624,3492,3527,3699,3564,3554,3460,3509,3659,3598,3520,3469,3576,3568,3540,3045,2913,3647,3612,3613,3434,3120,3368,3175,3353,3285,3091,3408,3281,3199,2826,2990,3336,2900,3206,3249,3009,3226,3223,2777,2595,3382,3387,3380,3298
3121,3357,3035,3335,3030,3184,3220,2731,3019,2715,3015,3346,2978,3150,2978,2914,3151,2301,2747,2556,3391,3363,3360,3188,3427,3626,3530,3631,3490,3530,3703,3568,3556,3475,3499,3655,3590,3518,3467,3573,3556,3541,3048,2913,3647,3612,3613,3434,3120,3366,3176,3350,3297,3098,3418,3275,3204,2823,2998,3345,2900,3201,3253,3008,3227,3219,2777,2595,3382,3387,3380,3298
