ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3441,3646,3531,3626,3454,3525,3693,3556,3552,3473,3509,3671,3591,3520,3455,3580,3564,3529,3047,2907,3660,3625,3640,3452
3438,3653,3536,3626,3454,3525,3693,3556,3552,3473,3509,3666,3601,3524,3459,3579,3558,3531,3047,2913,3664,3633,3637,3439
3438,3653,3536,3629,3456,3533,3698,3558,3554,3473,3509,3669,3595,3524,3447,3578,3564,3531,3040,2915,3659,3622,3632,3439
3445,3640,3539,3630,3460,3536,3697,3562,3553,3472,3512,3674,3586,3524,3446,3578,3564,3531,3040,2915,3659,3622,3632,3433
3447,3641,3540,3631,3449,3539,3694,3562,3553,3472,3512,3674,3586,3524,3446,3580,3558,3528,3049,2913,3660,3629,3631,3440
3447,3641,3540,3631,3449,3539,3694,3558,3558,3482,3505,3666,3589,3517,3444,3571,3562,3524,3050,2918,3667,3632,3628,3438
3442,3650,3544,3633,3460,3544,3701,3564,3554,3485,3506,3662,3586,3517,3444,3579,3560,3527,3048,2918,3667,3632,3628,3438
3446,3651,3545,3631,3458,3540,3698,3558,3558,3480,3497,3662,3586,3517,3444,3579,3560,3527,3048,2918,3657,3621,3625,3445
3446,3648,3545,3631,3458,3540,3698,3558,3558,3480,3497,3666,3581,3521,3450,3572,3552,3520,3048,2915,3656,3632,3636,3438
3446,3648,3545,3642,3460,3543,3700,3557,3557,3484,3496,3662,3579,3516,3455,3562,3557,3520,3048,2916,3661,3629,3632,3438
3453,3647,3547,3638,3464,3547,3706,3557,3555,3464,3497,3666,3580,3517,3443,3562,3557,3520,3048,2916,3661,3629,3632,3444
3443,3645,3546,3635,3460,3547,3701,3557,3555,3464,3497,3666,3580,3517,3443,3561,3555,3532,3048,2906,3660,3624,3626,3449
3443,3645,3546,3635,3460,3547,3701,3552,3558,3481,3497,3666,3587,3510,3437,3574,3556,3533,3046,2916,3666,3626,3630,3439
3445,3647,3552,3632,3453,3550,3702,3554,3550,3484,3497,3665,3583,3516,3440,3577,3558,3536,3050,2916,3666,3626,3630,3439
3449,3650,3541,3635,3453,3544,3704,3562,3551,3490,3499,3665,3583,3516,3440,3577,3558,3536,3050,2918,3658,3623,3632,3438
3450,3640,3545,3635,3453,3544,3704,3562,3551,3490,3499,3670,3578,3513,3443,3570,3555,3529,3045,2911,3666,3620,3632,3432
3450,3640,3545,3637,3457,3536,3699,3557,3536,3481,3500,3640,3583,3510,3440,3574,3557,3530,3045,2913,3660,3627,3630,3432
3444,3648,3540,3634,3450,3539,3699,3557,3557,3481,3497,3664,3578,3517,3443,3574,3557,3530,3045,2913,3660,3627,3630,3436
3444,3648,3546,3632,3458,3544,3698,3557,3557,3481,3497,3664,3578,3517,3443,3579,3556,3528,3052,2917,3664,3625,3633,3435
