ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3302,3572,3492,3600,3521,3518,3698,3579,3565,3502,3370,3595,3542,3489,3504,3566,3559,3545,3057,2944,3623,3610,3618,3516
3302,3573,3493,3603,3523,3523,3699,3583,3563,3502,3363,3601,3552,3491,3511,3566,3556,3549,3054,2942,3621,3610,3618,3516
3301,3569,3490,3598,3526,3521,3697,3581,3565,3498,3365,3603,3550,3491,3511,3566,3556,3549,3054,2942,3621,3607,3612,3518
3301,3571,3497,3592,3525,3521,3697,3581,3565,3498,3365,3603,3550,3489,3507,3576,3556,3546,3059,2942,3621,3616,3621,3509
3301,3571,3497,3592,3525,3522,3699,3576,3578,3508,3360,3597,3547,3489,3507,3574,3560,3547,3055,2942,3621,3617,3617,3520
3304,3571,3491,3592,3526,3527,3704,3577,3564,3497,3362,3600,3548,3485,3506,3572,3555,3547,3055,2942,3621,3617,3617,3520
3300,3571,3490,3605,3524,3525,3700,3573,3558,3497,3362,3600,3548,3485,3506,3572,3555,3548,3054,2937,3621,3611,3622,3522
3302,3571,3490,3605,3524,3525,3700,3573,3558,3502,3364,3603,3544,3492,3508,3568,3566,3550,3062,2940,3625,3616,3621,3520
3302,3569,3493,3605,3528,3521,3698,3577,3566,3498,3364,3597,3546,3488,3512,3570,3561,3547,3058,2943,3622,3616,3621,3520
3305,3573,3492,3600,3523,3528,3694,3575,3573,3505,3362,3596,3540,3488,3512,3570,3561,3547,3058,2943,3622,3620,3620,3518
3302,3570,3487,3601,3525,3528,3694,3575,3573,3505,3362,3596,3540,3477,3509,3570,3560,3546,3062,2936,3623,3614,3623,3512
3302,3570,3487,3601,3525,3520,3695,3579,3560,3506,3366,3592,3543,3494,3504,3572,3561,3534,3060,2938,3627,3619,3618,3521
3306,3575,3493,3604,3524,3525,3705,3576,3567,3506,3355,3594,3544,3492,3506,3568,3558,3534,3060,2938,3627,3619,3618,3521
3304,3576,3496,3603,3523,3526,3697,3582,3566,3506,3355,3594,3544,3492,3506,3568,3558,3552,3046,2941,3624,3616,3619,3517
3305,3576,3496,3603,3523,3526,3697,3582,3566,3507,3357,3597,3543,3491,3504,3567,3562,3539,3054,2937,3624,3616,3618,3513
