ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3090,3337,3017,3313,2874,3157,3187,2840,3027,2631,2986,3331,2953,3137,2895,2905,3133,2769,2744,2514,3371,3348,3335,3071,3353,3604,3481,3587,3490,3524,3667,3536,3555,3518,3449,3645,3575,3516,3482,3595,3562,3523,3058,2957,3651,3634,3646,3522,3084,3351,3148,3339,3270,3080,3401,3264,3191,2803,2961,3327,2841,3190,3244,2982,3213,3211,2767,2583,3372,3369,3365,3288
3090,3337,3017,3312,2868,3169,3187,2845,3025,2629,2983,3334,2957,3140,2898,2900,3145,2777,2744,2518,3370,3336,3335,3071,3353,3604,3481,3589,3486,3518,3669,3535,3549,3520,3451,3643,3578,3514,3499,3598,3560,3520,3052,2958,3649,3624,3649,3522,3084,3351,3148,3340,3277,3077,3403,3267,3194,2805,2962,3328,2870,3180,3246,2979,3214,3202,2768,2578,3370,3366,3366,3288
3086,3330,3009,3313,2877,3144,3184,2836,3005,2629,2983,3329,2954,3138,2885,2900,3145,2777,2744,2518,3370,3336,3335,3076,3349,3597,3475,3588,3482,3518,3671,3523,3554,3517,3455,3642,3577,3514,3500,3598,3560,3520,3052,2958,3649,3624,3649,3520,3089,3354,3148,3341,3284,3079,3397,3272,3192,2804,2962,3325,2862,3190,3242,2979,3214,3202,2768,2578,3370,3366,3366,3289
3085,3339,3016,3315,2873,3159,3193,2836,3005,2629,2983,3329,2954,3138,2885,2897,3145,2777,2737,2504,3370,3350,3335,3085,3351,3600,3476,3591,3482,3517,3664,3523,3554,3517,3455,3642,3577,3514,3500,3601,3559,3515,3059,2961,3621,3628,3645,3522,3088,3354,3147,3342,3280,3077,3403,3272,3192,2804,2962,3325,2862,3190,3242,2982,3211,3214,2770,2577,3370,3376,3355,3287
3085,3339,3016,3315,2873,3159,3193,2835,3032,2626,2982,3336,2953,3134,2901,2899,3145,2774,2744,2516,3374,3346,3338,3070,3351,3600,3476,3591,3482,3517,3664,3531,3551,3519,3451,3644,3582,3511,3502,3609,3560,3512,3058,2961,3652,3630,3640,3520,3088,3354,3147,3342,3280,3077,3403,3277,3195,2804,2963,3328,2867,3190,3242,2985,3213,3208,2764,2580,3371,3372,3360,3288
3079,3336,3018,3301,2875,3164,3195,2828,3016,2627,2978,3333,2966,3129,2894,2901,3140,2775,2745,2516,3374,3346,3338,3070,3353,3602,3475,3590,3482,3518,3651,3531,3551,3521,3450,3640,3578,3517,3497,3603,3552,3528,3058,2961,3652,3630,3640,3520,3084,3342,3150,3342,3274,3072,3405,3263,3195,2805,2954,3325,2867,3192,3244,2982,3210,3210,2768,2580,3371,3372,3360,3288
3085,3337,3016,3318,2874,3164,3188,2843,3029,2633,2983,3333,2966,3129,2894,2901,3140,2775,2745,2508,3383,3345,3336,3084,3350,3607,3476,3585,3493,3510,3662,3524,3553,3521,3449,3640,3578,3517,3497,3603,3552,3528,3058,2959,3653,3633,3635,3518,3085,3347,3149,3335,3284,3079,3405,3274,3192,2787,2961,3325,2867,3192,3244,2982,3210,3210,2768,2580,3365,3369,3365,3289
3088,3341,3009,3318,2874,3164,3188,2843,3029,2633,2983,3317,2954,3132,2899,2898,3146,2768,2735,2512,3372,3344,3336,3089,3350,3608,3477,3585,3493,3510,3662,3524,3553,3521,3449,3642,3578,3509,3502,3604,3559,3524,3061,2963,3646,3627,3641,3525,3086,3353,3147,3335,3284,3079,3405,3274,3192,2787,2961,3327,2864,3191,3244,2986,3212,3209,2769,2584,3368,3377,3369,3288
3088,3341,3009,3303,2879,3165,3197,2839,3017,2637,2979,3338,2962,3128,2891,2906,3111,2768,2735,2512,3364,3348,3325,3089,3350,3608,3477,3585,3483,3512,3667,3533,3551,3520,3448,3639,3576,3513,3500,3598,3558,3516,3059,2964,3650,3630,3646,3525,3086,3353,3147,3343,3277,3078,3401,3272,3192,2805,2963,3322,2866,3195,3240,2986,3210,3210,2767,2583,3371,3378,3356,3288
3091,3338,3014,3312,2873,3162,3173,2835,3029,2631,2980,3338,2963,3125,2885,2906,3111,2768,2735,2512,3364,3348,3325,3081,3353,3604,3477,3584,3479,3517,3668,3530,3551,3519,3442,3644,3577,3521,3495,3598,3558,3516,3059,2964,3650,3630,3646,3516,3079,3353,3146,3330,3282,3079,3406,3272,3193,2792,2957,3328,2868,3182,3247,2986,3210,3210,2767,2583,3371,3378,3356,3287
3088,3337,3020,3310,2875,3159,3202,2835,3029,2631,2980,3338,2963,3125,2885,2903,3143,2771,2744,2507,3376,3346,3336,3082,3358,3610,3480,3585,3486,3517,3670,3530,3551,3519,3442,3644,3577,3521,3495,3596,3564,3524,3060,2962,3650,3625,3647,3524,3088,3355,3146,3339,3278,3076,3401,3272,3193,2792,2957,3328,2868,3182,3247,2981,3203,3214,2761,2574,3371,3373,3352,3287
3088,3337,3020,3310,2875,3159,3202,2847,3032,2634,2981,3340,2952,3132,2899,2907,3150,2777,2746,2509,3373,3343,3342,3086,3358,3610,3480,3585,3486,3517,3670,3535,3552,3523,3448,3631,3573,3514,3499,3598,3551,3522,3056,2963,3654,3630,3638,3521,3088,3355,3146,3339,3278,3076,3401,3268,3189,2807,2961,3328,2867,3188,3234,2983,3215,3208,2769,2583,3373,3371,3363,3288
3089,3332,3004,3316,2862,3163,3188,2842,3018,2614,2984,3335,2962,3136,2893,2909,3143,2775,2740,2509,3373,3343,3342,3086,3356,3608,3486,3584,3482,3529,3669,3528,3549,3523,3445,3644,3578,3515,3486,3600,3559,3520,3061,2963,3654,3630,3638,3521,3093,3342,3146,3339,3272,3071,3404,3267,3198,2804,2960,3330,2868,3183,3240,2979,3210,3205,2769,2583,3373,3371,3363,3288
3088,3326,3016,3313,2874,3162,3203,2839,3025,2632,2977,3335,2962,3136,2893,2909,3143,2775,2740,2505,3368,3354,3335,3080,3353,3610,3481,3583,3489,3521,3676,3527,3552,3531,3442,3644,3578,3515,3486,3600,3559,3520,3061,2963,3658,3634,3645,3524,3091,3349,3145,3339,3280,3077,3408,3269,3194,2804,2956,3330,2868,3183,3240,2979,3210,3205,2769,2582,3362,3380,3363,3286
3087,3335,3010,3313,2874,3162,3203,2839,3025,2632,2977,3344,2949,3140,2897,2904,3143,2775,2744,2512,3371,3345,3337,3087,3359,3607,3484,3583,3489,3521,3676,3527,3552,3531,3442,3645,3573,3504,3488,3596,3553,3518,3055,2949,3648,3628,3645,3528,3088,3349,3141,3339,3280,3077,3408,3269,3194,2804,2956,3330,2859,3192,3240,2983,3214,3208,2762,2582,3371,3376,3364,3281
3087,3335,3010,3312,2877,3150,3193,2843,3025,2628,2984,3338,2879,3122,2891,2902,3134,2774,2731,2511,3371,3342,3329,3087,3359,3607,3484,3596,3485,3528,3671,3527,3559,3529,3443,3641,3571,3509,3495,3598,3561,3525,3059,2963,3645,3629,3642,3528,3088,3349,3141,3344,3281,3081,3400,3266,3187,2808,2963,3326,2867,3192,3244,2981,3208,3210,2766,2583,3373,3373,3355,3281
3088,3324,3007,3306,2874,3159,3194,2839,3023,2626,2980,3336,2960,3141,2890,2902,3134,2774,2731,2511,3371,3342,3329,3084,3360,3609,3488,3595,3492,3532,3677,3529,3555,3529,3440,3640,3571,3509,3494,3598,3561,3525,3059,2963,3645,3629,3642,3519,3087,3354,3144,3338,3280,3076,3408,3266,3196,2807,2959,3331,2867,3186,3243,2981,3208,3210,2766,2583,3373,3373,3355,3282
3085,3342,3016,3308,2876,3143,3190,2839,3023,2626,2980,3336,2960,3141,2890,2901,3144,2777,2742,2515,3366,3344,3332,3087,3352,3611,3490,3595,3485,3535,3672,3529,3555,3529,3440,3640,3571,3509,3494,3595,3559,3521,3058,2958,3643,3627,3639,3522,3084,3355,3149,3342,3283,3075,3404,3266,3196,2807,2959,3331,2867,3186,3243,2979,3214,3208,2767,2575,3369,3364,3365,3288
3085,3342,3016,3308,2876,3143,3190,2820,3027,2623,2982,3323,2959,3135,2887,2900,3142,2777,2737,2519,3370,3347,3333,3086,3352,3611,3490,3595,3485,3535,3672,3534,3557,3534,3439,3640,3565,3478,3490,3597,3556,3521,3056,2959,3648,3629,3639,3509,3084,3355,3149,3342,3283,3075,3404,3268,3193,2802,2963,3326,2869,3190,3241,2983,3215,3207,2767,2581,3372,3374,3368,3275
3087,3340,3013,3308,2880,3162,3194,2843,3024,2629,2984,3334,2964,3139,2907,2898,3157,2774,2745,2519,3370,3347,3333,3086,3353,3605,3489,3600,3487,3537,3669,3530,3556,3532,3433,3638,3567,3502,3492,3596,3559,3519,3056,2959,3648,3629,3639,3509,3080,3344,3146,3341,3266,3077,3390,3269,3195,2806,2959,3324,2867,3189,3236,2986,3214,3204,2765,2581,3372,3374,3368,3275
3091,3341,3012,3316,2874,3163,3189,2838,3034,2624,2987,3334,2964,3139,2907,2898,3157,2774,2745,2502,3363,3350,3326,3086,3359,3604,3494,3598,3486,3535,3679,3531,3560,3531,3436,3638,3567,3502,3492,3596,3559,3519,3056,2967,3648,3633,3639,3512,3087,3351,3149,3336,3282,3079,3403,3267,3192,2795,2965,3324,2867,3189,3236,2986,3214,3204,2765,2584,3369,3380,3363,3290
3079,3335,3019,3316,2874,3163,3189,2838,3034,2624,2987,3337,2962,3133,2898,2895,3145,2777,2744,2515,3368,3349,3342,3086,3353,3606,3496,3598,3486,3535,3679,3531,3560,3531,3436,3637,3561,3504,3490,3598,3555,3519,3043,2964,3650,3628,3644,3522,3083,3351,3148,3336,3282,3079,3403,3267,3192,2795,2965,3327,2868,3191,3243,2973,3215,3211,2767,2583,3368,3374,3366,3288
3079,3335,3019,3310,2865,3153,3187,2841,3029,2613,2976,3342,2956,3136,2894,2892,3160,2768,2747,2514,3365,3334,3328,3086,3353,3606,3496,3601,3481,3537,3680,3542,3555,3536,3431,3637,3564,3509,3494,3597,3558,3514,3056,2962,3645,3634,3640,3522,3083,3351,3148,3337,3277,3072,3406,3273,3191,2801,2965,3323,2867,3192,3241,2985,3209,3211,2767,2578,3372,3376,3366,3288
3088,3338,3018,3316,2872,3162,3190,2839,3033,2627,2984,3335,2960,3133,2896,2892,3160,2768,2747,2514,3365,3334,3328,3089,3358,3603,3493,3596,3490,3520,3674,3531,3561,3533,3432,3638,3568,3508,3488,3597,3558,3514,3056,2962,3645,3634,3640,3521,3088,3356,3146,3342,3277,3072,3406,3270,3190,2805,2967,3325,2867,3187,3246,2985,3209,3211,2767,2578,3372,3376,3366,3294
3070,3343,3007,3299,2872,3166,3181,2839,3033,2627,2984,3335,2960,3133,2896,2894,3144,2774,2742,2515,3369,3347,3333,3088,3354,3604,3490,3597,3489,3520,3678,3531,3561,3533,3432,3638,3568,3508,3488,3594,3556,3518,3057,2964,3647,3631,3637,3507,3086,3355,3142,3343,3274,3078,3404,3270,3190,2805,2967,3325,2867,3187,3246,2985,3216,3212,2769,2577,3373,3374,3367,3283
3070,3343,3007,3299,2872,3166,3181,2842,3016,2631,2972,3327,2961,3138,2902,2903,3138,2776,2743,2511,3371,3352,3330,3074,3354,3604,3490,3597,3489,3520,3678,3537,3555,3533,3431,3641,3567,3506,3491,3591,3555,3521,3052,2966,3649,3622,3639,3516,3086,3355,3142,3343,3274,3078,3404,3268,3197,2806,2961,3327,2868,3190,3238,2985,3212,3213,2770,2581,3366,3379,3364,3291
3087,3333,3015,3308,2869,3154,3192,2842,3030,2626,2974,3340,2957,3135,2882,2897,3143,2776,2745,2511,3371,3352,3330,3074,3356,3604,3492,3589,3482,3532,3675,3536,3555,3530,3435,3639,3567,3509,3488,3597,3556,3515,3059,2966,3649,3622,3639,3516,3086,3325,3145,3332,3278,3077,3401,3262,3191,2806,2965,3324,2869,3186,3238,2984,3209,3203,2765,2581,3366,3379,3364,3291
3088,3335,3017,3317,2873,3165,3190,2843,3024,2636,2978,3340,2957,3135,2882,2897,3143,2776,2745,2516,3374,3332,3289,3086,3350,3601,3492,3598,3477,3534,3673,3534,3562,3525,3433,3639,3567,3509,3488,3597,3556,3515,3059,2962,3650,3629,3639,3510,3088,3355,3143,3336,3278,3078,3403,3274,3196,2806,2957,3324,2869,3186,3238,2984,3209,3203,2765,2579,3370,3375,3357,3284
3084,3340,3016,3317,2873,3165,3190,2843,3024,2636,2978,3337,2959,3137,2896,2899,3142,2780,2740,2505,3371,3338,3334,3088,3349,3607,3489,3598,3477,3534,3673,3534,3562,3525,3433,3632,3570,3509,3492,3598,3557,3519,3060,2965,3646,3613,3637,3517,3090,3350,3146,3336,3278,3078,3403,3274,3196,2806,2957,3326,2864,3187,3244,2986,3205,3208,2768,2579,3369,3377,3363,3275
3084,3340,3016,3300,2872,3165,3173,2840,3027,2611,2974,3336,2953,3135,2901,2904,3135,2763,2742,2515,3376,3346,3327,3088,3349,3607,3489,3583,3483,3533,3676,3531,3558,3517,3438,3639,3572,3507,3490,3602,3557,3523,3058,2962,3648,3621,3635,3517,3090,3350,3146,3338,3283,3074,3404,3268,3191,2805,2960,3326,2869,3192,3243,2977,3205,3213,2765,2582,3371,3377,3358,3275
3087,3337,3017,3317,2873,3157,3194,2841,3030,2612,2979,3330,2961,3138,2902,2904,3135,2763,2742,2515,3376,3346,3327,3088,3345,3593,3481,3593,3476,3529,3678,3526,3556,3530,3438,3640,3574,3510,3501,3602,3557,3523,3058,2962,3648,3621,3635,3517,3086,3349,3142,3342,3283,3076,3406,3272,3186,2797,2959,3329,2870,3194,3245,2977,3205,3213,2765,2582,3371,3377,3358,3283
3082,3326,3016,3318,2873,3150,3178,2841,3030,2612,2979,3330,2961,3138,2902,2902,3138,2774,2744,2518,3369,3348,3333,3088,3346,3596,3479,3581,3482,3528,3676,3526,3556,3530,3438,3640,3574,3510,3501,3605,3563,3531,3059,2962,3656,3622,3639,3519,3091,3341,3147,3338,3282,3078,3402,3272,3186,2797,2959,3329,2870,3194,3245,2984,3197,3210,2766,2584,3368,3372,3364,3290
3082,3326,3016,3318,2873,3150,3178,2831,3025,2634,2986,3330,2958,3137,2898,2902,3146,2769,2748,2513,3373,3346,3325,3086,3346,3596,3479,3581,3482,3528,3676,3529,3553,3518,3442,3643,3573,3513,3498,3609,3560,3522,3059,2971,3641,3629,3641,3516,3091,3341,3147,3338,3282,3078,3402,3259,3190,2805,2963,3318,2865,3192,3231,2984,3210,3203,2766,2581,3360,3376,3361,3284
3088,3337,3016,3316,2871,3155,3187,2840,3030,2613,2978,3328,2965,3136,2901,2892,3139,2767,2740,2513,3373,3346,3325,3086,3346,3600,3478,3585,3480,3520,3668,3525,3552,3526,3444,3641,3578,3505,3499,3608,3562,3528,3062,2971,3641,3629,3641,3516,3045,3356,3147,3338,3276,3075,3400,3270,3191,2805,2962,3320,2867,3187,3245,2980,3212,3213,2769,2581,3360,3376,3361,3284
3080,3350,3016,3312,2862,3161,3184,2843,3018,2629,2986,3328,2965,3136,2901,2892,3139,2767,2740,2512,3376,3350,3328,3088,3343,3595,3452,3590,3482,3521,3667,3537,3548,3525,3443,3641,3578,3505,3499,3608,3562,3528,3062,2963,3652,3622,3642,3508,3080,3353,3147,3339,3272,3078,3406,3272,3198,2807,2958,3320,2867,3187,3245,2980,3212,3213,2769,2578,3371,3373,3365,3285
3084,3341,3018,3312,2862,3161,3184,2843,3018,2629,2986,3342,2956,3143,2898,2901,3140,2759,2739,2518,3372,3347,3330,3082,3352,3598,3474,3590,3482,3521,3667,3537,3548,3525,3443,3641,3579,3514,3499,3606,3564,3522,3058,2962,3649,3631,3642,3517,3089,3348,3146,3339,3272,3078,3406,3272,3198,2807,2958,3329,2866,3190,3242,2978,3213,3211,2768,2582,3364,3370,3362,3285
3084,3341,3018,3315,2855,3151,3190,2842,3028,2630,2984,3331,2956,3138,2900,2903,3148,2764,2736,2513,3370,3346,3336,3082,3352,3598,3474,3582,3478,3519,3674,3532,3553,3525,3447,3639,3569,3518,3502,3605,3570,3522,3035,2967,3648,3626,3643,3517,3089,3348,3146,3339,3280,3078,3401,3270,3192,2806,2965,3330,2867,3185,3242,2982,3211,3215,2769,2576,3368,3380,3369,3285
3087,3341,3016,3311,2871,3158,3188,2838,3028,2632,2977,3338,2962,3138,2899,2903,3148,2764,2736,2513,3370,3346,3336,3078,3334,3597,3473,3579,3479,3521,3666,3541,3555,3523,3446,3649,3580,3514,3499,3605,3570,3522,3035,2967,3648,3626,3643,3514,3086,3345,3144,3342,3282,3068,3408,3265,3197,2806,2966,3328,2868,3189,3244,2982,3211,3215,2769,2576,3368,3380,3369,3278
