ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3412,3635,3531,3635,3495,3538,3705,3566,3565,3491,3487,3659,3596,3520,3480,3588,3561,3542,3056,2930,3664,3650,3653,3504
3412,3635,3531,3635,3495,3541,3706,3566,3572,3495,3488,3664,3590,3530,3477,3594,3567,3541,3063,2931,3674,3645,3653,3505
3411,3642,3528,3635,3501,3540,3696,3574,3566,3499,3490,3670,3598,3519,3481,3592,3563,3541,3063,2931,3674,3645,3653,3505
3415,3636,3532,3638,3508,3539,3702,3575,3570,3499,3490,3670,3598,3519,3481,3592,3563,3550,3053,2930,3667,3646,3649,3494
3415,3636,3532,3638,3508,3539,3702,3575,3570,3498,3496,3660,3595,3530,3480,3591,3567,3546,3060,2931,3670,3639,3640,3507
3415,3642,3534,3635,3500,3540,3707,3578,3569,3469,3493,3667,3600,3530,3482,3588,3570,3545,3059,2933,3658,3639,3640,3507
3413,3640,3536,3630,3509,3542,3704,3575,3571,3492,3486,3669,3596,3530,3482,3588,3570,3545,3059,2933,3658,3644,3642,3490
3417,3634,3540,3634,3511,3542,3704,3575,3571,3492,3486,3669,3596,3528,3489,3591,3577,3548,3053,2932,3666,3636,3643,3494
3417,3634,3540,3634,3511,3536,3709,3575,3560,3493,3488,3661,3599,3531,3498,3597,3563,3547,3054,2933,3669,3634,3631,3485
3407,3636,3536,3636,3507,3545,3707,3574,3572,3499,3485,3667,3606,3527,3494,3585,3570,3547,3054,2933,3669,3634,3631,3485
3405,3625,3533,3634,3504,3547,3712,3570,3565,3499,3485,3667,3606,3527,3494,3585,3570,3547,3054,2934,3658,3616,3637,3480
3400,3625,3533,3634,3504,3547,3712,3570,3565,3498,3484,3663,3610,3525,3488,3593,3569,3553,3053,2934,3658,3631,3630,3476
3400,3631,3517,3635,3501,3552,3710,3572,3570,3498,3488,3663,3602,3525,3490,3592,3571,3554,3054,2928,3660,3631,3630,3476
3408,3639,3543,3634,3501,3545,3705,3578,3570,3501,3487,3664,3609,3525,3490,3592,3571,3554,3054,2928,3660,3633,3636,3475
3408,3626,3537,3638,3501,3545,3705,3578,3570,3501,3487,3664,3609,3531,3487,3595,3572,3554,3060,2930,3655,3621,3633,3470
3408,3626,3537,3638,3501,3546,3710,3575,3567,3499,3489,3667,3607,3532,3488,3596,3571,3544,3056,2927,3664,3629,3636,3474
3404,3638,3531,3637,3500,3545,3706,3576,3572,3493,3490,3666,3604,3521,3486,3593,3567,3544,3056,2927,3664,3629,3636,3474
3411,3633,3544,3634,3498,3543,3681,3579,3570,3493,3490,3666,3604,3521,3486,3593,3567,3541,3054,2929,3655,3632,3636,3466
3403,3633,3544,3634,3498,3543,3681,3579,3570,3493,3488,3666,3598,3527,3488,3601,3569,3552,3056,2930,3656,3626,3626,3465
3403,3632,3538,3634,3499,3538,3706,3561,3569,3497,3500,3661,3602,3526,3483,3593,3573,3550,3058,2934,3662,3626,3626,3465
3408,3637,3536,3634,3502,3537,3706,3576,3570,3498,3490,3656,3604,3526,3483,3593,3573,3550,3058,2934,3662,3627,3634,3473
3415,3643,3538,3630,3490,3537,3706,3576,3570,3498,3490,3656,3604,3528,3483,3593,3568,3553,3057,2934,3657,3621,3641,3462
3415,3643,3538,3630,3490,3542,3709,3576,3565,3488,3490,3668,3602,3533,3487,3591,3569,3553,3056,2931,3664,3625,3639,3464
3413,3636,3539,3628,3497,3536,3706,3582,3568,3493,3488,3661,3604,3532,3483,3594,3564,3553,3056,2931,3664,3625,3639,3464
