ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3086,3331,3030,3301,3010,3176,3197,2729,3011,2672,2980,3336,2946,3136,2897,2893,3121,2289,2726,2532,3380,3344,3342,3183,3308,3498,3518,3586,3437,3515,3679,3549,3547,3481,3363,3503,3568,3441,3338,3576,3544,3528,3042,2926,3367,3392,3110,3042,3111,3367,3153,3347,3283,3085,3407,3267,3187,2799,2983,3334,2882,3195,3246,2988,3215,3210,2767,2577,3372,3381,3367,3288
3094,3332,3024,3322,3010,3168,3193,2729,3011,2691,2986,3318,2946,3136,2971,2892,3136,2289,2726,2532,3380,3344,3342,3183,3300,3514,3512,3586,3435,3516,3679,3561,3550,3482,3361,3508,3574,3447,3337,3582,3531,3528,3042,2926,3367,3392,3110,3042,3110,3361,3154,3344,3281,3083,3407,3272,3195,2804,2980,3337,2884,3196,3247,2996,3208,3210,2767,2577,3372,3381,3367,3288
3092,3332,3014,3315,3001,3167,3203,2733,3009,2691,2986,3318,2946,3136,2971,2892,3136,2298,2728,2535,3375,3353,3342,3185,3300,3512,3510,3583,3433,3515,3675,3557,3551,3482,3361,3508,3574,3447,3337,3582,3531,3524,3050,2926,3366,3400,3102,3034,3106,3364,3162,3338,3283,3084,3389,3270,3196,2804,2980,3337,2884,3196,3247,2996,3208,3211,2770,2584,3374,3382,3370,3292
3094,3332,3014,3315,3001,3167,3203,2733,3009,2659,2986,3310,2956,3130,2971,2890,3134,2291,2736,2539,3375,3355,3344,3193,3308,3512,3510,3583,3433,3515,3675,3557,3551,3470,3362,3504,3568,3443,3340,3576,3541,3526,3043,2926,3366,3402,3106,3044,3110,3364,3162,3338,3283,3084,3389,3270,3196,2806,2983,3336,2882,3197,3247,2993,3209,3209,2769,2583,3378,3383,3361,3294
3094,3325,3025,3324,3012,3173,3166,2728,3018,2692,2983,3327,2951,3132,2974,2898,3134,2295,2735,2535,3371,3355,3344,3193,3308,3510,3514,3587,3440,3516,3678,3556,3549,3480,3366,3504,3575,3449,3341,3573,3538,3531,3045,2927,3369,3402,3106,3044,3110,3362,3160,3343,3286,3085,3406,3265,3191,2794,2981,3326,2890,3196,3245,2949,3217,3200,2769,2583,3374,3383,3361,3294
3095,3333,3026,3320,3016,3164,3183,2736,3013,2689,2984,3332,2959,3132,2974,2898,3134,2295,2735,2535,3371,3354,3342,3171,3298,3514,3511,3588,3437,3516,3684,3556,3542,3480,3359,3504,3578,3449,3341,3573,3538,3531,3045,2927,3369,3395,3102,3050,3108,3360,3159,3346,3282,3082,3403,3259,3190,2809,2979,3335,2887,3196,3245,2949,3217,3200,2769,2583,3374,3376,3364,3293
3092,3326,3018,3332,3016,3164,3183,2736,3013,2689,2984,3332,2959,3136,2971,2902,3137,2295,2744,2534,3377,3353,3344,3182,3303,3516,3510,3582,3440,3516,3684,3556,3542,3480,3359,3504,3578,3441,3343,3570,3538,3525,3039,2929,3373,3388,3104,3046,3093,3365,3152,3345,3286,3082,3403,3259,3190,2809,2979,3335,2887,3195,3247,2995,3216,3211,2768,2582,3379,3380,3372,3288
3092,3326,3018,3332,3016,3169,3204,2729,3006,2691,2982,3326,2955,3131,2962,2891,3134,2289,2729,2534,3373,3339,3340,3187,3303,3516,3510,3582,3440,3510,3681,3556,3552,3465,3364,3505,3583,3442,3340,3567,3539,3532,3042,2931,3365,3390,3111,3054,3093,3365,3152,3345,3286,3080,3401,3267,3195,2797,2982,3336,2879,3197,3234,2992,3213,3211,2766,2581,3375,3381,3370,3293
3097,3323,3026,3327,3012,3167,3198,2742,3010,2691,2987,3324,2954,3138,2966,2898,3134,2289,2729,2534,3373,3339,3340,3187,3301,3506,3510,3584,3438,3515,3681,3555,3546,3467,3362,3508,3573,3446,3334,3576,3534,3532,3042,2931,3365,3390,3111,3054,3110,3365,3161,3348,3285,3086,3406,3266,3194,2807,2983,3337,2889,3199,3246,2995,3214,3211,2766,2581,3375,3381,3370,3293
3094,3334,3024,3316,3018,3159,3206,2711,3005,2691,2987,3324,2954,3138,2966,2898,3134,2290,2729,2538,3368,3357,3340,3187,3296,3504,3510,3585,3430,3515,3680,3555,3554,3467,3362,3508,3573,3446,3334,3576,3534,3532,3042,2926,3368,3402,3107,3054,3100,3367,3160,3344,3290,3083,3404,3266,3192,2807,2983,3337,2889,3199,3246,2995,3214,3210,2770,2582,3374,3380,3362,3281
3094,3334,3024,3316,3018,3159,3206,2711,3005,2685,2978,3328,2948,3126,2964,2897,3125,2290,2732,2539,3364,3346,3342,3187,3303,3504,3510,3585,3430,3515,3680,3555,3554,3482,3362,3508,3574,3446,3338,3575,3539,3526,3043,2925,3368,3391,3114,3055,3109,3367,3160,3344,3290,3083,3404,3266,3192,2800,2980,3336,2888,3189,3245,2999,3210,3211,2770,2578,3376,3381,3367,3289
3094,3340,3016,3327,3011,3169,3202,2674,3006,2687,2985,3324,2953,3130,2960,2893,3135,2289,2739,2538,3369,3346,3342,3187,3303,3507,3508,3589,3434,3519,3682,3553,3534,3481,3360,3511,3579,3445,3334,3574,3542,3531,3043,2924,3372,3391,3114,3055,3109,3367,3165,3349,3287,3087,3405,3273,3182,2811,2980,3334,2888,3196,3234,2995,3216,3210,2768,2579,3378,3381,3367,3289
3095,3334,3022,3317,3010,3158,3201,2713,3013,2680,2980,3312,2953,3130,2960,2893,3135,2289,2739,2538,3369,3360,3343,3186,3301,3519,3512,3586,3436,3522,3679,3547,3547,3475,3364,3507,3575,3445,3334,3574,3542,3531,3043,2924,3372,3398,3116,3055,3108,3367,3158,3345,3278,3088,3407,3269,3191,2811,2984,3333,2890,3196,3234,2995,3216,3210,2768,2579,3378,3378,3369,3292
3095,3334,3018,3318,3022,3158,3201,2713,3013,2680,2980,3312,2953,3138,2969,2899,3135,2289,2735,2539,3372,3352,3344,3189,3298,3514,3506,3587,3430,3522,3679,3547,3547,3475,3364,3507,3575,3430,3340,3581,3540,3518,3044,2922,3374,3404,3121,3045,3111,3365,3162,3348,3278,3088,3407,3269,3191,2811,2984,3333,2890,3194,3249,2994,3214,3213,2767,2581,3374,3383,3373,3295
3095,3334,3018,3318,3022,3173,3204,2737,3005,2685,2990,3326,2957,3132,2964,2896,3129,2291,2736,2523,3367,3354,3332,3179,3298,3514,3506,3587,3430,3516,3680,3549,3548,3480,3366,3508,3575,3440,3336,3579,3539,3531,3044,2929,3374,3400,3118,3052,3111,3365,3162,3348,3278,3087,3408,3263,3195,2805,2980,3338,2880,3195,3248,2996,3213,3205,2764,2583,3373,3381,3368,3293
3096,3332,3022,3323,3012,3175,3200,2733,3012,2687,2982,3327,2954,3136,2974,2893,3135,2291,2736,2523,3367,3354,3332,3179,3306,3510,3510,3589,3439,3513,3676,3555,3550,3479,3362,3506,3564,3442,3335,3578,3542,3531,3044,2929,3374,3400,3118,3052,3110,3364,3160,3341,3279,3085,3406,3270,3194,2808,2980,3334,2887,3191,3245,2988,3217,3205,2764,2583,3373,3381,3368,3293
3092,3335,3024,3320,3008,3165,3198,2737,2990,2687,2982,3327,2954,3136,2974,2893,3135,2292,2734,2539,3334,3352,3342,3186,3306,3508,3511,3583,3436,3517,3673,3563,3551,3479,3362,3506,3564,3442,3335,3578,3542,3531,3038,2928,3373,3401,3108,3048,3103,3366,3159,3344,3287,3087,3402,3268,3191,2808,2980,3334,2887,3191,3245,2988,3217,3210,2771,2576,3375,3382,3370,3294
3095,3335,3024,3320,3008,3165,3198,2737,2990,2686,2978,3310,2956,3143,2960,2887,3138,2286,2735,2539,3380,3345,3336,3188,3304,3508,3511,3583,3436,3517,3673,3563,3551,3480,3367,3498,3572,3439,3335,3577,3538,3532,3049,2922,3377,3400,3114,3047,3110,3366,3159,3344,3287,3087,3402,3268,3191,2806,2982,3338,2884,3192,3246,2994,3210,3213,2771,2581,3380,3384,3367,3294
3095,3337,3025,3315,3013,3177,3201,2735,2998,2690,2981,3324,2955,3139,2960,2898,3137,2303,2736,2537,3370,3345,3336,3188,3304,3512,3512,3585,3436,3519,3677,3560,3547,3480,3363,3500,3572,3444,3331,3576,3544,3519,3044,2927,3379,3400,3114,3047,3110,3363,3158,3352,3276,3075,3402,3272,3190,2806,2982,3324,2886,3196,3246,2994,3215,3208,2765,2579,3379,3384,3367,3294
3093,3338,3028,3310,3006,3175,3192,2740,2992,2682,2976,3316,2952,3139,2960,2898,3137,2303,2736,2537,3370,3357,3348,3186,3309,3518,3508,3587,3433,3513,3681,3560,3550,3475,3358,3508,3572,3444,3331,3576,3544,3519,3044,2927,3379,3397,3114,3042,3107,3359,3158,3344,3281,3080,3407,3271,3188,2809,2982,3334,2887,3196,3246,2994,3215,3208,2765,2579,3379,3380,3368,3295
3097,3336,3025,3318,3006,3175,3192,2740,2992,2682,2976,3316,2952,3132,2973,2903,3127,2281,2731,2534,3379,3351,3330,3192,3306,3515,3513,3582,3438,3513,3681,3560,3550,3475,3358,3508,3572,3442,3338,3571,3534,3530,3040,2931,3377,3401,3115,3048,3108,3359,3160,3350,3280,3080,3407,3271,3188,2809,2982,3334,2887,3197,3244,2988,3216,3208,2768,2579,3379,3373,3366,3297
3097,3336,3025,3318,3006,3163,3201,2735,3014,2685,2979,3323,2954,3137,2948,2892,3130,2292,2735,2537,3369,3351,3340,3188,3306,3515,3513,3582,3438,3517,3681,3562,3549,3480,3356,3501,3569,3448,3333,3573,3533,3512,3048,2926,3376,3394,3108,3047,3108,3359,3160,3350,3280,3085,3404,3266,3193,2800,2982,3337,2890,3198,3246,2990,3213,3210,2769,2582,3380,3384,3366,3291
3094,3337,3022,3321,3010,3171,3204,2738,3009,2674,2983,3326,2951,3129,2969,2896,3135,2292,2735,2537,3369,3351,3340,3188,3306,3511,3514,3587,3433,3518,3682,3553,3549,3473,3365,3503,3576,3446,3333,3575,3539,3512,3048,2926,3376,3394,3108,3047,3105,3363,3162,3347,3285,3085,3397,3269,3194,2809,2980,3339,2890,3193,3242,2994,3208,3210,2769,2582,3380,3384,3366,3291
3098,3341,3026,3326,3011,3163,3198,2739,3012,2674,2983,3326,2951,3129,2969,2896,3135,2299,2733,2535,3373,3356,3338,3187,3311,3511,3520,3574,3434,3516,3678,3560,3550,3473,3365,3503,3576,3446,3333,3575,3539,3534,3046,2926,3372,3399,3112,3049,3101,3361,3160,3351,3286,3084,3404,3266,3195,2809,2980,3339,2890,3193,3242,2994,3208,3210,2769,2582,3375,3384,3358,3291
3094,3341,3026,3326,3011,3163,3198,2739,3012,2663,2980,3324,2944,3137,2970,2890,3128,2296,2732,2533,3377,3361,3332,3172,3306,3511,3520,3574,3434,3516,3678,3560,3550,3475,3361,3512,3575,3433,3331,3575,3532,3528,3042,2920,3374,3396,3111,3055,3107,3361,3160,3351,3286,3084,3404,3266,3195,2800,2980,3335,2889,3197,3248,2989,3214,3212,2770,2578,3377,3381,3360,3295
3094,3336,3027,3318,3002,3163,3200,2737,3012,2693,2984,3321,2956,3134,2968,2888,3133,2293,2738,2541,3374,3361,3332,3172,3306,3512,3514,3588,3435,3515,3678,3561,3553,3475,3368,3516,3577,3435,3340,3575,3546,3528,3050,2925,3382,3396,3111,3055,3107,3351,3157,3344,3282,3086,3402,3276,3199,2807,2980,3332,2884,3198,3247,2997,3211,3212,2766,2582,3370,3381,3360,3295
3088,3331,3029,3321,3013,3164,3201,2738,3011,2691,2980,3317,2968,3134,2968,2888,3133,2293,2738,2541,3374,3344,3336,3189,3310,3513,3500,3585,3434,3515,3681,3554,3538,3485,3367,3505,3576,3435,3340,3575,3546,3528,3050,2925,3382,3401,3115,3054,3107,3359,3158,3350,3284,3080,3403,3271,3195,2805,2983,3334,2883,3198,3247,2997,3211,3212,2766,2582,3370,3379,3368,3290
