ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3312,3558,3167,3224,2821,3220,3311,3388,3461,3363,3512,3660,3574,3524,3496,3583,3548,3503,3026,2912,3636,3549,3628,3452
3309,3563,3169,3218,2817,3222,3304,3387,3460,3363,3512,3660,3574,3524,3496,3583,3548,3495,3023,2913,3627,3549,3624,3453
3309,3563,3169,3218,2817,3222,3304,3387,3460,3370,3514,3654,3588,3516,3497,3579,3552,3497,3034,2907,3628,3550,3624,3450
3309,3562,3167,3220,2817,3224,3306,3389,3459,3369,3507,3653,3588,3522,3491,3575,3551,3493,3032,2909,3627,3550,3624,3450
3309,3564,3165,3222,2818,3224,3311,3394,3456,3367,3516,3656,3583,3522,3491,3575,3551,3493,3032,2909,3627,3541,3625,3453
3310,3561,3168,3219,2820,3224,3311,3394,3456,3367,3516,3656,3583,3527,3498,3568,3542,3500,3026,2912,3628,3542,3626,3458
3310,3561,3168,3219,2820,3228,3309,3390,3456,3368,3506,3635,3589,3524,3492,3572,3543,3495,3031,2917,3626,3547,3626,3444
3308,3565,3174,3228,2818,3224,3308,3388,3465,3369,3509,3656,3586,3520,3490,3574,3553,3495,3031,2917,3626,3547,3626,3444
3310,3561,3170,3218,2826,3225,3314,3393,3457,3369,3509,3656,3586,3520,3490,3574,3553,3500,3034,2914,3625,3545,3632,3459
3312,3561,3170,3218,2826,3225,3314,3393,3457,3357,3510,3663,3585,3514,3496,3570,3546,3497,3035,2904,3625,3550,3621,3454
3312,3566,3170,3219,2823,3228,3309,3395,3464,3365,3510,3657,3587,3519,3501,3578,3546,3497,3032,2909,3634,3550,3621,3454
3310,3557,3168,3226,2822,3229,3307,3391,3445,3368,3512,3658,3588,3519,3501,3578,3546,3497,3032,2909,3634,3547,3636,3457
3313,3559,3170,3217,2818,3229,3307,3391,3445,3368,3512,3658,3588,3519,3466,3572,3550,3500,3029,2912,3628,3545,3629,3454
