ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3520,3692,3564,3672,3548,3533,3698,3537,3528,3417,3502,3664,3434,3279,3206,3390,3414,3473,3000,2823,3681,3669,3598,3498
3523,3683,3567,3676,3547,3526,3704,3547,3535,3422,3500,3665,3432,3279,3206,3390,3414,3473,3000,2823,3681,3673,3597,3493
3520,3690,3561,3666,3551,3526,3704,3547,3535,3422,3500,3665,3432,3294,3202,3389,3416,3484,2993,2825,3661,3672,3601,3497
3520,3690,3561,3666,3551,3530,3695,3545,3525,3418,3502,3658,3425,3294,3209,3389,3414,3477,2992,2818,3682,3674,3594,3500
3521,3691,3564,3672,3552,3533,3702,3553,3531,3414,3506,3657,3432,3286,3207,3390,3410,3477,2992,2818,3682,3674,3594,3500
3526,3686,3560,3670,3544,3517,3698,3552,3531,3414,3506,3657,3432,3286,3207,3390,3410,3485,3002,2821,3677,3671,3602,3492
3520,3686,3560,3670,3544,3517,3698,3552,3531,3404,3506,3656,3431,3292,3208,3389,3417,3482,2994,2824,3678,3669,3603,3495
3520,3689,3561,3667,3552,3528,3704,3557,3532,3412,3505,3668,3430,3295,3211,3389,3424,3480,3002,2826,3682,3669,3603,3495
3524,3691,3563,3671,3539,3531,3700,3549,3525,3418,3506,3653,3436,3295,3211,3389,3424,3480,3002,2826,3682,3665,3594,3499
3520,3685,3564,3657,3542,3531,3700,3549,3525,3418,3506,3653,3436,3294,3209,3395,3418,3480,3001,2826,3677,3669,3608,3490
3520,3685,3564,3657,3542,3528,3706,3549,3536,3420,3505,3659,3438,3295,3210,3398,3421,3489,3002,2826,3678,3671,3595,3499
3521,3685,3560,3661,3547,3532,3705,3551,3531,3412,3501,3664,3435,3286,3211,3397,3409,3489,3002,2826,3678,3671,3595,3499
3519,3680,3558,3664,3540,3531,3702,3542,3523,3412,3501,3664,3435,3286,3211,3397,3409,3493,2998,2825,3682,3669,3597,3499
3520,3680,3558,3664,3540,3531,3702,3542,3523,3416,3504,3666,3438,3298,3209,3399,3420,3487,2998,2825,3684,3670,3600,3501
3520,3693,3559,3672,3549,3533,3704,3552,3525,3409,3508,3663,3435,3294,3208,3399,3416,3481,2999,2826,3680,3670,3600,3501
3522,3685,3561,3666,3544,3536,3699,3549,3526,3416,3509,3668,3436,3294,3208,3399,3416,3481,2999,2826,3680,3668,3602,3498
3520,3688,3556,3669,3546,3536,3699,3549,3526,3416,3509,3668,3436,3289,3205,3391,3417,3486,2998,2825,3674,3673,3598,3491
3520,3688,3556,3669,3546,3522,3698,3555,3522,3416,3504,3660,3437,3291,3205,3396,3416,3484,3002,2826,3678,3671,3595,3501
3520,3686,3566,3666,3549,3532,3704,3544,3532,3418,3501,3657,3434,3290,3210,3393,3424,3484,3002,2826,3678,3671,3595,3501
3515,3688,3567,3674,3524,3532,3704,3546,3532,3418,3501,3657,3434,3290,3210,3393,3424,3487,2995,2829,3679,3672,3602,3492
3519,3688,3567,3674,3524,3532,3704,3546,3532,3416,3499,3665,3434,3290,3204,3394,3421,3481,2998,2822,3680,3670,3603,3494
3519,3684,3561,3673,3545,3532,3704,3548,3530,3418,3500,3669,3435,3295,3204,3394,3416,3472,2999,2823,3686,3670,3603,3494
3519,3688,3566,3657,3546,3536,3695,3552,3531,3412,3503,3656,3436,3295,3204,3394,3416,3472,2999,2823,3686,3669,3602,3484
3516,3690,3568,3672,3548,3536,3695,3552,3531,3412,3503,3656,3436,3295,3206,3395,3421,3482,3003,2828,3683,3664,3589,3499
3516,3690,3568,3672,3548,3530,3702,3554,3531,3416,3504,3664,3434,3296,3208,3399,3409,3483,3001,2826,3677,3668,3588,3497
3517,3689,3562,3666,3549,3538,3700,3551,3533,3419,3498,3664,3437,3294,3210,3396,3416,3483,3001,2826,3677,3668,3588,3497
3524,3686,3569,3658,3547,3532,3700,3548,3530,3419,3498,3664,3437,3294,3210,3396,3416,3484,3003,2826,3676,3672,3599,3493
3518,3686,3569,3658,3547,3532,3700,3548,3530,3411,3502,3666,3437,3296,3204,3388,3424,3485,3002,2828,3680,3665,3598,3499
3518,3676,3557,3668,3536,3538,3707,3549,3528,3413,3503,3666,3436,3296,3203,3397,3420,3489,2999,2824,3675,3665,3598,3499
3519,3685,3564,3667,3548,3535,3698,3552,3527,3416,3504,3665,3440,3296,3203,3397,3420,3489,2999,2824,3675,3667,3598,3499
3513,3686,3560,3661,3544,3535,3698,3552,3527,3416,3504,3665,3440,3295,3199,3398,3420,3491,2998,2829,3677,3664,3598,3497
3513,3686,3560,3661,3544,3531,3705,3553,3526,3418,3502,3660,3440,3289,3203,3396,3422,3486,3006,2833,3679,3668,3602,3496
3518,3690,3560,3667,3544,3530,3699,3537,3529,3417,3502,3659,3436,3285,3207,3399,3419,3486,3006,2833,3679,3668,3602,3496
3521,3681,3564,3670,3545,3531,3705,3548,3534,3417,3502,3659,3436,3285,3207,3399,3419,3479,3003,2830,3681,3670,3596,3491
3523,3681,3564,3670,3545,3531,3705,3548,3534,3419,3505,3654,3435,3298,3204,3400,3427,3481,2993,2829,3673,3669,3600,3495
3523,3685,3560,3672,3544,3529,3692,3532,3533,3419,3504,3660,3434,3298,3212,3401,3423,3485,2999,2824,3678,3669,3600,3495
3515,3684,3565,3666,3554,3531,3701,3547,3530,3414,3501,3660,3442,3298,3212,3401,3423,3485,2999,2824,3678,3668,3597,3497
3517,3684,3558,3665,3545,3531,3701,3547,3530,3414,3501,3660,3442,3296,3209,3404,3418,3486,3003,2827,3684,3668,3602,3491
3517,3684,3558,3665,3545,3519,3695,3547,3530,3407,3499,3661,3442,3303,3210,3401,3421,3482,2998,2831,3677,3668,3595,3491
3517,3681,3562,3664,3546,3526,3707,3552,3528,3418,3502,3660,3444,3306,3211,3410,3434,3482,2998,2831,3677,3668,3595,3491
3515,3686,3562,3671,3546,3528,3702,3550,3523,3418,3502,3660,3444,3306,3211,3410,3434,3486,3008,2835,3677,3664,3595,3497
3515,3686,3562,3671,3546,3528,3702,3550,3523,3419,3500,3655,3445,3306,3176,3417,3429,3481,3002,2835,3676,3676,3599,3489
3515,3684,3558,3658,3545,3530,3704,3554,3536,3414,3498,3664,3449,3306,3210,3417,3427,3487,3007,2838,3674,3676,3599,3489
3517,3686,3557,3655,3545,3533,3701,3554,3533,3411,3500,3664,3450,3306,3210,3417,3427,3487,3007,2838,3674,3678,3596,3501
3512,3681,3558,3666,3541,3533,3701,3554,3533,3411,3500,3664,3450,3300,3209,3422,3428,3491,3005,2835,3675,3662,3599,3504
3512,3681,3558,3666,3541,3528,3699,3549,3528,3425,3505,3660,3451,3308,3209,3423,3432,3488,3004,2838,3680,3672,3600,3497
3519,3682,3559,3665,3546,3526,3699,3550,3533,3411,3504,3660,3449,3308,3214,3423,3430,3488,3004,2838,3680,3672,3600,3497
3519,3679,3557,3664,3545,3526,3698,3543,3527,3411,3504,3660,3449,3308,3214,3423,3430,3493,3008,2842,3680,3669,3593,3500
3511,3679,3557,3664,3545,3526,3698,3543,3527,3417,3500,3661,3455,3306,3213,3425,3430,3488,3008,2822,3677,3665,3604,3488
3511,3679,3556,3666,3544,3520,3701,3557,3530,3426,3504,3651,3454,3310,3201,3427,3433,3496,3006,2837,3682,3665,3604,3488
3515,3682,3557,3668,3546,3528,3703,3552,3534,3419,3504,3658,3451,3310,3201,3427,3433,3496,3006,2837,3682,3670,3598,3498
3513,3687,3561,3672,3523,3528,3703,3552,3534,3419,3504,3658,3451,3309,3207,3425,3427,3490,3005,2841,3680,3672,3603,3495
3513,3687,3561,3672,3523,3532,3701,3550,3533,3423,3501,3660,3453,3307,3205,3422,3429,3488,3004,2836,3675,3670,3602,3473
3512,3682,3556,3663,3544,3532,3697,3554,3532,3420,3502,3670,3451,3306,3206,3419,3426,3488,3004,2836,3675,3670,3602,3473
3511,3689,3557,3657,3549,3531,3693,3555,3529,3420,3502,3670,3451,3306,3206,3419,3426,3475,3004,2839,3675,3674,3598,3481
3510,3689,3557,3657,3549,3531,3693,3555,3529,3417,3500,3664,3453,3309,3200,3421,3430,3489,3005,2840,3676,3664,3595,3497
3510,3682,3560,3661,3546,3530,3693,3558,3535,3422,3508,3664,3454,3308,3202,3421,3418,3491,3006,2840,3675,3664,3595,3497
3512,3683,3556,3661,3552,3529,3701,3546,3540,3420,3496,3663,3453,3308,3202,3421,3418,3491,3006,2840,3675,3665,3588,3496
3510,3684,3557,3660,3546,3529,3701,3546,3540,3420,3496,3663,3453,3305,3205,3421,3423,3491,3005,2840,3677,3660,3602,3492
3510,3684,3557,3660,3546,3529,3702,3561,3534,3419,3502,3654,3454,3308,3207,3418,3422,3489,3008,2841,3676,3660,3598,3500
3515,3680,3555,3666,3540,3528,3699,3550,3530,3414,3505,3664,3446,3311,3202,3417,3427,3489,3008,2841,3676,3660,3598,3500
3511,3678,3558,3665,3550,3528,3700,3552,3530,3414,3505,3664,3446,3311,3202,3417,3427,3496,3003,2835,3680,3668,3601,3501
3514,3678,3558,3665,3550,3528,3700,3552,3530,3422,3503,3662,3450,3309,3183,3417,3423,3489,3005,2840,3676,3661,3593,3503
3514,3682,3562,3658,3544,3530,3709,3552,3529,3421,3500,3660,3452,3278,3199,3416,3426,3485,3013,2844,3671,3661,3593,3503
3510,3688,3554,3663,3544,3529,3703,3540,3531,3421,3501,3661,3449,3278,3199,3416,3426,3485,3013,2844,3671,3667,3600,3497
3514,3678,3564,3665,3546,3529,3703,3540,3531,3421,3501,3661,3449,3292,3202,3420,3432,3480,3003,2839,3678,3673,3604,3488
3514,3678,3564,3665,3546,3526,3702,3552,3531,3426,3501,3658,3445,3308,3201,3420,3430,3490,3011,2840,3680,3668,3597,3501
3512,3683,3555,3664,3551,3524,3702,3553,3535,3419,3496,3657,3448,3307,3207,3421,3427,3490,3011,2840,3680,3668,3597,3501
3506,3691,3561,3664,3557,3529,3697,3552,3536,3419,3496,3657,3448,3307,3207,3421,3427,3487,3001,2840,3677,3668,3592,3497
3514,3691,3561,3664,3557,3529,3697,3552,3536,3421,3500,3653,3452,3302,3206,3423,3428,3486,3007,2835,3680,3671,3596,3493
3514,3686,3556,3664,3545,3500,3700,3552,3532,3422,3501,3654,3453,3304,3213,3416,3425,3492,3002,2840,3676,3671,3596,3493
3512,3687,3556,3664,3543,3523,3704,3554,3529,3423,3504,3662,3453,3304,3213,3416,3425,3492,3002,2840,3676,3657,3596,3491
