ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3118,3338,3040,3332,2971,3184,3200,2758,3018,2714,3015,3333,2973,3151,2985,2911,3148,2294,2751,2544,3388,3371,3361,3201,3492,3682,3566,3657,3454,3555,3688,3511,3542,3466,3519,3669,3566,3484,3293,3564,3524,3462,3030,2893,3683,3654,3634,3444,3124,3378,3179,3362,3296,3100,3414,3277,3205,2823,2991,3340,2901,3204,3246,3000,3224,3211,2770,2594,3377,3385,3380,3304
3116,3348,3033,3338,3032,3184,3200,2758,3018,2714,3015,3333,2973,3150,2985,2915,3144,2303,2747,2536,3382,3362,3347,3199,3477,3674,3563,3656,3451,3555,3688,3511,3542,3466,3519,3669,3566,3501,3296,3565,3526,3464,3036,2903,3676,3654,3635,3430,3123,3373,3169,3361,3294,3100,3414,3277,3205,2823,2991,3340,2901,3209,3252,3007,3220,3213,2777,2591,3389,3386,3377,3298
3116,3348,3033,3338,3032,3182,3223,2758,3018,2713,3005,3341,2976,3150,2978,2918,3148,2290,2746,2541,3382,3370,3357,3200,3477,3674,3563,3656,3451,3553,3696,3515,3542,3467,3515,3682,3576,3502,3297,3558,3524,3460,3024,2903,3679,3653,3641,3436,3123,3373,3169,3361,3294,3098,3417,3284,3194,2824,2996,3349,2902,3207,3252,3002,3221,3221,2774,2586,3389,3393,3371,3304
3119,3335,3044,3336,3028,3157,3216,2761,3028,2714,3004,3347,2977,3154,2982,2922,3148,2290,2746,2541,3382,3370,3357,3200,3496,3680,3566,3658,3443,3551,3686,3520,3544,3462,3524,3683,3572,3499,3296,3557,3528,3460,3024,2903,3679,3653,3641,3436,3121,3377,3176,3360,3294,3097,3414,3282,3202,2824,2998,3344,2899,3202,3254,3007,3220,3221,2774,2586,3389,3393,3371,3304
3115,3353,3043,3331,3034,3188,3221,2770,3030,2714,3004,3347,2977,3154,2982,2922,3148,2294,2746,2550,3387,3371,3356,3199,3499,3676,3564,3654,3453,3548,3690,3518,3540,3462,3524,3683,3572,3499,3296,3557,3528,3454,3033,2906,3681,3653,3635,3431,3121,3374,3178,3349,3296,3096,3401,3278,3209,2824,2998,3344,2899,3202,3254,3007,3220,3218,2776,2592,3386,3391,3379,3299
3118,3353,3043,3331,3034,3188,3221,2770,3030,2715,3011,3341,2979,3152,2972,2912,3155,2291,2745,2552,3386,3361,3351,3200,3493,3676,3564,3654,3453,3548,3690,3518,3540,3462,3521,3676,3571,3496,3297,3552,3525,3462,3035,2904,3680,3659,3636,3423,3129,3374,3178,3349,3296,3096,3401,3278,3209,2825,2997,3344,2898,3208,3255,3006,3226,3222,2772,2591,3387,3389,3377,3304
3118,3350,3048,3331,3031,3181,3218,2754,3026,2709,3008,3343,2973,3151,2973,2921,3148,2303,2748,2553,3386,3361,3351,3200,3493,3683,3568,3652,3447,3553,3691,3518,3542,3463,3520,3673,3568,3500,3295,3555,3524,3465,3029,2905,3685,3659,3636,3423,3129,3378,3175,3354,3296,3098,3414,3280,3203,2819,2996,3333,2900,3205,3255,2993,3221,3211,2773,2591,3384,3389,3377,3304
3115,3354,3035,3328,3028,3167,3220,2756,3025,2711,3002,3347,2972,3151,2973,2921,3148,2303,2748,2553,3386,3373,3357,3200,3502,3679,3570,3649,3447,3553,3700,3513,3543,3461,3521,3676,3575,3500,3295,3555,3524,3465,3029,2905,3685,3648,3637,3435,3124,3370,3177,3361,3296,3102,3408,3276,3202,2824,2994,3346,2902,3205,3255,2993,3221,3211,2773,2591,3384,3397,3379,3301
3112,3351,3049,3334,3030,3167,3220,2756,3025,2711,3002,3347,2972,3150,2985,2912,3142,2299,2748,2553,3387,3364,3362,3190,3499,3675,3561,3643,3454,3553,3700,3513,3543,3461,3521,3676,3575,3497,3299,3560,3528,3458,3035,2903,3677,3651,3634,3428,3125,3378,3143,3360,3296,3102,3408,3276,3202,2824,2994,3346,2902,3203,3255,3005,3222,3222,2774,2591,3386,3391,3382,3305
3112,3351,3049,3334,3030,3185,3218,2750,3029,2697,3006,3340,2973,3148,2974,2920,3146,2296,2746,2552,3384,3372,3356,3201,3499,3675,3561,3643,3454,3548,3691,3519,3544,3472,3522,3684,3569,3496,3306,3559,3516,3463,3030,2905,3680,3655,3638,3435,3125,3378,3143,3360,3296,3104,3411,3278,3207,2827,2994,3349,2899,3199,3255,3004,3221,3218,2778,2591,3387,3386,3379,3305
3108,3350,3041,3341,3018,3180,3217,2754,3030,2708,2999,3340,2977,3147,2981,2925,3145,2296,2746,2552,3384,3372,3356,3201,3496,3677,3564,3651,3451,3550,3696,3514,3544,3454,3517,3676,3570,3499,3298,3554,3530,3463,3030,2905,3680,3655,3638,3435,3126,3374,3178,3358,3297,3100,3416,3278,3204,2826,3001,3342,2902,3208,3253,3002,3210,3218,2778,2591,3387,3386,3379,3305
3113,3344,3047,3332,3028,3178,3215,2756,3009,2708,2999,3340,2977,3147,2981,2925,3145,2301,2744,2547,3386,3360,3351,3202,3502,3672,3568,3654,3448,3553,3695,3510,3540,3454,3517,3676,3570,3499,3298,3554,3530,3457,3038,2896,3679,3650,3633,3436,3083,3377,3174,3354,3294,3103,3415,3280,3205,2826,3001,3342,2902,3208,3253,3002,3210,3212,2772,2590,3383,3391,3371,3293
3116,3344,3047,3332,3028,3178,3215,2756,3009,2707,3006,3339,2974,3149,2976,2911,3148,2295,2748,2553,3392,3358,3347,3198,3496,3672,3568,3654,3448,3553,3695,3510,3540,3468,3496,3677,3567,3482,3295,3561,3526,3463,3032,2901,3682,3656,3638,3436,3122,3377,3174,3354,3294,3103,3415,3280,3205,2824,2993,3341,2900,3201,3256,3007,3210,3220,2778,2590,3384,3394,3378,3302
3116,3354,3048,3341,3026,3186,3216,2755,3024,2709,3005,3338,2974,3123,2984,2909,3148,2294,2743,2543,3388,3358,3347,3198,3496,3673,3569,3652,3443,3559,3690,3514,3533,3463,3519,3679,3574,3497,3286,3557,3524,3465,3023,2904,3677,3656,3638,3436,3122,3376,3172,3362,3291,3096,3415,3284,3197,2826,2998,3343,2901,3202,3256,3007,3224,3216,2775,2589,3387,3394,3378,3302
3103,3346,3046,3325,3014,3188,3209,2757,3030,2711,3000,3322,2974,3123,2984,2909,3148,2294,2743,2543,3388,3365,3353,3198,3499,3675,3566,3656,3449,3551,3688,3513,3538,3458,3520,3676,3567,3497,3286,3557,3524,3465,3023,2904,3677,3644,3635,3436,3126,3378,3174,3364,3296,3099,3413,3277,3203,2823,2996,3342,2898,3202,3256,3007,3224,3216,2775,2589,3387,3389,3379,3300
3114,3350,3047,3334,3018,3188,3209,2757,3030,2711,3000,3322,2974,3155,2984,2906,3146,2293,2739,2550,3390,3364,3347,3205,3494,3676,3566,3649,3449,3551,3688,3513,3538,3458,3520,3676,3567,3489,3296,3553,3525,3465,3032,2899,3678,3651,3642,3436,3126,3369,3175,3356,3290,3099,3413,3277,3203,2823,2996,3342,2898,3204,3257,3004,3218,3217,2773,2590,3387,3394,3380,3301
3114,3350,3047,3334,3018,3179,3220,2755,3030,2716,3003,3344,2975,3150,2968,2918,3146,2300,2744,2552,3390,3352,3355,3189,3494,3676,3566,3649,3449,3557,3690,3506,3539,3467,3521,3675,3562,3494,3301,3565,3527,3434,3035,2898,3678,3658,3638,3436,3126,3369,3175,3356,3290,3102,3412,3278,3204,2829,2994,3347,2897,3204,3255,3005,3225,3222,2775,2593,3384,3382,3378,3300
3119,3335,3045,3338,3030,3175,3210,2763,3025,2712,3006,3332,2978,3153,2984,2921,3145,2300,2744,2552,3390,3352,3355,3189,3498,3667,3567,3651,3448,3557,3692,3506,3542,3464,3522,3666,3570,3498,3295,3560,3524,3434,3035,2898,3678,3658,3638,3436,3122,3378,3178,3361,3295,3098,3412,3278,3205,2821,2993,3344,2901,3199,3257,2995,3220,3222,2775,2593,3384,3382,3378,3300
3116,3348,3052,3339,3025,3173,3218,2760,3027,2712,3006,3332,2978,3153,2984,2921,3145,2299,2751,2546,3388,3369,3348,3195,3504,3679,3566,3651,3449,3551,3689,3508,3546,3464,3522,3666,3570,3498,3295,3560,3524,3462,3029,2907,3684,3652,3634,3433,3099,3370,3174,3359,3289,3099,3410,3274,3205,2821,2993,3344,2901,3199,3257,2995,3220,3218,2775,2589,3390,3394,3379,3305
3109,3348,3052,3339,3025,3173,3218,2760,3027,2688,2998,3338,2978,3143,2984,2924,3141,2299,2744,2551,3390,3369,3342,3199,3492,3679,3566,3651,3449,3551,3689,3508,3546,3464,3522,3679,3565,3487,3296,3560,3520,3460,3034,2900,3678,3647,3644,3440,3124,3370,3174,3359,3289,3099,3410,3274,3205,2826,2993,3344,2903,3204,3256,3005,3217,3222,2773,2584,3389,3394,3366,3300
3109,3346,3044,3331,3032,3185,3212,2763,3027,2709,3009,3329,2967,3157,2975,2917,3142,2298,2743,2546,3391,3369,3342,3199,3492,3680,3566,3650,3456,3552,3688,3514,3542,3462,3523,3679,3568,3496,3297,3558,3523,3466,3029,2907,3680,3647,3644,3440,3124,3373,3174,3358,3295,3102,3414,3278,3204,2825,2998,3345,2904,3206,3253,3008,3224,3222,2767,2589,3384,3394,3366,3300
3111,3352,3042,3337,3022,3173,3219,2758,3032,2715,3009,3335,2971,3157,2975,2917,3142,2298,2743,2546,3391,3372,3353,3192,3499,3675,3564,3649,3456,3541,3689,3512,3539,3453,3517,3678,3562,3496,3297,3558,3523,3466,3029,2907,3680,3648,3635,3420,3122,3374,3177,3355,3293,3103,3419,3276,3203,2817,2997,3346,2899,3206,3253,3008,3224,3222,2767,2589,3384,3392,3378,3305
3115,3350,3042,3335,3031,3173,3219,2758,3032,2715,3009,3335,2971,3150,2984,2919,3146,2294,2751,2554,3387,3369,3349,3191,3497,3679,3563,3651,3452,3541,3689,3512,3539,3453,3517,3678,3562,3493,3303,3556,3528,3459,3026,2904,3683,3653,3635,3432,3121,3368,3177,3357,3294,3103,3419,3276,3203,2817,2997,3346,2899,3205,3256,2996,3216,3223,2778,2580,3388,3392,3369,3304
3115,3350,3042,3335,3031,3177,3219,2760,3033,2703,3007,3339,2974,3153,2984,2923,3157,2299,2751,2549,3386,3368,3344,3199,3497,3679,3563,3651,3452,3552,3695,3514,3539,3466,3520,3676,3572,3497,3298,3559,3536,3458,3036,2906,3682,3651,3642,3441,3121,3368,3177,3357,3294,3099,3411,3280,3203,2828,2996,3347,2899,3205,3254,3006,3226,3218,2776,2592,3383,3390,3377,3295
3107,3343,3045,3332,3032,3190,3212,2742,3030,2710,3003,3342,2969,3155,2982,2923,3150,2299,2751,2549,3386,3368,3344,3199,3497,3673,3563,3648,3433,3557,3693,3514,3535,3460,3524,3667,3574,3502,3297,3562,3528,3458,3036,2906,3682,3651,3642,3441,3090,3378,3171,3358,3283,3103,3414,3276,3202,2828,2991,3352,2902,3205,3254,3008,3220,3218,2776,2592,3383,3390,3377,3295
3114,3349,3040,3338,3014,3183,3219,2759,3026,2710,3003,3342,2969,3155,2982,2923,3150,2292,2742,2555,3383,3369,3360,3195,3498,3677,3556,3646,3450,3546,3692,3516,3543,3460,3524,3667,3574,3502,3297,3562,3528,3462,3031,2904,3676,3657,3640,3433,3125,3377,3173,3353,3291,3100,3413,3277,3201,2828,2991,3352,2902,3205,3254,3008,3220,3222,2774,2593,3385,3388,3382,3296
