ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3538,3675,3577,3644,3523,3550,3689,3541,3526,3424,3530,3666,3558,3502,3508,3523,3534,3506,3014,2861,3671,3656,3649,3536
3538,3675,3577,3643,3525,3546,3687,3540,3528,3420,3528,3667,3563,3504,3498,3528,3537,3506,3022,2855,3677,3648,3648,3536
3538,3672,3573,3643,3527,3551,3686,3540,3524,3418,3531,3668,3562,3504,3504,3528,3537,3506,3022,2855,3677,3648,3648,3534
3534,3682,3566,3646,3523,3550,3686,3540,3524,3418,3531,3668,3562,3504,3504,3524,3540,3494,3014,2857,3673,3657,3647,3533
3534,3682,3566,3646,3523,3550,3686,3533,3523,3419,3530,3666,3564,3497,3504,3525,3532,3502,3018,2863,3670,3652,3646,3531
3546,3678,3576,3644,3526,3544,3678,3540,3524,3419,3529,3665,3554,3502,3503,3526,3526,3502,3020,2863,3670,3652,3646,3531
3531,3684,3572,3642,3530,3539,3683,3539,3525,3424,3537,3665,3554,3502,3503,3526,3526,3502,3020,2860,3669,3657,3643,3537
3537,3674,3572,3642,3530,3539,3683,3539,3525,3424,3537,3662,3560,3500,3500,3533,3531,3504,3018,2862,3671,3651,3647,3533
3537,3674,3572,3646,3521,3543,3689,3544,3523,3419,3532,3660,3560,3505,3501,3517,3533,3499,3019,2861,3671,3648,3646,3533
3531,3679,3575,3646,3525,3547,3697,3543,3525,3413,3525,3670,3565,3507,3499,3517,3533,3499,3019,2861,3671,3648,3646,3533
3538,3677,3573,3642,3527,3543,3691,3543,3525,3413,3525,3670,3565,3507,3499,3522,3533,3502,3013,2866,3678,3649,3652,3534
3538,3677,3573,3642,3527,3543,3691,3541,3502,3418,3533,3656,3561,3507,3501,3528,3528,3498,3020,2861,3676,3652,3643,3533
3535,3675,3571,3638,3527,3536,3687,3536,3523,3423,3532,3671,3563,3505,3503,3530,3538,3502,3024,2861,3676,3652,3643,3533
3536,3675,3568,3633,3528,3547,3685,3534,3519,3419,3527,3671,3563,3505,3503,3530,3538,3502,3024,2862,3672,3650,3649,3537
3536,3670,3570,3633,3528,3547,3685,3534,3519,3419,3527,3673,3566,3494,3497,3526,3526,3504,3016,2858,3677,3653,3649,3538
3536,3670,3570,3644,3520,3548,3692,3535,3516,3425,3527,3667,3562,3503,3508,3529,3535,3507,3021,2859,3678,3650,3647,3538
3536,3680,3574,3648,3526,3549,3694,3536,3524,3420,3529,3670,3564,3503,3496,3529,3535,3507,3021,2859,3678,3650,3647,3535
3540,3683,3572,3644,3525,3549,3688,3536,3524,3420,3529,3670,3564,3503,3496,3524,3536,3501,3020,2864,3669,3654,3650,3536
3540,3683,3572,3644,3525,3549,3688,3535,3528,3422,3530,3667,3560,3490,3504,3530,3534,3507,3013,2857,3674,3652,3653,3522
3536,3675,3574,3648,3532,3546,3685,3534,3520,3421,3525,3672,3557,3503,3499,3523,3534,3498,3020,2857,3674,3652,3653,3522
3541,3677,3577,3644,3527,3551,3693,3539,3525,3426,3527,3672,3557,3503,3499,3523,3534,3498,3020,2858,3666,3657,3645,3532
3534,3677,3577,3644,3527,3551,3693,3539,3525,3426,3527,3666,3555,3505,3502,3526,3535,3504,3010,2861,3671,3660,3648,3531
3534,3677,3577,3645,3520,3552,3686,3542,3528,3422,3530,3659,3556,3502,3498,3525,3539,3497,3014,2856,3670,3654,3643,3531
3541,3680,3576,3646,3528,3546,3691,3533,3524,3428,3528,3666,3561,3502,3497,3525,3539,3497,3014,2856,3670,3654,3643,3527
3540,3681,3576,3650,3527,3548,3691,3533,3524,3428,3528,3666,3561,3502,3497,3522,3540,3497,3020,2860,3671,3654,3646,3528
3540,3681,3576,3650,3527,3548,3691,3540,3523,3425,3530,3662,3560,3505,3503,3520,3528,3510,3012,2864,3669,3651,3649,3536
3544,3680,3579,3640,3528,3556,3693,3534,3526,3422,3526,3669,3562,3503,3498,3523,3533,3499,3017,2864,3669,3651,3649,3536
3542,3677,3579,3647,3526,3552,3692,3537,3532,3417,3524,3669,3562,3503,3498,3523,3533,3499,3017,2863,3667,3651,3650,3526
3537,3680,3574,3647,3526,3552,3692,3537,3532,3417,3524,3659,3557,3502,3502,3526,3534,3501,3012,2862,3667,3659,3648,3534
3537,3680,3574,3642,3523,3551,3696,3534,3527,3412,3524,3664,3561,3502,3497,3518,3532,3502,3020,2859,3672,3651,3643,3534
3538,3678,3574,3642,3528,3552,3691,3534,3528,3427,3523,3665,3558,3508,3504,3518,3532,3502,3020,2859,3672,3651,3643,3539
3536,3674,3579,3638,3525,3554,3691,3534,3528,3427,3523,3665,3558,3508,3504,3526,3533,3505,3023,2860,3674,3649,3651,3537
3536,3674,3579,3638,3525,3554,3691,3533,3522,3420,3531,3664,3562,3502,3495,3523,3539,3501,3020,2862,3668,3661,3645,3534
3542,3685,3579,3646,3526,3549,3690,3528,3521,3417,3529,3665,3557,3504,3504,3525,3531,3506,3015,2862,3668,3661,3645,3534
3540,3661,3577,3644,3524,3551,3694,3535,3517,3426,3526,3665,3557,3504,3504,3525,3531,3506,3015,2858,3676,3652,3651,3534
3535,3682,3575,3644,3524,3551,3694,3535,3517,3426,3526,3654,3557,3504,3493,3528,3530,3509,3019,2858,3675,3656,3646,3535
3535,3682,3575,3645,3528,3552,3691,3531,3522,3423,3525,3663,3565,3504,3500,3531,3531,3500,2992,2862,3670,3652,3648,3535
3533,3680,3577,3651,3527,3551,3681,3544,3525,3421,3525,3670,3561,3501,3506,3531,3531,3500,2992,2862,3670,3652,3648,3532
3534,3673,3575,3652,3524,3549,3688,3544,3525,3421,3525,3670,3561,3501,3506,3525,3532,3500,3019,2857,3675,3655,3655,3527
3534,3673,3575,3652,3524,3549,3688,3537,3524,3421,3524,3661,3557,3509,3499,3524,3539,3504,3025,2863,3670,3646,3649,3531
3541,3680,3581,3643,3525,3547,3691,3536,3528,3425,3526,3656,3560,3509,3497,3525,3536,3502,3020,2863,3670,3646,3649,3531
3536,3676,3576,3643,3529,3547,3691,3536,3526,3420,3529,3656,3560,3509,3497,3525,3536,3502,3020,2865,3667,3646,3642,3535
3537,3680,3570,3643,3529,3547,3691,3536,3526,3420,3529,3664,3558,3504,3502,3529,3528,3512,3018,2862,3671,3656,3640,3531
3537,3680,3570,3642,3526,3555,3691,3536,3533,3428,3523,3648,3559,3502,3503,3531,3526,3497,3022,2863,3674,3656,3646,3531
3540,3682,3577,3649,3532,3550,3690,3536,3530,3418,3521,3669,3555,3508,3499,3531,3526,3497,3022,2863,3674,3656,3646,3532
3537,3674,3575,3641,3527,3558,3687,3536,3530,3418,3521,3669,3555,3508,3499,3522,3534,3505,3022,2862,3670,3643,3644,3534
3537,3674,3575,3641,3527,3558,3687,3538,3523,3422,3520,3668,3561,3497,3492,3531,3529,3509,3019,2863,3675,3651,3649,3534
3539,3675,3578,3646,3524,3552,3691,3541,3535,3427,3525,3665,3556,3507,3504,3523,3532,3509,3022,2863,3675,3651,3649,3534
3539,3675,3574,3651,3524,3553,3697,3540,3531,3430,3520,3665,3556,3507,3504,3523,3532,3509,3022,2858,3677,3655,3652,3533
