ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3503,3667,3569,3631,3281,3548,3634,3311,3483,3415,3510,3665,3536,3489,3342,3503,3484,3327,2984,2845,3671,3643,3637,3456
3506,3669,3571,3628,3281,3551,3643,3311,3483,3415,3510,3665,3536,3489,3342,3506,3481,3327,2986,2841,3676,3634,3636,3454
3506,3669,3571,3628,3281,3551,3643,3316,3482,3409,3510,3668,3532,3485,3343,3498,3479,3335,2978,2843,3676,3649,3641,3457
3505,3670,3567,3623,3262,3559,3628,3317,3482,3414,3506,3672,3529,3488,3341,3502,3475,3330,2985,2843,3676,3649,3641,3457
3508,3674,3573,3624,3279,3560,3634,3310,3480,3414,3510,3672,3529,3488,3341,3502,3475,3330,2985,2842,3675,3643,3634,3460
3504,3673,3570,3624,3279,3560,3634,3310,3480,3414,3510,3668,3538,3487,3340,3504,3482,3330,2988,2842,3673,3641,3639,3457
3504,3673,3570,3610,3284,3556,3636,3317,3480,3410,3511,3670,3530,3478,3340,3506,3473,3333,2986,2835,3674,3640,3637,3457
3502,3671,3573,3627,3281,3561,3636,3312,3479,3414,3512,3670,3532,3479,3340,3506,3473,3333,2986,2835,3674,3640,3637,3462
3506,3668,3570,3631,3277,3562,3635,3312,3479,3414,3512,3670,3532,3479,3340,3506,3480,3339,2983,2839,3676,3643,3638,3458
3506,3668,3570,3631,3277,3562,3635,3308,3476,3405,3512,3679,3530,3480,3332,3496,3485,3336,2984,2845,3675,3636,3641,3458
3506,3667,3567,3633,3277,3557,3639,3312,3471,3410,3514,3665,3542,3461,3337,3499,3481,3334,2981,2845,3675,3636,3641,3458
3504,3657,3566,3627,3278,3560,3632,3298,3482,3417,3518,3665,3542,3461,3337,3499,3481,3334,2981,2840,3671,3644,3643,3459
3507,3667,3571,3627,3278,3560,3632,3298,3482,3417,3518,3670,3532,3468,3340,3504,3483,3328,2986,2840,3669,3647,3642,3449
3507,3667,3571,3627,3282,3558,3636,3306,3485,3419,3512,3671,3536,3483,3332,3509,3480,3333,2984,2840,3677,3645,3639,3449
3497,3675,3575,3627,3278,3560,3622,3309,3479,3417,3511,3671,3531,3479,3343,3509,3480,3333,2984,2840,3677,3645,3639,3457
3502,3670,3569,3630,3281,3553,3630,3309,3479,3417,3511,3671,3531,3479,3343,3502,3473,3336,2984,2838,3674,3650,3629,3462
3502,3670,3569,3630,3281,3553,3630,3310,3480,3415,3494,3664,3530,3476,3345,3500,3483,3342,2986,2843,3676,3644,3637,3447
3501,3672,3574,3626,3276,3553,3639,3312,3479,3412,3514,3663,3526,3486,3342,3502,3480,3335,2983,2843,3676,3644,3637,3447
3505,3674,3573,3622,3269,3555,3637,3312,3479,3400,3511,3663,3526,3486,3342,3502,3480,3335,2983,2839,3676,3638,3635,3453
3506,3670,3568,3622,3269,3555,3637,3312,3479,3400,3511,3672,3528,3484,3341,3499,3488,3337,2984,2843,3672,3643,3643,3455
3506,3670,3568,3624,3275,3532,3634,3312,3485,3413,3507,3673,3533,3483,3337,3506,3487,3338,2987,2842,3672,3645,3643,3455
3504,3667,3568,3622,3278,3561,3638,3314,3486,3411,3513,3665,3532,3483,3335,3506,3487,3338,2987,2842,3672,3645,3643,3456
3505,3669,3570,3621,3276,3561,3632,3314,3486,3411,3513,3665,3532,3483,3335,3506,3482,3332,2983,2842,3674,3643,3641,3454
3505,3669,3570,3621,3276,3561,3632,3312,3478,3412,3516,3680,3535,3483,3337,3501,3488,3338,2982,2846,3672,3638,3639,3457
3505,3664,3566,3628,3274,3554,3636,3301,3474,3417,3517,3672,3533,3477,3339,3509,3482,3334,2986,2846,3672,3638,3639,3457
3504,3666,3573,3629,3280,3562,3629,3311,3481,3406,3514,3672,3533,3477,3339,3509,3482,3334,2986,2838,3675,3646,3638,3458
3508,3675,3562,3629,3280,3562,3629,3311,3481,3406,3514,3670,3536,3480,3336,3499,3489,3333,2987,2842,3657,3643,3637,3455
3508,3675,3562,3628,3279,3557,3630,3304,3481,3416,3515,3672,3534,3484,3340,3504,3486,3331,2987,2838,3672,3646,3642,3455
3511,3664,3570,3630,3280,3554,3633,3309,3476,3420,3514,3664,3526,3484,3330,3504,3486,3331,2987,2838,3672,3646,3642,3458
3504,3670,3571,3632,3275,3561,3636,3309,3476,3420,3514,3664,3526,3484,3330,3503,3483,3334,2983,2838,3673,3643,3637,3457
3504,3670,3571,3632,3275,3561,3636,3309,3476,3422,3512,3668,3530,3486,3338,3503,3484,3339,2978,2843,3669,3647,3641,3454
3488,3670,3568,3627,3278,3561,3629,3303,3481,3415,3510,3670,3533,3475,3342,3506,3475,3334,2984,2843,3669,3647,3641,3454
3501,3664,3570,3626,3284,3551,3634,3303,3480,3413,3515,3670,3533,3475,3342,3506,3475,3334,2984,2838,3676,3646,3638,3431
3505,3674,3570,3626,3284,3551,3634,3303,3480,3413,3515,3674,3534,3482,3346,3504,3486,3336,2987,2838,3677,3639,3634,3445
3505,3674,3570,3627,3280,3547,3632,3309,3480,3407,3516,3669,3528,3490,3343,3500,3486,3336,2980,2844,3670,3628,3640,3445
3500,3665,3577,3624,3274,3558,3629,3306,3481,3408,3522,3677,3533,3487,3342,3500,3486,3336,2980,2844,3670,3628,3640,3461
3503,3672,3570,3626,3270,3562,3635,3306,3481,3408,3522,3677,3533,3487,3342,3501,3486,3338,2984,2843,3678,3646,3624,3459
3503,3672,3570,3626,3270,3562,3635,3311,3477,3414,3517,3674,3534,3487,3339,3501,3476,3333,2987,2842,3677,3637,3637,3458
3503,3672,3565,3622,3281,3558,3636,3310,3480,3420,3518,3672,3533,3482,3339,3480,3481,3337,2986,2842,3677,3637,3637,3458
3505,3675,3567,3621,3278,3561,3634,3307,3478,3412,3514,3672,3533,3482,3339,3480,3481,3337,2986,2841,3673,3633,3639,3454
3503,3664,3568,3621,3278,3561,3634,3307,3478,3412,3514,3673,3531,3483,3346,3497,3483,3334,2986,2839,3673,3648,3636,3461
3503,3664,3568,3625,3277,3562,3633,3296,3475,3423,3510,3668,3539,3480,3348,3505,3482,3336,2986,2841,3672,3648,3642,3461
3501,3667,3568,3624,3280,3563,3634,3305,3471,3410,3513,3674,3532,3483,3342,3505,3482,3336,2986,2841,3672,3648,3642,3459
3501,3665,3572,3626,3277,3557,3628,3305,3471,3410,3513,3674,3532,3483,3342,3503,3489,3328,2992,2842,3674,3647,3642,3463
3501,3665,3572,3626,3277,3557,3628,3304,3481,3410,3519,3674,3530,3478,3344,3504,3486,3333,2986,2838,3675,3647,3640,3461
3501,3668,3562,3628,3282,3552,3629,3306,3454,3414,3513,3665,3531,3485,3341,3503,3481,3338,2985,2838,3675,3647,3640,3461
3506,3668,3568,3632,3276,3559,3637,3302,3478,3413,3514,3665,3531,3485,3341,3503,3481,3338,2985,2837,3674,3646,3640,3451
3499,3670,3571,3632,3276,3559,3637,3302,3478,3413,3514,3670,3536,3484,3343,3500,3490,3331,2982,2843,3673,3648,3647,3457
3499,3670,3571,3627,3275,3555,3632,3298,3477,3416,3516,3664,3527,3485,3347,3508,3484,3336,2981,2841,3680,3645,3644,3457
3508,3668,3567,3628,3276,3560,3633,3300,3477,3417,3516,3679,3534,3486,3344,3508,3484,3336,2981,2841,3680,3645,3644,3464
3506,3671,3570,3617,3272,3560,3624,3300,3477,3417,3516,3679,3534,3486,3344,3502,3484,3323,2981,2838,3675,3647,3636,3449
3506,3671,3570,3617,3272,3560,3624,3306,3476,3410,3512,3670,3534,3484,3347,3501,3492,3328,2984,2840,3674,3648,3638,3460
3508,3672,3572,3624,3284,3566,3633,3307,3476,3409,3517,3675,3535,3485,3343,3500,3486,3339,2984,2840,3674,3648,3638,3460
3511,3675,3567,3627,3281,3555,3636,3303,3470,3410,3513,3675,3535,3485,3343,3500,3486,3339,2984,2841,3676,3645,3630,3460
3508,3671,3569,3627,3281,3555,3636,3303,3470,3410,3513,3673,3535,3484,3349,3500,3483,3332,2986,2838,3682,3639,3638,3455
3508,3671,3569,3626,3282,3554,3636,3301,3481,3411,3514,3676,3534,3484,3342,3507,3490,3340,2986,2843,3677,3636,3639,3455
3509,3669,3572,3635,3281,3558,3628,3297,3475,3408,3517,3672,3532,3483,3340,3507,3490,3340,2986,2843,3677,3636,3639,3466
3513,3668,3564,3627,3274,3562,3632,3297,3475,3408,3517,3672,3532,3483,3340,3499,3477,3336,2980,2837,3672,3647,3629,3458
3513,3668,3564,3627,3274,3562,3632,3302,3479,3413,3518,3673,3530,3482,3354,3500,3488,3332,2984,2838,3676,3623,3643,3461
3502,3668,3576,3621,3274,3562,3634,3298,3478,3411,3517,3673,3536,3493,3350,3504,3484,3330,2978,2838,3676,3623,3643,3461
3506,3668,3571,3626,3275,3558,3631,3298,3477,3410,3513,3673,3536,3493,3350,3504,3484,3330,2978,2834,3671,3647,3640,3462
3503,3678,3569,3626,3275,3558,3631,3298,3477,3410,3513,3675,3525,3481,3345,3502,3481,3324,2980,2837,3677,3650,3642,3437
3503,3678,3569,3628,3274,3560,3629,3294,3477,3412,3515,3674,3536,3477,3350,3504,3480,3333,2981,2837,3671,3650,3644,3437
3510,3670,3577,3627,3276,3557,3632,3297,3481,3412,3516,3673,3526,3483,3352,3504,3480,3333,2981,2837,3671,3650,3644,3456
3512,3666,3572,3634,3272,3558,3630,3297,3481,3412,3516,3673,3526,3483,3352,3505,3484,3335,2970,2836,3676,3644,3643,3459
3512,3666,3572,3634,3272,3558,3630,3290,3473,3412,3524,3674,3528,3479,3345,3499,3488,3336,2982,2842,3676,3647,3637,3459
3508,3672,3570,3628,3275,3565,3633,3301,3473,3410,3512,3658,3532,3484,3352,3501,3487,3319,2980,2842,3676,3647,3637,3459
3499,3672,3575,3621,3275,3555,3633,3298,3476,3412,3521,3658,3532,3484,3352,3501,3487,3319,2980,2842,3672,3635,3638,3463
3505,3673,3570,3621,3275,3555,3633,3298,3476,3412,3521,3668,3536,3486,3347,3496,3460,3331,2985,2842,3673,3648,3641,3457
3505,3673,3570,3627,3281,3559,3632,3302,3474,3411,3508,3679,3536,3484,3347,3505,3468,3333,2988,2841,3674,3645,3641,3457
3508,3670,3574,3628,3278,3563,3630,3299,3478,3402,3512,3667,3534,3483,3348,3505,3468,3333,2988,2841,3674,3645,3641,3452
3505,3672,3569,3630,3277,3556,3635,3299,3478,3402,3512,3667,3534,3483,3348,3498,3489,3333,2986,2837,3679,3637,3637,3454
3505,3672,3569,3630,3277,3556,3635,3297,3478,3400,3515,3672,3532,3483,3346,3495,3487,3333,2984,2837,3673,3641,3639,3468
3505,3673,3571,3621,3278,3565,3636,3300,3474,3413,3517,3676,3531,3478,3351,3503,3482,3334,2985,2837,3673,3641,3639,3468
3507,3669,3572,3631,3280,3558,3634,3298,3479,3413,3519,3676,3531,3478,3351,3503,3482,3334,2985,2835,3671,3650,3639,3464
3503,3668,3573,3631,3280,3558,3634,3298,3479,3413,3519,3673,3532,3480,3336,3503,3484,3332,2980,2838,3669,3639,3639,3464
3503,3668,3573,3631,3280,3556,3636,3301,3474,3414,3514,3670,3545,3481,3344,3499,3485,3336,2981,2834,3671,3640,3641,3464
3505,3664,3576,3626,3276,3563,3634,3280,3480,3410,3522,3672,3532,3478,3346,3499,3485,3336,2981,2834,3671,3640,3641,3461
3504,3661,3576,3630,3278,3561,3639,3280,3480,3410,3522,3672,3532,3478,3346,3500,3486,3333,2985,2834,3672,3651,3643,3461
3504,3661,3576,3630,3278,3561,3639,3293,3476,3414,3515,3679,3533,3486,3346,3502,3481,3330,2980,2839,3673,3654,3641,3454
3510,3673,3575,3634,3279,3556,3634,3297,3477,3418,3514,3669,3534,3477,3343,3504,3482,3328,2979,2839,3673,3654,3641,3454
3508,3665,3568,3631,3282,3565,3627,3301,3477,3412,3519,3669,3534,3477,3343,3504,3482,3328,2979,2833,3678,3652,3631,3460
3506,3673,3573,3631,3282,3565,3627,3301,3477,3412,3519,3674,3526,3486,3344,3501,3482,3334,2985,2839,3676,3649,3638,3463
3506,3673,3573,3632,3274,3550,3630,3298,3479,3410,3517,3661,3530,3486,3344,3495,3482,3334,2974,2839,3677,3637,3641,3463
3501,3674,3571,3633,3275,3556,3636,3296,3476,3413,3516,3665,3537,3484,3350,3495,3482,3334,2974,2839,3677,3637,3641,3460
3507,3671,3569,3627,3282,3559,3630,3296,3476,3413,3516,3665,3537,3484,3350,3498,3481,3333,2982,2841,3678,3642,3646,3460
3507,3671,3569,3627,3282,3559,3630,3299,3477,3406,3519,3673,3531,3484,3340,3503,3484,3325,2980,2839,3676,3647,3641,3458
3506,3672,3568,3629,3275,3557,3631,3303,3477,3404,3516,3664,3537,3488,3350,3500,3478,3336,2983,2839,3676,3647,3641,3458
3508,3670,3570,3620,3277,3557,3630,3296,3478,3398,3514,3664,3537,3488,3350,3500,3478,3336,2983,2840,3677,3646,3640,3464
3505,3667,3568,3620,3277,3557,3630,3296,3478,3398,3514,3677,3535,3486,3344,3499,3485,3331,2980,2833,3673,3646,3633,3459
3505,3667,3568,3621,3280,3557,3630,3291,3467,3408,3516,3675,3535,3486,3338,3507,3483,3334,2985,2840,3684,3645,3638,3459
3506,3668,3575,3625,3278,3556,3629,3297,3468,3410,3518,3675,3538,3483,3343,3507,3483,3334,2985,2840,3684,3645,3638,3462
3512,3672,3569,3632,3278,3558,3628,3297,3468,3410,3518,3675,3538,3483,3343,3506,3477,3333,2974,2844,3672,3638,3641,3458
3512,3672,3569,3632,3278,3558,3628,3293,3476,3404,3515,3672,3531,3478,3354,3498,3483,3331,2984,2839,3672,3643,3639,3462
3506,3664,3570,3626,3277,3558,3631,3284,3475,3410,3514,3677,3534,3479,3344,3503,3486,3326,2979,2839,3672,3643,3639,3462
3510,3664,3578,3629,3277,3562,3632,3291,3472,3410,3516,3677,3534,3479,3344,3503,3486,3326,2979,2839,3682,3647,3639,3463
3510,3669,3569,3629,3277,3562,3632,3291,3472,3410,3516,3666,3527,3485,3346,3503,3485,3327,2980,2839,3677,3646,3639,3461
3510,3669,3569,3626,3277,3556,3619,3292,3476,3408,3517,3670,3525,3478,3350,3503,3482,3329,2983,2834,3674,3648,3644,3461
3501,3675,3571,3624,3282,3562,3632,3297,3475,3410,3517,3670,3535,3482,3352,3503,3482,3329,2983,2834,3674,3648,3644,3462
3504,3675,3571,3626,3281,3548,3628,3297,3475,3410,3517,3670,3535,3482,3352,3503,3483,3329,2981,2839,3674,3647,3644,3456
3504,3675,3571,3626,3281,3548,3628,3298,3477,3382,3519,3664,3533,3487,3349,3496,3482,3338,2974,2840,3675,3648,3638,3457
3506,3676,3569,3626,3282,3552,3634,3298,3472,3405,3521,3670,3532,3485,3356,3503,3482,3330,2982,2840,3675,3648,3638,3457
3511,3666,3574,3626,3277,3559,3632,3294,3478,3410,3515,3670,3532,3485,3356,3503,3482,3330,2982,2841,3673,3642,3638,3469
3504,3671,3574,3626,3277,3559,3632,3294,3478,3410,3515,3674,3535,3488,3344,3509,3485,3325,2983,2843,3671,3645,3646,3457
3504,3671,3574,3629,3275,3554,3633,3292,3477,3412,3515,3672,3533,3485,3355,3507,3486,3328,2989,2840,3673,3648,3637,3457
3504,3664,3565,3620,3277,3554,3626,3293,3478,3391,3512,3675,3539,3478,3355,3507,3486,3328,2989,2840,3673,3648,3637,3465
3505,3675,3571,3622,3283,3558,3628,3293,3478,3391,3512,3675,3539,3478,3355,3504,3482,3334,2988,2834,3672,3653,3631,3465
3505,3675,3571,3622,3283,3558,3628,3291,3472,3412,3519,3676,3538,3492,3359,3505,3480,3337,2981,2840,3686,3643,3640,3465
3503,3671,3566,3628,3278,3555,3624,3288,3461,3409,3519,3678,3536,3485,3337,3504,3490,3333,2980,2840,3686,3643,3640,3465
3502,3665,3569,3620,3277,3557,3632,3281,3471,3400,3520,3678,3536,3485,3337,3504,3490,3333,2980,2839,3675,3637,3640,3464
3504,3662,3570,3620,3277,3557,3632,3281,3471,3400,3520,3672,3537,3489,3356,3505,3482,3337,2976,2845,3674,3648,3642,3466
3504,3662,3570,3627,3279,3562,3630,3282,3474,3408,3516,3664,3538,3485,3346,3509,3488,3330,2980,2836,3678,3648,3640,3466
3507,3666,3573,3629,3282,3552,3621,3292,3480,3407,3516,3676,3538,3488,3352,3509,3488,3330,2980,2836,3678,3648,3640,3454
