ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3090,3327,3006,3306,2986,3160,3186,2714,2992,2647,2960,3311,2913,3119,2928,2865,3117,2270,2723,2518,3363,3336,3327,3166,3371,3561,3495,3616,3516,3462,3673,3531,3508,3392,3115,3171,3502,3467,3491,3450,3512,3506,3011,2848,3472,3574,3555,3507,3093,3355,3148,3335,3272,3068,3400,3261,3181,2787,2964,3327,2861,3186,3237,2934,3202,3202,2760,2570,3363,3367,3355,3286
3088,3323,2993,3306,2986,3160,3186,2714,2992,2647,2960,3316,2867,3112,2949,2863,3108,2270,2726,2519,3356,3338,3321,3175,3372,3569,3500,3616,3516,3462,3673,3531,3508,3392,3115,3177,3508,3458,3498,3455,3507,3504,3010,2848,3476,3601,3553,3514,3086,3350,3148,3335,3272,3068,3400,3261,3181,2787,2964,3325,2872,3186,3229,2976,3206,3197,2757,2572,3361,3372,3360,3280
3088,3323,2993,3297,2990,3162,3184,2716,2988,2641,2971,3311,2921,3119,2932,2875,3108,2264,2721,2517,3362,3340,3328,3175,3372,3569,3500,3616,3526,3459,3665,3527,3510,3389,3122,3171,3502,3463,3506,3448,3512,3505,3011,2847,3454,3610,3554,3514,3086,3350,3148,3336,3271,3074,3387,3262,3183,2786,2963,3325,2873,3183,3235,2981,3197,3198,2762,2568,3368,3369,3358,3280
3095,3320,2996,3309,2984,3144,3188,2703,2989,2664,2965,3307,2916,3113,2950,2875,3108,2264,2721,2517,3362,3340,3328,3171,3371,3570,3489,3612,3526,3465,3660,3542,3506,3393,3117,3172,3498,3464,3502,3448,3512,3505,3011,2847,3454,3610,3554,3507,3098,3355,3149,3342,3276,3070,3399,3263,3179,2784,2968,3327,2871,3184,3236,2981,3197,3198,2762,2568,3368,3369,3358,3280
3088,3325,3002,3308,2985,3147,3188,2703,2989,2664,2965,3307,2916,3113,2950,2856,3114,2266,2716,2521,3352,3334,3320,3170,3374,3574,3499,3617,3524,3462,3669,3542,3506,3393,3117,3172,3498,3464,3502,3449,3515,3506,3014,2822,3473,3605,3552,3502,3099,3354,3144,3339,3274,3071,3397,3263,3179,2784,2968,3327,2871,3184,3236,2978,3199,3198,2760,2566,3370,3370,3346,3287
3088,3325,3002,3308,2985,3147,3188,2719,2994,2634,2958,3306,2922,3114,2946,2858,3113,2261,2724,2518,3359,3336,3318,3168,3374,3574,3499,3617,3524,3462,3669,3541,3510,3394,3118,3169,3500,3466,3500,3454,3511,3496,3012,2837,3474,3607,3556,3502,3099,3354,3144,3339,3274,3071,3397,3260,3184,2789,2967,3323,2871,3190,3234,2976,3209,3199,2762,2572,3366,3372,3363,3286
3078,3325,2995,3306,2993,3151,3179,2707,2991,2639,2966,3304,2919,3106,2947,2854,3116,2266,2724,2518,3359,3336,3318,3168,3370,3558,3493,3619,3525,3456,3667,3534,3514,3400,3122,3161,3500,3463,3490,3450,3514,3504,3003,2837,3474,3607,3556,3502,3086,3360,3145,3328,3272,3069,3388,3259,3173,2787,2967,3324,2866,3189,3228,2975,3207,3200,2759,2572,3366,3372,3363,3286
3084,3323,3005,3308,2995,3147,3189,2715,2993,2656,2961,3304,2919,3106,2947,2854,3116,2266,2724,2514,3360,3342,3321,3170,3368,3577,3492,3619,3523,3457,3661,3533,3508,3395,3121,3161,3500,3463,3490,3450,3514,3504,3003,2846,3472,3607,3552,3513,3097,3358,3151,3338,3277,3071,3394,3256,3180,2788,2969,3324,2866,3189,3228,2975,3207,3200,2759,2567,3366,3373,3362,3286
3091,3324,3007,3308,2995,3147,3189,2715,2993,2656,2961,3305,2923,3118,2947,2870,3113,2260,2721,2516,3360,3325,3319,3165,3372,3579,3496,3619,3523,3457,3661,3533,3508,3395,3121,3170,3505,3464,3499,3451,3508,3501,3003,2848,3474,3610,3551,3504,3094,3356,3151,3338,3277,3071,3394,3256,3180,2788,2969,3318,2872,3187,3239,2980,3207,3193,2762,2569,3368,3372,3360,3286
3091,3324,3007,3306,2976,3147,3189,2711,2994,2660,2966,3310,2920,3121,2946,2864,3118,2257,2724,2519,3358,3336,3327,3165,3372,3579,3496,3618,3525,3456,3661,3526,3512,3400,3124,3175,3504,3466,3494,3449,3511,3502,3011,2844,3472,3604,3546,3504,3094,3356,3151,3336,3265,3068,3401,3256,3183,2785,2935,3325,2872,3189,3235,2976,3204,3201,2761,2570,3367,3368,3361,3286
