ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
2976,3228,2854,3203,2855,3044,3068,2619,2870,2481,2847,3222,2759,3009,2821,2697,3006,2125,2642,2406,3268,3239,3220,3071,3322,3537,3368,3440,2967,3348,3464,3223,3349,3232,3420,3579,3494,3423,3261,3462,3432,3320,2947,2804,3557,3485,3518,3282,2958,3262,3018,3239,3183,2934,3307,3164,3082,2622,2815,3226,2716,3091,3151,2828,3111,3108,2691,2466,3277,3284,3265,3195
2976,3231,2843,3208,2861,3043,3062,2618,2850,2464,2854,3219,2761,3014,2820,2700,3013,2135,2650,2405,3269,3239,3220,3071,3322,3539,3366,3433,2969,3350,3464,3230,3350,3233,3424,3581,3488,3424,3255,3471,3432,3323,2951,2804,3548,3485,3518,3282,2958,3259,3014,3241,3173,2929,3310,3158,3071,2634,2809,3224,2718,3091,3137,2831,3113,3112,2687,2465,3276,3284,3265,3195
2971,3231,2854,3206,2865,3041,3073,2610,2868,2484,2853,3209,2765,3014,2820,2700,3013,2135,2650,2405,3269,3246,3224,3069,3324,3536,3370,3437,2964,3349,3461,3220,3350,3236,3423,3574,3493,3424,3255,3471,3432,3323,2951,2804,3548,3489,3524,3272,2955,3261,3022,3243,3179,2936,3296,3168,3086,2631,2815,3220,2720,3091,3137,2831,3113,3112,2687,2465,3276,3274,3269,3195
2976,3229,2859,3191,2858,3041,3073,2610,2868,2484,2853,3209,2765,3000,2820,2706,3010,2116,2656,2399,3270,3226,3218,3062,3324,3537,3368,3422,2967,3349,3461,3220,3350,3236,3423,3574,3493,3425,3252,3474,3438,3320,2952,2803,3557,3490,3525,3280,2962,3259,3019,3239,3181,2936,3296,3168,3086,2631,2815,3220,2720,3084,3149,2836,3115,3110,2692,2459,3277,3280,3267,3194
2976,3229,2859,3191,2858,3045,3065,2620,2872,2485,2855,3217,2761,3011,2821,2707,3006,2128,2648,2406,3267,3238,3219,3061,3324,3537,3368,3422,2967,3353,3468,3224,3349,3226,3421,3581,3490,3425,3255,3455,3439,3323,2951,2798,3554,3495,3522,3284,2962,3259,3019,3239,3181,2936,3306,3162,3085,2623,2812,3225,2713,3094,3147,2832,3114,3113,2688,2466,3273,3284,3262,3198
2962,3238,2858,3206,2867,3038,3057,2615,2856,2488,2851,3213,2757,2982,2811,2708,3005,2128,2648,2406,3267,3238,3219,3061,3320,3532,3366,3432,2969,3350,3461,3224,3354,3233,3422,3579,3492,3422,3260,3469,3444,3323,2951,2798,3554,3495,3522,3284,2959,3260,3025,3240,3169,2935,3308,3167,3089,2629,2815,3224,2714,3092,3149,2833,3118,3113,2688,2466,3273,3284,3262,3198
2972,3233,2856,3204,2864,3043,3055,2617,2869,2488,2851,3213,2757,2982,2811,2708,3005,2122,2648,2384,3270,3222,3222,3062,3321,3539,3358,3434,2974,3350,3462,3223,3337,3233,3422,3579,3492,3422,3260,3469,3444,3326,2946,2801,3561,3490,3529,3283,2960,3260,3016,3243,3181,2933,3308,3166,3091,2629,2815,3224,2714,3092,3149,2833,3118,3110,2691,2465,3274,3287,3259,3197
2969,3233,2856,3204,2864,3043,3055,2617,2869,2488,2858,3207,2765,3008,2816,2707,3015,2129,2651,2405,3267,3241,3219,3058,3321,3539,3358,3434,2974,3350,3462,3223,3337,3233,3420,3581,3491,3424,3249,3465,3439,3321,2943,2801,3555,3496,3526,3281,2960,3260,3016,3243,3181,2933,3308,3166,3091,2629,2815,3225,2715,3091,3149,2833,3114,3111,2689,2463,3273,3279,3268,3196
2969,3230,2854,3193,2863,3040,3063,2615,2869,2477,2853,3213,2765,3008,2818,2704,2992,2121,2650,2403,3268,3241,3219,3058,3321,3535,3366,3433,2971,3350,3461,3215,3349,3232,3419,3581,3472,3417,3262,3463,3442,3324,2953,2802,3559,3496,3526,3281,2960,3260,3020,3242,3184,2928,3310,3167,3087,2632,2810,3216,2715,3085,3146,2831,3116,3094,2692,2461,3268,3279,3268,3196
2963,3216,2856,3204,2863,3053,3056,2604,2866,2489,2857,3215,2755,3008,2818,2704,2992,2121,2650,2403,3268,3244,3217,3065,3323,3525,3368,3434,2972,3348,3464,3216,3349,3235,3422,3572,3487,3417,3262,3463,3442,3324,2953,2802,3559,3489,3528,3283,2957,3256,3020,3238,3180,2938,3303,3166,3090,2621,2810,3225,2708,3085,3146,2831,3116,3094,2692,2461,3268,3285,3264,3194
2966,3227,2858,3206,2840,3053,3056,2604,2866,2489,2857,3215,2755,3016,2820,2707,3012,2113,2642,2408,3263,3240,3226,3063,3324,3528,3370,3438,2969,3348,3464,3216,3349,3235,3422,3572,3487,3417,3257,3471,3440,3322,2946,2805,3552,3495,3527,3285,2960,3263,3016,3243,3171,2938,3303,3166,3090,2621,2810,3225,2708,3092,3144,2838,3116,3108,2689,2465,3274,3286,3265,3194
2966,3227,2858,3206,2840,3055,3057,2621,2869,2488,2850,3221,2756,3008,2815,2712,3013,2127,2649,2405,3267,3241,3225,3069,3324,3528,3370,3438,2969,3346,3469,3224,3351,3239,3421,3574,3481,3422,3255,3466,3442,3320,2943,2803,3560,3492,3526,3284,2960,3263,3016,3243,3171,2938,3314,3164,3078,2633,2763,3225,2716,3090,3135,2825,3115,3107,2685,2466,3271,3273,3264,3194
