ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3360,3557,3409,3489,3115,3386,3507,3248,3368,3253,3443,3583,3488,3424,3212,3471,3431,3283,2937,2788,3563,3515,3521,3289
3360,3545,3411,3486,3117,3382,3507,3257,3361,3253,3446,3575,3493,3414,3204,3467,3428,3274,2938,2791,3561,3515,3521,3289
3362,3558,3400,3483,3120,3395,3512,3252,3373,3251,3444,3584,3496,3414,3204,3467,3428,3274,2938,2791,3561,3516,3525,3291
3358,3562,3414,3490,3120,3395,3512,3252,3373,3251,3444,3584,3496,3416,3214,3470,3427,3281,2945,2789,3559,3510,3521,3291
3358,3562,3414,3490,3120,3388,3495,3252,3371,3248,3443,3586,3496,3408,3213,3464,3421,3286,2944,2795,3555,3508,3523,3281
3360,3549,3414,3490,3115,3387,3514,3246,3372,3251,3441,3588,3494,3415,3211,3464,3422,3286,2944,2795,3555,3508,3523,3281
3360,3555,3414,3490,3115,3385,3509,3252,3370,3251,3441,3588,3494,3415,3211,3464,3422,3290,2942,2790,3557,3510,3518,3291
3360,3555,3414,3490,3115,3385,3509,3252,3370,3252,3444,3582,3492,3413,3212,3464,3430,3281,2941,2794,3559,3502,3516,3288
3360,3555,3412,3482,3120,3384,3507,3255,3369,3244,3441,3586,3490,3416,3211,3463,3421,3284,2942,2792,3557,3502,3516,3288
3361,3555,3413,3484,3121,3386,3510,3250,3371,3250,3441,3583,3497,3416,3211,3463,3421,3284,2942,2792,3557,3508,3514,3291
3364,3558,3412,3489,3120,3386,3510,3250,3371,3250,3441,3583,3497,3418,3217,3466,3421,3276,2945,2794,3560,3512,3526,3290
3364,3558,3412,3489,3120,3392,3513,3254,3370,3251,3445,3584,3493,3413,3217,3454,3432,3283,2942,2792,3565,3493,3514,3290
3360,3547,3413,3486,3112,3389,3512,3258,3371,3251,3443,3590,3493,3403,3216,3463,3427,3283,2942,2792,3565,3493,3514,3290
3359,3553,3415,3489,3121,3388,3509,3250,3374,3251,3443,3590,3493,3403,3216,3463,3427,3283,2940,2792,3562,3509,3518,3295
3363,3553,3415,3489,3121,3388,3509,3250,3374,3251,3442,3583,3493,3412,3200,3430,3427,3285,2944,2794,3557,3515,3523,3294
3363,3551,3412,3491,3121,3385,3511,3259,3374,3252,3442,3582,3493,3405,3217,3459,3429,3284,2938,2788,3557,3515,3523,3294
3356,3556,3412,3492,3120,3390,3509,3249,3370,3250,3439,3581,3494,3405,3217,3459,3429,3284,2938,2788,3557,3512,3522,3298
3358,3552,3414,3491,3120,3390,3509,3249,3370,3250,3439,3581,3494,3413,3219,3463,3432,3275,2941,2792,3554,3511,3526,3302
3358,3552,3414,3491,3120,3387,3511,3248,3374,3252,3436,3581,3497,3414,3216,3468,3428,3282,2942,2790,3557,3511,3522,3293
3358,3550,3414,3488,3119,3389,3498,3255,3372,3251,3438,3582,3488,3417,3221,3469,3422,3282,2942,2790,3557,3511,3522,3293
3358,3554,3414,3490,3126,3386,3507,3254,3372,3251,3438,3582,3488,3417,3221,3469,3422,3288,2943,2789,3558,3512,3515,3293
3363,3554,3414,3490,3126,3386,3507,3254,3372,3252,3416,3579,3494,3413,3216,3464,3428,3277,2943,2788,3558,3509,3523,3293
3363,3550,3414,3492,3117,3388,3510,3254,3369,3250,3438,3576,3490,3415,3214,3470,3427,3290,2942,2796,3557,3509,3523,3293
3366,3558,3412,3484,3113,3384,3508,3254,3374,3251,3440,3587,3492,3415,3214,3470,3427,3290,2942,2796,3557,3502,3522,3295
3360,3554,3414,3488,3120,3384,3508,3254,3374,3251,3440,3587,3492,3413,3216,3461,3428,3288,2943,2793,3561,3506,3528,3292
3360,3554,3414,3488,3120,3382,3509,3256,3370,3252,3437,3580,3491,3413,3216,3461,3422,3291,2942,2792,3563,3513,3519,3291
3360,3549,3412,3489,3124,3387,3514,3256,3368,3252,3439,3583,3494,3414,3217,3458,3424,3291,2942,2792,3563,3513,3519,3291
3361,3555,3413,3479,3126,3390,3515,3254,3374,3252,3439,3583,3494,3414,3217,3458,3424,3290,2942,2797,3564,3503,3523,3297
3354,3555,3413,3479,3126,3390,3515,3254,3374,3254,3438,3583,3493,3406,3218,3464,3425,3288,2941,2797,3561,3503,3519,3294
3354,3552,3418,3490,3129,3389,3511,3262,3378,3254,3440,3582,3495,3411,3222,3466,3428,3293,2942,2795,3557,3503,3519,3294
3362,3553,3411,3490,3132,3391,3514,3265,3373,3258,3436,3583,3488,3411,3222,3466,3428,3293,2942,2795,3557,3509,3522,3290
3357,3551,3412,3483,3130,3391,3514,3265,3373,3258,3436,3583,3488,3413,3218,3462,3430,3287,2946,2788,3554,3505,3519,3293
3357,3551,3412,3483,3130,3390,3514,3265,3377,3257,3436,3579,3492,3412,3220,3467,3426,3294,2946,2787,3554,3510,3519,3293
3355,3548,3415,3494,3131,3393,3514,3265,3378,3262,3435,3585,3495,3406,3219,3466,3424,3294,2946,2787,3554,3510,3519,3293
3358,3548,3414,3491,3132,3390,3514,3268,3378,3262,3435,3585,3495,3406,3219,3466,3424,3288,2944,2794,3556,3510,3523,3288
3361,3548,3414,3491,3132,3390,3514,3268,3378,3259,3439,3583,3495,3417,3211,3466,3429,3286,2940,2795,3562,3509,3519,3290
3361,3542,3414,3488,3129,3390,3515,3266,3376,3259,3441,3582,3493,3415,3212,3465,3431,3292,2938,2791,3557,3509,3519,3290
3358,3553,3411,3492,3131,3391,3516,3265,3376,3259,3438,3568,3493,3415,3212,3465,3431,3292,2938,2791,3557,3511,3519,3292
3359,3550,3414,3484,3125,3391,3516,3265,3376,3259,3438,3568,3493,3415,3212,3466,3426,3275,2939,2796,3555,3499,3520,3291
3359,3550,3414,3484,3125,3390,3508,3264,3376,3257,3438,3584,3496,3416,3215,3470,3428,3284,2945,2796,3555,3507,3526,3291
3357,3556,3412,3488,3131,3389,3514,3265,3378,3260,3433,3586,3493,3413,3217,3462,3419,3284,2945,2796,3555,3507,3526,3291
3360,3554,3416,3490,3130,3398,3518,3264,3374,3260,3433,3586,3493,3413,3217,3462,3419,3295,2947,2795,3557,3509,3509,3294
3362,3554,3416,3490,3130,3398,3518,3264,3374,3251,3437,3581,3491,3412,3213,3459,3431,3287,2945,2798,3554,3504,3520,3286
3362,3552,3418,3483,3133,3393,3515,3266,3379,3255,3439,3580,3493,3403,3213,3469,3418,3295,2942,2789,3554,3504,3520,3286
3358,3550,3415,3486,3129,3391,3513,3269,3379,3256,3441,3583,3490,3403,3213,3469,3418,3295,2942,2789,3554,3504,3518,3292
3357,3548,3413,3495,3128,3391,3513,3269,3379,3256,3441,3583,3490,3409,3217,3460,3434,3295,2941,2791,3558,3505,3518,3292
3357,3548,3413,3495,3128,3394,3520,3265,3362,3260,3435,3582,3458,3414,3217,3464,3427,3290,2940,2796,3555,3501,3517,3294
3361,3551,3410,3486,3129,3394,3521,3264,3372,3255,3437,3583,3494,3413,3216,3459,3428,3290,2940,2796,3555,3501,3517,3294
3356,3557,3413,3488,3130,3389,3509,3260,3375,3255,3437,3583,3494,3413,3216,3459,3428,3293,2945,2796,3558,3506,3522,3294
3353,3557,3413,3488,3130,3389,3509,3260,3375,3263,3441,3586,3490,3404,3216,3464,3425,3287,2946,2794,3557,3506,3520,3286
3353,3549,3413,3491,3128,3388,3512,3270,3374,3264,3435,3574,3489,3415,3212,3463,3431,3292,2950,2797,3556,3506,3520,3286
3342,3554,3417,3490,3100,3389,3514,3258,3378,3260,3436,3580,3494,3415,3212,3463,3431,3292,2950,2797,3556,3511,3522,3288
3361,3551,3412,3488,3127,3389,3514,3258,3378,3260,3436,3580,3494,3411,3211,3467,3430,3292,2939,2796,3563,3504,3520,3291
3361,3551,3412,3488,3127,3390,3513,3268,3377,3263,3439,3583,3498,3412,3216,3462,3434,3259,2944,2798,3557,3509,3520,3280
3356,3552,3411,3481,3129,3387,3510,3271,3375,3253,3436,3580,3487,3413,3216,3466,3428,3259,2944,2798,3557,3509,3520,3280
3357,3555,3412,3490,3134,3390,3516,3267,3377,3253,3436,3580,3487,3413,3216,3466,3428,3288,2949,2799,3555,3506,3518,3286
3355,3555,3412,3490,3134,3390,3516,3267,3377,3261,3440,3582,3494,3417,3213,3465,3432,3292,2945,2801,3555,3513,3483,3291
3355,3550,3418,3486,3130,3394,3517,3263,3378,3261,3432,3586,3493,3411,3209,3465,3430,3282,2943,2799,3559,3513,3483,3291
3357,3552,3413,3487,3130,3391,3521,3263,3376,3264,3438,3583,3492,3411,3209,3465,3430,3282,2943,2799,3559,3501,3520,3285
3354,3523,3413,3494,3133,3391,3521,3263,3376,3264,3438,3583,3492,3413,3211,3458,3427,3291,2943,2799,3561,3499,3515,3294
3354,3523,3413,3494,3133,3395,3516,3264,3379,3260,3437,3583,3492,3417,3211,3461,3434,3292,2942,2793,3557,3507,3520,3292
3354,3552,3420,3487,3133,3395,3514,3264,3366,3267,3439,3582,3493,3411,3212,3470,3422,3292,2942,2793,3557,3507,3520,3292
3353,3549,3412,3485,3130,3389,3521,3259,3372,3267,3439,3582,3493,3411,3212,3470,3422,3289,2945,2797,3557,3498,3517,3291
3355,3549,3412,3485,3130,3389,3521,3259,3372,3269,3436,3583,3494,3416,3205,3460,3431,3294,2948,2801,3557,3508,3519,3292
3355,3558,3412,3490,3130,3397,3517,3251,3377,3265,3435,3580,3490,3406,3216,3465,3428,3289,2945,2792,3557,3508,3519,3292
3355,3549,3415,3492,3134,3389,3515,3267,3375,3265,3432,3577,3488,3406,3216,3465,3428,3289,2945,2792,3557,3508,3517,3285
3359,3553,3417,3494,3131,3389,3515,3267,3375,3265,3432,3577,3488,3410,3213,3460,3428,3284,2936,2799,3556,3509,3521,3293
3359,3553,3417,3494,3131,3393,3518,3266,3381,3263,3435,3579,3480,3405,3219,3458,3431,3292,2935,2791,3556,3515,3514,3291
3344,3552,3419,3487,3138,3396,3513,3267,3383,3268,3433,3578,3486,3412,3216,3462,3422,3292,2935,2791,3556,3515,3514,3291
3353,3550,3415,3492,3133,3386,3516,3267,3378,3268,3433,3578,3486,3412,3216,3462,3422,3286,2942,2796,3556,3507,3520,3288
3354,3550,3415,3492,3133,3386,3516,3267,3378,3261,3433,3575,3492,3414,3212,3461,3424,3287,2934,2799,3559,3501,3518,3293
3354,3553,3420,3493,3133,3393,3524,3265,3378,3261,3439,3583,3494,3416,3214,3465,3436,3287,2946,2798,3555,3501,3518,3293
3360,3554,3418,3489,3123,3400,3519,3265,3379,3266,3428,3584,3486,3416,3214,3465,3436,3287,2946,2798,3555,3506,3524,3290
3355,3552,3416,3481,3133,3400,3519,3265,3379,3266,3428,3584,3486,3411,3212,3467,3424,3288,2942,2798,3557,3508,3520,3287
3355,3552,3416,3481,3133,3394,3519,3266,3383,3266,3437,3584,3492,3412,3212,3469,3422,3285,2947,2800,3558,3488,3520,3292
3355,3538,3412,3492,3126,3396,3518,3263,3377,3262,3430,3583,3491,3413,3214,3464,3434,3285,2947,2800,3558,3488,3520,3292
3354,3549,3409,3493,3133,3402,3518,3255,3377,3262,3430,3583,3491,3413,3214,3464,3434,3290,2947,2801,3557,3495,3520,3296
3352,3549,3409,3493,3133,3402,3518,3255,3377,3268,3433,3581,3492,3413,3211,3465,3424,3285,2944,2798,3555,3510,3520,3296
3352,3554,3407,3490,3135,3397,3494,3261,3384,3264,3429,3584,3492,3414,3209,3462,3429,3289,2948,2802,3552,3510,3520,3296
3359,3558,3412,3496,3138,3395,3518,3264,3383,3269,3434,3582,3489,3414,3209,3462,3429,3289,2948,2802,3552,3507,3521,3295
3354,3538,3416,3491,3131,3395,3518,3264,3383,3269,3434,3582,3489,3400,3210,3462,3428,3286,2947,2789,3554,3512,3521,3296
3354,3538,3416,3491,3131,3394,3516,3259,3377,3273,3430,3570,3489,3412,3206,3462,3429,3279,2941,2800,3541,3510,3520,3275
3357,3552,3414,3491,3132,3398,3520,3262,3379,3271,3431,3578,3482,3414,3211,3466,3425,3279,2941,2800,3541,3510,3520,3275
3353,3547,3418,3489,3140,3398,3516,3261,3385,3271,3431,3578,3482,3414,3211,3466,3425,3282,2930,2801,3557,3512,3518,3295
3358,3547,3418,3489,3140,3398,3516,3261,3385,3269,3434,3579,3491,3414,3209,3464,3419,3274,2943,2793,3556,3511,3517,3285
3358,3550,3421,3493,3128,3397,3516,3259,3380,3268,3432,3569,3484,3416,3210,3461,3431,3277,2941,2800,3557,3511,3517,3285
3352,3553,3424,3490,3129,3396,3520,3260,3378,3274,3433,3574,3488,3416,3210,3461,3431,3277,2941,2800,3557,3501,3518,3295
3356,3556,3418,3494,3127,3396,3520,3260,3378,3274,3433,3574,3488,3412,3214,3466,3432,3282,2945,2799,3556,3512,3523,3293
3356,3556,3418,3494,3127,3404,3522,3258,3381,3267,3432,3581,3490,3412,3213,3456,3415,3281,2945,2797,3551,3513,3521,3293
3360,3552,3414,3493,3128,3401,3518,3255,3384,3266,3428,3575,3487,3410,3217,3457,3421,3281,2945,2797,3551,3513,3521,3293
3356,3551,3414,3486,3129,3402,3525,3259,3379,3266,3428,3575,3487,3410,3217,3457,3421,3276,2946,2798,3555,3515,3521,3295
3355,3551,3414,3486,3129,3402,3525,3259,3379,3262,3430,3584,3487,3409,3209,3453,3429,3280,2942,2801,3560,3505,3520,3295
3355,3556,3419,3483,3133,3400,3518,3250,3380,3269,3430,3578,3488,3408,3206,3458,3424,3283,2946,2796,3556,3505,3520,3295
3361,3550,3416,3496,3135,3401,3519,3257,3373,3264,3429,3580,3482,3408,3206,3458,3424,3283,2946,2796,3556,3511,3521,3296
3360,3555,3414,3494,3132,3401,3519,3257,3373,3264,3429,3580,3482,3409,3218,3455,3425,3280,2942,2798,3552,3515,3517,3296
3360,3555,3414,3494,3132,3400,3520,3256,3381,3269,3429,3583,3484,3421,3205,3462,3426,3282,2942,2788,3557,3513,3519,3295
3355,3544,3416,3500,3134,3404,3517,3246,3380,3273,3428,3575,3490,3407,3207,3459,3424,3282,2942,2788,3557,3513,3519,3295
3351,3555,3404,3488,3140,3401,3529,3263,3380,3273,3428,3575,3490,3407,3207,3459,3424,3272,2944,2796,3557,3512,3521,3297
3348,3555,3404,3488,3140,3401,3529,3263,3380,3268,3429,3578,3494,3410,3211,3466,3424,3282,2946,2797,3555,3514,3522,3295
3348,3543,3418,3492,3138,3396,3514,3230,3378,3269,3430,3582,3486,3412,3206,3465,3426,3284,2944,2799,3558,3514,3522,3295
3354,3548,3413,3490,3137,3396,3513,3262,3380,3266,3424,3577,3492,3412,3206,3465,3426,3284,2944,2799,3558,3511,3525,3290
3356,3552,3417,3487,3141,3396,3513,3262,3380,3266,3424,3577,3492,3412,3211,3464,3426,3263,2945,2797,3555,3514,3521,3294
3356,3552,3417,3487,3141,3396,3512,3260,3382,3264,3431,3576,3489,3414,3211,3468,3427,3274,2944,2800,3555,3514,3522,3293
3354,3552,3416,3488,3143,3390,3520,3260,3376,3268,3433,3581,3488,3414,3207,3466,3420,3274,2944,2800,3555,3514,3522,3293
3353,3552,3412,3490,3137,3398,3521,3258,3370,3268,3433,3581,3488,3414,3207,3466,3420,3281,2946,2798,3553,3513,3522,3292
3358,3552,3412,3490,3137,3398,3521,3258,3370,3267,3427,3578,3488,3415,3212,3460,3424,3273,2942,2798,3563,3508,3518,3291
3358,3552,3417,3492,3141,3396,3518,3260,3373,3259,3431,3583,3494,3407,3213,3458,3425,3281,2944,2798,3557,3508,3518,3291
3356,3555,3415,3487,3145,3398,3518,3263,3377,3266,3434,3581,3488,3407,3213,3458,3425,3281,2944,2798,3557,3505,3520,3298
3356,3551,3418,3493,3145,3398,3518,3263,3377,3266,3434,3581,3488,3407,3212,3466,3424,3279,2945,2797,3554,3514,3517,3303
3356,3551,3418,3493,3145,3397,3520,3254,3379,3267,3434,3585,3489,3410,3207,3461,3424,3282,2945,2797,3556,3510,3522,3294
3364,3550,3418,3490,3141,3396,3521,3259,3373,3267,3432,3582,3492,3414,3207,3464,3424,3282,2945,2797,3556,3510,3522,3294
3353,3540,3415,3489,3141,3400,3515,3240,3379,3267,3432,3582,3492,3414,3207,3464,3424,3278,2940,2801,3558,3512,3525,3298
3352,3540,3415,3489,3141,3400,3515,3240,3379,3268,3435,3583,3490,3397,3208,3462,3426,3266,2943,2796,3554,3515,3520,3300
3352,3547,3417,3494,3139,3393,3515,3260,3384,3267,3433,3584,3495,3409,3209,3464,3424,3280,2948,2798,3560,3515,3520,3300
