ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3074,3330,2999,3302,2846,3144,3168,2854,3012,2628,2939,3313,2928,3116,2865,2868,3119,2778,2732,2506,3354,3317,3310,3025,3424,3626,3523,3592,3257,3522,3637,3406,3511,3465,3470,3637,3551,3476,3258,3555,3500,3380,3013,2902,3641,3610,3613,3389,3082,3351,3143,3333,3274,3070,3389,3258,3180,2786,2963,3321,2861,3181,3239,2972,3204,3202,2754,2572,3368,3367,3364,3282
3074,3325,3007,3302,2846,3144,3168,2854,3012,2628,2939,3312,2934,3107,2871,2856,3123,2774,2732,2495,3354,3332,3312,3030,3430,3628,3519,3592,3257,3522,3637,3406,3511,3465,3470,3647,3553,3469,3260,3551,3501,3386,3015,2902,3641,3604,3608,3393,3085,3355,3138,3333,3274,3070,3389,3258,3180,2786,2963,3323,2854,3180,3238,2973,3205,3199,2745,2564,3366,3373,3358,3285
3074,3325,3007,3297,2851,3140,3187,2859,3010,2627,2936,3312,2938,3116,2868,2871,3125,2780,2732,2506,3352,3258,3311,3030,3430,3628,3519,3589,3261,3522,3623,3411,3509,3466,3472,3646,3550,3475,3262,3549,3492,3392,3013,2897,3640,3608,3602,3393,3085,3355,3138,3334,3272,3060,3392,3257,3184,2776,2957,3326,2857,3187,3237,2971,3207,3203,2763,2567,3360,3373,3355,3285
3078,3324,3009,3301,2833,3140,3178,2865,3020,2623,2936,3319,2930,3119,2872,2871,3125,2780,2732,2506,3352,3258,3311,3021,3424,3637,3515,3590,3268,3516,3633,3405,3508,3460,3472,3641,3553,3469,3265,3549,3492,3392,3013,2897,3640,3608,3602,3391,3087,3351,3139,3340,3277,3069,3397,3265,3184,2784,2959,3324,2859,3186,3241,2971,3207,3203,2763,2567,3360,3373,3355,3277
3075,3333,3008,3301,2851,3140,3172,2865,3020,2623,2936,3319,2930,3119,2872,2860,3130,2779,2734,2508,3354,3326,3314,3024,3428,3630,3520,3593,3265,3514,3631,3405,3508,3460,3472,3641,3553,3469,3265,3549,3499,3393,3017,2904,3643,3604,3606,3397,3081,3355,3143,3329,3272,3064,3394,3265,3184,2784,2959,3324,2859,3186,3241,2966,3206,3197,2762,2570,3366,3369,3362,3272
3075,3333,3008,3301,2851,3140,3172,2865,3004,2623,2937,3310,2925,3110,2869,2872,3114,2779,2734,2490,3354,3328,3312,3018,3428,3630,3520,3593,3265,3514,3631,3410,3510,3459,3472,3642,3552,3476,3264,3549,3498,3390,3017,2903,3645,3602,3608,3385,3081,3355,3143,3329,3272,3064,3394,3260,3176,2784,2957,3322,2862,3186,3226,2971,3201,3201,2754,2571,3365,3370,3363,3282
3072,3324,3006,3304,2857,3135,3176,2861,3019,2630,2937,3313,2927,3115,2874,2871,3115,2781,2731,2490,3354,3328,3312,3018,3426,3630,3514,3588,3252,3520,3627,3408,3506,3460,3483,3645,3556,3482,3264,3553,3494,3390,3011,2903,3645,3602,3608,3385,3084,3344,3139,3339,3272,3064,3397,3234,3178,2790,2961,3325,2861,3187,3237,2971,3204,3197,2760,2571,3365,3370,3363,3282
3076,3318,3011,3292,2853,3163,3183,2860,3012,2630,2935,3313,2927,3115,2874,2871,3115,2781,2731,2505,3354,3328,3312,3021,3425,3632,3514,3590,3262,3512,3633,3410,3498,3460,3474,3645,3556,3482,3264,3553,3494,3390,3011,2904,3648,3605,3602,3393,3084,3348,3142,3332,3273,3066,3395,3260,3184,2774,2954,3325,2861,3187,3237,2971,3204,3197,2760,2569,3365,3372,3360,3270
3069,3329,3008,3292,2853,3163,3183,2860,3012,2630,2935,3292,2927,3116,2861,2866,3115,2783,2727,2498,3353,3330,3315,3028,3426,3631,3523,3590,3262,3512,3633,3410,3498,3460,3474,3648,3553,3477,3255,3550,3500,3389,3011,2903,3645,3603,3603,3391,3079,3355,3142,3332,3273,3066,3395,3260,3184,2774,2954,3322,2859,3185,3233,2971,3204,3200,2759,2571,3368,3375,3357,3287
3069,3329,3008,3299,2852,3150,3173,2864,3016,2627,2939,3304,2926,3116,2872,2865,3125,2779,2727,2504,3352,3328,3300,3028,3426,3631,3523,3587,3248,3515,3633,3407,3507,3462,3479,3648,3557,3481,3265,3552,3500,3392,3015,2903,3640,3597,3606,3391,3079,3355,3142,3328,3272,3067,3392,3259,3185,2783,2959,3325,2858,3184,3237,2973,3205,3201,2752,2572,3368,3358,3359,3287
