ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3418,3600,3518,3533,3128,3517,3643,3504,3519,3442,3479,3635,3559,3488,3386,3539,3525,3488,3027,2888,3579,3423,3545,3207
3425,3591,3514,3519,3132,3518,3638,3499,3519,3441,3477,3637,3561,3473,3380,3539,3515,3488,3018,2888,3579,3423,3545,3207
3419,3586,3513,3528,3130,3519,3645,3500,3524,3443,3481,3637,3561,3473,3380,3539,3515,3488,3018,2883,3579,3426,3537,3207
3420,3593,3518,3528,3130,3519,3645,3500,3524,3443,3481,3634,3561,3481,3384,3541,3528,3491,3021,2885,3583,3432,3545,3207
3420,3593,3518,3528,3136,3518,3639,3501,3512,3435,3478,3632,3557,3486,3383,3542,3524,3489,3024,2889,3579,3429,3546,3207
3416,3586,3512,3522,3133,3520,3637,3501,3519,3443,3485,3634,3561,3477,3388,3542,3524,3489,3024,2889,3579,3429,3546,3208
3422,3594,3511,3526,3133,3519,3636,3501,3519,3443,3485,3634,3561,3477,3388,3541,3522,3490,3019,2873,3585,3430,3550,3210
3422,3594,3511,3526,3133,3519,3636,3512,3517,3446,3479,3632,3566,3485,3382,3541,3520,3495,3023,2883,3578,3429,3547,3206
3423,3595,3514,3527,3133,3518,3644,3504,3525,3444,3479,3629,3562,3487,3391,3540,3523,3491,3020,2883,3578,3429,3547,3206
3417,3586,3511,3529,3126,3521,3638,3504,3521,3446,3482,3629,3562,3487,3391,3540,3523,3491,3020,2890,3578,3433,3548,3207
3415,3591,3511,3529,3126,3521,3638,3504,3521,3446,3482,3612,3556,3487,3388,3537,3526,3493,3016,2888,3581,3434,3550,3212
3415,3591,3511,3526,3132,3518,3637,3512,3527,3444,3476,3635,3562,3483,3380,3534,3528,3483,3021,2886,3583,3438,3546,3212
3424,3592,3512,3522,3134,3515,3641,3507,3518,3453,3480,3632,3565,3484,3383,3534,3528,3483,3021,2886,3583,3438,3546,3203
3413,3594,3514,3518,3119,3522,3640,3507,3518,3453,3480,3632,3565,3484,3383,3538,3517,3488,3022,2890,3582,3429,3539,3213
3413,3594,3514,3518,3119,3522,3640,3505,3528,3447,3480,3631,3561,3484,3383,3541,3523,3488,3025,2889,3581,3438,3540,3206
3417,3595,3515,3528,3114,3526,3640,3505,3527,3451,3472,3635,3560,3483,3377,3533,3524,3488,3018,2889,3581,3438,3540,3206
3414,3588,3512,3511,3124,3528,3638,3505,3522,3434,3477,3635,3560,3483,3377,3533,3524,3488,3018,2890,3581,3437,3545,3210
3410,3594,3509,3511,3124,3528,3638,3505,3522,3434,3477,3634,3561,3486,3383,3530,3522,3497,3025,2882,3582,3435,3539,3218
3410,3594,3509,3518,3128,3518,3640,3506,3519,3450,3478,3637,3562,3481,3376,3539,3508,3488,3024,2888,3585,3434,3547,3218
3408,3588,3510,3527,3131,3519,3638,3504,3512,3444,3482,3637,3563,3485,3375,3539,3508,3488,3024,2888,3585,3434,3547,3216
3407,3582,3508,3521,3131,3514,3634,3504,3512,3444,3482,3637,3563,3485,3375,3541,3522,3493,3021,2889,3582,3444,3549,3218
3407,3582,3508,3521,3131,3514,3634,3495,3519,3444,3481,3637,3558,3480,3390,3538,3525,3490,3028,2890,3583,3444,3551,3220
3407,3580,3510,3523,3130,3506,3637,3509,3516,3450,3478,3624,3560,3484,3382,3541,3530,3489,3024,2890,3583,3444,3551,3220
3406,3584,3511,3524,3129,3516,3645,3504,3524,3450,3473,3624,3560,3484,3382,3541,3530,3489,3024,2887,3581,3446,3547,3224
3405,3597,3518,3524,3129,3516,3645,3504,3524,3450,3473,3629,3564,3488,3386,3542,3527,3492,3023,2890,3581,3440,3554,3222
3405,3597,3518,3525,3122,3523,3637,3500,3524,3449,3474,3635,3561,3476,3384,3542,3528,3486,3022,2887,3581,3449,3555,3222
3409,3582,3510,3525,3128,3524,3639,3507,3529,3453,3475,3634,3560,3482,3387,3542,3528,3486,3022,2887,3581,3449,3555,3218
3408,3591,3510,3531,3125,3517,3641,3507,3529,3453,3475,3634,3560,3482,3387,3536,3523,3483,3022,2892,3581,3446,3548,3219
3408,3591,3510,3531,3125,3517,3641,3507,3519,3448,3468,3636,3562,3484,3382,3538,3520,3498,3021,2893,3583,3443,3544,3227
3408,3589,3510,3518,3125,3519,3638,3506,3523,3450,3477,3635,3560,3491,3385,3536,3508,3492,3026,2893,3583,3443,3544,3227
3411,3588,3514,3528,3133,3513,3640,3508,3528,3450,3472,3635,3560,3491,3385,3536,3508,3492,3026,2890,3588,3447,3540,3222
3408,3586,3514,3528,3133,3513,3640,3508,3528,3450,3472,3634,3560,3483,3388,3540,3518,3485,3025,2890,3583,3448,3550,3225
3408,3586,3514,3527,3133,3518,3643,3511,3515,3441,3474,3633,3559,3485,3381,3531,3525,3489,3020,2884,3582,3447,3541,3225
3403,3579,3509,3522,3124,3518,3637,3502,3518,3448,3475,3634,3565,3489,3390,3531,3525,3489,3020,2884,3582,3447,3541,3223
3405,3586,3513,3526,3131,3520,3638,3502,3518,3448,3475,3634,3565,3489,3390,3537,3528,3491,3025,2887,3578,3448,3547,3223
3405,3586,3513,3526,3131,3520,3638,3502,3526,3448,3472,3636,3567,3484,3377,3506,3523,3489,3025,2891,3579,3444,3552,3219
3412,3583,3509,3531,3131,3519,3637,3503,3522,3442,3479,3638,3558,3477,3386,3542,3524,3493,3022,2891,3579,3444,3552,3219
3397,3571,3509,3526,3128,3514,3640,3499,3523,3450,3476,3638,3558,3477,3386,3542,3524,3493,3022,2894,3581,3446,3551,3221
