ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3099,3340,3021,3320,2880,3166,3185,2849,3030,2646,2994,3343,2969,3138,2902,2906,3150,2778,2745,2514,3380,3353,3346,3095,3467,3666,3478,3620,3516,3472,3621,3188,3386,3324,3541,3692,3566,3536,3526,3563,3549,3421,3004,2865,3698,3672,3688,3566,3100,3361,3156,3345,3287,3081,3414,3278,3193,2819,2974,3316,2879,3202,3249,2996,3220,3212,2774,2590,3379,3382,3372,3298
3099,3340,3021,3308,2889,3165,3199,2850,3024,2641,3000,3335,2972,3142,2901,2908,3141,2780,2752,2509,3372,3352,3331,3095,3467,3666,3478,3621,3518,3469,3626,3166,3383,3324,3539,3695,3565,3537,3536,3552,3552,3414,3001,2863,3693,3677,3686,3566,3100,3361,3156,3349,3288,3091,3410,3274,3202,2820,2976,3333,2877,3199,3251,2991,3210,3218,2773,2591,3377,3385,3366,3298
3100,3340,3017,3319,2880,3170,3198,2852,3029,2644,2996,3342,2968,3142,2896,2908,3141,2780,2752,2509,3372,3352,3331,3091,3464,3675,3474,3624,3522,3469,3626,3187,3388,3326,3541,3693,3569,3530,3524,3552,3552,3414,3001,2863,3693,3677,3686,3566,3101,3361,3155,3351,3284,3091,3411,3275,3199,2822,2971,3331,2875,3200,3249,2991,3210,3218,2773,2591,3377,3385,3366,3300
3099,3328,3026,3318,2877,3141,3192,2852,3029,2644,2996,3342,2968,3142,2896,2912,3151,2774,2744,2514,3376,3350,3343,3093,3472,3673,3477,3621,3515,3466,3631,3187,3388,3326,3541,3693,3569,3530,3524,3555,3550,3410,2999,2870,3695,3682,3685,3558,3101,3363,3157,3347,3288,3081,3410,3275,3199,2822,2971,3331,2875,3200,3249,2993,3220,3214,2763,2592,3374,3376,3368,3297
3099,3328,3026,3318,2877,3141,3192,2848,3034,2649,2996,3349,2972,3149,2900,2915,3151,2774,2748,2520,3377,3346,3342,3096,3472,3673,3477,3621,3515,3466,3631,3186,3386,3324,3541,3693,3565,3537,3536,3563,3550,3417,3001,2865,3701,3682,3687,3568,3101,3363,3157,3347,3288,3081,3410,3266,3204,2824,2975,3331,2881,3197,3250,2996,3217,3212,2775,2587,3373,3389,3371,3286
3095,3344,3027,3308,2886,3171,3203,2828,3031,2644,2993,3345,2974,3143,2899,2909,3154,2778,2746,2520,3377,3346,3342,3096,3466,3663,3475,3620,3515,3467,3628,3176,3385,3325,3548,3686,3566,3530,3534,3560,3556,3409,2998,2865,3701,3682,3687,3568,3100,3358,3157,3352,3286,3087,3412,3282,3199,2819,2970,3337,2878,3196,3253,2995,3216,3220,2774,2587,3373,3389,3371,3286
3099,3342,3031,3315,2881,3171,3205,2847,3036,2643,2993,3345,2974,3143,2899,2909,3154,2778,2746,2521,3378,3353,3338,3096,3469,3674,3470,3618,3513,3459,3626,3184,3396,3324,3539,3686,3566,3530,3534,3560,3556,3409,2998,2871,3695,3679,3688,3572,3093,3358,3151,3349,3278,3079,3409,3278,3191,2823,2969,3337,2878,3196,3253,2995,3216,3220,2774,2589,3371,3380,3370,3297
3092,3342,3018,3315,2881,3171,3205,2847,3036,2643,2993,3341,2972,3140,2895,2912,3152,2777,2747,2521,3382,3352,3339,3098,3468,3671,3473,3618,3513,3459,3626,3184,3396,3324,3539,3689,3568,3539,3529,3556,3550,3409,3001,2872,3696,3672,3687,3560,3097,3362,3160,3349,3278,3079,3409,3278,3191,2823,2969,3335,2877,3197,3243,2990,3214,3221,2775,2589,3377,3376,3371,3293
3092,3342,3018,3316,2883,3159,3200,2851,3036,2637,2996,3335,2975,3141,2907,2904,3141,2779,2748,2524,3377,3350,3340,3098,3468,3671,3473,3628,3518,3460,3631,3186,3386,3322,3540,3695,3570,3538,3530,3553,3545,3415,2999,2875,3698,3675,3691,3560,3097,3362,3160,3348,3290,3091,3407,3276,3200,2817,2976,3334,2881,3190,3246,2995,3221,3217,2773,2585,3379,3380,3375,3293
3095,3349,3023,3321,2879,3170,3200,2851,3034,2628,2993,3350,2972,3144,2894,2904,3141,2779,2748,2524,3377,3350,3340,3081,3469,3668,3475,3623,3519,3469,3626,3186,3387,3325,3541,3686,3570,3538,3527,3553,3545,3415,2999,2875,3698,3675,3691,3564,3101,3357,3155,3341,3289,3089,3410,3279,3204,2816,2972,3335,2878,3200,3253,2995,3221,3217,2773,2585,3379,3380,3375,3297
