ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3519,3686,3594,3638,3240,3584,3678,3501,3531,3446,3520,3684,3537,3506,3412,3494,3513,3468,3005,2842,3695,3671,3657,3495
3523,3686,3588,3642,3241,3587,3678,3501,3531,3446,3520,3684,3537,3506,3412,3500,3521,3469,3010,2840,3693,3657,3663,3501
3523,3686,3588,3642,3241,3587,3678,3496,3528,3446,3519,3683,3524,3510,3413,3487,3518,3472,3003,2835,3694,3667,3658,3504
3519,3680,3588,3655,3234,3586,3686,3503,3537,3449,3520,3688,3531,3499,3410,3493,3515,3472,3011,2835,3694,3667,3658,3504
3517,3687,3592,3645,3238,3593,3681,3499,3531,3445,3525,3688,3531,3499,3410,3493,3515,3472,3011,2842,3689,3660,3666,3503
3521,3689,3590,3645,3238,3593,3681,3499,3531,3445,3525,3682,3531,3493,3405,3492,3518,3473,3009,2842,3686,3667,3662,3500
3521,3689,3590,3651,3245,3590,3676,3504,3537,3445,3519,3682,3530,3487,3410,3491,3512,3461,3001,2838,3694,3668,3659,3500
3519,3690,3592,3650,3242,3584,3677,3497,3531,3445,3519,3685,3530,3501,3409,3491,3512,3461,3001,2838,3694,3668,3659,3497
3529,3690,3589,3651,3240,3587,3682,3497,3531,3445,3519,3685,3530,3501,3409,3496,3516,3464,3000,2837,3692,3669,3664,3494
3529,3690,3589,3651,3240,3587,3682,3508,3532,3443,3517,3686,3522,3475,3411,3491,3521,3471,3002,2834,3697,3669,3664,3497
3526,3687,3590,3646,3242,3586,3667,3512,3535,3442,3522,3685,3527,3498,3408,3491,3516,3469,3003,2834,3697,3669,3664,3497
3520,3687,3591,3650,3241,3585,3685,3507,3529,3446,3521,3685,3527,3498,3408,3491,3516,3469,3003,2841,3690,3667,3656,3493
3519,3688,3590,3650,3241,3585,3685,3507,3529,3446,3521,3668,3529,3502,3408,3484,3516,3468,3002,2840,3691,3672,3661,3494
3519,3688,3590,3646,3240,3585,3677,3501,3533,3442,3523,3684,3533,3496,3414,3488,3519,3470,3011,2840,3691,3666,3666,3494
3516,3689,3596,3649,3233,3583,3679,3506,3531,3440,3514,3686,3532,3505,3408,3488,3519,3470,3011,2840,3691,3666,3666,3497
3519,3687,3586,3640,3240,3583,3682,3506,3531,3440,3514,3686,3532,3505,3408,3492,3512,3470,3009,2841,3698,3667,3660,3503
3519,3687,3586,3640,3240,3583,3682,3502,3527,3437,3521,3686,3532,3500,3416,3489,3514,3467,3008,2838,3692,3667,3662,3497
3519,3662,3591,3639,3238,3588,3682,3494,3523,3446,3514,3685,3530,3504,3415,3488,3514,3472,3007,2838,3692,3667,3662,3497
3522,3687,3590,3644,3245,3586,3685,3502,3536,3444,3517,3685,3530,3504,3415,3488,3514,3472,3007,2841,3697,3664,3664,3498
3519,3688,3592,3644,3245,3586,3685,3502,3536,3444,3517,3685,3534,3498,3416,3490,3516,3475,3009,2835,3696,3667,3666,3501
3519,3688,3592,3638,3245,3587,3670,3505,3529,3444,3522,3683,3531,3496,3410,3498,3518,3476,3013,2841,3687,3669,3662,3501
3524,3681,3590,3647,3248,3590,3684,3501,3534,3444,3519,3683,3527,3502,3414,3498,3518,3476,3013,2841,3687,3669,3662,3500
3520,3688,3591,3647,3243,3583,3682,3501,3534,3444,3519,3683,3527,3502,3414,3494,3513,3470,3006,2833,3692,3668,3665,3499
3520,3688,3591,3647,3243,3583,3682,3506,3538,3444,3519,3678,3524,3499,3412,3491,3512,3474,3000,2838,3690,3668,3661,3493
3518,3684,3585,3647,3244,3584,3673,3503,3536,3449,3518,3684,3531,3499,3411,3494,3522,3465,3006,2838,3690,3668,3661,3493
3523,3678,3589,3650,3250,3587,3672,3506,3534,3443,3522,3684,3531,3499,3411,3494,3522,3465,3006,2833,3691,3672,3664,3496
3514,3685,3591,3650,3250,3587,3672,3506,3534,3443,3522,3676,3523,3502,3418,3494,3515,3468,3005,2840,3696,3666,3662,3501
3514,3685,3591,3646,3243,3582,3674,3503,3535,3447,3519,3672,3530,3500,3415,3488,3518,3472,3007,2841,3696,3657,3660,3501
3522,3688,3588,3649,3245,3584,3680,3507,3530,3448,3525,3683,3526,3501,3409,3488,3518,3472,3007,2841,3696,3657,3660,3496
3521,3686,3597,3644,3234,3584,3680,3507,3530,3448,3525,3683,3526,3501,3409,3496,3511,3468,3003,2841,3694,3665,3667,3498
3521,3686,3597,3644,3234,3584,3680,3502,3530,3441,3513,3660,3529,3501,3412,3490,3506,3472,3005,2839,3694,3670,3661,3502
3520,3686,3587,3642,3241,3583,3677,3499,3526,3437,3517,3692,3527,3501,3416,3496,3517,3468,3005,2839,3694,3670,3661,3502
3518,3686,3591,3643,3247,3590,3677,3497,3530,3445,3513,3692,3527,3501,3416,3496,3517,3468,3005,2839,3689,3660,3667,3503
3521,3684,3595,3643,3247,3590,3677,3497,3530,3445,3513,3685,3530,3493,3412,3491,3510,3472,3007,2840,3690,3662,3658,3507
3521,3684,3595,3647,3241,3591,3676,3503,3536,3446,3520,3684,3526,3496,3415,3490,3515,3469,3010,2838,3693,3673,3661,3507
3526,3684,3588,3651,3245,3586,3681,3508,3532,3451,3520,3682,3523,3506,3418,3490,3515,3469,3010,2838,3693,3673,3661,3504
3518,3685,3595,3647,3239,3587,3678,3508,3532,3451,3520,3682,3523,3506,3418,3488,3513,3468,3002,2833,3690,3667,3664,3500
3518,3685,3595,3647,3239,3587,3678,3500,3534,3443,3515,3683,3522,3497,3416,3492,3519,3470,3011,2837,3696,3668,3665,3489
3522,3688,3597,3648,3236,3585,3674,3496,3532,3446,3516,3683,3533,3494,3420,3498,3516,3471,3010,2837,3696,3668,3665,3489
3524,3683,3591,3648,3236,3582,3673,3508,3534,3445,3519,3683,3533,3494,3420,3498,3516,3471,3010,2841,3692,3673,3670,3498
3518,3680,3590,3648,3236,3582,3673,3508,3534,3445,3519,3682,3509,3499,3417,3494,3512,3468,3004,2836,3696,3668,3662,3499
3518,3680,3590,3651,3232,3590,3675,3499,3532,3445,3520,3678,3529,3493,3412,3496,3518,3462,3003,2838,3692,3670,3662,3499
3522,3684,3594,3647,3240,3590,3678,3502,3532,3445,3519,3669,3531,3499,3411,3496,3518,3462,3003,2838,3692,3670,3662,3500
3521,3692,3588,3646,3234,3583,3684,3502,3532,3445,3519,3669,3531,3499,3411,3497,3513,3465,3006,2836,3697,3657,3659,3497
3521,3692,3588,3646,3234,3583,3684,3510,3533,3446,3516,3683,3526,3499,3416,3485,3510,3470,3003,2842,3692,3664,3664,3497
3530,3689,3594,3643,3229,3588,3678,3500,3532,3444,3513,3673,3529,3498,3415,3491,3515,3461,3008,2842,3692,3664,3664,3497
3522,3692,3596,3648,3234,3586,3678,3503,3530,3442,3512,3673,3529,3498,3415,3491,3515,3461,3008,2842,3696,3671,3660,3502
3519,3688,3588,3648,3234,3586,3678,3503,3530,3442,3512,3678,3527,3501,3413,3490,3512,3471,3009,2840,3690,3652,3659,3499
3519,3688,3588,3635,3239,3586,3683,3497,3526,3447,3515,3684,3528,3491,3413,3494,3507,3472,3008,2835,3689,3666,3653,3499
3524,3681,3571,3647,3239,3586,3682,3503,3533,3446,3520,3686,3529,3500,3419,3494,3507,3472,3008,2835,3689,3666,3653,3498
3523,3684,3588,3642,3238,3587,3677,3503,3533,3446,3520,3686,3529,3500,3419,3492,3513,3467,3010,2839,3696,3669,3661,3503
3523,3684,3588,3642,3238,3587,3677,3498,3526,3424,3517,3684,3521,3499,3413,3491,3514,3466,3012,2840,3693,3674,3662,3498
3521,3684,3589,3647,3241,3586,3673,3495,3535,3447,3520,3682,3529,3497,3411,3491,3514,3470,3009,2840,3693,3674,3662,3498
3519,3680,3590,3646,3240,3579,3681,3504,3526,3452,3518,3682,3529,3497,3411,3491,3514,3470,3009,2841,3696,3666,3661,3499
3525,3685,3590,3646,3240,3579,3681,3504,3526,3452,3518,3681,3527,3497,3413,3496,3514,3468,3010,2838,3693,3671,3663,3499
3525,3685,3590,3649,3238,3589,3681,3501,3532,3447,3527,3682,3490,3500,3413,3492,3516,3472,3005,2839,3700,3669,3662,3499
3512,3693,3591,3651,3240,3585,3679,3506,3535,3450,3516,3688,3532,3497,3414,3492,3516,3472,3005,2839,3700,3669,3662,3499
3518,3689,3589,3647,3238,3585,3678,3506,3535,3450,3516,3688,3532,3497,3414,3493,3513,3462,3011,2838,3691,3673,3661,3490
3518,3689,3589,3647,3238,3585,3678,3499,3534,3444,3518,3676,3528,3506,3414,3491,3516,3468,3011,2842,3694,3642,3662,3494
3516,3690,3594,3650,3234,3583,3680,3502,3530,3444,3522,3678,3530,3501,3413,3497,3510,3466,3012,2842,3694,3642,3662,3494
3522,3689,3590,3652,3237,3583,3675,3502,3535,3444,3518,3678,3530,3501,3413,3497,3510,3466,3012,2846,3692,3659,3658,3503
3519,3686,3592,3652,3237,3583,3675,3502,3535,3444,3518,3683,3530,3501,3387,3495,3514,3467,3006,2842,3696,3666,3659,3494
3519,3686,3592,3645,3239,3583,3678,3505,3536,3440,3516,3688,3529,3503,3409,3496,3514,3470,3010,2841,3693,3670,3662,3494
3519,3687,3591,3632,3238,3585,3678,3501,3531,3435,3518,3689,3536,3490,3410,3496,3514,3470,3010,2841,3693,3670,3662,3499
3523,3674,3594,3643,3243,3585,3683,3501,3531,3435,3518,3689,3536,3490,3410,3493,3509,3478,3005,2834,3689,3666,3653,3499
3523,3674,3594,3643,3243,3585,3683,3500,3524,3452,3519,3688,3530,3493,3403,3493,3510,3472,3008,2839,3697,3671,3660,3501
3521,3686,3583,3644,3243,3594,3679,3504,3526,3444,3519,3685,3521,3499,3409,3490,3514,3470,3013,2839,3697,3671,3660,3501
3524,3689,3592,3660,3240,3583,3676,3506,3530,3446,3521,3685,3521,3499,3409,3490,3514,3470,3013,2841,3691,3670,3664,3501
3520,3692,3586,3660,3240,3583,3676,3506,3530,3446,3521,3683,3524,3500,3417,3493,3515,3470,3007,2828,3691,3666,3662,3500
3520,3692,3586,3649,3242,3579,3675,3505,3523,3444,3519,3674,3530,3503,3412,3492,3519,3459,3009,2840,3692,3668,3662,3500
3525,3685,3595,3654,3238,3583,3682,3504,3533,3451,3518,3681,3534,3498,3414,3492,3519,3459,3009,2840,3692,3668,3662,3494
