ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3113,3355,3059,3343,3036,3199,3220,2771,3040,2730,3024,3332,2996,3164,2976,2939,3147,2289,2749,2565,3395,3380,3367,3207,3546,3698,3604,3676,3511,3586,3709,3486,3529,3454,3506,3666,3317,3253,2833,3110,3025,3113,2862,2750,3685,3673,3621,3481,3125,3376,3182,3356,3298,3109,3423,3290,3210,2832,2995,3347,2906,3208,3256,3008,3226,3224,2783,2600,3389,3391,3372,3301
3118,3358,3058,3343,3036,3199,3220,2771,3040,2730,3024,3344,2996,3158,2995,2945,3160,2289,2751,2564,3400,3378,3368,3205,3557,3694,3600,3676,3511,3586,3709,3486,3529,3454,3506,3667,3313,3247,2830,3108,3025,3117,2886,2750,3695,3674,3625,3474,3125,3376,3186,3356,3298,3109,3423,3290,3210,2832,2995,3354,2904,3202,3258,3012,3221,3225,2774,2595,3391,3396,3385,3302
3118,3358,3058,3346,3039,3197,3225,2766,3034,2730,3023,3355,3002,3160,2990,2937,3154,2290,2752,2563,3400,3382,3367,3205,3557,3694,3600,3677,3512,3591,3703,3486,3530,3455,3512,3669,3315,3252,2830,3107,3016,3106,2891,2748,3688,3684,3620,3474,3125,3376,3186,3361,3296,3111,3414,3283,3211,2838,3002,3346,2905,3208,3261,3011,3230,3229,2782,2597,3391,3388,3379,3302
3125,3353,3064,3345,3041,3194,3220,2769,3047,2729,3024,3357,2998,3160,2990,2937,3154,2290,2752,2563,3400,3382,3367,3212,3560,3700,3602,3671,3510,3590,3706,3494,3524,3460,3509,3662,3310,3253,2829,3107,3016,3106,2891,2748,3688,3684,3620,3474,3128,3370,3179,3362,3293,3102,3416,3285,3211,2842,3000,3346,2905,3212,3258,3011,3230,3229,2782,2597,3391,3388,3379,3301
3124,3353,3059,3343,3040,3196,3189,2769,3047,2729,3024,3357,2998,3160,2990,2945,3160,2278,2747,2563,3395,3375,3368,3203,3549,3700,3600,3671,3510,3588,3710,3494,3524,3460,3509,3662,3310,3253,2829,3105,3013,3114,2887,2748,3688,3668,3594,3482,3129,3375,3185,3365,3292,3106,3418,3285,3211,2842,3000,3346,2905,3212,3258,3011,3231,3228,2775,2598,3391,3393,3380,3301
3124,3353,3059,3343,3040,3196,3189,2765,3040,2729,3025,3355,2999,3165,2989,2941,3156,2295,2751,2561,3398,3376,3369,3191,3549,3700,3600,3671,3510,3588,3710,3499,3526,3454,3512,3664,3311,3249,2832,3102,3022,3117,2892,2747,3692,3675,3614,3471,3129,3375,3185,3365,3292,3106,3418,3290,3212,2835,3000,3339,2905,3213,3257,3010,3217,3226,2774,2601,3383,3396,3380,3302
3118,3355,3059,3334,3040,3200,3166,2762,3032,2718,3029,3353,3002,3154,2995,2947,3156,2287,2757,2561,3398,3376,3369,3191,3554,3699,3608,3675,3501,3593,3702,3495,3529,3456,3506,3669,3310,3249,2833,3099,3020,3112,2889,2747,3692,3675,3614,3471,3128,3372,3180,3360,3291,3105,3422,3285,3203,2826,3000,3353,2906,3207,3256,3010,3230,3225,2782,2601,3383,3396,3380,3302
3127,3349,3058,3346,3037,3198,3228,2764,3044,2732,3025,3353,3002,3154,2995,2947,3156,2287,2757,2557,3401,3380,3368,3214,3550,3706,3601,3678,3514,3586,3708,3498,3529,3444,3507,3669,3310,3249,2833,3099,3020,3112,2889,2746,3686,3668,3619,3487,3128,3379,3178,3360,3297,3112,3417,3286,3207,2836,3001,3353,2906,3207,3256,3010,3230,3225,2782,2594,3390,3394,3372,3303
3129,3363,3051,3346,3037,3198,3228,2764,3044,2732,3025,3355,2994,3166,2992,2946,3160,2297,2750,2565,3401,3379,3365,3194,3554,3690,3603,3678,3514,3586,3708,3498,3529,3444,3507,3666,3311,3250,2832,3100,3023,3114,2887,2741,3686,3676,3611,3488,3130,3376,3187,3360,3297,3112,3417,3286,3207,2836,3001,3353,2906,3201,3261,3010,3228,3229,2778,2599,3391,3385,3379,3307
3129,3363,3051,3343,3042,3196,3232,2763,3034,2734,3026,3352,3006,3158,2988,2948,3149,2288,2751,2564,3389,3387,3367,3194,3554,3690,3603,3673,3509,3588,3702,3492,3528,3459,3510,3666,3310,3245,2796,3103,3025,3115,2889,2744,3697,3674,3619,3488,3130,3376,3187,3365,3300,3109,3417,3288,3211,2837,3004,3345,2898,3212,3261,3015,3230,3228,2771,2600,3383,3388,3380,3307
3124,3354,3055,3345,3035,3195,3230,2759,3033,2731,3025,3349,2997,3161,2989,2948,3149,2288,2751,2564,3389,3387,3367,3211,3558,3697,3608,3682,3512,3592,3703,3497,3515,3460,3508,3674,3310,3253,2823,3103,3025,3115,2889,2744,3697,3674,3619,3481,3119,3373,3179,3360,3304,3112,3414,3284,3210,2835,3003,3352,2905,3209,3258,3015,3230,3228,2771,2600,3383,3388,3380,3303
3123,3357,3058,3346,3038,3196,3226,2759,3033,2731,3025,3349,2997,3161,2989,2943,3157,2292,2747,2564,3396,3379,3366,3212,3556,3698,3603,3678,3514,3591,3710,3497,3515,3460,3508,3674,3310,3253,2823,3103,3026,3118,2882,2750,3691,3672,3621,3482,3128,3378,3183,3364,3296,3110,3419,3284,3210,2835,3003,3352,2905,3209,3258,3011,3227,3227,2781,2598,3389,3384,3379,3307
