ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3514,3684,3568,3653,3484,3555,3697,3529,3540,3454,3533,3689,3565,3486,3210,3546,3494,3455,3018,2888,3682,3656,3639,3435
3514,3684,3568,3653,3484,3555,3697,3530,3547,3450,3536,3683,3570,3484,3196,3547,3496,3455,3023,2880,3684,3657,3643,3436
3505,3681,3570,3657,3477,3544,3696,3533,3536,3449,3534,3681,3570,3477,3204,3539,3498,3454,3020,2880,3684,3657,3643,3436
3515,3682,3568,3653,3481,3546,3694,3543,3536,3449,3534,3681,3570,3477,3204,3539,3498,3454,3020,2880,3683,3648,3637,3438
3507,3679,3568,3653,3481,3546,3694,3543,3536,3449,3534,3681,3566,3480,3214,3543,3494,3454,3019,2878,3684,3656,3635,3436
3507,3679,3568,3658,3477,3549,3696,3529,3543,3448,3533,3680,3562,3488,3210,3544,3502,3441,3020,2888,3680,3659,3638,3436
3508,3682,3570,3656,3480,3549,3698,3537,3542,3450,3532,3682,3566,3477,3213,3544,3502,3441,3020,2888,3680,3659,3638,3435
3515,3689,3568,3659,3483,3523,3694,3537,3542,3450,3532,3682,3566,3477,3213,3543,3501,3453,3014,2878,3684,3653,3639,3435
3515,3689,3568,3659,3483,3523,3694,3533,3539,3448,3534,3680,3567,3487,3211,3546,3496,3455,3020,2885,3684,3654,3639,3436
3508,3688,3568,3655,3475,3537,3693,3532,3542,3439,3535,3688,3560,3488,3213,3540,3497,3454,3018,2885,3684,3654,3639,3436
3513,3680,3563,3658,3480,3549,3704,3536,3543,3449,3540,3688,3560,3488,3213,3540,3497,3454,3018,2888,3682,3653,3632,3428
3510,3680,3567,3658,3480,3549,3704,3536,3543,3449,3540,3679,3569,3488,3211,3541,3501,3456,3020,2887,3680,3654,3642,3433
3510,3680,3567,3656,3465,3545,3697,3533,3541,3450,3525,3680,3566,3487,3207,3541,3494,3457,3024,2889,3678,3658,3639,3433
3504,3677,3569,3646,3476,3545,3698,3536,3537,3445,3533,3680,3574,3491,3209,3541,3494,3457,3024,2889,3678,3658,3639,3439
3505,3655,3566,3648,3480,3545,3697,3536,3537,3445,3533,3680,3574,3491,3209,3550,3491,3446,3027,2884,3685,3656,3647,3436
3505,3655,3566,3648,3480,3545,3697,3532,3540,3450,3535,3690,3571,3479,3204,3545,3499,3459,3020,2894,3688,3654,3639,3442
3504,3676,3558,3652,3476,3554,3698,3536,3546,3449,3537,3684,3568,3483,3208,3550,3496,3453,3019,2894,3688,3654,3639,3442
3506,3677,3552,3656,3483,3546,3675,3539,3540,3445,3535,3684,3568,3483,3208,3550,3496,3453,3019,2883,3686,3656,3636,3434
3506,3682,3564,3656,3483,3546,3675,3539,3540,3445,3535,3682,3570,3488,3203,3547,3505,3456,3024,2890,3681,3661,3638,3434
3506,3682,3564,3643,3483,3544,3689,3542,3544,3448,3538,3685,3566,3488,3206,3547,3496,3452,3024,2878,3684,3661,3644,3434
3508,3680,3563,3653,3476,3544,3698,3538,3536,3451,3533,3684,3568,3487,3208,3547,3496,3452,3024,2878,3684,3661,3644,3434
3502,3682,3571,3652,3478,3546,3699,3538,3536,3451,3533,3684,3568,3487,3208,3550,3495,3438,3019,2885,3686,3654,3638,3434
3502,3682,3571,3652,3478,3546,3699,3532,3544,3457,3534,3680,3571,3485,3207,3551,3496,3448,3024,2889,3680,3658,3638,3432
3505,3671,3566,3652,3484,3546,3697,3533,3542,3449,3535,3686,3565,3492,3208,3546,3493,3448,3021,2889,3680,3658,3638,3432
3506,3674,3565,3659,3476,3552,3697,3537,3541,3453,3527,3686,3565,3492,3208,3546,3493,3448,3021,2886,3682,3657,3641,3422
3508,3681,3570,3659,3476,3552,3697,3537,3541,3453,3527,3679,3567,3485,3207,3547,3498,3450,3022,2885,3684,3653,3638,3428
3508,3681,3570,3652,3478,3546,3697,3544,3541,3457,3534,3675,3571,3490,3208,3546,3497,3447,3021,2889,3681,3652,3633,3428
3508,3686,3572,3650,3480,3549,3699,3537,3542,3451,3533,3686,3566,3490,3211,3546,3497,3447,3021,2889,3681,3652,3633,3432
3506,3678,3562,3657,3479,3547,3698,3537,3542,3451,3533,3686,3566,3490,3211,3542,3493,3453,3024,2888,3684,3649,3647,3422
3506,3678,3562,3657,3479,3547,3698,3540,3546,3461,3529,3682,3573,3490,3214,3541,3498,3444,3024,2890,3680,3652,3638,3435
3503,3681,3566,3655,3482,3546,3702,3540,3541,3451,3532,3684,3569,3488,3209,3538,3505,3453,3023,2890,3680,3652,3638,3435
3500,3676,3564,3648,3478,3545,3699,3538,3542,3447,3535,3684,3569,3488,3209,3538,3505,3453,3023,2890,3681,3644,3633,3432
3502,3678,3565,3648,3478,3545,3699,3538,3542,3447,3535,3684,3570,3494,3212,3554,3492,3456,3026,2892,3682,3653,3634,3434
3502,3678,3565,3651,3479,3545,3695,3534,3539,3450,3535,3684,3574,3490,3199,3552,3501,3457,3027,2886,3676,3659,3634,3434
3501,3681,3564,3652,3481,3545,3699,3531,3541,3454,3528,3684,3579,3484,3206,3552,3501,3457,3027,2886,3676,3659,3634,3432
3503,3673,3558,3647,3478,3546,3696,3531,3541,3454,3528,3684,3579,3484,3206,3548,3504,3458,3023,2888,3678,3648,3642,3434
3503,3673,3558,3647,3478,3546,3696,3534,3539,3455,3534,3683,3570,3484,3210,3553,3507,3454,3025,2885,3680,3653,3639,3432
3501,3675,3564,3653,3474,3545,3698,3533,3551,3457,3536,3681,3568,3488,3206,3554,3498,3444,3022,2885,3680,3653,3639,3432
3502,3679,3560,3651,3481,3543,3686,3533,3545,3456,3528,3681,3568,3488,3206,3554,3498,3444,3022,2894,3680,3653,3637,3428
3499,3678,3561,3651,3481,3543,3686,3533,3545,3456,3528,3682,3574,3484,3207,3550,3503,3456,3022,2888,3680,3651,3640,3432
3499,3678,3561,3649,3486,3545,3692,3527,3544,3453,3534,3688,3568,3488,3203,3552,3498,3453,3020,2892,3679,3653,3637,3432
3508,3680,3567,3651,3478,3534,3694,3539,3543,3451,3535,3682,3565,3492,3200,3552,3498,3453,3020,2892,3679,3653,3637,3433
3507,3683,3565,3652,3475,3547,3692,3539,3543,3451,3535,3682,3565,3492,3200,3547,3498,3455,3016,2890,3679,3655,3633,3429
3507,3683,3565,3652,3475,3547,3692,3539,3540,3450,3530,3686,3553,3493,3202,3547,3499,3455,3019,2891,3684,3648,3640,3434
3502,3686,3563,3651,3472,3547,3696,3534,3541,3454,3529,3682,3568,3487,3203,3547,3497,3453,3021,2891,3684,3648,3640,3434
3506,3675,3556,3646,3476,3545,3695,3532,3542,3451,3535,3682,3568,3487,3203,3547,3497,3453,3021,2888,3678,3656,3637,3433
