ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3320,3556,3545,3612,3494,3585,3711,3571,3571,3563,3279,3531,3511,3444,3455,3568,3533,3517,3048,2952,3584,3583,3568,3478
3319,3553,3546,3608,3496,3583,3697,3571,3571,3563,3279,3531,3511,3444,3455,3566,3535,3526,3042,2955,3583,3586,3567,3474
3319,3553,3546,3608,3496,3583,3697,3563,3579,3555,3284,3534,3514,3439,3453,3569,3536,3522,3047,2951,3584,3583,3563,3468
3318,3563,3547,3607,3494,3583,3704,3563,3579,3553,3278,3534,3514,3441,3455,3568,3532,3517,3051,2951,3584,3583,3563,3468
3316,3554,3547,3605,3491,3583,3709,3567,3577,3554,3275,3534,3514,3441,3455,3568,3532,3517,3051,2958,3582,3582,3567,3467
3317,3552,3548,3605,3491,3583,3709,3567,3577,3554,3275,3525,3512,3438,3450,3569,3541,3517,3051,2957,3580,3582,3566,3472
3317,3552,3548,3610,3501,3585,3704,3565,3577,3558,3272,3531,3514,3437,3455,3565,3523,3523,3048,2962,3578,3583,3566,3472
3316,3552,3544,3608,3498,3584,3707,3564,3580,3547,3267,3526,3513,3437,3458,3565,3523,3523,3048,2962,3578,3583,3566,3464
3315,3551,3552,3593,3501,3589,3705,3564,3580,3547,3267,3526,3513,3437,3458,3560,3533,3518,3050,2956,3587,3575,3564,3471
3315,3551,3552,3593,3501,3589,3705,3567,3579,3549,3274,3530,3516,3437,3450,3564,3532,3522,3056,2955,3577,3575,3565,3477
3318,3557,3549,3600,3500,3591,3702,3571,3574,3557,3274,3537,3510,3432,3448,3565,3529,3530,3052,2955,3577,3575,3565,3477
3322,3552,3555,3614,3498,3590,3704,3561,3579,3557,3275,3537,3510,3432,3448,3565,3529,3530,3052,2951,3583,3583,3567,3478
3327,3531,3549,3614,3498,3590,3704,3561,3579,3557,3275,3531,3511,3435,3447,3556,3535,3530,3047,2954,3583,3576,3567,3479
3327,3531,3549,3613,3506,3587,3706,3565,3570,3549,3285,3533,3507,3438,3455,3560,3532,3520,3052,2954,3588,3583,3574,3479
3331,3545,3551,3617,3500,3590,3704,3557,3579,3552,3282,3529,3507,3436,3440,3560,3532,3520,3052,2954,3588,3583,3574,3478
3329,3566,3559,3614,3501,3588,3699,3557,3579,3552,3282,3529,3507,3436,3440,3559,3537,3523,3051,2949,3587,3589,3566,3469
3329,3566,3559,3614,3501,3588,3699,3569,3572,3554,3287,3528,3499,3436,3450,3557,3537,3517,3057,2952,3592,3587,3573,3478
