ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3092,3338,3025,3313,2878,3152,3198,2822,3030,2632,2984,3307,2961,3137,2897,2911,3147,2777,2744,2522,3370,3350,3338,3091,3195,3499,3557,3611,3518,3593,3708,3588,3590,3546,3015,3404,3464,3419,3466,3544,3536,3536,3055,2954,3534,3570,3533,3470,3099,3353,3154,3347,3285,3086,3405,3274,3201,2815,2974,3319,2879,3196,3249,2988,3219,3215,2771,2586,3378,3380,3366,3290
3092,3338,3025,3305,2868,3168,3194,2844,3034,2628,2994,3336,2967,3140,2856,2898,3151,2778,2746,2520,3372,3344,3342,3091,3195,3499,3557,3619,3524,3584,3715,3588,3581,3549,3012,3405,3462,3414,3465,3541,3543,3539,3056,2952,3534,3568,3533,3470,3099,3353,3154,3348,3280,3085,3402,3261,3195,2818,2973,3334,2873,3199,3247,2990,3219,3212,2770,2588,3377,3369,3367,3290
3093,3342,3011,3311,2879,3166,3194,2841,3036,2629,2990,3337,2970,3137,2900,2898,3151,2778,2746,2520,3372,3344,3342,3093,3188,3504,3554,3618,3514,3583,3715,3583,3581,3556,3009,3396,3461,3413,3461,3541,3543,3539,3056,2952,3534,3568,3533,3474,3090,3358,3152,3347,3286,3087,3406,3272,3192,2812,2973,3334,2878,3196,3239,2990,3219,3212,2770,2588,3377,3369,3367,3294
3083,3337,3021,3317,2867,3138,3186,2841,3036,2629,2990,3337,2970,3137,2900,2903,3145,2776,2745,2516,3380,3348,3341,3093,3187,3495,3544,3610,3517,3584,3716,3583,3581,3556,3009,3396,3461,3413,3461,3546,3542,3536,3060,2952,3536,3559,3529,3456,3097,3361,3152,3348,3279,3082,3412,3272,3192,2812,2973,3334,2878,3196,3239,2991,3220,3215,2768,2587,3371,3377,3369,3296
3083,3337,3021,3317,2867,3138,3186,2846,3010,2634,2986,3320,2964,3145,2889,2900,3150,2763,2747,2521,3382,3341,3330,3084,3187,3495,3544,3610,3517,3584,3716,3588,3582,3563,3012,3408,3465,3414,3460,3552,3542,3545,3055,2953,3538,3553,3533,3476,3097,3361,3152,3348,3279,3082,3412,3276,3195,2815,2970,3337,2876,3191,3244,2991,3219,3214,2772,2588,3374,3377,3373,3296
3092,3343,3023,3323,2872,3166,3197,2843,3040,2639,2984,3339,2963,3141,2906,2898,3149,2776,2744,2521,3382,3341,3330,3084,3186,3500,3557,3618,3519,3592,3713,3583,3585,3556,3014,3409,3462,3410,3466,3541,3544,3551,3058,2953,3538,3553,3533,3476,3094,3356,3156,3337,3286,3045,3411,3274,3197,2787,2974,3332,2878,3190,3243,2992,3215,3213,2766,2588,3374,3377,3373,3296
3093,3340,3021,3304,2870,3169,3181,2848,3015,2623,2976,3339,2963,3141,2906,2898,3149,2776,2744,2520,3373,3341,3340,3084,3186,3492,3557,3617,3516,3590,3719,3580,3586,3557,3015,3409,3462,3410,3466,3541,3544,3551,3058,2947,3536,3572,3528,3475,3099,3359,3156,3347,3282,3083,3412,3272,3200,2808,2973,3332,2878,3190,3243,2992,3215,3213,2766,2584,3374,3383,3364,3296
3091,3344,3021,3304,2870,3169,3181,2848,3015,2623,2976,3341,2959,3142,2898,2907,3138,2764,2745,2517,3378,3346,3329,3097,3185,3496,3556,3617,3516,3590,3719,3580,3586,3557,3015,3410,3463,3415,3452,3548,3541,3543,3056,2952,3536,3571,3533,3476,3093,3346,3157,3347,3282,3083,3412,3272,3200,2808,2973,3335,2878,3195,3244,2991,3214,3218,2770,2583,3377,3376,3371,3290
3091,3344,3021,3308,2871,3164,3191,2839,3034,2627,2979,3343,2970,3142,2905,2900,3142,2780,2742,2521,3370,3348,3333,3097,3185,3496,3556,3608,3525,3590,3718,3583,3582,3563,3015,3407,3466,3415,3457,3544,3546,3548,3056,2954,3538,3568,3541,3476,3093,3346,3157,3349,3281,3082,3413,3275,3196,2811,2977,3327,2876,3198,3249,2995,3218,3217,2764,2587,3376,3383,3371,3290
3089,3331,3020,3301,2878,3168,3196,2836,3032,2634,2983,3340,2966,3140,2897,2900,3142,2780,2742,2521,3370,3348,3333,3092,3182,3499,3551,3616,3517,3587,3714,3565,3582,3558,3016,3410,3466,3402,3468,3544,3546,3548,3056,2954,3538,3568,3541,3473,3094,3360,3153,3349,3282,3082,3405,3273,3200,2813,2970,3322,2875,3200,3244,2995,3218,3217,2764,2587,3376,3383,3371,3295
3098,3339,3016,3315,2877,3159,3200,2836,3032,2634,2983,3340,2966,3140,2897,2912,3142,2778,2745,2514,3376,3350,3335,3094,3186,3490,3553,3626,3515,3585,3717,3565,3582,3558,3016,3410,3466,3402,3468,3546,3543,3532,3053,2954,3530,3569,3536,3464,3099,3352,3154,3350,3277,3083,3405,3273,3200,2813,2970,3322,2875,3200,3244,2994,3216,3218,2774,2587,3380,3382,3374,3290
3098,3339,3016,3315,2877,3159,3200,2842,3029,2611,2983,3332,2886,3140,2905,2895,3137,2780,2737,2518,3376,3349,3328,3077,3186,3490,3553,3626,3515,3585,3717,3581,3570,3562,3014,3417,3466,3413,3466,3547,3541,3547,3061,2950,3538,3574,3536,3473,3099,3352,3154,3350,3277,3083,3405,3268,3196,2812,2974,3333,2877,3195,3244,2990,3218,3218,2770,2586,3373,3375,3369,3295
3082,3342,3020,3312,2868,3160,3194,2843,3031,2633,2991,3338,2968,3144,2902,2905,3141,2778,2747,2518,3376,3349,3328,3077,3188,3494,3556,3622,3522,3586,3708,3582,3582,3554,3015,3404,3456,3409,3467,3551,3543,3539,3053,2950,3538,3574,3536,3473,3093,3360,3118,3344,3281,3089,3410,3274,3198,2813,2973,3330,2880,3190,3246,2984,3217,3216,2769,2586,3373,3375,3369,3295
3083,3333,3020,3315,2859,3149,3192,2822,3032,2638,2991,3338,2968,3144,2902,2905,3141,2778,2747,2518,3375,3348,3330,3090,3187,3506,3554,3621,3519,3588,3711,3586,3584,3553,3014,3404,3456,3409,3467,3551,3543,3539,3053,2953,3537,3574,3528,3474,3097,3357,3157,3344,3286,3086,3402,3273,3196,2811,2974,3330,2880,3190,3246,2984,3217,3216,2769,2585,3378,3372,3367,3294
3085,3333,3022,3315,2859,3149,3192,2822,3032,2638,2991,3334,2968,3131,2902,2907,3148,2768,2738,2520,3377,3348,3335,3079,3187,3504,3552,3621,3519,3588,3711,3586,3584,3553,3014,3404,3464,3414,3469,3549,3540,3537,3052,2951,3543,3571,3541,3469,3090,3356,3154,3344,3286,3086,3402,3273,3196,2811,2974,3334,2870,3201,3251,2992,3219,3214,2770,2588,3370,3380,3358,3292
3085,3333,3022,3319,2867,3164,3195,2846,3031,2635,2987,3340,2970,3139,2902,2912,3144,2774,2745,2515,3377,3329,3328,3079,3187,3504,3552,3615,3520,3582,3718,3589,3588,3556,3017,3403,3464,3418,3466,3542,3539,3550,3050,2953,3539,3574,3535,3469,3090,3356,3154,3342,3287,3082,3404,3272,3200,2808,2968,3336,2876,3193,3246,2985,3215,3215,2773,2588,3378,3373,3366,3292
3086,3338,3015,3320,2858,3167,3183,2828,3029,2631,2990,3346,2956,3137,2904,2912,3144,2774,2745,2515,3377,3329,3328,3083,3187,3500,3553,3621,3517,3587,3722,3585,3583,3554,3030,3414,3467,3419,3468,3542,3539,3550,3050,2953,3539,3574,3535,3472,3094,3354,3157,3344,3283,3086,3409,3262,3199,2811,2974,3330,2874,3195,3251,2985,3215,3215,2773,2588,3378,3373,3366,3294
3084,3330,3023,3308,2879,3165,3190,2828,3029,2631,2990,3346,2956,3137,2904,2906,3151,2775,2741,2522,3377,3341,3338,3079,3187,3502,3551,3616,3506,3588,3716,3585,3583,3554,3030,3414,3467,3419,3468,3547,3546,3536,3062,2952,3538,3569,3537,3478,3093,3348,3158,3344,3277,3087,3409,3262,3199,2811,2974,3330,2874,3195,3251,2991,3219,3218,2772,2587,3375,3383,3368,3296
