ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3124,3358,3056,3341,3017,3185,3231,2765,3037,2727,3018,3350,2950,3162,2987,2929,3156,2283,2753,2553,3396,3366,3364,3206,3504,3671,3559,3621,3342,3541,3681,3540,3542,3446,3555,3670,3603,3506,3372,3583,3553,3516,3034,2896,3650,3593,3575,3252,3127,3372,3176,3358,3300,3107,3423,3286,3207,2836,2994,3347,2907,3208,3261,2967,3229,3226,2779,2596,3384,3399,3385,3303
3126,3361,3053,3345,3035,3195,3229,2765,3037,2727,3018,3350,2950,3162,2987,2929,3148,2272,2743,2560,3401,3367,3362,3205,3509,3669,3560,3624,3346,3537,3680,3540,3542,3446,3555,3670,3603,3506,3372,3582,3546,3513,3040,2898,3653,3589,3570,3253,3118,3376,3181,3361,3298,3107,3419,3286,3207,2836,2994,3347,2907,3208,3261,3016,3223,3223,2777,2590,3389,3397,3379,3300
3126,3361,3053,3345,3035,3195,3229,2763,3039,2720,3017,3357,2994,3158,2984,2940,3154,2285,2752,2562,3400,3362,3367,3203,3509,3669,3560,3624,3346,3537,3680,3547,3540,3445,3559,3683,3600,3506,3370,3576,3540,3518,3034,2896,3650,3589,3576,3253,3118,3376,3181,3361,3298,3107,3419,3284,3207,2837,3000,3346,2908,3206,3263,3011,3232,3224,2779,2592,3386,3390,3385,3305
3126,3346,3057,3347,3034,3193,3222,2749,3038,2729,3025,3348,2998,3165,2983,2935,3149,2270,2760,2562,3400,3362,3367,3203,3507,3674,3560,3621,3338,3547,3678,3545,3538,3443,3553,3680,3609,3505,3360,3580,3542,3519,3040,2896,3650,3589,3576,3253,3129,3375,3185,3360,3294,3108,3422,3282,3214,2837,2999,3346,2904,3208,3257,3016,3229,3227,2781,2592,3386,3390,3385,3305
3127,3356,3056,3344,3027,3194,3222,2760,3039,2728,3020,3348,2998,3165,2983,2935,3149,2270,2760,2562,3391,3377,3370,3195,3507,3666,3563,3627,3331,3541,3682,3545,3538,3446,3560,3680,3609,3505,3360,3580,3542,3519,3040,2896,3653,3590,3574,3253,3127,3361,3183,3356,3300,3109,3419,3284,3209,2838,2999,3346,2904,3208,3257,3016,3229,3227,2781,2595,3385,3395,3387,3309
3118,3347,3057,3344,3027,3194,3222,2760,3039,2728,3020,3351,2995,3165,2982,2937,3153,2278,2753,2565,3398,3364,3360,3200,3505,3666,3557,3627,3331,3541,3682,3545,3538,3446,3560,3675,3608,3509,3372,3581,3547,3524,3039,2896,3650,3577,3571,3258,3125,3369,3184,3356,3300,3109,3419,3284,3209,2838,2999,3347,2910,3206,3260,3008,3229,3226,2780,2589,3389,3394,3386,3308
3118,3347,3057,3342,3039,3194,3219,2768,3039,2726,3021,3344,2989,3166,2989,2941,3147,2272,2744,2565,3392,3376,3364,3200,3505,3666,3557,3616,3340,3542,3680,3538,3540,3432,3557,3682,3605,3500,3369,3576,3546,3519,3035,2894,3649,3588,3568,3258,3125,3369,3184,3364,3302,3099,3420,3284,3209,2837,3001,3340,2907,3212,3260,3013,3222,3222,2777,2595,3385,3392,3382,3308
3120,3353,3051,3345,3018,3181,3230,2768,3036,2730,3023,3341,2991,3160,2985,2941,3147,2272,2744,2565,3392,3376,3364,3200,3511,3662,3553,3622,3329,3545,3685,3540,3540,3448,3558,3684,3606,3504,3374,3576,3546,3519,3035,2894,3649,3588,3568,3259,3126,3376,3173,3362,3296,3085,3418,3286,3190,2832,3003,3345,2906,3212,3248,3013,3222,3222,2777,2595,3385,3392,3382,3305
3122,3360,3056,3339,3034,3181,3227,2768,3036,2730,3023,3341,2991,3160,2985,2937,3139,2271,2752,2562,3395,3377,3368,3198,3503,3661,3554,3615,3334,3546,3678,3540,3540,3448,3558,3684,3606,3504,3374,3580,3546,3523,3035,2894,3655,3592,3578,3259,3124,3378,3184,3360,3299,3104,3419,3286,3190,2832,3003,3345,2906,3212,3248,3009,3231,3220,2778,2599,3381,3394,3386,3302
3122,3360,3056,3339,3034,3181,3227,2762,3037,2713,3020,3347,2995,3162,2986,2936,3160,2279,2749,2565,3397,3375,3351,3207,3503,3661,3554,3615,3334,3546,3678,3538,3531,3422,3557,3682,3604,3501,3378,3583,3551,3522,3037,2895,3653,3594,3575,3258,3124,3378,3184,3360,3299,3104,3419,3289,3211,2835,3000,3349,2907,3212,3253,3013,3227,3223,2777,2595,3389,3390,3368,3304
