ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3502,3662,3543,3638,3477,3523,3683,3510,3520,3422,3570,3692,3610,3476,3075,3591,3488,3428,3013,2889,3689,3656,3634,3474
3502,3662,3543,3638,3477,3523,3683,3505,3523,3424,3572,3693,3604,3474,3077,3583,3496,3413,3017,2887,3659,3659,3637,3471
3505,3677,3542,3648,3480,3526,3684,3504,3529,3428,3571,3695,3607,3484,3076,3586,3487,3420,3020,2887,3659,3659,3637,3471
3495,3678,3538,3638,3476,3515,3668,3512,3526,3424,3574,3695,3607,3484,3076,3586,3487,3420,3020,2894,3685,3658,3634,3472
3496,3673,3539,3638,3476,3515,3668,3512,3526,3424,3574,3697,3609,3483,3078,3585,3482,3419,3017,2890,3686,3660,3646,3472
3496,3673,3539,3639,3479,3512,3677,3505,3521,3423,3571,3694,3612,3481,3084,3591,3488,3402,3019,2893,3686,3656,3640,3472
3498,3681,3541,3633,3474,3516,3678,3512,3522,3422,3569,3696,3612,3492,3084,3591,3488,3402,3019,2893,3686,3656,3640,3472
3499,3681,3531,3632,3474,3512,3677,3512,3522,3422,3569,3696,3612,3492,3084,3598,3492,3399,3020,2894,3685,3661,3634,3472
3499,3681,3531,3632,3474,3512,3677,3512,3522,3417,3573,3697,3612,3484,3090,3591,3487,3417,3018,2897,3684,3658,3638,3486
3495,3683,3525,3641,3477,3505,3676,3509,3521,3424,3578,3693,3611,3490,3091,3601,3477,3421,3018,2897,3684,3658,3638,3486
3492,3677,3530,3636,3478,3513,3681,3513,3523,3426,3573,3693,3611,3490,3091,3601,3477,3421,3018,2896,3688,3661,3625,3474
3493,3666,3530,3636,3478,3513,3681,3513,3523,3426,3573,3694,3611,3490,3085,3595,3487,3416,3017,2896,3684,3644,3638,3480
3493,3666,3530,3643,3478,3515,3674,3502,3524,3424,3568,3699,3608,3490,3077,3597,3480,3416,3014,2893,3684,3652,3642,3480
3492,3673,3533,3639,3480,3514,3678,3511,3531,3421,3573,3697,3612,3482,3075,3597,3480,3416,3014,2893,3684,3652,3642,3480
3494,3677,3531,3637,3487,3517,3682,3511,3531,3421,3573,3697,3612,3482,3075,3591,3482,3413,3016,2891,3678,3662,3642,3482
3494,3677,3531,3637,3487,3517,3682,3518,3516,3433,3570,3692,3614,3491,3050,3595,3486,3412,3016,2888,3685,3651,3638,3480
3494,3674,3534,3641,3483,3518,3670,3509,3523,3424,3572,3701,3611,3482,3071,3592,3480,3405,3021,2888,3685,3651,3638,3480
3494,3675,3528,3640,3482,3518,3680,3505,3523,3436,3568,3701,3611,3482,3071,3592,3480,3405,3021,2891,3685,3662,3637,3474
3501,3680,3532,3640,3482,3518,3680,3505,3523,3436,3568,3693,3612,3482,3073,3595,3481,3406,3014,2897,3685,3659,3638,3476
3501,3680,3532,3641,3484,3515,3690,3516,3518,3429,3574,3691,3595,3483,3068,3588,3482,3412,3007,2886,3688,3658,3628,3476
3492,3680,3536,3635,3490,3513,3677,3507,3528,3427,3576,3694,3606,3477,3068,3588,3482,3412,3007,2886,3688,3658,3628,3477
3502,3679,3543,3638,3484,3526,3678,3507,3528,3427,3576,3694,3606,3477,3068,3590,3466,3403,3018,2889,3686,3654,3642,3480
3502,3679,3543,3638,3484,3526,3678,3515,3522,3424,3566,3685,3606,3482,3070,3585,3480,3409,3018,2890,3685,3661,3639,3474
3506,3684,3540,3643,3481,3515,3688,3510,3523,3421,3571,3698,3602,3483,3069,3582,3480,3404,3014,2890,3685,3661,3639,3474
3503,3679,3540,3637,3485,3528,3684,3509,3520,3426,3568,3698,3602,3483,3069,3582,3480,3404,3014,2891,3684,3656,3631,3480
3505,3678,3544,3637,3485,3528,3684,3509,3520,3426,3568,3685,3603,3486,3069,3586,3481,3410,3015,2890,3690,3660,3630,3476
3505,3678,3544,3634,3477,3523,3681,3512,3523,3433,3568,3693,3606,3481,3077,3584,3489,3411,3012,2888,3685,3664,3638,3476
3509,3682,3544,3627,3481,3530,3680,3501,3525,3432,3565,3697,3601,3476,3074,3584,3489,3411,3012,2888,3685,3664,3638,3475
3503,3674,3547,3640,3475,3530,3677,3501,3525,3432,3565,3697,3601,3476,3074,3576,3480,3414,3014,2886,3683,3661,3642,3486
3503,3674,3547,3640,3475,3530,3677,3516,3526,3433,3569,3698,3602,3479,3082,3583,3486,3413,3013,2886,3688,3662,3641,3483
3504,3677,3539,3646,3476,3532,3680,3505,3516,3431,3566,3692,3613,3484,3081,3583,3491,3412,3017,2886,3688,3662,3641,3483
