ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3514,3664,3631,3662,3470,3633,3700,3446,3520,3478,3244,3524,2719,3048,3004,2525,2770,3060,2750,2521,3631,3623,3533,3434
3518,3664,3631,3662,3470,3633,3700,3446,3520,3471,3245,3521,2722,3048,3006,2530,2767,3063,2750,2516,3628,3640,3536,3438
3518,3657,3624,3671,3472,3637,3700,3443,3505,3481,3239,3525,2714,3053,3016,2528,2772,3066,2750,2520,3631,3640,3536,3438
3518,3666,3619,3674,3475,3631,3702,3424,3513,3476,3245,3521,2722,3053,3016,2528,2772,3066,2750,2520,3631,3626,3535,3439
3517,3647,3626,3672,3468,3631,3702,3424,3513,3476,3245,3521,2722,3052,3021,2530,2778,3075,2743,2527,3630,3633,3541,3436
3517,3647,3626,3672,3468,3630,3699,3433,3519,3480,3245,3514,2720,3055,3014,2533,2779,3072,2747,2521,3628,3639,3539,3435
3517,3659,3627,3679,3468,3629,3704,3456,3509,3475,3243,3521,2728,3056,3026,2538,2778,3072,2747,2521,3628,3639,3539,3435
3525,3661,3625,3676,3476,3628,3690,3451,3516,3475,3243,3521,2728,3056,3026,2538,2778,3077,2752,2525,3628,3636,3542,3440
3517,3661,3625,3676,3476,3628,3690,3451,3516,3474,3245,3523,2723,3051,3025,2538,2771,3080,2747,2519,3624,3637,3529,3434
3517,3666,3626,3670,3473,3626,3697,3446,3514,3474,3213,3523,2720,3048,3021,2534,2777,3073,2748,2523,3628,3637,3529,3434
3518,3660,3634,3670,3465,3626,3698,3453,3522,3474,3242,3515,2717,3048,3021,2534,2777,3073,2748,2523,3628,3634,3537,3438
3518,3664,3626,3667,3462,3626,3698,3453,3522,3474,3242,3515,2717,3051,3015,2531,2772,3067,2748,2520,3627,3624,3534,3441
3518,3664,3626,3667,3462,3627,3702,3454,3515,3467,3239,3524,2720,3048,3021,2531,2773,3076,2742,2522,3631,3630,3539,3434
3517,3667,3630,3670,3463,3620,3707,3449,3517,3478,3238,3529,2722,3050,3025,2533,2774,3076,2742,2522,3631,3630,3539,3434
3517,3659,3635,3671,3459,3631,3701,3444,3512,3478,3238,3529,2722,3050,3025,2533,2774,3082,2748,2519,3636,3632,3536,3438
3516,3659,3635,3671,3459,3631,3701,3444,3512,3473,3239,3528,2725,3054,3016,2531,2773,3076,2749,2524,3632,3632,3540,3440
3516,3650,3631,3668,3461,3629,3700,3443,3514,3479,3196,3529,2729,3051,3017,2535,2775,3083,2750,2524,3632,3632,3540,3440
3515,3660,3633,3665,3476,3636,3697,3445,3513,3472,3248,3526,2733,3051,3017,2535,2775,3083,2750,2524,3632,3626,3544,3438
3517,3664,3625,3666,3469,3636,3697,3445,3513,3472,3248,3526,2733,3060,3029,2539,2783,3078,2750,2525,3633,3639,3538,3438
3517,3664,3625,3666,3469,3629,3694,3451,3514,3469,3249,3527,2732,3064,3034,2543,2789,3082,2747,2532,3630,3626,3545,3438
3521,3653,3622,3668,3474,3627,3703,3451,3514,3479,3255,3528,2745,3076,3034,2548,2797,3082,2747,2532,3630,3626,3545,3438
3515,3648,3625,3670,3477,3622,3699,3457,3512,3479,3255,3528,2745,3076,3034,2548,2797,3088,2755,2536,3632,3636,3537,3443
3514,3648,3625,3670,3477,3622,3699,3457,3512,3481,3255,3520,2755,3076,3029,2551,2798,3089,2761,2536,3634,3643,3541,3442
3514,3662,3624,3670,3473,3623,3696,3457,3524,3473,3257,3536,2755,3075,3038,2555,2801,3089,2763,2537,3636,3643,3541,3442
3516,3662,3627,3677,3471,3628,3692,3449,3515,3472,3252,3533,2753,3075,3038,2555,2801,3089,2763,2537,3636,3635,3542,3439
3512,3661,3625,3671,3465,3628,3692,3449,3515,3472,3252,3533,2753,3078,3039,2551,2802,3084,2758,2535,3636,3636,3549,3431
