ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3098,3342,2954,3323,3012,3167,3192,2734,2993,2677,2982,3325,2938,3085,2966,2889,3132,2263,2728,2535,3369,3342,3337,3181,3550,3604,3635,3661,3503,3606,3700,3523,3524,3452,2913,3056,2763,3015,3308,2864,3312,3418,2925,2680,3218,3466,3135,3338,3107,3356,3154,3347,3276,3084,3395,3261,3189,2804,2977,3336,2876,3199,3247,2995,3209,3212,2768,2583,3379,3381,3368,3286
3098,3332,3019,3321,2990,3173,3191,2732,3006,2684,2991,3325,2940,3136,2963,2894,3135,2149,2735,2533,3373,3342,3337,3181,3550,3617,3639,3663,3505,3605,3692,3518,3526,3456,2907,3055,2764,3016,3302,2861,3307,3414,2924,2698,3208,3466,3135,3338,3107,3358,3156,3346,3280,3080,3406,3266,3197,2801,2981,3332,2888,3198,3240,2992,3217,3211,2768,2579,3378,3381,3368,3286
3097,3327,3018,3318,3004,3173,3189,2728,3014,2680,2990,3316,2931,3136,2963,2894,3135,2149,2735,2533,3373,3355,3340,3171,3547,3602,3636,3663,3502,3608,3696,3519,3525,3452,2905,3056,2760,3016,3302,2861,3307,3414,2924,2698,3208,3466,3129,3340,3108,3354,3161,3345,3280,3084,3402,3272,3188,2807,2978,3331,2888,3198,3240,2992,3217,3211,2768,2579,3378,3380,3371,3291
3096,3329,3022,3319,3010,3173,3189,2728,3014,2680,2990,3316,2931,3137,2952,2892,3126,2287,2734,2530,3300,3355,3327,3166,3548,3612,3638,3662,3496,3608,3696,3519,3525,3452,2905,3056,2760,3006,3308,2860,3309,3418,2922,2699,3211,3466,3133,3346,3104,3358,3158,3349,3280,3084,3402,3272,3188,2807,2978,3331,2888,3195,3245,2994,3213,3211,2766,2580,3376,3381,3368,3292
3096,3329,3022,3319,3010,3157,3192,2727,3006,2681,2992,3327,2936,3135,2962,2884,3133,2267,2728,2534,3374,3357,3339,3174,3548,3612,3638,3662,3496,3608,3695,3518,3522,3454,2908,3008,2758,3012,3308,2857,3307,3404,2926,2696,3214,3465,3134,3342,3104,3358,3158,3349,3280,3086,3401,3270,3193,2808,2980,3339,2887,3194,3237,2988,3210,3208,2764,2580,3372,3377,3370,3286
3101,3326,3019,3312,3009,3158,3196,2731,3009,2672,2990,3327,2938,3134,2963,2890,3129,2267,2728,2534,3374,3357,3339,3174,3544,3619,3637,3658,3498,3611,3690,3520,3523,3448,2908,3051,2760,3010,3296,2854,3309,3404,2926,2696,3214,3465,3134,3342,3109,3360,3164,3346,3281,3082,3406,3272,3190,2807,2980,3333,2882,3199,3238,2994,3213,3208,2764,2580,3372,3377,3370,3286
3101,3327,3026,3316,3010,3172,3200,2728,2971,2672,2990,3327,2938,3134,2963,2890,3129,2273,2727,2537,3372,3350,3339,3183,3550,3618,3635,3659,3512,3611,3697,3522,3525,3448,2908,3051,2760,3010,3296,2854,3309,3416,2921,2696,3224,3471,3136,3344,3104,3352,3156,3336,3282,3081,3397,3269,3198,2807,2980,3333,2882,3199,3238,2994,3213,3212,2770,2583,3375,3381,3374,3293
3098,3327,3026,3316,3010,3172,3200,2728,2971,2680,2987,3300,2938,3131,2940,2888,3133,2262,2726,2535,3369,3351,3341,3184,3549,3618,3635,3659,3512,3611,3697,3522,3525,3453,2910,3061,2761,3015,3306,2856,3305,3413,2928,2699,3221,3472,3130,3336,3109,3352,3156,3336,3282,3081,3397,3269,3198,2796,2982,3337,2887,3190,3244,2994,3217,3204,2770,2581,3370,3379,3367,3286
3098,3334,3020,3319,3013,3170,3203,2729,3008,2682,2989,3323,2941,3130,2968,2892,3132,2280,2728,2532,3372,3351,3341,3184,3549,3619,3628,3664,3503,3608,3695,3520,3521,3456,2905,3051,2759,3011,3307,2861,3303,3413,2929,2700,3226,3472,3130,3336,3109,3358,3161,3348,3285,3085,3402,3269,3190,2807,2976,3334,2884,3195,3241,2995,3215,3209,2768,2580,3376,3379,3367,3286
3100,3334,3013,3316,3008,3171,3179,2725,3003,2656,2992,3321,2938,3130,2968,2892,3132,2280,2728,2532,3372,3353,3339,3183,3553,3612,3637,3662,3505,3609,3702,3522,3521,3454,2911,3060,2763,3011,3307,2861,3303,3413,2929,2700,3226,3462,3130,3339,3106,3366,3152,3345,3282,3078,3402,3271,3189,2803,2983,3333,2887,3195,3241,2995,3215,3209,2768,2580,3376,3380,3370,3287
3099,3339,3017,3322,3011,3171,3179,2725,3003,2656,2992,3321,2938,3125,2899,2882,3133,2277,2734,2526,3374,3359,3337,3181,3550,3607,3640,3659,3498,3609,3702,3522,3521,3454,2911,3060,2763,3017,3302,2858,3310,3414,2927,2699,3219,3459,3140,3355,3109,3366,3159,3344,3284,3078,3402,3271,3189,2803,2983,3333,2887,3194,3242,2989,3211,3211,2768,2582,3378,3382,3358,3293
3099,3339,3017,3322,3011,3166,3193,2729,3005,2682,2988,3325,2942,3124,2966,2889,3129,2285,2728,2531,3369,3347,3343,3182,3550,3607,3640,3659,3498,3613,3697,3524,3524,3454,2918,3064,2767,3003,3311,2865,3310,3418,2927,2695,3218,3473,3146,3348,3109,3366,3159,3344,3284,3083,3405,3261,3189,2802,2976,3333,2886,3198,3233,2986,3213,3208,2767,2580,3376,3381,3363,3290
3096,3324,3017,3318,2993,3161,3184,2731,3000,2662,2992,3326,2944,3135,2957,2875,3132,2285,2728,2531,3369,3347,3343,3182,3551,3615,3637,3660,3504,3608,3696,3523,3533,3451,2921,3067,2773,3021,3301,2868,3312,3418,2927,2695,3218,3473,3146,3348,3110,3360,3154,3350,3282,3084,3404,3263,3191,2806,2979,3319,2883,3195,3245,2995,3216,3208,2767,2580,3376,3381,3363,3290
3103,3325,3016,3319,3010,3170,3201,2729,2999,2662,2992,3326,2944,3135,2957,2875,3132,2276,2734,2536,3364,3360,3335,3181,3549,3617,3641,3665,3500,3611,3699,3524,3522,3451,2921,3067,2773,3021,3301,2868,3312,3418,2923,2700,3224,3479,3151,3348,3098,3362,3158,3347,3283,3087,3400,3267,3190,2806,2979,3319,2883,3195,3245,2995,3216,3203,2768,2580,3373,3379,3367,3284
3101,3325,3016,3319,3010,3170,3201,2729,2999,2680,2989,3325,2934,3126,2962,2889,3126,2275,2729,2528,3374,3351,3341,3183,3548,3617,3641,3665,3500,3611,3699,3524,3522,3448,2922,3071,2737,3015,3306,2867,3313,3419,2919,2696,3214,3462,3145,3348,3105,3362,3158,3347,3283,3087,3400,3267,3190,2804,2979,3326,2883,3195,3240,2995,3210,3203,2769,2578,3376,3382,3364,3295
3101,3330,3021,3323,3011,3164,3194,2732,3006,2684,2989,3325,2944,3130,2957,2890,3132,2282,2733,2524,3371,3351,3341,3183,3548,3606,3634,3665,3504,3615,3695,3512,3528,3449,2922,3056,2768,3017,3307,2873,3315,3420,2924,2698,3205,3462,3145,3348,3105,3364,3159,3341,3277,3086,3399,3269,3193,2803,2978,3332,2879,3197,3242,2993,3208,3208,2767,2583,3373,3382,3364,3295
3104,3333,3015,3318,2998,3168,3197,2707,3001,2679,2988,3320,2944,3130,2957,2890,3132,2282,2733,2524,3371,3349,3337,3175,3547,3605,3637,3668,3498,3610,3696,3516,3523,3456,2921,3062,2774,3017,3307,2873,3315,3420,2924,2698,3205,3465,3134,3349,3110,3362,3138,3345,3279,3060,3399,3274,3193,2803,2976,3336,2887,3197,3242,2993,3208,3208,2767,2583,3373,3385,3368,3289
3102,3333,3024,3318,3008,3168,3197,2707,3001,2679,2988,3320,2944,3129,2953,2811,3117,2273,2734,2534,3363,3342,3338,3186,3548,3612,3638,3663,3499,3610,3696,3516,3523,3456,2921,3062,2774,3019,3308,2873,3312,3414,2924,2702,3199,3466,3138,3336,3106,3361,3157,3345,3286,3060,3399,3274,3193,2803,2976,3336,2887,3195,3245,2994,3216,3209,2769,2576,3374,3382,3369,3294
3102,3333,3024,3318,3008,3166,3195,2734,3006,2681,2989,3325,2942,3133,2955,2888,3130,2278,2724,2534,3373,3354,3337,3183,3548,3612,3638,3663,3499,3609,3697,3522,3526,3459,2916,3061,2776,3022,3305,2877,3313,3415,2927,2695,3207,3460,3147,3339,3106,3361,3157,3345,3286,3074,3407,3266,3192,2807,2984,3322,2884,3187,3242,2991,3217,3206,2768,2583,3379,3379,3365,3293
3108,3337,3009,3308,3010,3159,3198,2728,3005,2675,2990,3328,2944,3130,2964,2878,3132,2278,2724,2534,3373,3354,3337,3183,3548,3606,3634,3667,3508,3608,3690,3514,3524,3451,2918,3056,2765,3022,3310,2872,3307,3415,2927,2695,3207,3460,3147,3339,3110,3366,3163,3344,3276,3086,3404,3271,3193,2804,2977,3330,2888,3198,3236,2986,3211,3206,2768,2583,3379,3379,3365,3293
3099,3327,3012,3320,3002,3168,3193,2731,3004,2675,2990,3328,2944,3130,2964,2878,3132,2277,2734,2531,3321,3345,3348,3181,3546,3616,3634,3662,3500,3598,3694,3520,3524,3451,2918,3056,2765,3022,3310,2872,3307,3415,2923,2699,3214,3465,3152,3349,3104,3363,3161,3341,3282,3084,3404,3271,3194,2804,2977,3330,2888,3198,3236,2986,3211,3200,2768,2583,3372,3386,3365,3294
