ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3120,3348,3033,3332,3026,3182,3216,2750,3019,2712,3004,3336,2915,3142,2975,2914,3141,2294,2733,2550,3388,3360,3352,3199,3518,3686,3587,3668,3524,3564,3700,3555,3534,3429,3463,3638,3412,3441,3442,3353,3476,3481,2993,2795,3682,3670,3637,3504,3119,3364,3172,3358,3291,3102,3413,3277,3202,2825,2993,3330,2901,3202,3240,3006,3219,3221,2775,2590,3382,3388,3374,3297
3108,3344,3039,3335,3024,3184,3211,2741,3025,2712,3004,3336,2915,3142,2975,2914,3141,2291,2740,2546,3382,3365,3348,3197,3517,3686,3583,3672,3526,3560,3708,3549,3534,3429,3463,3638,3412,3441,3442,3353,3476,3489,2995,2799,3680,3657,3638,3515,3123,3370,3172,3359,3291,3092,3417,3272,3199,2825,2993,3330,2901,3202,3240,3006,3219,3223,2778,2593,3380,3391,3381,3297
3120,3344,3039,3335,3024,3184,3211,2741,3025,2705,3004,3336,2970,3140,2969,2914,3145,2294,2742,2541,3393,3363,3353,3194,3516,3686,3583,3672,3526,3560,3708,3549,3534,3426,3466,3647,3411,3444,3450,3346,3482,3491,2995,2800,3678,3667,3642,3514,3123,3370,3172,3359,3291,3092,3417,3272,3199,2827,2991,3340,2901,3201,3253,3003,3225,3221,2777,2591,3382,3392,3374,3302
3120,3351,3040,3332,3026,3181,3214,2739,3022,2705,3005,3330,2966,3143,2980,2916,3147,2290,2696,2547,3388,3363,3353,3194,3516,3685,3583,3664,3528,3562,3707,3552,3538,3426,3457,3654,3416,3443,3447,3353,3473,3497,2997,2799,3680,3667,3642,3514,3123,3375,3174,3355,3282,3098,3413,3281,3198,2823,2994,3346,2893,3205,3240,3002,3221,3218,2772,2593,3383,3392,3374,3302
3120,3350,3033,3297,3012,3185,3214,2750,3014,2689,3008,3343,2969,3143,2980,2916,3147,2290,2696,2547,3388,3368,3353,3196,3514,3686,3588,3661,3524,3566,3705,3554,3541,3420,3460,3661,3418,3443,3447,3353,3473,3497,2997,2799,3680,3675,3644,3509,3122,3370,3176,3353,3286,3102,3414,3268,3204,2827,2994,3348,2896,3205,3240,3002,3221,3218,2772,2593,3383,3393,3379,3305
3117,3336,3037,3335,3024,3185,3214,2750,3014,2689,3008,3343,2969,3146,2972,2921,3145,2292,2742,2540,3377,3372,3320,3192,3515,3687,3584,3674,3523,3566,3705,3554,3541,3420,3460,3661,3418,3446,3433,3350,3482,3489,2993,2801,3687,3671,3642,3514,3122,3370,3176,3357,3294,3102,3414,3268,3204,2827,2994,3348,2896,3205,3254,3005,3224,3209,2775,2590,3376,3394,3369,3293
3117,3336,3037,3335,3024,3183,3196,2749,3020,2705,3004,3345,2959,3133,2976,2912,3146,2294,2743,2533,3387,3363,3350,3199,3515,3687,3584,3674,3523,3568,3712,3549,3533,3423,3463,3653,3413,3438,3445,3352,3477,3493,2992,2799,3681,3668,3642,3516,3122,3370,3176,3357,3294,3098,3417,3278,3202,2827,2991,3345,2896,3208,3251,2999,3223,3221,2772,2588,3383,3386,3376,3303
3114,3348,3040,3324,3022,3182,3210,2748,2983,2698,3015,3336,2970,3147,2968,2910,3149,2294,2743,2533,3387,3363,3350,3199,3515,3688,3588,3663,3526,3569,3706,3551,3528,3432,3462,3651,3417,3444,3434,3357,3474,3493,2992,2799,3681,3668,3642,3516,3122,3371,3168,3358,3293,3092,3411,3282,3194,2825,2995,3334,2899,3206,3250,3002,3222,3221,2772,2588,3383,3386,3376,3303
3115,3332,3032,3328,3028,3183,3215,2739,3013,2698,3015,3336,2970,3147,2968,2910,3149,2276,2739,2548,3385,3363,3346,3192,3518,3683,3587,3669,3527,3565,3708,3556,3527,3432,3462,3651,3417,3444,3434,3357,3474,3489,2993,2798,3686,3673,3640,3512,3124,3371,3171,3360,3289,3096,3415,3275,3202,2825,2995,3334,2899,3206,3250,3002,3222,3218,2771,2591,3388,3387,3377,3302
3110,3332,3032,3328,3028,3183,3215,2739,3013,2703,3011,3340,2972,3152,2971,2915,3143,2295,2742,2547,3380,3366,3352,3198,3518,3683,3587,3669,3527,3565,3708,3556,3527,3426,3463,3654,3413,3442,3438,3355,3488,3490,2992,2800,3682,3667,3642,3512,3123,3371,3171,3360,3289,3096,3415,3275,3202,2825,2992,3337,2896,3202,3254,3000,3224,3216,2775,2590,3383,3390,3374,3296
3110,3357,3041,3329,3022,3163,3210,2730,3023,2698,3001,3341,2959,3142,2971,2908,3137,2280,2745,2491,3385,3366,3352,3198,3518,3684,3588,3664,3525,3568,3706,3549,3534,3430,3465,3653,3410,3435,3447,3355,3483,3491,2987,2798,3679,3667,3642,3512,3123,3372,3164,3356,3296,3089,3411,3276,3193,2825,2999,3341,2894,3199,3256,3002,3219,3216,2773,2593,3386,3390,3374,3296
3115,3353,3042,3324,3012,3183,3217,2751,3027,2695,3010,3332,2971,3142,2971,2908,3137,2280,2745,2491,3385,3361,3347,3186,3511,3671,3588,3669,3528,3568,3708,3545,3537,3437,3464,3642,3415,3435,3447,3355,3483,3491,2987,2798,3679,3666,3641,3511,3122,3372,3176,3354,3294,3095,3409,3278,3201,2824,2992,3336,2897,3199,3256,3002,3219,3216,2773,2593,3386,3386,3376,3304
3117,3349,3028,3328,3027,3183,3217,2751,3027,2695,3010,3332,2971,3149,2981,2908,3153,2292,2740,2550,3380,3361,3356,3199,3517,3680,3588,3677,3526,3568,3708,3545,3537,3437,3464,3642,3415,3441,3438,3357,3480,3478,2990,2799,3676,3676,3642,3515,3124,3370,3172,3354,3293,3095,3409,3278,3201,2824,2992,3336,2897,3201,3256,3000,3225,3211,2776,2586,3383,3394,3380,3299
3117,3349,3028,3328,3027,3183,3218,2751,3026,2701,3008,3334,2970,3150,2956,2911,3145,2296,2742,2548,3383,3366,3352,3198,3517,3680,3588,3677,3526,3566,3707,3551,3533,3434,3461,3649,3412,3447,3446,3361,3482,3483,2995,2798,3683,3668,3646,3510,3124,3370,3172,3354,3293,3096,3412,3281,3202,2819,2997,3340,2897,3206,3256,3005,3219,3215,2777,2590,3383,3392,3375,3300
3070,3347,3043,3333,3019,3185,3206,2754,3027,2687,3000,3347,2967,3146,2982,2902,3138,2296,2742,2548,3383,3366,3352,3198,3509,3678,3588,3668,3525,3564,3704,3555,3538,3430,3461,3659,3413,3443,3442,3356,3473,3483,2995,2798,3683,3668,3646,3510,3124,3370,3161,3357,3281,3095,3412,3278,3196,2826,2991,3340,2898,3202,3248,2998,3224,3215,2777,2590,3383,3392,3375,3300
3116,3348,3029,3340,3019,3183,3212,2750,3020,2687,3000,3347,2967,3146,2982,2902,3138,2297,2737,2549,3387,3359,3348,3187,3512,3679,3587,3668,3523,3564,3705,3549,3538,3430,3461,3659,3413,3443,3442,3356,3473,3493,2993,2793,3686,3664,3650,3503,3124,3373,3172,3357,3296,3101,3418,3280,3204,2826,2991,3340,2898,3202,3248,2998,3224,3220,2772,2592,3386,3385,3377,3302
3112,3348,3029,3340,3019,3183,3212,2750,3020,2705,3003,3343,2968,3145,2979,2904,3146,2293,2742,2550,3384,3355,3348,3187,3516,3679,3587,3668,3523,3564,3705,3549,3538,3433,3466,3654,3414,3447,3442,3352,3485,3491,2992,2801,3684,3670,3642,3511,3121,3373,3172,3357,3296,3101,3418,3280,3204,2824,2992,3342,2901,3195,3257,3004,3224,3215,2773,2591,3380,3385,3379,3301
3112,3345,3042,3318,3019,3181,3200,2753,3005,2695,2998,3342,2962,3147,2979,2915,3137,2281,2746,2543,3388,3355,3348,3187,3516,3687,3585,3667,3521,3570,3704,3548,3535,3426,3466,3656,3413,3445,3442,3350,3480,3491,2990,2801,3677,3670,3642,3511,3121,3370,3169,3351,3291,3098,3414,3278,3202,2827,2994,3347,2897,3203,3250,3006,3221,3210,2774,2590,3386,3385,3379,3301
3115,3350,3042,3325,3019,3183,3216,2749,3025,2696,3004,3340,2971,3147,2979,2915,3137,2281,2746,2543,3388,3363,3344,3200,3520,3683,3586,3661,3513,3563,3704,3553,3539,3427,3465,3657,3414,3445,3442,3350,3480,3491,2990,2801,3677,3657,3642,3513,3120,3373,3171,3359,3288,3094,3414,3277,3202,2826,2994,3344,2899,3203,3250,3006,3221,3210,2774,2590,3386,3388,3370,3288
3117,3334,3039,3320,3020,3183,3216,2749,3025,2696,3004,3340,2971,3150,2978,2911,3139,2289,2742,2547,3381,3355,3348,3191,3514,3679,3590,3666,3519,3563,3704,3553,3539,3427,3465,3657,3414,3444,3450,3352,3477,3498,2990,2801,3680,3664,3648,3512,3112,3370,3173,3358,3294,3094,3414,3277,3202,2826,2994,3344,2899,3202,3252,3006,3216,3217,2775,2594,3385,3384,3375,3300
3117,3334,3039,3320,3020,3190,3214,2744,3022,2707,3005,3341,2969,3146,2976,2917,3141,2295,2740,2546,3379,3366,3355,3191,3514,3679,3590,3666,3519,3562,3705,3553,3538,3430,3458,3652,3414,3444,3447,3358,3482,3488,2992,2800,3687,3669,3643,3516,3112,3370,3173,3358,3294,3100,3404,3281,3206,2819,2998,3346,2894,3206,3252,3001,3221,3220,2770,2593,3386,3387,3376,3295
3124,3350,3042,3332,3022,3167,3203,2752,3028,2682,3002,3334,2957,3144,2978,2906,3133,2295,2740,2546,3379,3366,3355,3191,3514,3685,3585,3662,3522,3566,3706,3549,3534,3430,3466,3655,3418,3445,3449,3358,3476,3488,2992,2800,3687,3669,3643,3516,3124,3374,3172,3354,3293,3098,3409,3279,3204,2822,2992,3343,2892,3205,3245,3003,3220,3220,2770,2593,3386,3387,3376,3295
3116,3353,3042,3333,3025,3180,3217,2748,3024,2682,3002,3334,2957,3144,2978,2906,3133,2289,2740,2549,3389,3367,3348,3192,3514,3672,3588,3666,3515,3565,3705,3541,3531,3430,3466,3655,3418,3445,3449,3358,3476,3490,2992,2802,3681,3650,3643,3516,3124,3372,3173,3355,3289,3101,3411,3278,3202,2822,2992,3343,2892,3205,3245,3003,3220,3217,2776,2593,3386,3390,3377,3300
3106,3353,3042,3333,3025,3180,3217,2748,3024,2705,3009,3338,2967,3147,2983,2913,3136,2293,2745,2549,3386,3366,3347,3197,3515,3672,3588,3666,3515,3565,3705,3541,3531,3428,3464,3658,3421,3454,3444,3362,3483,3489,2993,2802,3687,3660,3644,3517,3124,3372,3173,3355,3289,3101,3411,3278,3202,2826,2993,3344,2894,3202,3250,3000,3225,3214,2774,2588,3387,3377,3379,3295
3106,3345,3042,3334,3007,3168,3214,2730,3024,2708,3010,3329,2975,3136,2978,2916,3144,2284,2742,2550,3387,3366,3347,3197,3515,3686,3587,3668,3518,3570,3709,3552,3543,3425,3468,3656,3420,3449,3444,3367,3484,3498,2990,2805,3674,3660,3644,3517,3124,3367,3172,3358,3289,3096,3418,3282,3198,2826,2992,3339,2898,3198,3246,3005,3220,3217,2773,2592,3386,3377,3379,3295
3113,3347,3038,3334,3018,3186,3218,2750,3025,2708,3006,3327,2969,3136,2978,2916,3144,2284,2742,2550,3387,3368,3357,3192,3515,3682,3588,3662,3521,3564,3698,3551,3533,3430,3467,3656,3422,3449,3444,3367,3484,3498,2990,2805,3674,3673,3649,3512,3116,3366,3175,3354,3294,3104,3401,3267,3202,2827,2994,3343,2899,3198,3246,3005,3220,3217,2773,2592,3386,3379,3373,3298
3104,3351,3033,3335,3009,3186,3218,2750,3025,2708,3006,3327,2969,3149,2979,2916,3133,2292,2744,2548,3387,3364,3345,3198,3511,3684,3590,3668,3519,3564,3698,3551,3533,3430,3467,3656,3422,3446,3442,3367,3487,3497,2997,2798,3684,3660,3645,3511,3116,3373,3177,3353,3291,3104,3401,3267,3202,2827,2994,3343,2899,3204,3251,3004,3223,3220,2773,2592,3385,3388,3379,3300
3104,3351,3033,3335,3009,3186,3207,2736,3022,2705,3009,3335,2956,3141,2984,2913,3147,2163,2737,2554,3384,3365,3336,3189,3511,3684,3590,3668,3519,3566,3703,3557,3537,3431,3469,3655,3421,3446,3445,3362,3485,3492,2990,2796,3679,3667,3643,3509,3116,3373,3177,3353,3291,3092,3409,3281,3197,2816,2994,3344,2893,3205,3252,2993,3224,3216,2772,2592,3384,3388,3380,3304
3109,3351,3045,3337,3030,3182,3209,2751,3019,2706,3003,3334,2969,3152,2980,2918,3138,2163,2737,2554,3384,3365,3336,3189,3511,3684,3587,3665,3518,3567,3709,3547,3536,3429,3465,3656,3419,3440,3450,3363,3480,3492,2990,2796,3679,3667,3643,3509,3120,3375,3174,3354,3295,3096,3411,3276,3204,2825,2993,3342,2898,3203,3251,3006,3224,3216,2772,2592,3384,3388,3380,3304
3117,3348,3040,3334,3023,3190,3208,2748,3021,2706,3003,3334,2969,3152,2980,2918,3138,2282,2744,2549,3386,3368,3353,3180,3512,3685,3585,3667,3519,3564,3704,3558,3532,3429,3465,3656,3419,3440,3450,3363,3480,3484,2990,2802,3680,3670,3644,3506,3120,3369,3168,3358,3292,3094,3410,3280,3199,2825,2993,3342,2898,3203,3251,3006,3224,3218,2776,2591,3384,3386,3374,3298
3117,3348,3040,3334,3023,3190,3208,2748,3021,2706,3006,3339,2970,3145,2979,2917,3144,2278,2743,2550,3382,3355,3352,3194,3511,3685,3585,3667,3519,3564,3704,3558,3532,3432,3465,3654,3424,3451,3450,3365,3479,3492,2992,2797,3682,3666,3641,3513,3123,3369,3168,3358,3292,3094,3410,3280,3199,2825,2994,3348,2890,3201,3254,3008,3222,3221,2772,2589,3385,3391,3376,3300
3117,3347,3039,3328,3028,3165,3208,2748,3007,2708,3009,3339,2960,3142,2976,2915,3143,2287,2733,2541,3393,3355,3352,3194,3511,3681,3583,3660,3515,3562,3711,3545,3541,3430,3473,3659,3423,3447,3444,3369,3485,3492,2996,2801,3685,3666,3641,3513,3123,3372,3174,3358,3296,3094,3417,3274,3198,2826,2994,3332,2898,3203,3256,2996,3225,3219,2769,2589,3382,3391,3376,3300
3120,3344,3040,3332,3027,3183,3199,2749,3026,2709,3008,3341,2960,3142,2976,2915,3143,2287,2733,2541,3393,3363,3354,3195,3515,3681,3583,3664,3525,3567,3702,3556,3538,3432,3472,3639,3429,3447,3444,3369,3485,3492,2996,2801,3685,3667,3640,3503,3121,3372,3175,3355,3295,3096,3412,3281,3202,2821,2996,3346,2894,3203,3256,2996,3225,3219,2769,2589,3382,3383,3382,3301
3111,3341,3042,3326,3024,3183,3199,2749,3026,2709,3008,3341,2960,3147,2982,2918,3133,2295,2743,2549,3380,3370,3343,3179,3515,3686,3582,3666,3520,3567,3702,3556,3538,3432,3472,3639,3429,3453,3451,3373,3482,3464,2993,2804,3684,3657,3646,3510,3114,3372,3174,3345,3295,3096,3412,3281,3202,2821,2996,3346,2894,3202,3247,3006,3217,3222,2770,2589,3387,3387,3373,3301
3111,3341,3042,3326,3024,3183,3218,2740,3009,2713,3007,3333,2968,3139,2988,2913,3140,2286,2741,2544,3397,3363,3353,3201,3515,3686,3582,3666,3520,3564,3702,3548,3536,3430,3468,3652,3428,3454,3447,3371,3490,3498,2994,2807,3678,3667,3645,3511,3114,3372,3174,3345,3295,3103,3404,3281,3202,2784,2998,3345,2898,3206,3253,3002,3221,3218,2776,2587,3387,3388,3371,3292
3109,3346,3040,3331,3024,3186,3210,2753,3027,2705,3009,3321,2958,3142,2979,2911,3147,2286,2741,2544,3397,3363,3353,3201,3511,3689,3585,3669,3520,3559,3711,3551,3533,3423,3464,3660,3432,3455,3454,3375,3471,3498,2994,2807,3678,3667,3645,3511,3120,3374,3164,3357,3293,3096,3413,3282,3201,2825,2992,3345,2897,3201,3251,3001,3224,3218,2776,2587,3387,3388,3371,3292
3120,3349,3032,3328,3026,3187,3211,2751,3015,2705,3009,3321,2958,3142,2979,2911,3147,2289,2738,2547,3386,3366,3354,3199,3514,3687,3587,3667,3512,3567,3708,3548,3534,3423,3464,3660,3432,3455,3454,3375,3471,3490,2995,2804,3683,3669,3642,3510,3089,3372,3176,3359,3286,3098,3413,3279,3204,2825,2992,3345,2897,3201,3251,3001,3224,3220,2773,2589,3382,3388,3374,3295
3106,3349,3032,3328,3026,3187,3211,2751,3015,2713,3007,3339,2916,3139,2972,2918,3139,2289,2737,2543,3379,3362,3350,3194,3511,3687,3587,3667,3512,3567,3708,3548,3534,3428,3468,3652,3434,3453,3451,3372,3482,3484,3000,2809,3680,3667,3642,3515,3124,3372,3176,3359,3286,3098,3413,3279,3204,2825,2992,3347,2896,3206,3250,3002,3226,3217,2777,2590,3384,3391,3375,3303
3106,3346,3038,3334,3021,3186,3204,2750,3028,2707,3007,3339,2971,3140,2972,2914,3144,2293,2744,2544,3390,3362,3350,3194,3511,3688,3583,3661,3522,3564,3704,3551,3531,3418,3469,3661,3434,3454,3452,3369,3483,3489,2995,2806,3677,3667,3642,3515,3124,3372,3174,3356,3295,3101,3411,3282,3205,2814,2991,3341,2891,3206,3247,2991,3225,3206,2771,2591,3383,3391,3375,3303
3120,3346,3037,3338,3025,3173,3205,2751,3027,2713,3004,3342,2966,3140,2972,2914,3144,2293,2744,2544,3390,3364,3354,3201,3512,3687,3586,3660,3517,3564,3706,3544,3529,3430,3468,3658,3431,3454,3452,3369,3483,3489,2995,2806,3677,3654,3646,3517,3124,3372,3173,3353,3296,3097,3415,3277,3200,2822,2989,3341,2899,3206,3247,2991,3225,3206,2771,2591,3383,3385,3377,3297
3114,3351,3033,3326,3023,3173,3205,2751,3027,2713,3004,3342,2966,3146,2983,2915,3145,2292,2697,2547,3391,3365,3356,3195,3516,3680,3570,3667,3517,3564,3706,3544,3529,3430,3468,3658,3431,3449,3441,3368,3488,3498,2992,2801,3686,3665,3643,3511,3114,3373,3168,3359,3292,3097,3415,3277,3200,2822,2989,3341,2899,3196,3253,3001,3225,3215,2777,2586,3387,3388,3382,3301
3114,3351,3033,3326,3023,3186,3218,2751,3014,2694,3012,3336,2970,3145,2970,2915,3143,2300,2747,2539,3378,3370,3346,3195,3516,3680,3570,3667,3517,3565,3704,3550,3537,3421,3470,3660,3432,3452,3452,3378,3487,3492,2993,2802,3685,3667,3648,3511,3114,3373,3168,3359,3292,3099,3405,3283,3199,2825,2992,3345,2897,3196,3254,3006,3216,3218,2772,2591,3383,3392,3371,3299
3115,3336,3041,3336,3029,3183,3198,2756,3021,2710,3007,3343,2962,3149,2978,2918,3146,2300,2747,2539,3378,3370,3346,3195,3515,3680,3574,3664,3517,3561,3704,3552,3533,3428,3469,3657,3436,3453,3450,3375,3484,3492,2993,2802,3685,3667,3648,3511,3121,3371,3171,3360,3295,3096,3413,3277,3201,2824,2998,3345,2899,3207,3254,3004,3222,3218,2772,2591,3383,3392,3371,3299
3114,3349,3040,3328,3031,3169,3212,2731,3018,2710,3007,3343,2962,3149,2978,2918,3146,2295,2744,2547,3386,3364,3352,3199,3516,3667,3583,3663,3524,3563,3703,3534,3534,3428,3469,3657,3436,3453,3450,3375,3484,3494,2998,2808,3679,3670,3647,3514,3122,3365,3168,3356,3296,3097,3411,3282,3204,2824,2998,3345,2899,3207,3254,3004,3222,3219,2776,2591,3385,3389,3372,3303
3116,3349,3040,3328,3031,3169,3212,2731,3018,2705,3010,3338,2961,3136,2969,2913,3137,2291,2736,2549,3376,3356,3348,3199,3516,3667,3583,3663,3524,3563,3703,3534,3534,3431,3469,3649,3432,3455,3439,3376,3490,3487,2998,2806,3679,3670,3651,3512,3123,3365,3168,3356,3296,3097,3411,3282,3204,2827,2994,3346,2896,3206,3255,2998,3220,3219,2776,2593,3386,3382,3374,3302
3116,3330,3035,3327,3026,3178,3220,2747,3017,2704,3006,3337,2970,3150,2969,2914,3147,2292,2745,2548,3379,3356,3348,3199,3516,3678,3589,3667,3520,3562,3698,3552,3539,3433,3473,3656,3433,3452,3453,3374,3486,3497,3001,2804,3682,3670,3651,3512,3123,3376,3171,3355,3289,3101,3413,3283,3194,2822,2994,3346,2898,3200,3231,3003,3222,3222,2772,2586,3384,3382,3374,3302
3116,3348,3041,3330,3026,3168,3214,2730,3024,2698,3013,3327,2970,3150,2969,2914,3147,2292,2745,2548,3379,3367,3355,3199,3514,3683,3583,3667,3517,3561,3692,3552,3536,3426,3466,3657,3426,3452,3453,3374,3486,3497,3001,2804,3682,3666,3646,3510,3117,3370,3174,3358,3285,3100,3416,3281,3204,2822,2993,3342,2897,3200,3231,3003,3222,3222,2772,2586,3384,3384,3379,3302
3117,3350,3039,3326,3029,3168,3214,2730,3024,2698,3013,3327,2970,3144,2977,2914,3143,2292,2747,2553,3381,3368,3348,3196,3512,3681,3588,3667,3512,3561,3692,3552,3536,3426,3466,3657,3426,3455,3444,3377,3478,3491,2994,2804,3679,3665,3647,3507,3121,3375,3174,3355,3284,3100,3416,3281,3204,2822,2993,3342,2897,3203,3250,3007,3215,3221,2776,2591,3380,3393,3377,3297
3117,3350,3039,3326,3029,3182,3216,2748,3017,2704,3009,3339,2970,3147,2973,2905,3142,2289,2745,2531,3380,3366,3344,3197,3512,3681,3588,3667,3512,3560,3703,3548,3537,3429,3467,3656,3430,3450,3452,3371,3488,3495,2998,2803,3680,3663,3645,3498,3121,3375,3174,3355,3284,3097,3416,3271,3203,2826,2992,3340,2897,3204,3251,2999,3222,3222,2777,2591,3383,3388,3379,3297
3119,3349,3037,3335,3027,3186,3215,2752,3029,2702,3010,3335,2971,3140,2978,2910,3149,2289,2745,2531,3380,3366,3344,3197,3513,3682,3583,3666,3512,3560,3702,3553,3534,3427,3470,3653,3433,3453,3446,3376,3485,3495,2998,2803,3680,3663,3645,3498,3123,3361,3176,3358,3290,3096,3413,3278,3202,2824,2993,3347,2901,3194,3257,2996,3224,3222,2777,2591,3383,3388,3379,3297
3114,3347,3044,3333,3018,3180,3208,2751,3005,2702,3010,3335,2971,3140,2978,2910,3149,2301,2748,2544,3346,3367,3353,3192,3512,3682,3584,3658,3508,3568,3707,3550,3535,3427,3470,3653,3433,3453,3446,3376,3485,3490,2998,2802,3684,3667,3645,3503,3118,3373,3176,3360,3295,3100,3406,3281,3202,2824,2993,3347,2901,3194,3257,2996,3224,3214,2778,2581,3378,3380,3380,3295
3117,3347,3044,3333,3018,3180,3208,2751,3005,2704,3006,3318,2973,3149,2972,2903,3147,2278,2746,2547,3388,3355,3346,3198,3514,3682,3584,3658,3508,3568,3707,3550,3535,3423,3472,3657,3436,3456,3449,3378,3488,3490,2996,2807,3682,3662,3644,3508,3120,3373,3176,3360,3295,3100,3406,3281,3202,2822,2997,3346,2892,3202,3253,3004,3223,3219,2757,2586,3382,3387,3369,3302
3117,3348,3039,3340,3018,3186,3212,2755,3029,2703,3006,3343,2971,3150,2979,2907,3144,2291,2743,2550,3386,3355,3346,3198,3514,3683,3586,3664,3519,3555,3705,3549,3533,3428,3470,3652,3436,3451,3456,3380,3481,3498,2995,2807,3687,3662,3644,3508,3120,3376,3174,3360,3284,3101,3407,3278,3202,2822,2990,3342,2900,3202,3256,3001,3221,3217,2776,2589,3387,3387,3369,3302
3112,3349,2944,3320,3021,3190,3202,2752,3005,2705,2999,3328,2965,3150,2979,2907,3144,2291,2743,2550,3386,3364,3355,3194,3515,3684,3579,3659,3514,3568,3702,3550,3534,3429,3470,3666,3441,3451,3456,3380,3481,3498,2995,2807,3687,3669,3643,3508,3120,3365,3171,3357,3287,3100,3417,3272,3205,2826,2990,3340,2898,3202,3256,3001,3221,3217,2776,2589,3387,3390,3377,3299
3116,3349,3039,3324,3019,3190,3202,2752,3005,2705,2999,3328,2965,3141,2981,2916,3139,2283,2741,2544,3386,3366,3346,3203,3512,3679,3584,3664,3508,3568,3702,3550,3534,3429,3470,3666,3441,3460,3446,3384,3490,3497,2998,2808,3682,3659,3646,3510,3123,3365,3176,3355,3297,3100,3417,3272,3205,2826,2990,3340,2898,3204,3253,3002,3220,3217,2777,2591,3386,3387,3374,3301
3116,3349,3039,3324,3019,3181,3213,2750,3024,2705,3001,3344,2973,3145,2962,2905,3142,2302,2741,2550,3382,3356,3355,3195,3512,3679,3584,3664,3508,3562,3704,3546,3532,3428,3470,3666,3444,3459,3454,3381,3490,3495,2995,2805,3682,3664,3647,3511,3123,3365,3176,3355,3297,3099,3414,3281,3200,2819,2996,3345,2897,3206,3252,3005,3216,3218,2773,2589,3384,3386,3374,3302
3113,3336,3040,3331,3025,3188,3216,2751,3023,2711,3002,3339,2968,3148,2976,2911,3139,2302,2741,2550,3382,3356,3355,3195,3514,3671,3582,3661,3518,3565,3706,3548,3538,3424,3473,3659,3438,3459,3457,3387,3490,3495,2995,2805,3682,3664,3647,3511,3121,3374,3176,3356,3292,3098,3411,3275,3206,2824,2996,3338,2894,3204,3249,2998,3219,3218,2773,2589,3384,3386,3374,3302
3119,3347,3041,3331,3021,3167,3209,2751,3028,2711,3002,3339,2968,3148,2976,2911,3139,2293,2742,2545,3383,3356,3354,3194,3515,3680,3580,3669,3518,3563,3700,3551,3534,3424,3473,3659,3438,3459,3457,3387,3490,3496,2993,2805,3677,3669,3647,3507,3120,3376,3174,3350,3294,3095,3417,3283,3200,2824,2996,3338,2894,3204,3249,2998,3219,3220,2776,2593,3385,3389,3376,3302
3118,3347,3041,3331,3021,3167,3209,2751,3028,2680,2996,3338,2959,3146,2981,2910,3135,2108,2739,2548,3383,3368,3341,3184,3514,3680,3580,3669,3518,3563,3700,3551,3534,3422,3476,3656,3438,3457,3451,3387,3487,3496,3000,2802,3682,3661,3650,3512,3123,3376,3174,3350,3294,3095,3417,3283,3200,2816,2990,3346,2898,3195,3254,3004,3215,3222,2771,2585,3386,3389,3359,3299
3118,3346,3039,3331,3030,3180,3216,2751,3025,2711,3005,3334,2971,3144,2977,2910,3136,2287,2744,2550,3378,3368,3341,3184,3514,3682,3585,3663,3521,3562,3706,3550,3539,3430,3476,3658,3435,3456,3458,3378,3486,3494,2993,2796,3680,3661,3650,3512,3123,3366,3175,3354,3291,3098,3412,3275,3198,2826,2992,3345,2894,3202,3247,3007,3223,3217,2776,2591,3382,3389,3359,3299
