ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3541,3688,3632,3683,3551,3626,3722,3548,3552,3479,3314,3579,2935,3196,3342,2857,3282,3426,2918,2696,3657,3667,3595,3511
3541,3688,3632,3690,3544,3624,3735,3550,3553,3484,3310,3563,2936,3192,3345,2862,3266,3416,2918,2697,3658,3672,3584,3511
3539,3685,3631,3692,3556,3628,3734,3551,3551,3483,3316,3564,2939,3196,3341,2862,3266,3416,2918,2697,3658,3672,3584,3511
3538,3686,3629,3676,3552,3624,3726,3551,3551,3483,3316,3564,2939,3196,3341,2864,3274,3413,2921,2696,3652,3668,3588,3509
3538,3686,3629,3676,3552,3624,3726,3537,3550,3481,3313,3574,2953,3194,3342,2869,3272,3415,2920,2696,3663,3663,3589,3512
3539,3689,3627,3693,3556,3621,3730,3543,3553,3481,3323,3577,2958,3211,3355,2882,3272,3418,2920,2696,3663,3663,3589,3512
3537,3682,3618,3690,3560,3624,3723,3550,3546,3478,3322,3577,2958,3211,3355,2882,3272,3418,2920,2692,3660,3669,3592,3512
3533,3675,3629,3690,3560,3624,3723,3550,3546,3478,3322,3572,2970,3224,3358,2894,3282,3417,2922,2701,3657,3667,3594,3519
3533,3675,3629,3692,3553,3626,3726,3552,3557,3482,3333,3578,2985,3229,3364,2896,3282,3416,2919,2691,3661,3664,3602,3519
3534,3683,3622,3695,3555,3615,3725,3547,3549,3482,3333,3584,2990,3234,3366,2896,3282,3416,2919,2691,3661,3664,3602,3514
3536,3686,3619,3694,3550,3618,3720,3547,3549,3482,3333,3584,2990,3234,3366,2911,3297,3428,2918,2694,3668,3672,3599,3511
3536,3686,3619,3694,3550,3618,3720,3548,3547,3482,3338,3586,3007,3252,3371,2917,3297,3416,2923,2693,3663,3670,3600,3516
3530,3680,3625,3691,3549,3615,3724,3543,3548,3480,3341,3582,3009,3253,3375,2925,3305,3423,2918,2693,3663,3670,3600,3516
3539,3685,3626,3690,3554,3624,3727,3550,3550,3483,3338,3582,3009,3253,3375,2925,3305,3423,2918,2700,3671,3675,3598,3510
3528,3683,3625,3690,3554,3624,3727,3550,3550,3483,3338,3577,3012,3253,3372,2917,3304,3406,2918,2699,3669,3662,3600,3519
3528,3683,3625,3687,3560,3622,3729,3549,3548,3484,3340,3580,3009,3250,3370,2907,3293,3424,2922,2698,3666,3659,3599,3519
