ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3535,3673,3633,3668,3350,3635,3678,3359,3504,3486,3364,3598,3162,3296,3242,3035,3267,3230,2871,2670,3647,3637,3583,3434
3535,3673,3633,3668,3350,3639,3683,3354,3508,3489,3365,3593,3170,3304,3246,3048,3275,3231,2874,2679,3647,3637,3572,3440
3529,3676,3632,3660,3346,3637,3668,3357,3507,3485,3372,3594,3179,3299,3246,3055,3271,3231,2874,2679,3647,3637,3572,3440
3536,3670,3634,3667,3342,3642,3670,3349,3509,3485,3372,3594,3179,3299,3246,3055,3271,3232,2875,2674,3647,3640,3586,3439
3526,3670,3634,3667,3342,3642,3670,3349,3509,3483,3371,3587,3182,3305,3242,3058,3273,3221,2873,2681,3648,3625,3579,3439
3526,3675,3635,3661,3340,3636,3683,3347,3503,3477,3373,3595,3183,3306,3239,3052,3266,3232,2872,2677,3645,3625,3579,3439
3533,3671,3632,3658,3345,3647,3676,3350,3503,3486,3368,3602,3182,3306,3239,3052,3266,3232,2872,2677,3645,3635,3561,3435
3533,3669,3637,3664,3338,3647,3676,3350,3503,3486,3368,3602,3182,3305,3234,3047,3258,3229,2876,2674,3652,3633,3571,3437
3533,3669,3637,3664,3338,3647,3674,3349,3506,3481,3371,3600,3181,3298,3230,3043,3273,3225,2870,2676,3644,3626,3582,3429
3536,3674,3638,3656,3345,3639,3673,3347,3504,3482,3369,3601,3182,3305,3238,3044,3272,3225,2870,2676,3644,3626,3582,3429
3532,3673,3635,3659,3345,3642,3672,3352,3506,3482,3369,3601,3182,3305,3238,3044,3272,3227,2877,2671,3649,3632,3556,3440
3534,3673,3635,3659,3345,3642,3672,3352,3506,3481,3371,3599,3183,3307,3246,3064,3277,3244,2878,2672,3651,3635,3580,3438
3534,3669,3625,3663,3342,3640,3673,3350,3507,3489,3370,3604,3192,3310,3247,3063,3281,3240,2877,2682,3641,3635,3580,3438
3539,3670,3636,3650,3341,3639,3675,3357,3498,3482,3378,3601,3202,3310,3247,3063,3281,3240,2877,2682,3641,3630,3583,3444
3536,3664,3631,3659,3341,3639,3675,3357,3498,3482,3378,3601,3202,3318,3243,3079,3283,3249,2884,2688,3647,3634,3583,3438
3536,3664,3631,3659,3341,3640,3674,3334,3502,3488,3376,3600,3201,3304,3252,3088,3287,3235,2881,2690,3644,3642,3582,3428
3529,3668,3629,3660,3340,3624,3669,3350,3501,3493,3378,3606,3203,3315,3250,3085,3288,3235,2881,2690,3644,3642,3582,3428
3537,3670,3635,3660,3338,3633,3664,3352,3503,3493,3378,3606,3203,3315,3250,3085,3288,3244,2885,2687,3654,3635,3583,3436
3532,3670,3635,3660,3338,3633,3664,3352,3503,3483,3376,3600,3198,3321,3250,3083,3280,3249,2884,2683,3647,3638,3581,3435
3532,3672,3634,3659,3339,3632,3673,3353,3504,3483,3382,3594,3205,3310,3250,3083,3288,3248,2879,2688,3650,3638,3581,3435
3533,3669,3632,3660,3335,3636,3674,3357,3507,3478,3379,3596,3204,3310,3250,3083,3288,3248,2879,2688,3650,3638,3582,3438
3535,3675,3630,3658,3330,3636,3674,3357,3507,3478,3379,3596,3204,3317,3252,3077,3288,3250,2882,2689,3646,3640,3583,3418
3535,3675,3630,3658,3330,3636,3669,3352,3508,3478,3378,3606,3201,3318,3256,3080,3281,3249,2879,2686,3650,3631,3587,3440
3537,3673,3632,3660,3328,3616,3673,3350,3506,3483,3374,3596,3201,3315,3255,3078,3280,3249,2879,2686,3650,3631,3587,3440
3533,3669,3637,3659,3329,3643,3674,3351,3502,3483,3374,3596,3201,3315,3255,3078,3280,3240,2883,2687,3648,3634,3584,3436
3533,3669,3637,3659,3329,3643,3674,3351,3502,3478,3375,3593,3192,3315,3244,3069,3284,3243,2879,2683,3646,3628,3587,3432
3533,3672,3634,3645,3330,3644,3673,3322,3502,3476,3372,3604,3196,3297,3252,3070,3275,3245,2881,2679,3646,3628,3587,3432
3532,3672,3637,3660,3334,3641,3676,3349,3512,3484,3372,3603,3188,3297,3252,3070,3275,3245,2881,2679,3646,3632,3583,3436
3536,3669,3628,3661,3334,3641,3676,3349,3512,3484,3372,3603,3188,3302,3249,3063,3284,3240,2879,2680,3647,3635,3588,3430
3536,3669,3628,3661,3334,3643,3673,3356,3505,3486,3372,3602,3179,3311,3243,3059,3280,3246,2871,2682,3645,3624,3582,3431
3543,3651,3632,3660,3340,3641,3674,3348,3509,3486,3368,3596,3188,3309,3245,3070,3279,3246,2871,2682,3645,3624,3582,3431
3531,3662,3635,3661,3336,3640,3679,3339,3506,3486,3368,3596,3188,3309,3245,3070,3279,3244,2877,2678,3649,3634,3585,3436
3536,3662,3635,3661,3336,3640,3679,3339,3506,3485,3371,3591,3193,3312,3247,3077,3286,3241,2883,2690,3649,3640,3583,3435
3536,3678,3638,3665,3344,3631,3676,3356,3502,3490,3369,3596,3197,3312,3250,3082,3290,3245,2884,2690,3654,3640,3583,3435
3524,3646,3638,3660,3337,3638,3666,3356,3509,3489,3370,3604,3199,3312,3250,3082,3290,3245,2884,2690,3654,3633,3585,3433
3530,3666,3632,3664,3322,3638,3666,3356,3509,3489,3370,3604,3199,3314,3250,3083,3288,3246,2883,2691,3647,3634,3589,3430
3530,3666,3632,3664,3322,3636,3672,3348,3506,3486,3375,3602,3199,3317,3255,3094,3285,3250,2884,2695,3643,3640,3583,3421
3538,3671,3632,3635,3332,3638,3675,3350,3509,3489,3374,3597,3210,3322,3258,3099,3293,3250,2884,2695,3643,3640,3583,3421
3528,3676,3633,3657,3333,3638,3673,3350,3506,3489,3374,3597,3210,3322,3258,3099,3293,3240,2887,2696,3656,3636,3587,3437
3530,3676,3633,3657,3333,3638,3673,3350,3506,3480,3379,3600,3211,3320,3256,3098,3295,3248,2887,2699,3647,3636,3576,3428
3530,3670,3626,3659,3337,3634,3676,3345,3501,3484,3377,3592,3209,3328,3262,3100,3289,3242,2882,2693,3650,3636,3576,3428
3536,3668,3632,3664,3331,3641,3673,3343,3503,3487,3381,3604,3211,3328,3262,3100,3289,3242,2882,2693,3650,3638,3581,3440
3536,3668,3633,3660,3328,3641,3673,3343,3503,3487,3381,3604,3211,3322,3259,3041,3290,3239,2881,2691,3653,3618,3584,3439
3536,3668,3633,3660,3328,3638,3673,3337,3505,3483,3375,3610,3210,3306,3258,3094,3292,3240,2882,2691,3656,3633,3587,3445
3533,3676,3643,3662,3336,3641,3672,3342,3511,3481,3378,3606,3211,3318,3228,3096,3293,3240,2882,2691,3656,3633,3587,3445
3534,3669,3627,3659,3332,3638,3664,3341,3502,3481,3378,3606,3211,3318,3228,3096,3293,3241,2883,2693,3650,3638,3586,3439
3536,3669,3627,3659,3332,3638,3664,3341,3502,3485,3380,3609,3206,3325,3260,3092,3291,3236,2887,2687,3648,3631,3588,3440
3536,3667,3631,3653,3336,3637,3671,3344,3501,3486,3379,3605,3217,3326,3268,3091,3294,3242,2886,2685,3649,3631,3588,3440
3530,3666,3632,3660,3331,3641,3670,3342,3505,3482,3383,3610,3218,3326,3268,3091,3294,3242,2886,2685,3649,3643,3589,3438
3536,3676,3634,3660,3337,3641,3670,3342,3505,3482,3383,3610,3218,3322,3266,3101,3297,3231,2876,2693,3650,3637,3589,3434
3536,3676,3634,3660,3337,3636,3674,3346,3502,3482,3379,3601,3213,3321,3263,3092,3290,3232,2874,2684,3647,3640,3585,3438
3532,3672,3631,3663,3341,3644,3670,3348,3503,3488,3382,3611,3207,3321,3264,3088,3284,3232,2874,2684,3647,3640,3585,3438
3528,3674,3631,3662,3337,3636,3670,3347,3505,3488,3382,3611,3207,3321,3264,3088,3284,3233,2881,2684,3653,3635,3582,3434
3528,3674,3631,3662,3337,3636,3670,3347,3505,3483,3374,3586,3211,3326,3261,3085,3285,3221,2881,2684,3647,3624,3585,3440
3528,3675,3633,3660,3336,3638,3674,3346,3501,3483,3379,3597,3208,3326,3256,3082,3286,3226,2877,2681,3652,3624,3585,3440
3534,3675,3631,3657,3348,3640,3674,3344,3501,3486,3379,3605,3209,3326,3256,3082,3286,3226,2877,2681,3652,3634,3588,3437
3533,3676,3629,3658,3342,3640,3674,3344,3501,3486,3379,3605,3209,3324,3258,3080,3279,3230,2879,2681,3656,3633,3584,3436
3533,3676,3629,3658,3342,3647,3671,3339,3502,3470,3380,3600,3202,3324,3257,3032,3281,3217,2871,2675,3651,3637,3590,3439
3538,3674,3634,3664,3338,3639,3672,3340,3501,3486,3387,3604,3204,3318,3255,3068,3275,3217,2871,2675,3651,3637,3590,3439
3533,3667,3633,3656,3342,3640,3670,3330,3497,3486,3387,3604,3204,3318,3255,3068,3275,3218,2868,2667,3652,3636,3581,3443
3536,3667,3633,3656,3342,3640,3670,3330,3497,3477,3383,3607,3203,3315,3242,3071,3259,3220,2872,2672,3653,3635,3587,3440
3536,3675,3637,3660,3345,3642,3672,3338,3495,3486,3386,3607,3200,3316,3244,3060,3269,3218,2869,2670,3648,3635,3587,3440
3538,3673,3633,3659,3348,3642,3670,3338,3500,3478,3381,3610,3197,3316,3244,3060,3269,3218,2869,2670,3648,3635,3593,3444
3536,3657,3634,3659,3345,3642,3670,3338,3500,3478,3381,3610,3197,3309,3249,3065,3277,3215,2870,2672,3651,3639,3587,3442
3536,3657,3634,3659,3345,3642,3674,3333,3499,3484,3383,3601,3205,3317,3245,3070,3273,3210,2869,2671,3649,3637,3587,3445
3539,3669,3637,3662,3342,3639,3676,3339,3502,3482,3384,3600,3206,3316,3250,3071,3273,3210,2869,2671,3649,3637,3587,3445
3540,3669,3641,3661,3345,3637,3664,3341,3501,3482,3384,3600,3206,3316,3250,3071,3273,3213,2867,2669,3650,3638,3590,3437
3532,3669,3641,3661,3345,3637,3664,3341,3501,3482,3379,3608,3197,3308,3252,3062,3265,3213,2870,2663,3649,3636,3559,3439
3532,3660,3638,3662,3344,3642,3671,3341,3501,3487,3378,3602,3193,3314,3243,3058,3268,3216,2864,2672,3647,3636,3559,3439
3532,3671,3638,3660,3339,3638,3673,3347,3506,3470,3378,3599,3187,3314,3243,3058,3268,3216,2864,2672,3647,3635,3586,3425
3539,3673,3635,3658,3351,3638,3673,3347,3506,3470,3378,3599,3187,3312,3240,3050,3265,3214,2866,2672,3646,3625,3583,3440
3539,3673,3635,3658,3351,3639,3677,3351,3503,3474,3377,3602,3190,3310,3242,3055,3272,3213,2868,2671,3648,3634,3572,3440
3535,3673,3634,3661,3345,3642,3680,3356,3503,3484,3377,3605,3192,3309,3248,3058,3262,3213,2868,2671,3648,3634,3572,3440
3539,3676,3630,3656,3356,3634,3681,3357,3498,3484,3377,3605,3192,3309,3248,3058,3262,3224,2871,2675,3654,3637,3583,3450
3533,3676,3630,3656,3356,3634,3681,3357,3498,3477,3383,3602,3195,3314,3238,3058,3272,3221,2875,2672,3648,3630,3585,3440
3533,3666,3634,3661,3325,3643,3677,3358,3506,3476,3380,3608,3191,3311,3234,3049,3266,3218,2872,2673,3650,3630,3585,3440
3533,3667,3632,3662,3346,3639,3678,3358,3501,3483,3376,3600,3183,3311,3234,3049,3266,3218,2872,2673,3650,3627,3587,3440
