ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3093,3313,3000,3286,2993,3154,3166,2720,2972,2634,2957,3306,2908,3115,2934,2861,3111,2265,2722,2514,3356,3330,3323,3167,3529,3671,3634,3651,3339,3634,3684,3418,3516,3478,3369,3600,3204,3305,3231,3095,3303,3291,2905,2711,3647,3617,3575,3424,3093,3354,3146,3336,3261,3068,3395,3256,3179,2785,2966,3311,2869,3180,3233,2974,3206,3195,2762,2569,3365,3367,3360,3277
3083,3318,2995,3280,2989,3154,3166,2720,2972,2634,2957,3306,2908,3110,2932,2863,3102,2254,2725,2518,3359,3339,3316,3169,3532,3667,3620,3657,3336,3634,3684,3418,3516,3478,3369,3600,3204,3304,3229,3104,3302,3298,2907,2710,3642,3637,3573,3419,3091,3354,3146,3336,3272,3068,3395,3256,3179,2785,2966,3311,2869,3189,3224,2977,3202,3189,2761,2572,3359,3373,3362,3256
3083,3318,2995,3280,2989,3147,3180,2718,2988,2642,2958,3308,2916,3107,2943,2859,3111,2275,2722,2512,3350,3335,3327,3171,3532,3667,3620,3657,3336,3627,3684,3417,3519,3483,3370,3595,3202,3307,3236,3101,3309,3296,2904,2713,3641,3618,3572,3423,3091,3354,3146,3336,3272,3070,3395,3257,3184,2785,2966,3323,2870,3181,3234,2974,3203,3201,2762,2566,3369,3377,3360,3281
3083,3312,3002,3291,2992,3157,3183,2709,2989,2594,2963,3308,2913,3115,2944,2865,3112,2275,2722,2512,3350,3335,3327,3171,3534,3672,3636,3668,3334,3635,3677,3410,3520,3478,3373,3596,3204,3303,3237,3104,3309,3296,2904,2713,3641,3618,3572,3423,3093,3356,3136,3335,3271,3062,3399,3256,3176,2787,2963,3327,2869,3184,3234,2977,3206,3201,2762,2566,3369,3377,3360,3281
3089,3322,3000,3308,2991,3139,3191,2714,2989,2594,2963,3308,2913,3115,2944,2865,3112,2266,2722,2512,3359,3338,3320,3166,3536,3655,3627,3656,3333,3633,3680,3380,3515,3478,3373,3596,3204,3303,3237,3104,3309,3301,2908,2718,3642,3627,3574,3419,3096,3347,3145,3339,3269,3065,3395,3254,3184,2787,2963,3327,2869,3184,3234,2977,3206,3200,2759,2564,3371,3373,3357,3284
3086,3322,3000,3308,2991,3139,3191,2714,2989,2630,2957,3301,2902,3113,2948,2851,3106,2265,2716,2513,3363,3341,3314,3155,3530,3655,3627,3656,3333,3633,3680,3380,3515,3487,3374,3585,3206,3312,3232,3116,3309,3293,2907,2713,3642,3632,3582,3422,3098,3347,3145,3339,3269,3065,3395,3254,3184,2788,2965,3329,2870,3186,3232,2977,3208,3194,2762,2572,3370,3370,3359,3281
3086,3324,3003,3307,2979,3147,3181,2712,2991,2663,2964,3307,2910,3112,2944,2852,3115,2261,2724,2514,3361,3341,3314,3155,3530,3664,3634,3660,3335,3642,3682,3408,3518,3484,3371,3594,3208,3313,3238,3118,3311,3299,2904,2714,3641,3632,3582,3422,3098,3355,3146,3335,3276,3066,3398,3257,3179,2779,2961,3329,2870,3183,3234,2978,3203,3201,2758,2568,3369,3370,3359,3281
3077,3315,2999,3305,2976,3141,3181,2698,2988,2658,2966,3300,2905,3112,2944,2852,3115,2261,2724,2514,3361,3340,3319,3167,3537,3670,3634,3662,3332,3630,3653,3413,3518,3484,3368,3596,3202,3313,3238,3118,3311,3299,2904,2714,3641,3629,3576,3419,3093,3344,3147,3333,3275,3069,3397,3232,3171,2785,2964,3315,2867,3183,3234,2978,3203,3201,2758,2568,3369,3371,3361,3278
3079,3321,2999,3303,2982,3141,3181,2698,2988,2658,2966,3300,2905,3111,2943,2865,3119,2261,2718,2519,3358,3336,3324,3160,3529,3670,3630,3658,3334,3630,3653,3413,3518,3484,3368,3596,3202,3306,3237,3114,3303,3299,2905,2714,3648,3630,3568,3418,3097,3352,3148,3338,3272,3069,3397,3232,3171,2785,2964,3315,2867,3187,3223,2979,3197,3190,2762,2568,3370,3370,3354,3280
3079,3321,2999,3303,2982,3153,3179,2708,2989,2659,2962,3308,2911,3110,2943,2847,3112,2266,2726,2516,3356,3326,3315,3162,3529,3670,3630,3658,3334,3635,3680,3405,3518,3491,3372,3594,3204,3306,3237,3114,3317,3296,2910,2718,3642,3630,3581,3421,3097,3352,3148,3338,3272,3070,3400,3256,3184,2785,2961,3324,2868,3183,3233,2975,3206,3199,2756,2566,3366,3373,3360,3284
3076,3327,2999,3307,2992,3145,3176,2715,2997,2657,2959,3308,2898,3117,2945,2860,3117,2266,2726,2516,3356,3326,3315,3162,3525,3670,3629,3659,3334,3625,3685,3411,3514,3483,3369,3583,3210,3314,3234,3107,3314,3296,2910,2718,3642,3630,3581,3421,3098,3355,3136,3336,3270,3068,3398,3256,3177,2787,2963,3310,2864,3188,3230,2971,3206,3199,2756,2566,3366,3373,3360,3284
3073,3319,2999,3302,2984,3147,3174,2715,2991,2657,2959,3308,2898,3117,2945,2860,3117,2260,2717,2518,3357,3337,3315,3152,3531,3669,3634,3661,3333,3631,3680,3416,3518,3483,3369,3583,3210,3314,3234,3107,3314,3298,2907,2716,3640,3617,3576,3417,3095,3356,3142,3336,3269,3068,3394,3255,3179,2787,2963,3310,2864,3188,3230,2971,3206,3198,2753,2569,3368,3362,3359,3279
3087,3319,2999,3302,2984,3147,3174,2715,2991,2655,2958,3309,2915,3117,2944,2866,3114,2254,2716,2516,3359,3331,3325,3159,3532,3669,3634,3661,3333,3631,3680,3416,3518,3482,3366,3597,3201,3311,3234,3109,3317,3298,2906,2716,3644,3626,3578,3420,3093,3356,3142,3336,3269,3068,3394,3255,3179,2782,2956,3328,2867,3187,3235,2979,3204,3202,2764,2571,3362,3369,3357,3281
3087,3324,3001,3296,2995,3147,3185,2708,2987,2654,2963,3310,2913,3116,2943,2861,3101,2261,2723,2518,3358,3331,3325,3159,3532,3674,3629,3658,3326,3626,3682,3414,3518,3483,3362,3596,3203,3307,3226,3111,3305,3293,2908,2713,3642,3626,3578,3420,3093,3356,3153,3340,3270,3069,3390,3257,3184,2784,2962,3328,2872,3186,3233,2979,3206,3198,2755,2569,3362,3369,3357,3281
3079,3311,3001,3300,2991,3156,3173,2718,2989,2656,2961,3299,2904,3116,2943,2861,3101,2261,2723,2518,3358,3339,3325,3164,3530,3669,3641,3651,3334,3630,3685,3414,3509,3480,3363,3594,3199,3307,3226,3111,3305,3293,2908,2713,3642,3632,3573,3414,3096,3352,3147,3337,3269,3062,3396,3251,3179,2784,2962,3315,2871,3186,3233,2979,3206,3198,2755,2569,3362,3374,3358,3285
3085,3315,2997,3300,2994,3156,3173,2718,2989,2656,2961,3299,2904,3122,2943,2861,3116,2266,2718,2518,3358,3339,3323,3173,3528,3669,3634,3650,3336,3630,3685,3414,3509,3480,3363,3594,3199,3312,3229,3104,3310,3288,2903,2712,3649,3612,3576,3419,3093,3355,3146,3340,3271,3062,3396,3251,3179,2784,2962,3315,2871,3178,3231,2950,3198,3203,2758,2567,3369,3373,3362,3278
3085,3315,2997,3300,2994,3144,3180,2712,2989,2654,2963,3292,2912,3107,2943,2865,3101,2265,2721,2517,3357,3340,3324,3168,3528,3669,3634,3650,3336,3639,3684,3415,3514,3477,3364,3594,3196,3304,3223,3097,3305,3290,2903,2710,3642,3628,3574,3422,3093,3355,3146,3340,3271,3069,3392,3256,3181,2784,2962,3326,2871,3180,3233,2970,3201,3197,2758,2569,3370,3364,3357,3278
3078,3317,3010,3305,2992,3156,3171,2707,2994,2643,2963,3304,2908,3110,2937,2856,3117,2265,2721,2517,3357,3340,3324,3168,3531,3669,3634,3653,3337,3632,3684,3415,3513,3486,3365,3597,3194,3295,3218,3093,3292,3290,2903,2710,3642,3628,3574,3422,3093,3349,3143,3340,3272,3069,3395,3262,3162,2781,2964,3328,2866,3186,3236,2969,3205,3197,2758,2569,3370,3364,3357,3278
