ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3374,3531,3510,3519,2899,3520,3562,3326,3422,3354,3155,3439,2993,3149,3047,2930,3190,3205,2846,2640,3488,3455,3391,3190
3375,3535,3509,3517,2901,3526,3570,3330,3420,3362,3165,3439,2993,3149,3047,2930,3190,3205,2846,2642,3487,3449,3400,3192
3372,3533,3515,3517,2901,3526,3570,3330,3420,3362,3165,3440,3013,3162,3044,2948,3188,3192,2843,2637,3492,3452,3404,3200
3372,3533,3515,3514,2896,3524,3574,3323,3424,3367,3167,3432,3026,3161,3042,2966,3188,3183,2844,2657,3494,3457,3405,3200
3370,3537,3505,3520,2901,3522,3575,3320,3420,3367,3167,3440,3035,3168,3041,2966,3188,3183,2844,2657,3494,3457,3405,3195
3368,3529,3509,3515,2898,3517,3568,3320,3420,3367,3167,3440,3035,3168,3041,2984,3193,3174,2836,2667,3493,3452,3411,3202
3368,3529,3509,3515,2898,3517,3568,3319,3425,3370,3176,3448,3048,3176,3041,2999,3200,3179,2849,2666,3493,3457,3406,3199
3367,3538,3509,3514,2906,3517,3566,3319,3423,3366,3177,3440,3064,3184,3049,3023,3205,3160,2852,2666,3493,3457,3406,3199
3362,3537,3508,3505,2910,3523,3564,3318,3422,3370,3180,3440,3064,3184,3049,3023,3205,3160,2852,2674,3496,3461,3412,3202
3367,3540,3506,3505,2910,3523,3564,3318,3422,3370,3180,3446,3075,3186,3042,3031,3212,3166,2858,2676,3494,3460,3422,3210
3367,3540,3506,3512,2932,3516,3565,3316,3422,3362,3182,3457,3084,3187,3040,3038,3199,3168,2856,2681,3498,3466,3420,3210
3366,3536,3499,3514,2943,3512,3567,3309,3428,3355,3187,3451,3089,3189,3041,3038,3199,3168,2856,2681,3498,3466,3420,3213
3365,3539,3500,3508,2957,3514,3567,3309,3428,3355,3187,3451,3089,3189,3041,3034,3205,3154,2857,2678,3500,3473,3424,3222
3365,3539,3500,3508,2957,3514,3567,3313,3421,3360,3188,3456,3092,3198,3037,3047,3209,3153,2858,2678,3503,3469,3424,3224
3367,3538,3506,3508,2961,3514,3567,3305,3420,3363,3195,3458,3096,3187,3022,3055,3200,3147,2857,2678,3503,3469,3424,3224
3365,3535,3507,3517,2966,3514,3565,3301,3420,3361,3192,3458,3096,3187,3022,3055,3200,3147,2857,2677,3503,3467,3429,3231
3373,3537,3501,3517,2966,3514,3565,3301,3420,3361,3192,3460,3097,3194,3018,3054,3206,3139,2830,2683,3503,3468,3427,3228
3373,3537,3501,3518,2976,3514,3572,3303,3418,3365,3194,3461,3103,3194,3024,3058,3202,3134,2852,2683,3507,3474,3426,3228
3360,3526,3504,3516,2993,3519,3571,3281,3420,3366,3193,3446,3104,3191,3007,3058,3202,3134,2852,2683,3507,3474,3426,3231
3361,3537,3491,3518,3013,3509,3570,3281,3420,3366,3193,3446,3104,3191,3007,3056,3198,3123,2851,2680,3503,3477,3425,3230
3361,3537,3491,3518,3013,3509,3570,3294,3421,3370,3196,3464,3100,3192,3014,3055,3196,3122,2855,2682,3504,3477,3428,3237
3361,3536,3502,3522,3025,3513,3558,3294,3424,3366,3197,3461,3094,3190,3007,3053,3196,3124,2846,2682,3504,3477,3428,3237
3365,3534,3502,3521,3037,3510,3560,3295,3421,3363,3198,3461,3094,3190,3007,3053,3196,3124,2846,2678,3508,3479,3430,3243
3358,3536,3503,3521,3037,3510,3560,3295,3421,3363,3198,3462,3102,3189,3002,3059,3193,3114,2853,2681,3508,3478,3429,3236
3358,3536,3503,3516,3044,3514,3558,3288,3422,3358,3195,3462,3092,3189,2996,3056,3190,3112,2852,2682,3506,3482,3437,3236
3364,3540,3503,3523,3069,3515,3569,3288,3421,3364,3195,3459,3095,3189,2987,3056,3190,3112,2852,2682,3506,3482,3437,3238
3364,3539,3496,3519,3078,3514,3575,3288,3421,3364,3195,3459,3095,3189,2987,3049,3182,3111,2849,2682,3510,3483,3422,3250
3364,3539,3496,3519,3078,3514,3575,3287,3409,3370,3197,3454,3098,3187,2988,3055,3183,3105,2849,2685,3508,3478,3426,3245
3361,3537,3500,3526,3088,3512,3571,3283,3418,3371,3195,3464,3101,3187,2987,3057,3195,3105,2853,2685,3508,3478,3426,3245
3362,3539,3501,3523,3100,3515,3566,3290,3420,3361,3202,3464,3101,3187,2987,3057,3195,3105,2853,2687,3510,3473,3432,3255
