ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
2952,3213,2841,3198,2837,3038,3052,2601,2859,2474,2844,3206,2739,2992,2809,2693,3002,2107,2636,2396,3261,3233,3217,3054,3381,3554,3510,3544,3122,3512,3580,3306,3419,3344,3208,3474,3032,3156,2990,2925,3160,3168,2831,2609,3523,3501,3431,3248,2941,3250,3008,3225,3176,2924,3302,3157,3078,2615,2800,3215,2701,3085,3143,2818,3107,3100,2681,2459,3266,3275,3249,3178
2952,3213,2841,3198,2837,3038,3052,2599,2853,2460,2842,3206,2742,2989,2810,2678,3001,2094,2638,2391,3256,3217,3219,3050,3381,3554,3510,3544,3122,3512,3580,3305,3424,3344,3212,3472,3029,3167,2989,2930,3172,3170,2831,2614,3523,3501,3436,3249,2941,3250,3008,3225,3176,2924,3302,3153,3075,2616,2796,3211,2699,3083,3139,2792,3101,3101,2683,2453,3264,3270,3250,3184
2965,3209,2835,3195,2854,3038,3051,2594,2854,2474,2843,3203,2748,2989,2816,2688,3003,2121,2637,2391,3256,3217,3219,3050,3381,3548,3500,3541,3129,3512,3578,3313,3408,3344,3213,3466,3030,3167,2991,2928,3174,3173,2821,2614,3523,3501,3436,3249,2949,3253,3013,3233,3169,2923,3304,3157,3078,2613,2804,3218,2702,3081,3129,2819,3108,3097,2678,2453,3264,3270,3250,3184
2961,3206,2840,3196,2852,3029,3053,2601,2856,2467,2844,3203,2748,2989,2816,2688,3003,2121,2637,2388,3262,3230,3208,3058,3391,3545,3504,3546,3127,3519,3573,3307,3412,3338,3212,3466,3030,3167,2991,2928,3174,3173,2821,2613,3518,3506,3438,3246,2945,3252,3009,3232,3169,2918,3305,3155,3078,2614,2797,3218,2702,3081,3129,2819,3108,3097,2678,2458,3261,3276,3256,3191
2960,3219,2830,3196,2852,3029,3053,2601,2856,2467,2844,3211,2734,3001,2807,2689,3002,2111,2630,2397,3258,3228,3215,3054,3385,3545,3510,3546,3127,3519,3573,3307,3412,3338,3212,3467,3035,3168,2998,2929,3178,3175,2834,2610,3522,3507,3438,3247,2949,3250,3011,3232,3169,2918,3305,3155,3078,2614,2797,3218,2702,3083,3141,2819,3102,3102,2683,2454,3263,3271,3251,3188
2960,3219,2830,3184,2856,3043,3049,2602,2850,2474,2845,3205,2742,2989,2801,2699,2998,2108,2642,2384,3251,3236,3202,3054,3385,3545,3510,3547,3127,3518,3578,3306,3412,3344,3214,3467,3038,3162,3000,2932,3176,3170,2831,2608,3520,3504,3434,3247,2949,3250,3011,3223,3173,2914,3305,3159,3080,2606,2800,3201,2702,3082,3141,2813,3100,3096,2684,2452,3263,3274,3252,3188
2959,3218,2836,3196,2849,3041,3034,2605,2854,2473,2841,3204,2746,3003,2805,2699,2998,2108,2642,2384,3251,3236,3202,3054,3383,3555,3506,3546,3124,3512,3582,3316,3416,3347,3212,3464,3039,3166,3003,2932,3176,3170,2831,2608,3520,3504,3434,3240,2948,3245,3009,3236,3174,2927,3300,3155,3074,2615,2800,3216,2702,3081,3136,2813,3100,3096,2684,2452,3263,3274,3252,3182
2957,3218,2842,3182,2842,3034,3050,2605,2854,2473,2841,3204,2746,3003,2805,2693,3003,2107,2642,2383,3256,3232,3216,3049,3383,3541,3509,3542,3117,3514,3580,3316,3416,3347,3212,3464,3039,3166,3003,2936,3177,3172,2828,2618,3519,3504,3434,3246,2946,3250,3009,3232,3173,2929,3291,3155,3074,2615,2800,3216,2702,3081,3136,2819,3105,3098,2684,2458,3265,3270,3254,3186
2957,3218,2842,3182,2842,3034,3050,2604,2854,2463,2852,3204,2747,2996,2797,2685,3007,2113,2642,2395,3256,3230,3219,3045,3383,3541,3509,3542,3117,3514,3580,3310,3412,3342,3214,3461,3031,3172,3005,2936,3177,3179,2828,2612,3524,3505,3436,3238,2946,3250,3009,3232,3173,2929,3291,3159,3074,2605,2799,3214,2694,3082,3132,2818,3104,3100,2683,2455,3263,3273,3255,3186
2962,3220,2837,3191,2848,3039,3054,2582,2850,2464,2846,3204,2751,2994,2800,2690,3002,2109,2642,2395,3256,3230,3219,3045,3384,3550,3506,3544,3125,3512,3576,3319,3411,3344,3213,3468,3036,3168,3004,2932,3178,3173,2833,2612,3524,3505,3436,3238,2946,3253,3006,3234,3174,2923,3298,3152,3078,2614,2799,3217,2702,3084,3140,2820,3100,3102,2684,2455,3263,3273,3255,3186
2905,3216,2836,3195,2842,3041,3048,2599,2857,2470,2834,3204,2751,2994,2800,2690,3002,2109,2642,2394,3250,3228,3216,3058,3389,3548,3507,3537,3123,3514,3580,3318,3413,3344,3212,3468,3036,3168,3004,2932,3178,3173,2833,2617,3524,3501,3432,3233,2940,3254,3008,3218,3175,2926,3303,3154,3076,2608,2800,3217,2702,3084,3140,2820,3100,3102,2684,2458,3266,3276,3243,3178
2961,3221,2828,3195,2842,3041,3048,2599,2857,2470,2834,3217,2746,2999,2815,2683,2996,2111,2637,2396,3253,3229,3209,3011,3380,3551,3512,3537,3123,3514,3580,3318,3413,3344,3212,3462,3039,3172,3000,2926,3170,3182,2832,2614,3519,3497,3439,3250,2950,3248,3008,3218,3175,2926,3303,3154,3076,2608,2800,3216,2703,3085,3137,2819,3097,3099,2680,2449,3265,3274,3248,3188
2961,3221,2828,3189,2846,3044,3052,2606,2832,2469,2846,3210,2746,2998,2806,2688,2993,2116,2645,2397,3262,3224,3205,3011,3380,3551,3512,3539,3129,3513,3580,3318,3419,3344,3217,3469,3040,3172,2999,2933,3181,3170,2833,2614,3525,3499,3425,3250,2950,3248,3008,3231,3169,2924,3304,3157,3074,2616,2798,3218,2702,3085,3129,2820,3104,3098,2685,2455,3265,3276,3263,3188
2964,3208,2842,3185,2852,3038,3052,2592,2857,2471,2841,3208,2747,2998,2788,2688,2993,2116,2645,2397,3262,3224,3205,3058,3382,3551,3511,3552,3123,3512,3578,3313,3418,3347,3213,3468,3039,3167,2996,2933,3181,3170,2833,2614,3525,3499,3425,3245,2941,3250,3010,3232,3165,2924,3302,3157,3080,2615,2794,3217,2702,3082,3140,2820,3104,3098,2685,2455,3265,3276,3263,3191
2955,3222,2839,3197,2844,3029,3050,2592,2857,2471,2841,3208,2747,2998,2788,2693,3000,2117,2641,2398,3249,3231,3220,3061,3382,3549,3505,3545,3125,3513,3579,3313,3418,3347,3213,3468,3039,3167,2996,2931,3181,3176,2836,2616,3522,3495,3437,3245,2945,3255,3006,3234,3174,2924,3300,3157,3080,2615,2794,3217,2702,3082,3140,2821,3110,3097,2681,2456,3268,3271,3254,3189
2955,3222,2839,3197,2844,3029,3050,2601,2855,2455,2835,3205,2740,2999,2808,2698,2995,2102,2643,2394,3260,3233,3206,3049,3382,3549,3505,3545,3125,3513,3579,3317,3418,3332,3215,3466,3044,3170,2996,2885,3175,3181,2834,2609,3519,3498,3429,3248,2945,3255,3006,3234,3174,2924,3300,3158,3079,2609,2800,3219,2702,3085,3140,2819,3104,3099,2679,2453,3264,3272,3250,3188
2962,3216,2844,3193,2844,3035,3049,2602,2858,2475,2843,3206,2747,2998,2810,2680,3002,2117,2641,2394,3260,3233,3206,3049,3382,3547,3509,3538,3128,3513,3582,3316,3414,3337,3219,3470,3044,3164,2961,2938,3180,3183,2830,2609,3519,3498,3429,3248,2947,3248,3007,3232,3171,2926,3299,3159,3078,2615,2801,3215,2700,3081,3140,2820,3106,3102,2682,2453,3264,3272,3250,3188
2950,3223,2843,3196,2852,3029,3048,2604,2857,2468,2847,3206,2747,2998,2810,2680,3002,2117,2641,2396,3175,3225,3209,3058,3383,3552,3510,3545,3128,3514,3583,3320,3409,3344,3213,3470,3044,3164,2961,2938,3180,3183,2830,2615,3524,3502,3438,3247,2944,3252,3012,3230,3176,2925,3294,3157,3075,2605,2799,3215,2700,3081,3140,2820,3106,3102,2682,2455,3263,3272,3258,3183
2958,3219,2842,3196,2852,3029,3048,2604,2857,2468,2847,3196,2756,3001,2806,2691,3007,2111,2636,2399,3256,3232,3214,3048,3378,3543,3506,3545,3128,3514,3583,3320,3409,3344,3213,3476,3046,3167,2978,2944,3180,3182,2830,2620,3520,3499,3435,3249,2947,3252,3011,3230,3176,2925,3294,3157,3075,2605,2799,3214,2693,3082,3128,2815,3101,3103,2684,2454,3266,3275,3258,3182
2958,3219,2842,3146,2844,3044,3051,2600,2863,2470,2839,3210,2750,3002,2805,2697,3001,2111,2641,2396,3258,3215,3205,3048,3378,3543,3506,3538,3128,3511,3576,3310,3410,3340,3216,3474,3046,3164,2990,2943,3180,3185,2833,2618,3521,3501,3440,3249,2947,3252,3011,3233,3169,2923,3298,3156,3081,2617,2799,3212,2702,3078,3141,2820,3101,3097,2684,2453,3262,3272,3248,3182
2950,3209,2844,3188,2855,3037,3043,2605,2854,2470,2847,3195,2738,3006,2811,2697,3001,2111,2641,2396,3258,3215,3205,3052,3385,3537,3504,3544,3129,3504,3577,3316,3412,3342,3220,3469,3052,3166,2984,2943,3180,3185,2833,2618,3521,3501,3440,3247,2940,3255,3010,3221,3173,2928,3301,3159,3080,2608,2800,3214,2699,3081,3139,2820,3101,3097,2684,2453,3262,3272,3248,3176
2952,3220,2841,3194,2852,3028,3041,2605,2854,2470,2847,3195,2738,3006,2811,2691,2996,2106,2637,2399,3252,3234,3208,3053,3386,3546,3508,3546,3131,3518,3580,3316,3412,3342,3220,3469,3052,3166,2984,2949,3178,3180,2834,2615,3521,3506,3433,3246,2943,3255,3012,3229,3172,2928,3303,3159,3080,2608,2800,3214,2699,3081,3139,2821,3103,3104,2682,2451,3267,3268,3247,3184
2952,3220,2841,3194,2852,3028,3041,2605,2857,2470,2845,3202,2748,3000,2806,2691,3004,2108,2635,2395,3260,3221,3197,3044,3386,3546,3508,3546,3131,3518,3580,3310,3422,3343,3222,3472,3046,3175,2992,2950,3179,3180,2839,2621,3524,3507,3436,3245,2943,3255,3012,3229,3172,2928,3303,3155,3076,2614,2802,3214,2702,3085,3127,2819,3107,3102,2681,2455,3262,3272,3255,3185
2956,3220,2838,3193,2848,3041,3051,2608,2856,2471,2845,3207,2747,3000,2806,2697,3002,2105,2640,2395,3260,3221,3197,3044,3382,3554,3507,3544,3135,3512,3571,3318,3418,3340,3223,3471,3054,3165,2991,2950,3182,3174,2839,2621,3524,3507,3436,3245,2947,3256,3008,3236,3164,2926,3301,3155,3080,2612,2799,3214,2703,3085,3143,2818,3110,3098,2680,2455,3262,3272,3255,3185
2956,3211,2836,3194,2853,3019,3047,2603,2840,2469,2845,3207,2747,3000,2806,2697,3002,2105,2640,2394,3255,3219,3218,3053,3381,3550,3507,3543,3137,3517,3578,3322,3414,3337,3227,3471,3054,3165,2991,2950,3182,3174,2839,2616,3523,3504,3438,3244,2946,3252,3010,3231,3175,2925,3304,3156,3076,2606,2795,3214,2703,3085,3143,2818,3110,3098,2680,2452,3264,3277,3252,3186
2965,3214,2845,3194,2853,3019,3047,2603,2840,2469,2845,3203,2740,2955,2796,2694,3004,2109,2635,2383,3260,3233,3214,3055,3378,3550,3507,3543,3137,3517,3578,3322,3414,3337,3227,3473,3048,3175,2994,2948,3179,3180,2836,2619,3520,3502,3438,3233,2948,3249,3010,3231,3175,2925,3304,3156,3076,2606,2795,3212,2703,3082,3144,2822,3102,3103,2681,2451,3263,3272,3248,3187
2965,3214,2845,3196,2853,3037,3053,2597,2857,2470,2845,3205,2740,2999,2808,2692,3003,2105,2635,2398,3256,3230,3215,3055,3378,3550,3507,3541,3136,3504,3578,3324,3416,3337,3219,3466,3050,3173,2996,2941,3180,3176,2831,2619,3522,3497,3429,3233,2948,3249,3010,3232,3173,2923,3300,3159,3080,2613,2798,3216,2700,3084,3136,2822,3109,3102,2677,2456,3260,3274,3258,3187
2951,3216,2839,3177,2853,3039,3034,2593,2860,2449,2843,3216,2751,2990,2795,2692,3003,2105,2635,2398,3256,3230,3215,3054,3384,3553,3507,3536,3131,3515,3574,3323,3416,3340,3220,3477,3050,3173,2996,2941,3180,3176,2831,2619,3522,3497,3429,3248,2942,3249,3011,3223,3174,2923,3296,3160,3069,2604,2798,3216,2688,3084,3130,2822,3109,3102,2677,2456,3260,3274,3258,3184
2962,3225,2839,3193,2852,3042,3044,2593,2860,2449,2843,3216,2751,2990,2795,2685,3003,2120,2646,2388,3262,3240,3217,3049,3383,3554,3506,3540,3131,3503,3581,3323,3416,3340,3220,3477,3050,3173,2996,2945,3183,3180,2837,2620,3522,3504,3428,3251,2947,3250,3007,3232,3174,2924,3305,3160,3069,2604,2798,3216,2688,3084,3130,2816,3107,3101,2676,2455,3266,3270,3259,3186
2962,3225,2839,3193,2852,3042,3044,2604,2857,2474,2844,3212,2748,2994,2809,2692,3003,2124,2640,2393,3261,3230,3217,3037,3383,3554,3506,3540,3131,3503,3581,3322,3416,3340,3222,3472,3049,3174,3008,2951,3179,3182,2834,2618,3522,3499,3437,3241,2947,3250,3007,3232,3174,2924,3305,3156,3077,2617,2800,3217,2702,3080,3139,2822,3097,3096,2684,2455,3262,3272,3243,3176
