ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3510,3654,3618,3660,3440,3613,3688,3464,3511,3464,3238,3508,2693,2975,2810,2559,2869,3160,2801,2583,3616,3621,3497,3377
3510,3654,3618,3660,3440,3613,3688,3458,3512,3466,3241,3509,2704,2982,2815,2564,2877,3167,2801,2588,3614,3620,3493,3380
3511,3654,3619,3664,3440,3622,3691,3459,3516,3471,3240,3508,2707,2986,2817,2566,2872,3164,2800,2588,3614,3620,3493,3380
3518,3656,3620,3663,3427,3620,3688,3456,3510,3465,3239,3508,2707,2986,2817,2566,2872,3164,2800,2592,3617,3615,3506,3385
3520,3661,3623,3663,3427,3620,3688,3456,3510,3465,3239,3513,2712,2989,2825,2569,2878,3162,2799,2588,3611,3621,3503,3379
3520,3661,3623,3652,3435,3618,3691,3458,3509,3460,3243,3505,2717,2995,2844,2574,2890,3171,2803,2592,3619,3614,3506,3379
3515,3654,3623,3652,3441,3624,3696,3456,3509,3462,3242,3515,2720,2989,2850,2574,2890,3171,2803,2592,3619,3614,3506,3387
3511,3655,3618,3658,3444,3619,3689,3456,3509,3462,3242,3515,2720,2989,2850,2577,2893,3174,2809,2594,3618,3616,3506,3390
3511,3655,3618,3658,3444,3619,3689,3458,3510,3468,3240,3513,2723,2993,2866,2580,2895,3173,2808,2595,3619,3620,3500,3393
3514,3656,3614,3659,3446,3618,3686,3458,3516,3464,3237,3512,2726,3001,2881,2580,2896,3172,2810,2595,3619,3620,3500,3393
3520,3647,3619,3656,3442,3622,3691,3460,3514,3469,3240,3512,2726,3001,2881,2580,2896,3172,2810,2598,3616,3618,3510,3393
3516,3640,3619,3656,3442,3622,3691,3460,3514,3469,3240,3513,2726,3003,2865,2584,2894,3170,2803,2582,3616,3616,3508,3387
3516,3640,3619,3662,3441,3617,3693,3459,3511,3470,3238,3502,2719,2998,2835,2579,2885,3152,2801,2589,3618,3618,3502,3387
3520,3656,3622,3661,3433,3618,3682,3455,3505,3472,3238,3506,2717,2991,2834,2579,2885,3152,2801,2589,3618,3618,3502,3373
3516,3645,3626,3660,3430,3620,3689,3455,3505,3472,3238,3506,2717,2991,2834,2579,2881,3155,2805,2586,3617,3616,3500,3376
3516,3645,3626,3660,3430,3620,3689,3457,3509,3469,3237,3507,2712,2989,2834,2573,2882,3155,2796,2582,3614,3616,3501,3382
3522,3655,3624,3666,3430,3626,3687,3451,3510,3469,3236,3491,2706,2981,2835,2571,2879,3145,2798,2582,3614,3616,3501,3382
3520,3655,3623,3660,3428,3625,3694,3452,3513,3472,3237,3491,2706,2981,2835,2571,2879,3145,2798,2580,3612,3603,3497,3377
3525,3659,3627,3660,3428,3625,3694,3452,3513,3472,3237,3502,2709,2984,2848,2568,2879,3157,2788,2577,3614,3612,3503,3374
3525,3659,3627,3660,3430,3625,3693,3454,3510,3466,3237,3513,2718,2993,2862,2573,2876,3158,2796,2574,3613,3617,3492,3374
3522,3652,3631,3663,3414,3626,3689,3450,3516,3477,3244,3519,2731,3009,2878,2573,2876,3158,2796,2574,3613,3617,3492,3379
3524,3662,3625,3634,3426,3626,3693,3450,3516,3477,3244,3519,2731,3009,2878,2577,2896,3163,2794,2578,3615,3605,3504,3388
3524,3662,3625,3634,3426,3626,3693,3452,3511,3463,3252,3520,2739,3008,2899,2599,2905,3170,2802,2576,3613,3618,3507,3383
3526,3658,3626,3657,3427,3624,3689,3449,3518,3472,3246,3518,2744,3022,2916,2602,2927,3176,2806,2576,3613,3618,3507,3383
3519,3653,3616,3660,3425,3624,3694,3453,3499,3470,3240,3518,2744,3022,2916,2602,2927,3176,2806,2587,3614,3616,3506,3385
3522,3649,3625,3660,3425,3624,3694,3453,3499,3470,3240,3509,2745,3026,2937,2610,2938,3180,2804,2592,3615,3607,3504,3386
3522,3649,3625,3654,3428,3628,3689,3445,3516,3466,3240,3513,2749,3030,2946,2613,2951,3190,2809,2570,3619,3614,3507,3386
3512,3652,3625,3664,3429,3620,3687,3447,3514,3474,3243,3513,2751,3032,2970,2613,2951,3190,2809,2570,3619,3614,3507,3390
3522,3656,3619,3661,3430,3619,3684,3447,3514,3474,3243,3513,2751,3032,2970,2621,2952,3191,2813,2588,3618,3616,3509,3390
3522,3656,3619,3661,3430,3619,3684,3453,3508,3479,3247,3516,2757,3044,2984,2625,2961,3193,2814,2594,3619,3620,3514,3395
3517,3650,3622,3659,3428,3622,3692,3452,3514,3470,3241,3517,2764,3026,2991,2629,2968,3196,2811,2594,3619,3620,3514,3395
3518,3656,3626,3661,3437,3625,3696,3455,3511,3466,3240,3517,2764,3026,2991,2629,2968,3196,2811,2595,3615,3618,3516,3397
3515,3658,3623,3661,3437,3625,3696,3455,3511,3466,3240,3499,2759,3040,2990,2626,2965,3182,2810,2596,3620,3612,3514,3384
3515,3658,3623,3663,3435,3620,3693,3457,3514,3470,3237,3511,2755,3046,2998,2617,2954,3192,2809,2596,3614,3611,3498,3384
3513,3655,3621,3664,3436,3623,3691,3458,3511,3469,3242,3515,2763,3048,3008,2617,2954,3192,2809,2596,3614,3611,3498,3401
3516,3655,3624,3664,3428,3632,3691,3458,3511,3469,3242,3515,2763,3048,3008,2624,2954,3199,2812,2598,3613,3618,3514,3392
3516,3655,3624,3664,3428,3632,3691,3456,3515,3476,3244,3516,2768,3057,3016,2634,2974,3200,2813,2597,3614,3613,3517,3402
3520,3656,3621,3660,3439,3625,3690,3461,3509,3463,3246,3518,2779,3053,3030,2647,2978,3209,2818,2597,3614,3613,3517,3402
3517,3648,3621,3660,3442,3622,3690,3443,3516,3468,3246,3518,2779,3053,3030,2647,2978,3209,2818,2594,3619,3614,3513,3406
3519,3658,3619,3660,3442,3622,3690,3443,3516,3468,3246,3521,2781,3067,3033,2651,2993,3211,2815,2600,3624,3621,3516,3406
3519,3658,3619,3663,3439,3626,3690,3454,3501,3474,3252,3518,2795,3074,3036,2657,3008,3216,2818,2605,3617,3620,3524,3406
3516,3655,3621,3656,3443,3620,3687,3452,3513,3471,3253,3523,2803,3076,3056,2657,3008,3216,2818,2605,3617,3620,3524,3409
3513,3626,3619,3664,3443,3626,3689,3452,3513,3471,3253,3523,2803,3076,3056,2671,3026,3222,2826,2589,3622,3622,3523,3408
3513,3626,3619,3664,3443,3626,3689,3453,3513,3473,3255,3515,2817,3102,3069,2688,3050,3234,2833,2619,3622,3621,3529,3416
3518,3648,3620,3662,3438,3616,3698,3466,3515,3474,3270,3528,2857,3128,3128,2734,3104,3255,2847,2619,3622,3621,3529,3416
3504,3651,3621,3660,3440,3619,3689,3456,3514,3476,3267,3528,2857,3128,3128,2734,3104,3255,2847,2635,3620,3624,3538,3422
3509,3655,3614,3660,3440,3619,3689,3456,3514,3476,3267,3536,2877,3138,3148,2742,3117,3265,2847,2640,3622,3622,3540,3418
3509,3655,3614,3662,3442,3618,3692,3466,3521,3477,3265,3534,2865,3135,3139,2732,3106,3250,2852,2637,3620,3625,3530,3418
3512,3653,3618,3654,3441,3624,3690,3470,3518,3471,3255,3520,2836,3114,3115,2732,3106,3250,2852,2637,3620,3625,3530,3414
3507,3654,3618,3653,3436,3622,3695,3470,3518,3471,3255,3520,2836,3114,3115,2712,3083,3242,2847,2634,3621,3614,3525,3413
3507,3654,3618,3653,3436,3622,3695,3462,3516,3474,3242,3522,2809,3090,3082,2679,3050,3229,2831,2620,3620,3615,3513,3397
3510,3656,3615,3661,3442,3617,3689,3462,3517,3480,3228,3513,2767,3055,3032,2645,2983,3209,2821,2620,3620,3615,3513,3397
3517,3650,3623,3664,3430,3626,3698,3451,3516,3464,3221,3513,2767,3055,3032,2645,2983,3209,2821,2608,3612,3612,3508,3400
3518,3651,3633,3664,3430,3626,3698,3451,3516,3464,3221,3502,2741,3027,2984,2617,2948,3175,2809,2589,3606,3614,3492,3385
3518,3651,3633,3661,3429,3629,3690,3434,3517,3476,3218,3498,2718,3000,2948,2594,2904,3162,2798,2585,3616,3615,3499,3385
3519,3650,3631,3663,3428,3630,3690,3444,3504,3488,3220,3504,2716,3000,2932,2594,2904,3162,2798,2585,3616,3615,3499,3390
3523,3656,3622,3657,3418,3626,3695,3444,3504,3488,3220,3504,2716,3000,2932,2585,2899,3140,2796,2578,3609,3618,3501,3386
