ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3079,3310,3000,3303,2834,3150,3181,2862,3006,2609,2936,3312,2922,3113,2861,2868,3129,2799,2730,2504,3351,3328,3314,3018,3542,3662,3641,3664,3356,3645,3682,3344,3487,3467,3270,3531,2751,3050,2974,2552,2819,2949,2687,2435,3621,3618,3515,3387,3085,3351,3137,3328,3271,3066,3392,3257,3182,2788,2956,3328,2854,3177,3233,2964,3193,3205,2754,2567,3367,3373,3360,3281
3076,3323,3002,3301,2848,3147,3179,2863,3006,2629,2938,3312,2922,3113,2861,2868,3129,2799,2730,2503,3345,3336,3311,3013,3542,3656,3643,3657,3355,3649,3674,3338,3487,3470,3258,3531,2751,3050,2974,2552,2819,2949,2687,2418,3617,3615,3503,3387,3080,3352,3142,3335,3271,3066,3398,3258,3178,2777,2958,3328,2854,3177,3233,2964,3193,3205,2754,2568,3367,3371,3353,3281
3081,3325,3006,3301,2848,3147,3179,2863,3006,2629,2938,3313,2918,3114,2866,2874,3124,2798,2726,2486,3345,3327,3313,3017,3549,3666,3645,3657,3355,3649,3674,3338,3487,3470,3258,3525,2727,3035,2968,2546,2800,2938,2681,2422,3626,3618,3503,3380,3080,3353,3140,3335,3271,3066,3398,3258,3178,2777,2958,3320,2858,3186,3233,2965,3202,3202,2760,2567,3364,3366,3359,3284
3081,3325,3006,3294,2834,3142,3175,2861,3018,2619,2937,3311,2932,3106,2855,2859,3131,2795,2731,2505,3349,3319,3322,3017,3549,3666,3645,3660,3359,3648,3674,3339,3489,3466,3255,3514,2712,3022,2942,2526,2788,2926,2671,2412,3612,3622,3510,3380,3080,3353,3140,3334,3274,3066,3396,3254,3185,2785,2961,3329,2860,3181,3235,2965,3201,3198,2759,2570,3360,3372,3364,3284
3075,3255,3005,3293,2848,3151,3182,2842,3010,2619,2938,3312,2929,3112,2861,2859,3131,2795,2731,2505,3349,3319,3322,3008,3545,3664,3641,3662,3362,3638,3681,3342,3488,3470,3247,3512,2694,3002,2939,2526,2788,2926,2671,2412,3612,3622,3510,3383,3084,3348,3142,3336,3275,3070,3396,3258,3179,2778,2960,3322,2859,3183,3237,2965,3201,3198,2759,2570,3360,3372,3364,3267
3073,3327,3003,3299,2837,3154,3177,2842,3010,2619,2938,3312,2929,3112,2861,2867,3127,2798,2729,2506,3343,3323,3312,3018,3543,3658,3646,3662,3363,3646,3676,3342,3488,3470,3247,3512,2694,3002,2939,2527,2777,2912,2663,2402,3616,3614,3504,3377,3085,3342,3139,3334,3259,3066,3395,3258,3179,2778,2960,3322,2859,3183,3237,2969,3202,3200,2759,2565,3368,3373,3358,3286
3073,3327,3003,3299,2837,3154,3177,2863,3014,2610,2930,3315,2924,3111,2858,2865,3118,2792,2727,2503,3350,3320,3310,2995,3543,3658,3646,3662,3363,3646,3676,3324,3485,3470,3244,3497,2686,2995,2929,2516,2765,2897,2664,2400,3616,3615,3503,3376,3085,3342,3139,3334,3259,3066,3395,3261,3184,2787,2956,3327,2856,3183,3234,2966,3205,3199,2758,2567,3361,3374,3363,3282
3079,3328,2996,3294,2851,3146,3174,2861,3017,2616,2938,3312,2929,3115,2869,2858,3132,2792,2730,2503,3350,3320,3310,2995,3544,3657,3647,3663,3360,3644,3672,3335,3490,3467,3240,3505,2679,2993,2925,2512,2757,2901,2660,2400,3616,3615,3503,3376,3085,3347,3143,3334,3270,3067,3394,3253,3181,2775,2957,3328,2856,3172,3238,2959,3202,3202,2760,2567,3361,3374,3363,3282
3077,3328,2999,3297,2845,3149,3178,2864,3011,2626,2938,3312,2929,3115,2869,2858,3132,2792,2730,2499,3351,3324,3321,3018,3545,3665,3646,3662,3366,3646,3670,3341,3488,3471,3234,3505,2679,2993,2925,2512,2757,2901,2660,2395,3620,3618,3503,3373,3085,3345,3143,3336,3270,3059,3397,3263,3180,2784,2961,3328,2856,3172,3238,2959,3202,3202,2760,2565,3366,3374,3359,3281
3077,3329,3006,3297,2845,3149,3178,2864,3011,2626,2938,3310,2930,3110,2872,2864,3129,2792,2732,2501,3340,3327,3318,3023,3539,3656,3643,3662,3366,3646,3670,3341,3488,3471,3234,3504,2672,2984,2921,2503,2751,2896,2653,2395,3616,3616,3493,3378,3078,3349,3142,3336,3270,3059,3397,3263,3180,2784,2961,3328,2856,3186,3233,2971,3204,3202,2754,2570,3365,3371,3358,3282
3077,3329,3006,3305,2839,3137,3180,2862,3018,2624,2929,3323,2927,3113,2867,2859,3119,2798,2724,2502,3351,3325,3307,3023,3539,3656,3643,3661,3360,3639,3679,3336,3488,3466,3235,3503,2664,2981,2923,2502,2746,2895,2657,2388,3619,3608,3496,3378,3078,3349,3142,3335,3267,3062,3393,3258,3176,2785,2957,3318,2855,3182,3225,2965,3204,3197,2760,2572,3368,3373,3360,3282
3076,3326,2995,3301,2840,3150,3177,2866,2997,2629,2933,3314,2923,3116,2869,2859,3119,2798,2724,2502,3351,3325,3307,3019,3544,3662,3642,3654,3367,3643,3675,3347,3490,3456,3240,3502,2671,2986,2920,2502,2746,2895,2657,2388,3619,3608,3496,3368,3080,3354,3144,3332,3272,3067,3393,3259,3182,2786,2960,3323,2855,3181,3232,2965,3204,3197,2760,2572,3368,3373,3360,3277
3080,3314,3008,3285,2843,3146,3157,2866,2997,2629,2933,3314,2923,3116,2869,2865,3124,2793,2725,2503,3346,3328,3314,3019,3544,3668,3641,3659,3367,3647,3679,3347,3490,3456,3240,3502,2671,2986,2920,2497,2744,2888,2656,2389,3616,3610,3497,3371,3082,3316,3136,3335,3272,3064,3394,3259,3182,2786,2960,3323,2855,3181,3232,2966,3204,3199,2759,2570,3360,3373,3353,3288
3080,3314,3008,3285,2843,3146,3157,2865,2999,2604,2928,3315,2921,3113,2855,2868,3124,2791,2723,2503,3355,3310,3305,3012,3544,3668,3641,3659,3367,3647,3679,3344,3488,3460,3242,3507,2671,2988,2915,2498,2740,2882,2655,2392,3614,3610,3505,3373,3082,3316,3136,3335,3272,3064,3394,3251,3176,2782,2958,3315,2859,3182,3226,2969,3205,3198,2755,2561,3368,3372,3357,3277
3081,3319,3007,3302,2835,3146,3177,2860,3015,2628,2928,3313,2930,3110,2867,2860,3118,2796,2732,2503,3355,3310,3305,3012,3545,3660,3637,3664,3356,3644,3675,3334,3478,3466,3238,3500,2668,2987,2907,2497,2737,2869,2650,2392,3614,3610,3505,3373,3078,3351,3138,3336,3274,3066,3386,3261,3181,2782,2956,3323,2856,3186,3237,2969,3207,3199,2758,2561,3368,3372,3357,3277
3077,3307,3005,3286,2848,3139,3176,2843,3015,2622,2932,3313,2930,3110,2867,2860,3118,2796,2732,2507,3349,3323,3306,3018,3544,3660,3642,3663,3355,3645,3681,3332,3492,3475,3244,3500,2668,2987,2907,2497,2737,2869,2650,2388,3621,3605,3491,3368,3087,3349,3137,3335,3275,3068,3396,3257,3185,2778,2958,3323,2856,3186,3237,2969,3207,3199,2758,2568,3363,3372,3358,3279
3085,3328,3005,3286,2848,3139,3176,2843,3015,2622,2932,3308,2929,3112,2867,2873,3122,2796,2730,2502,3348,3326,3311,3020,3543,3653,3640,3663,3355,3645,3681,3332,3492,3475,3244,3508,2665,2979,2900,2489,2734,2869,2645,2384,3610,3598,3493,3371,3088,3351,3133,3335,3275,3068,3396,3257,3185,2778,2958,3321,2856,3186,3238,2970,3193,3201,2758,2567,3368,3371,3354,3286
3085,3328,3005,3296,2843,3140,3182,2863,3010,2623,2933,3309,2938,3109,2868,2868,3113,2789,2736,2505,3350,3327,3313,3020,3543,3653,3640,3665,3355,3645,3673,3332,3488,3464,3241,3505,2658,2974,2897,2487,2731,2862,2638,2374,3613,3616,3491,3371,3088,3351,3133,3334,3274,3063,3397,3259,3175,2782,2948,3322,2858,3188,3234,2970,3208,3202,2759,2567,3364,3374,3360,3286
3077,3322,3006,3295,2852,3142,3181,2861,3017,2620,2937,3307,2926,3114,2869,2868,3113,2789,2736,2505,3350,3327,3313,3015,3544,3658,3653,3658,3353,3645,3678,3332,3485,3467,3230,3508,2651,2965,2886,2487,2731,2862,2638,2374,3613,3616,3491,3371,3085,3355,3139,3336,3268,3066,3393,3256,3182,2783,2954,3319,2858,3184,3233,2970,3208,3202,2759,2567,3364,3374,3360,3285
3071,3319,3001,3298,2829,3130,3173,2861,3017,2620,2937,3307,2926,3114,2869,2861,3114,2794,2732,2505,3350,3327,3304,3017,3535,3660,3649,3654,3353,3647,3678,3332,3485,3467,3230,3508,2651,2965,2886,2483,2722,2851,2633,2373,3610,3605,3494,3370,3085,3350,3139,3339,3275,3064,3396,3256,3182,2783,2954,3319,2858,3184,3233,2969,3204,3192,2755,2567,3365,3368,3362,3278
3071,3319,3001,3298,2829,3130,3173,2836,3016,2626,2936,3306,2933,3103,2867,2869,3123,2780,2725,2505,3351,3327,3309,3007,3535,3660,3649,3654,3353,3647,3678,3332,3483,3472,3236,3502,2647,2968,2879,2477,2717,2844,2633,2372,3617,3612,3492,3368,3085,3350,3139,3339,3275,3064,3396,3262,3184,2784,2952,3322,2856,3187,3236,2968,3197,3196,2759,2569,3359,3373,3365,3275
3075,3327,3008,3304,2852,3146,3177,2859,3014,2625,2940,3301,2928,3112,2867,2866,3127,2793,2729,2505,3351,3327,3309,3007,3545,3661,3644,3666,3354,3650,3674,3313,3485,3466,3232,3506,2647,2956,2885,2477,2716,2837,2634,2372,3617,3612,3492,3368,3078,3351,3136,3327,3274,3067,3397,3258,3181,2788,2961,3327,2858,3185,3233,2970,3205,3202,2757,2569,3359,3373,3365,3275
3075,3324,2997,3297,2830,3147,3167,2847,3011,2622,2941,3301,2928,3112,2867,2866,3127,2793,2729,2502,3350,3324,3303,3018,3541,3659,3646,3664,3346,3646,3673,3322,3487,3473,3234,3506,2647,2956,2885,2477,2716,2837,2634,2374,3614,3616,3497,3364,3085,3348,3140,3339,3278,3065,3395,3262,3183,2786,2959,3327,2858,3185,3233,2970,3205,3202,2757,2568,3368,3373,3356,3282
3070,3322,3005,3297,2830,3147,3167,2847,3011,2622,2941,3315,2922,3107,2866,2866,3126,2794,2726,2508,3350,3323,3311,3007,3550,3659,3646,3664,3346,3646,3673,3322,3487,3473,3234,3496,2644,2968,2882,2480,2720,2841,2627,2375,3618,3616,3496,3369,3082,3349,3138,3339,3278,3065,3395,3262,3183,2786,2959,3314,2859,3186,3222,2966,3205,3199,2760,2567,3364,3369,3360,3281
3070,3322,3005,3295,2848,3144,3165,2864,3015,2624,2938,3301,2923,3108,2865,2871,3115,2788,2732,2509,3350,3326,3308,3007,3550,3659,3646,3662,3350,3641,3668,3298,3489,3468,3235,3503,2646,2966,2891,2481,2719,2847,2636,2377,3614,3618,3494,3369,3082,3349,3138,3336,3273,3062,3399,3256,3181,2783,2955,3323,2858,3168,3237,2967,3197,3201,2756,2569,3363,3368,3358,3281
3076,3326,3005,3304,2845,3153,3176,2863,3014,2623,2935,3312,2927,3106,2865,2871,3115,2788,2732,2509,3350,3326,3308,3008,3538,3656,3644,3660,3348,3643,3673,3332,3487,3466,3235,3504,2655,2974,2894,2481,2719,2847,2636,2377,3614,3618,3494,3364,3084,3348,3145,3337,3266,3065,3393,3259,3174,2785,2958,3326,2852,3186,3232,2967,3197,3201,2756,2569,3363,3368,3358,3284
3070,3315,3004,3300,2849,3125,3168,2863,3014,2623,2935,3312,2927,3106,2865,2867,3121,2785,2731,2504,3350,3311,3314,3013,3548,3662,3645,3657,3349,3652,3667,3332,3487,3466,3235,3504,2655,2974,2894,2480,2715,2851,2636,2375,3615,3611,3496,3371,3082,3351,3140,3334,3272,3067,3392,3259,3174,2785,2958,3326,2852,3186,3232,2962,3201,3204,2759,2568,3370,3372,3356,3278
3070,3315,3004,3300,2849,3125,3168,2866,2999,2627,2940,3310,2920,3128,2859,2865,3124,2789,2725,2494,3353,3325,3313,3016,3548,3662,3645,3657,3349,3652,3667,3331,3492,3457,3234,3505,2650,2973,2891,2482,2721,2860,2639,2378,3619,3612,3498,3368,3082,3351,3140,3334,3272,3067,3392,3246,3180,2786,2957,3322,2857,3174,3227,2968,3201,3196,2755,2569,3360,3376,3352,3275
3080,3316,3006,3298,2845,3148,3181,2858,3012,2625,2933,3313,2921,3108,2864,2867,3111,2799,2731,2494,3353,3325,3313,3016,3529,3662,3646,3665,3355,3647,3680,3326,3490,3467,3240,3504,2655,2972,2890,2481,2725,2860,2641,2378,3619,3612,3498,3368,3082,3347,3135,3334,3273,3064,3398,3258,3180,2784,2957,3321,2853,3187,3234,2971,3201,3200,2753,2569,3360,3376,3352,3275
3071,3323,3009,3291,2849,3152,3178,2851,2999,2623,2940,3313,2921,3108,2864,2867,3111,2799,2731,2503,3348,3326,3314,3000,3541,3660,3649,3659,3342,3650,3684,3332,3488,3470,3243,3504,2655,2972,2890,2481,2725,2860,2641,2379,3613,3606,3488,3376,3083,3351,3132,3337,3267,3056,3392,3258,3172,2782,2956,3321,2853,3187,3234,2971,3201,3200,2753,2568,3365,3371,3362,3282
3071,3323,3006,3291,2849,3152,3178,2851,2999,2623,2940,3313,2927,3103,2862,2869,3125,2793,2729,2497,3360,3328,3309,3017,3548,3666,3644,3659,3342,3650,3684,3332,3488,3470,3243,3500,2657,2972,2895,2483,2718,2858,2639,2381,3617,3600,3503,3370,3085,3352,3138,3337,3267,3056,3392,3258,3172,2782,2956,3312,2857,3185,3233,2968,3203,3192,2754,2568,3368,3370,3358,3280
3071,3323,3006,3302,2847,3155,3174,2846,3014,2628,2937,3294,2921,3108,2870,2869,3129,2783,2724,2501,3353,3326,3315,3017,3548,3666,3644,3658,3352,3647,3678,3330,3488,3459,3240,3505,2657,2974,2891,2481,2723,2859,2637,2367,3613,3607,3466,3370,3085,3352,3138,3343,3268,3067,3397,3262,3185,2783,2955,3327,2858,3184,3232,2966,3205,3200,2760,2568,3360,3374,3362,3280
3075,3327,2999,3292,2850,3148,3182,2862,3005,2628,2937,3311,2931,3106,2860,2869,3129,2783,2724,2501,3353,3326,3315,3020,3547,3650,3643,3667,3344,3646,3675,3327,3490,3461,3242,3509,2660,2974,2889,2481,2723,2859,2637,2367,3613,3607,3466,3371,3087,3338,3134,3332,3272,3059,3398,3256,3176,2781,2959,3309,2856,3186,3219,2966,3205,3200,2760,2568,3360,3374,3362,3282
3077,3315,3003,3304,2846,3148,3158,2862,3005,2628,2937,3311,2931,3106,2860,2870,3125,2784,2725,2495,3344,3327,3303,3020,3543,3661,3649,3659,3351,3646,3674,3327,3490,3461,3242,3509,2660,2974,2889,2480,2719,2857,2637,2375,3617,3605,3494,3372,3086,3350,3144,3333,3276,3064,3394,3256,3176,2781,2959,3309,2856,3186,3219,2972,3204,3199,2758,2569,3368,3374,3363,3282
3077,3315,3003,3304,2846,3148,3158,2856,3015,2626,2936,3312,2930,3105,2857,2871,3124,2794,2732,2497,3356,3327,3309,3018,3543,3661,3649,3659,3351,3646,3674,3329,3489,3467,3242,3506,2656,2975,2879,2480,2721,2861,2637,2374,3611,3606,3494,3375,3086,3350,3144,3333,3276,3064,3394,3259,3181,2785,2954,3319,2862,3186,3234,2961,3205,3190,2760,2564,3365,3371,3360,3275
3077,3315,3006,3296,2847,3138,3180,2862,3011,2626,2935,3317,2921,3115,2866,2871,3123,2788,2733,2497,3356,3327,3309,3018,3545,3662,3644,3666,3346,3644,3678,3323,3485,3468,3241,3509,2659,2967,2890,2483,2724,2864,2624,2374,3611,3606,3494,3375,3083,3351,3140,3339,3271,3065,3398,3256,3182,2777,2960,3323,2857,3185,3237,2965,3201,3196,2759,2564,3365,3371,3360,3275
3080,3308,2998,3297,2835,3149,3178,2865,3007,2607,2936,3317,2921,3115,2866,2871,3123,2788,2733,2501,3353,3321,3308,3020,3547,3668,3648,3657,3345,3650,3672,3333,3485,3470,3239,3509,2659,2967,2890,2483,2724,2864,2624,2375,3612,3609,3494,3368,3089,3347,3132,3337,3262,3066,3397,3260,3180,2786,2963,3323,2857,3185,3237,2965,3201,3196,2759,2564,3368,3369,3361,3287
3076,3309,3003,3297,2835,3149,3178,2865,3007,2607,2936,3313,2927,3113,2860,2866,3124,2796,2732,2505,3345,3333,3310,3018,3548,3657,3652,3657,3345,3650,3672,3333,3485,3470,3239,3510,2662,2968,2893,2487,2727,2878,2645,2382,3610,3613,3500,3371,3084,3344,3141,3337,3262,3066,3397,3260,3180,2786,2963,3325,2858,3186,3239,2963,3205,3201,2757,2567,3362,3369,3361,3285
3076,3309,3003,3297,2849,3142,3179,2842,3014,2624,2934,3312,2917,3118,2863,2865,3125,2798,2722,2503,3350,3328,3313,3018,3548,3657,3652,3666,3346,3648,3677,3326,3489,3471,3240,3502,2660,2981,2897,2490,2729,2882,2650,2386,3616,3612,3496,3371,3084,3344,3141,3333,3277,3067,3394,3261,3183,2782,2956,3328,2856,3185,3238,2966,3200,3196,2762,2568,3365,3369,3359,3285
3074,3327,3009,3293,2837,3146,3171,2867,3012,2612,2943,3313,2929,3113,2858,2865,3125,2798,2722,2503,3350,3328,3313,3020,3542,3656,3650,3662,3354,3643,3673,3338,3486,3469,3238,3505,2666,2978,2908,2490,2729,2882,2650,2386,3616,3612,3496,3365,3082,3350,3140,3333,3270,3063,3389,3256,3180,2762,2962,3323,2856,3183,3234,2966,3200,3196,2762,2568,3365,3369,3359,3285
3078,3323,3001,3298,2847,3152,3179,2867,3012,2612,2943,3313,2929,3113,2858,2859,3130,2793,2730,2506,3351,3325,3323,3006,3541,3663,3644,3663,3362,3640,3676,3338,3486,3469,3238,3505,2666,2978,2908,2490,2735,2890,2652,2380,3614,3620,3504,3373,3088,3346,3139,3333,3272,3065,3397,3256,3180,2762,2962,3323,2856,3183,3234,2971,3200,3196,2758,2570,3363,3370,3357,3273
3078,3323,3001,3298,2847,3152,3179,2841,3010,2620,2940,3313,2931,3110,2859,2865,3126,2796,2731,2504,3345,3325,3314,3018,3541,3663,3644,3663,3362,3640,3676,3339,3490,3466,3247,3503,2668,2983,2918,2495,2740,2905,2659,2391,3618,3612,3497,3359,3088,3346,3139,3333,3272,3065,3397,3259,3183,2785,2954,3321,2857,3186,3235,2972,3198,3202,2758,2569,3367,3372,3360,3282
3070,3324,3002,3301,2842,3144,3176,2853,3014,2620,2939,3296,2928,3100,2862,2860,3127,2780,2730,2504,3345,3325,3314,3018,3541,3664,3643,3662,3362,3643,3675,3352,3489,3468,3249,3512,2676,2996,2927,2493,2742,2913,2660,2391,3618,3612,3497,3359,3083,3351,3138,3335,3269,3067,3390,3263,3183,2783,2961,3325,2827,3184,3237,2971,3199,3196,2759,2569,3367,3372,3360,3282
3079,3324,3007,3293,2854,3151,3173,2861,3021,2613,2935,3296,2928,3100,2862,2860,3127,2780,2730,2499,3348,3329,3310,3018,3544,3664,3641,3661,3354,3644,3680,3345,3486,3465,3244,3512,2676,2996,2927,2493,2742,2913,2660,2396,3618,3603,3499,3378,3083,3341,3137,3338,3272,3059,3396,3257,3182,2779,2958,3325,2827,3184,3237,2971,3199,3196,2759,2568,3368,3368,3359,3283
3078,3324,2999,3293,2854,3151,3173,2861,3021,2613,2935,3313,2926,3112,2867,2863,3129,2795,2728,2503,3345,3321,3323,3015,3543,3661,3642,3661,3354,3644,3680,3345,3486,3465,3244,3513,2677,3002,2935,2498,2746,2923,2665,2399,3618,3612,3505,3381,3081,3347,3139,3338,3272,3059,3396,3257,3182,2779,2958,3323,2852,3183,3232,2961,3206,3201,2761,2570,3359,3375,3352,3284
