ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3534,3693,3622,3681,3523,3637,3661,3315,3481,3467,3459,3649,3344,3436,3467,3238,3423,3374,2920,2710,3692,3674,3651,3546
3539,3691,3625,3681,3523,3637,3661,3315,3481,3467,3459,3654,3344,3435,3460,3239,3426,3374,2919,2706,3689,3685,3659,3544
3539,3691,3625,3683,3517,3633,3663,3309,3482,3467,3451,3655,3335,3435,3463,3238,3417,3368,2918,2704,3688,3680,3655,3544
3537,3690,3627,3672,3528,3631,3661,3299,3481,3465,3458,3651,3338,3433,3453,3238,3417,3368,2918,2704,3688,3680,3655,3542
3537,3685,3627,3678,3528,3642,3659,3299,3481,3465,3458,3651,3338,3433,3453,3231,3417,3364,2919,2700,3688,3672,3654,3546
3537,3685,3627,3678,3528,3642,3659,3262,3480,3460,3457,3656,3338,3432,3458,3233,3421,3362,2915,2698,3693,3677,3655,3544
3539,3696,3629,3674,3526,3639,3658,3288,3476,3466,3457,3659,3344,3431,3461,3235,3419,3362,2917,2698,3693,3677,3655,3544
3542,3693,3621,3673,3524,3637,3657,3288,3480,3458,3451,3659,3344,3431,3461,3235,3419,3362,2917,2698,3692,3681,3656,3544
3549,3696,3624,3673,3524,3637,3657,3288,3480,3458,3451,3657,3331,3428,3462,3228,3421,3360,2915,2701,3686,3685,3660,3545
3549,3696,3624,3676,3526,3637,3660,3291,3485,3464,3459,3658,3340,3432,3460,3236,3420,3358,2917,2701,3689,3681,3660,3545
3530,3688,3622,3680,3523,3637,3655,3284,3482,3466,3459,3654,3339,3433,3463,3236,3420,3358,2917,2701,3689,3681,3660,3543
3542,3691,3624,3685,3526,3637,3652,3284,3482,3466,3459,3654,3339,3433,3463,3246,3420,3361,2914,2700,3694,3688,3658,3538
3542,3691,3624,3685,3526,3637,3652,3298,3479,3469,3456,3654,3343,3439,3454,3241,3420,3364,2920,2704,3694,3683,3654,3546
3539,3691,3622,3679,3522,3642,3656,3307,3487,3467,3459,3657,3346,3434,3466,3244,3420,3375,2916,2704,3694,3683,3654,3546
3538,3699,3627,3678,3526,3636,3664,3313,3486,3466,3457,3657,3346,3434,3466,3244,3420,3375,2916,2704,3696,3681,3652,3539
3536,3693,3625,3678,3526,3636,3664,3313,3486,3466,3457,3644,3342,3436,3466,3244,3427,3361,2920,2706,3692,3673,3661,3537
3536,3693,3625,3677,3526,3634,3666,3316,3487,3473,3456,3649,3343,3440,3464,3244,3424,3376,2917,2708,3686,3682,3659,3537
3538,3698,3622,3682,3530,3635,3669,3322,3489,3471,3446,3662,3339,3429,3468,3244,3424,3376,2917,2708,3686,3682,3659,3544
3536,3689,3622,3681,3526,3634,3669,3322,3489,3471,3446,3662,3339,3429,3468,3239,3417,3376,2922,2706,3685,3685,3656,3542
3536,3689,3622,3681,3526,3634,3669,3331,3492,3462,3456,3652,3337,3431,3456,3232,3421,3376,2918,2702,3690,3682,3658,3538
3538,3692,3621,3674,3520,3634,3659,3304,3488,3457,3460,3659,3349,3426,3456,3250,3417,3371,2918,2702,3690,3682,3658,3538
3544,3696,3626,3675,3529,3638,3668,3336,3500,3470,3454,3659,3349,3426,3456,3250,3417,3371,2918,2696,3685,3676,3657,3544
3539,3696,3618,3675,3529,3638,3668,3336,3500,3470,3454,3657,3330,3422,3461,3219,3413,3370,2915,2698,3688,3684,3655,3544
3539,3696,3618,3682,3522,3637,3669,3350,3494,3472,3453,3659,3323,3426,3454,3221,3411,3370,2906,2697,3690,3677,3654,3544
3542,3683,3626,3676,3530,3636,3667,3356,3496,3465,3454,3657,3327,3427,3456,3221,3411,3370,2906,2697,3690,3677,3654,3541
3540,3687,3624,3680,3524,3639,3670,3356,3496,3465,3454,3657,3327,3427,3456,3217,3417,3382,2915,2698,3686,3681,3652,3542
3540,3687,3624,3680,3524,3639,3670,3378,3498,3471,3452,3656,3330,3427,3460,3224,3421,3391,2923,2700,3689,3681,3650,3543
3533,3690,3624,3685,3532,3632,3666,3390,3503,3470,3461,3653,3341,3429,3468,3232,3429,3389,2932,2700,3689,3681,3650,3543
3521,3681,3618,3682,3522,3627,3678,3388,3505,3468,3459,3653,3341,3429,3468,3232,3429,3389,2932,2708,3689,3682,3655,3546
3532,3690,3622,3682,3522,3627,3678,3388,3505,3468,3459,3652,3341,3442,3471,3251,3438,3398,2930,2716,3687,3680,3656,3548
3532,3690,3622,3679,3533,3634,3677,3402,3503,3462,3458,3642,3346,3439,3472,3256,3434,3391,2933,2721,3690,3680,3664,3548
3528,3696,3615,3676,3526,3628,3670,3391,3502,3460,3457,3654,3351,3443,3471,3256,3434,3391,2933,2721,3690,3680,3664,3533
3534,3694,3618,3673,3532,3634,3668,3391,3502,3460,3457,3654,3351,3443,3471,3256,3428,3403,2938,2724,3692,3685,3661,3543
3534,3694,3618,3673,3532,3634,3668,3375,3499,3468,3461,3653,3353,3437,3464,3257,3435,3398,2933,2725,3688,3674,3650,3536
3535,3694,3624,3681,3520,3629,3666,3362,3502,3472,3455,3659,3346,3435,3464,3249,3426,3384,2928,2725,3688,3674,3650,3536
3538,3690,3628,3676,3527,3626,3676,3357,3500,3457,3453,3659,3346,3435,3464,3249,3426,3384,2928,2720,3687,3674,3656,3538
3542,3694,3619,3676,3527,3626,3676,3357,3500,3457,3453,3656,3343,3424,3464,3240,3426,3384,2930,2708,3684,3680,3646,3543
3542,3694,3619,3684,3528,3635,3668,3357,3498,3474,3458,3655,3338,3426,3459,3235,3424,3386,2924,2711,3691,3683,3654,3543
3538,3696,3599,3680,3526,3642,3673,3360,3496,3479,3450,3654,3327,3430,3460,3235,3424,3386,2924,2711,3691,3683,3654,3544
3533,3692,3624,3680,3527,3638,3667,3360,3496,3479,3450,3654,3327,3430,3460,3216,3422,3376,2919,2705,3677,3681,3653,3541
3533,3692,3624,3680,3527,3638,3667,3351,3498,3469,3451,3656,3326,3424,3454,3223,3414,3373,2923,2702,3687,3678,3654,3543
3532,3689,3630,3680,3530,3644,3676,3355,3498,3475,3450,3622,3328,3424,3456,3225,3418,3375,2919,2702,3687,3678,3654,3543
3536,3688,3634,3678,3532,3638,3668,3356,3498,3481,3451,3622,3328,3424,3456,3225,3418,3375,2919,2700,3690,3680,3652,3544
