ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3571,3699,3658,3690,3448,3654,3719,3437,3537,3525,3384,3601,3053,3235,3088,2888,3131,3137,2832,2667,3667,3660,3584,3450
3566,3695,3656,3692,3454,3660,3713,3450,3539,3517,3383,3595,3059,3235,3088,2888,3131,3137,2832,2667,3667,3656,3582,3451
3570,3693,3658,3694,3440,3660,3713,3450,3539,3517,3383,3595,3059,3231,3085,2886,3124,3134,2840,2660,3667,3663,3581,3445
3570,3693,3658,3694,3440,3660,3716,3444,3538,3513,3382,3599,3058,3237,3083,2888,3127,3139,2843,2666,3668,3658,3582,3443
3577,3696,3656,3694,3443,3654,3721,3437,3536,3514,3376,3606,3057,3233,3086,2887,3120,3139,2843,2666,3668,3658,3582,3443
3571,3702,3656,3692,3438,3660,3724,3438,3541,3514,3376,3606,3057,3233,3086,2887,3120,3143,2844,2666,3666,3655,3585,3453
3574,3702,3656,3692,3438,3660,3724,3438,3541,3518,3376,3597,3062,3234,3076,2890,3129,3128,2841,2663,3666,3658,3581,3447
3574,3698,3659,3696,3443,3651,3714,3438,3538,3518,3381,3605,3064,3233,3081,2892,3128,3139,2845,2661,3669,3658,3581,3447
3570,3695,3656,3679,3442,3657,3718,3436,3532,3510,3384,3607,3063,3233,3081,2892,3128,3139,2845,2661,3669,3661,3583,3450
3572,3684,3653,3685,3449,3657,3718,3436,3532,3510,3384,3607,3063,3228,3083,2893,3121,3138,2836,2655,3670,3660,3578,3450
3572,3684,3653,3685,3449,3657,3714,3434,3538,3519,3381,3608,3065,3232,3082,2894,3126,3135,2838,2656,3670,3660,3583,3443
3570,3691,3658,3668,3443,3658,3719,3441,3530,3519,3380,3606,3066,3234,3087,2895,3131,3135,2838,2656,3670,3660,3583,3443
3577,3690,3661,3688,3443,3656,3713,3433,3536,3519,3380,3606,3066,3234,3087,2895,3131,3134,2832,2660,3664,3662,3583,3447
3574,3690,3661,3688,3443,3656,3713,3433,3536,3515,3383,3608,3065,3233,3081,2890,3124,3135,2836,2654,3664,3657,3584,3450
3574,3699,3649,3690,3441,3651,3713,3440,3515,3522,3383,3608,3066,3229,3081,2892,3122,3128,2832,2654,3666,3657,3584,3450
3577,3701,3658,3694,3440,3653,3717,3440,3532,3526,3387,3608,3066,3229,3081,2892,3122,3128,2832,2654,3666,3662,3583,3448
3569,3693,3656,3691,3438,3653,3717,3440,3532,3526,3387,3608,3066,3236,3080,2893,3126,3124,2834,2657,3664,3659,3583,3444
3569,3693,3656,3691,3438,3655,3710,3428,3539,3521,3379,3607,3068,3230,3079,2893,3123,3103,2830,2658,3667,3659,3591,3452
3571,3696,3657,3690,3442,3661,3710,3436,3536,3522,3381,3608,3069,3236,3077,2896,3124,3103,2830,2658,3667,3659,3591,3452
3570,3701,3655,3686,3443,3653,3718,3436,3534,3522,3381,3608,3069,3236,3077,2896,3124,3115,2836,2660,3668,3667,3583,3432
3568,3701,3655,3686,3443,3653,3718,3436,3534,3513,3383,3611,3064,3236,3077,2893,3130,3133,2841,2661,3674,3665,3588,3444
3568,3695,3656,3687,3443,3659,3713,3440,3536,3515,3389,3608,3074,3235,3078,2896,3111,3128,2833,2659,3668,3665,3588,3444
3566,3703,3660,3689,3448,3659,3717,3435,3536,3518,3382,3614,3069,3235,3078,2896,3111,3128,2833,2659,3668,3654,3582,3443
3572,3703,3656,3678,3445,3659,3717,3435,3536,3518,3382,3614,3069,3234,3077,2889,3120,3128,2834,2657,3665,3660,3588,3440
3572,3703,3656,3678,3445,3659,3716,3439,3536,3512,3387,3609,3078,3236,3077,2890,3122,3130,2832,2657,3666,3656,3562,3449
3570,3695,3659,3687,3445,3660,3715,3435,3530,3513,3387,3608,3073,3235,3081,2891,3122,3130,2832,2657,3666,3656,3562,3449
3567,3696,3663,3688,3445,3662,3716,3432,3538,3513,3387,3608,3073,3235,3081,2891,3122,3128,2833,2654,3674,3657,3588,3450
3565,3696,3663,3688,3445,3662,3716,3432,3538,3521,3383,3606,3072,3231,3074,2898,3122,3123,2837,2660,3666,3651,3582,3450
3565,3695,3658,3694,3440,3660,3719,3431,3532,3507,3384,3606,3073,3236,3070,2894,3122,3120,2834,2657,3666,3651,3582,3450
3566,3699,3664,3691,3444,3653,3716,3426,3535,3523,3378,3604,3065,3236,3070,2894,3122,3120,2834,2657,3666,3655,3584,3440
3567,3693,3653,3686,3443,3653,3716,3426,3535,3523,3378,3604,3065,3228,3076,2894,3118,3110,2834,2664,3669,3665,3583,3442
3567,3693,3653,3686,3443,3655,3710,3434,3539,3521,3379,3601,3007,3231,3077,2890,3116,3112,2830,2661,3663,3662,3585,3441
3572,3698,3660,3692,3446,3656,3707,3440,3538,3520,3378,3606,3055,3225,3075,2885,3114,3112,2830,2661,3663,3662,3585,3441
3573,3691,3661,3689,3444,3653,3714,3437,3542,3520,3378,3606,3055,3225,3075,2885,3114,3117,2829,2664,3667,3653,3586,3441
3568,3691,3661,3689,3444,3653,3714,3437,3542,3519,3381,3598,3063,3225,3071,2890,3113,3122,2834,2661,3664,3654,3582,3448
3568,3695,3660,3693,3445,3652,3726,3435,3539,3511,3382,3604,3056,3230,3075,2887,3114,3119,2811,2665,3668,3654,3582,3448
3573,3695,3657,3690,3444,3652,3719,3436,3539,3519,3381,3606,3063,3230,3075,2887,3114,3119,2811,2665,3668,3659,3582,3434
3572,3698,3666,3689,3447,3652,3719,3436,3539,3519,3381,3606,3063,3230,3071,2890,3106,3114,2829,2666,3662,3654,3577,3451
3572,3698,3666,3689,3447,3667,3720,3441,3537,3524,3384,3607,3056,3228,3069,2886,3109,3104,2833,2663,3662,3659,3585,3445
3569,3697,3662,3682,3444,3653,3715,3440,3535,3520,3381,3603,3059,3226,3073,2880,3109,3104,2833,2663,3662,3659,3585,3445
3572,3700,3653,3690,3443,3659,3717,3437,3536,3520,3381,3603,3059,3226,3073,2880,3109,3110,2835,2663,3662,3642,3580,3446
3567,3700,3653,3690,3443,3659,3717,3437,3536,3511,3378,3604,3042,3219,3071,2876,3102,3112,2833,2656,3663,3655,3575,3448
3567,3691,3654,3694,3439,3664,3713,3426,3533,3523,3370,3606,3035,3218,3067,2875,3108,3106,2833,2664,3664,3655,3575,3448
3568,3694,3659,3684,3446,3664,3718,3434,3530,3514,3373,3600,3032,3218,3067,2875,3108,3106,2833,2664,3664,3657,3580,3446
3566,3694,3660,3685,3440,3664,3718,3434,3530,3514,3373,3600,3032,3216,3065,2870,3102,3103,2835,2664,3661,3658,3583,3443
3566,3694,3660,3685,3440,3657,3717,3435,3544,3524,3370,3597,3025,3208,3063,2865,3100,3104,2831,2664,3668,3659,3578,3442
3570,3698,3652,3690,3440,3652,3713,3434,3529,3530,3366,3597,3026,3207,3061,2871,3098,3104,2831,2664,3668,3659,3578,3442
3573,3696,3659,3693,3439,3656,3718,3430,3541,3530,3366,3597,3026,3207,3061,2871,3098,3108,2836,2658,3664,3660,3579,3442
3560,3696,3659,3693,3439,3656,3718,3430,3541,3523,3370,3599,3025,3214,3058,2870,3099,3104,2829,2662,3666,3663,3581,3438
3560,3692,3657,3692,3435,3665,3713,3429,3540,3520,3366,3597,3030,3217,3056,2871,3100,3101,2829,2657,3663,3663,3581,3438
3573,3688,3657,3692,3433,3659,3717,3430,3540,3521,3369,3601,3034,3217,3056,2871,3100,3101,2829,2657,3663,3660,3581,3413
3574,3696,3665,3693,3439,3659,3717,3430,3540,3521,3369,3601,3034,3213,3054,2869,3098,3099,2830,2659,3667,3655,3574,3429
3574,3696,3665,3693,3439,3668,3716,3440,3534,3520,3376,3597,3042,3214,3051,2866,3096,3113,2828,2660,3663,3652,3573,3435
3571,3696,3656,3690,3445,3661,3717,3428,3537,3518,3378,3605,3039,3219,3050,2872,3088,3113,2828,2660,3663,3652,3573,3435
3572,3701,3661,3690,3440,3662,3717,3429,3539,3518,3378,3605,3039,3219,3050,2872,3088,3111,2830,2657,3666,3662,3569,3430
3569,3701,3661,3690,3440,3662,3717,3429,3539,3523,3374,3610,3039,3216,3050,2868,3098,3109,2827,2657,3663,3650,3578,3436
3569,3694,3660,3686,3440,3664,3714,3430,3537,3510,3373,3601,3041,3216,3054,2859,3097,3106,2831,2653,3661,3650,3578,3436
3568,3689,3658,3688,3436,3664,3716,3432,3540,3520,3376,3606,3038,3216,3054,2859,3097,3106,2831,2653,3661,3654,3569,3443
3573,3690,3666,3689,3440,3664,3716,3432,3540,3520,3376,3606,3038,3216,3052,2869,3093,3115,2827,2656,3671,3658,3577,3440
3573,3690,3666,3689,3440,3660,3714,3428,3538,3521,3372,3600,3037,3212,3042,2863,3094,3111,2822,2656,3669,3659,3575,3441
3564,3696,3658,3700,3440,3661,3705,3422,3533,3521,3376,3600,3035,3206,3053,2866,3094,3111,2822,2656,3669,3659,3575,3441
3576,3691,3664,3691,3440,3658,3712,3429,3540,3521,3376,3600,3035,3206,3053,2866,3094,3119,2833,2656,3668,3654,3582,3437
3570,3691,3664,3691,3440,3658,3712,3429,3540,3523,3373,3606,3033,3208,3061,2867,3095,3116,2831,2651,3664,3658,3576,3441
3570,3686,3661,3692,3440,3665,3715,3427,3539,3528,3373,3597,3033,3216,3060,2869,3098,3118,2818,2661,3667,3658,3576,3441
3564,3698,3657,3690,3443,3658,3714,3432,3531,3530,3372,3600,3036,3216,3060,2869,3098,3118,2818,2661,3667,3657,3577,3436
3570,3698,3660,3690,3438,3658,3714,3432,3531,3530,3372,3600,3036,3204,3061,2868,3101,3117,2833,2656,3661,3656,3582,3439
3570,3698,3660,3690,3438,3662,3715,3430,3534,3526,3378,3606,3033,3213,3056,2861,3091,3130,2832,2657,3670,3661,3576,3425
3568,3696,3659,3695,3440,3652,3719,3430,3538,3517,3370,3596,3024,3211,3052,2856,3095,3130,2832,2657,3670,3661,3576,3425
3575,3693,3666,3692,3432,3661,3710,3435,3536,3517,3370,3596,3024,3211,3052,2856,3095,3120,2829,2658,3670,3650,3576,3437
3570,3693,3666,3692,3432,3661,3710,3435,3536,3519,3376,3600,3026,3207,3051,2860,3101,3123,2834,2659,3668,3660,3562,3435
3570,3695,3661,3690,3426,3664,3713,3434,3528,3521,3369,3602,3021,3205,3048,2859,3094,3124,2831,2657,3664,3660,3562,3435
3573,3699,3660,3682,3434,3663,3714,3429,3532,3515,3372,3600,3022,3205,3048,2859,3094,3124,2831,2657,3664,3661,3577,3429
3570,3685,3656,3689,3422,3663,3714,3429,3532,3515,3372,3600,3022,3209,3047,2859,3089,3122,2830,2655,3662,3646,3574,3440
3570,3685,3656,3689,3422,3666,3717,3424,3532,3517,3371,3602,3020,3208,3045,2852,3092,3121,2827,2651,3663,3649,3583,3437
3569,3687,3659,3697,3428,3662,3715,3428,3539,3524,3371,3600,3022,3204,3044,2853,3088,3121,2827,2651,3663,3649,3583,3437
3564,3689,3662,3688,3436,3664,3713,3429,3532,3524,3371,3600,3022,3204,3044,2853,3088,3119,2830,2650,3661,3658,3576,3434
3574,3689,3662,3688,3436,3664,3713,3429,3532,3517,3368,3598,3022,3201,3037,2815,3086,3123,2828,2653,3662,3656,3575,3437
3574,3697,3660,3689,3430,3661,3716,3438,3538,3523,3369,3601,3013,3192,3039,2850,3088,3121,2828,2644,3664,3656,3575,3437
3569,3695,3662,3697,3429,3660,3714,3433,3537,3522,3366,3597,3018,3192,3039,2850,3088,3121,2828,2644,3664,3657,3579,3427
3573,3699,3662,3694,3429,3660,3714,3433,3537,3522,3366,3597,3018,3203,3036,2852,3086,3117,2823,2650,3665,3660,3577,3440
3573,3699,3662,3694,3429,3661,3714,3433,3539,3523,3369,3597,3014,3200,3043,2852,3090,3118,2818,2646,3668,3656,3570,3434
3572,3698,3664,3688,3432,3662,3711,3432,3538,3520,3377,3602,3014,3208,3040,2851,3084,3118,2818,2646,3668,3656,3570,3434
3571,3699,3660,3696,3432,3657,3720,3435,3537,3520,3377,3602,3014,3208,3040,2851,3084,3117,2827,2650,3664,3655,3576,3426
3567,3699,3660,3696,3432,3657,3720,3435,3537,3511,3370,3599,3025,3207,3041,2852,3086,3114,2825,2650,3662,3645,3574,3433
3567,3699,3659,3690,3433,3659,3715,3437,3537,3528,3370,3592,3021,3207,3040,2853,3086,3123,2826,2651,3666,3645,3574,3433
3571,3696,3666,3691,3429,3661,3717,3432,3539,3521,3364,3601,3022,3207,3040,2853,3086,3123,2826,2651,3666,3654,3573,3432
3569,3698,3662,3681,3428,3661,3717,3432,3539,3521,3364,3601,3022,3207,3038,2845,3082,3117,2825,2652,3659,3656,3574,3426
3569,3698,3662,3681,3428,3656,3714,3435,3539,3521,3366,3592,3023,3212,3039,2854,3083,3112,2827,2654,3662,3655,3579,3432
3570,3695,3659,3691,3428,3666,3718,3433,3534,3517,3370,3600,3028,3208,3038,2845,3082,3112,2827,2654,3662,3655,3579,3432
3567,3698,3668,3688,3427,3664,3716,3429,3533,3517,3370,3600,3028,3208,3038,2845,3082,3111,2828,2656,3665,3654,3577,3436
3573,3698,3668,3688,3427,3664,3716,3429,3533,3529,3371,3600,3029,3207,3032,2850,3075,3117,2828,2652,3666,3657,3576,3434
3573,3692,3664,3698,3434,3668,3715,3432,3540,3513,3370,3601,3029,3206,3036,2838,3079,3114,2827,2651,3664,3657,3576,3434
3574,3695,3653,3692,3430,3668,3717,3437,3528,3528,3376,3600,3027,3206,3036,2838,3079,3114,2827,2651,3664,3656,3574,3431
3569,3682,3661,3693,3430,3668,3717,3437,3528,3528,3376,3600,3027,3198,3033,2847,3075,3118,2821,2646,3662,3655,3582,3430
3569,3682,3661,3693,3430,3655,3720,3430,3519,3525,3372,3588,3021,3208,3028,2846,3077,3103,2827,2650,3660,3659,3572,3432
3568,3690,3660,3692,3431,3660,3714,3426,3540,3529,3370,3595,3026,3206,3036,2845,3076,3103,2827,2650,3660,3659,3572,3432
3563,3696,3659,3693,3432,3663,3706,3435,3541,3529,3370,3595,3026,3206,3036,2845,3076,3108,2799,2652,3667,3662,3575,3432
3570,3696,3659,3693,3432,3663,3706,3435,3541,3520,3374,3607,3019,3203,3036,2843,3066,3112,2822,2646,3664,3656,3581,3422
3570,3693,3662,3690,3431,3662,3713,3428,3536,3522,3371,3601,3023,3205,3038,2842,3079,3116,2827,2653,3665,3656,3581,3422
3572,3700,3667,3689,3429,3661,3718,3430,3537,3526,3369,3594,3016,3205,3038,2842,3079,3116,2827,2653,3665,3659,3575,3430
3577,3701,3659,3690,3426,3661,3718,3430,3537,3526,3369,3594,3016,3204,3033,2841,3074,3107,2827,2652,3661,3649,3576,3427
3577,3701,3659,3690,3426,3660,3717,3426,3535,3522,3373,3605,3014,3201,3033,2839,3073,3108,2824,2654,3661,3654,3561,3437
3565,3699,3660,3688,3434,3654,3715,3432,3537,3521,3363,3604,3008,3196,3034,2842,3062,3108,2824,2654,3661,3654,3561,3437
3574,3692,3660,3694,3435,3662,3716,3428,3534,3521,3363,3604,3008,3196,3034,2842,3062,3109,2828,2653,3670,3655,3568,3431
3575,3692,3660,3694,3435,3662,3716,3428,3534,3517,3368,3602,3006,3194,3026,2834,3071,3109,2827,2648,3660,3652,3561,3435
3575,3686,3660,3689,3426,3661,3715,3421,3535,3530,3362,3600,3004,3191,3024,2835,3071,3111,2829,2658,3662,3652,3561,3435
3568,3690,3664,3691,3429,3667,3716,3432,3525,3521,3368,3594,3009,3191,3024,2835,3071,3111,2829,2658,3662,3650,3571,3428
3576,3696,3662,3693,3427,3667,3716,3432,3525,3521,3368,3594,3009,3192,3008,2838,3071,3114,2827,2656,3661,3657,3573,3429
3576,3696,3662,3693,3427,3667,3716,3430,3533,3530,3368,3597,2999,3189,3023,2836,3074,3118,2815,2656,3661,3649,3570,3427
3572,3694,3668,3690,3425,3668,3717,3425,3540,3522,3364,3599,3006,3185,3021,2840,3074,3118,2815,2656,3661,3649,3570,3427
3569,3689,3662,3701,3426,3663,3713,3422,3541,3522,3364,3599,3006,3185,3021,2840,3074,3110,2833,2655,3653,3659,3575,3422
3561,3689,3662,3701,3426,3663,3713,3422,3541,3523,3367,3602,3007,3194,3011,2845,3074,3120,2828,2657,3667,3657,3570,3420
3561,3695,3662,3691,3424,3666,3718,3437,3542,3524,3364,3594,3001,3190,3012,2840,3073,3118,2824,2654,3667,3657,3570,3420
3577,3689,3662,3689,3428,3673,3708,3430,3537,3523,3368,3597,2998,3190,3012,2840,3073,3118,2824,2654,3667,3660,3563,3423
3573,3698,3664,3696,3423,3673,3708,3430,3537,3523,3368,3597,2998,3191,3008,2838,3073,3122,2833,2655,3665,3656,3568,3425
3573,3698,3664,3696,3423,3655,3718,3431,3536,3527,3360,3580,3005,3194,3006,2828,3076,3120,2827,2657,3660,3649,3570,3420
3566,3700,3660,3685,3415,3670,3701,3437,3536,3523,3364,3592,3004,3195,3007,2839,3076,3120,2827,2657,3660,3649,3570,3420
3572,3695,3661,3689,3415,3662,3717,3431,3537,3523,3364,3592,3004,3195,3007,2839,3076,3127,2834,2657,3660,3652,3572,3425
3568,3695,3661,3689,3415,3662,3717,3431,3537,3520,3360,3602,3010,3200,3009,2842,3070,3126,2833,2658,3665,3656,3569,3431
3568,3692,3657,3688,3424,3658,3716,3432,3537,3523,3368,3591,3019,3202,3012,2842,3078,3119,2835,2660,3664,3656,3569,3431
3567,3696,3658,3684,3428,3662,3717,3425,3537,3533,3365,3601,3025,3202,3012,2842,3078,3119,2835,2660,3664,3651,3572,3422
3567,3690,3664,3686,3423,3662,3717,3425,3537,3533,3365,3601,3025,3197,3011,2852,3080,3121,2837,2664,3663,3650,3574,3425
3567,3690,3664,3686,3423,3664,3715,3430,3541,3529,3369,3601,3025,3198,3007,2851,3080,3118,2833,2663,3662,3658,3571,3429
3571,3691,3635,3692,3430,3670,3717,3433,3538,3527,3363,3602,3023,3204,3010,2852,3077,3118,2833,2663,3662,3658,3571,3429
3568,3689,3654,3691,3428,3666,3712,3440,3538,3527,3363,3602,3023,3204,3010,2852,3077,3116,2840,2664,3659,3648,3575,3432
3565,3689,3654,3691,3428,3666,3712,3440,3538,3526,3369,3600,3029,3206,3011,2852,3079,3118,2833,2655,3660,3658,3579,3425
3565,3686,3657,3691,3431,3662,3710,3424,3542,3526,3370,3598,3032,3205,3016,2854,3078,3112,2836,2661,3664,3658,3579,3425
3568,3698,3654,3690,3428,3663,3719,3437,3541,3528,3378,3601,3036,3205,3016,2854,3078,3112,2836,2661,3664,3658,3576,3419
3570,3685,3657,3690,3434,3663,3719,3437,3541,3528,3378,3601,3036,3209,3009,2853,3078,3124,2840,2664,3669,3655,3579,3423
3570,3685,3657,3690,3434,3662,3707,3427,3542,3523,3374,3612,2995,3203,3016,2853,3080,3124,2835,2664,3663,3653,3569,3417
3568,3690,3658,3689,3432,3665,3715,3436,3539,3526,3366,3599,3031,3202,3011,2848,3081,3124,2835,2664,3663,3653,3569,3417
3564,3695,3661,3680,3424,3664,3706,3434,3539,3526,3366,3599,3031,3202,3011,2848,3081,3106,2836,2664,3662,3645,3577,3419
3569,3695,3661,3680,3424,3664,3706,3434,3539,3525,3371,3600,3026,3199,3007,2844,3074,3112,2832,2664,3662,3658,3571,3422
3569,3695,3664,3688,3429,3664,3719,3426,3542,3525,3329,3598,3014,3199,3007,2841,3067,3122,2836,2664,3658,3658,3571,3422
3572,3694,3656,3688,3427,3661,3721,3432,3529,3530,3362,3598,3012,3199,3007,2841,3067,3122,2836,2664,3658,3662,3576,3412
