ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3110,3341,3045,3335,3028,3188,3213,2757,3025,2714,3014,3349,2967,3145,2983,2923,3150,2295,2741,2558,3392,3369,3355,3190,3537,3681,3627,3689,3503,3619,3721,3523,3550,3478,3422,3642,3216,3310,3124,3067,3280,3386,2936,2730,3679,3672,3624,3489,3120,3372,3176,3356,3291,3094,3415,3282,3205,2824,2992,3342,2903,3208,3257,3011,3224,3218,2780,2595,3377,3394,3375,3304
3119,3352,3041,3333,3030,3174,3220,2753,3028,2711,3015,3329,2975,3153,2982,2923,3150,2295,2741,2558,3392,3369,3355,3191,3534,3696,3625,3693,3503,3630,3720,3530,3545,3482,3422,3639,3214,3318,3123,3067,3280,3386,2936,2730,3679,3672,3624,3490,3119,3371,3156,3356,3282,3099,3413,3280,3202,2825,2996,3342,2899,3200,3254,3011,3224,3218,2780,2595,3377,3394,3375,3298
3121,3339,3049,3332,3025,3191,3212,2753,3028,2711,3015,3329,2975,3153,2982,2922,3131,2295,2744,2555,3388,3369,3353,3199,3537,3693,3627,3678,3505,3624,3715,3530,3545,3482,3422,3639,3214,3318,3123,3063,3280,3374,2936,2735,3680,3672,3618,3483,3118,3366,3176,3355,3295,3090,3414,3280,3202,2825,2996,3342,2899,3200,3254,3008,3226,3222,2776,2587,3383,3388,3377,3299
3121,3339,3049,3332,3025,3191,3212,2750,3030,2697,3007,3346,2974,3146,2975,2919,3151,2279,2739,2550,3384,3373,3341,3194,3537,3693,3627,3678,3505,3624,3715,3532,3550,3469,3419,3642,3208,3317,3130,3060,3286,3384,2941,2735,3678,3663,3623,3486,3118,3366,3176,3355,3295,3090,3414,3278,3205,2823,2997,3332,2908,3201,3253,3010,3223,3218,2774,2594,3384,3391,3375,3304
3109,3351,3042,3335,3030,3187,3208,2752,3024,2713,3013,3343,2967,3149,2984,2920,3149,2278,2739,2550,3384,3373,3341,3194,3541,3691,3625,3688,3508,3626,3722,3531,3549,3477,3424,3639,3216,3321,3133,3062,3277,3386,2932,2735,3678,3663,3623,3486,3117,3374,3171,3356,3293,3100,3417,3276,3202,2821,2994,3342,2907,3203,3255,3011,3224,3223,2779,2594,3384,3391,3375,3304
3112,3353,3040,3339,3020,3183,3216,2750,3020,2610,3015,3343,2967,3149,2984,2920,3149,2278,2739,2549,3389,3367,3361,3197,3539,3699,3624,3692,3502,3621,3726,3535,3542,3478,3420,3639,3216,3321,3133,3062,3277,3386,2932,2738,3678,3674,3609,3490,3121,3371,3172,3355,3290,3097,3408,3275,3197,2826,2989,3342,2907,3203,3255,3011,3224,3223,2779,2592,3350,3385,3380,3294
3122,3346,3043,3339,3020,3183,3216,2750,3020,2610,3015,3324,2976,3144,2981,2914,3149,2275,2745,2555,3390,3370,3359,3202,3539,3689,3635,3692,3502,3621,3726,3535,3542,3478,3420,3635,3217,3318,3139,3064,3283,3392,2941,2739,3685,3668,3617,3483,3119,3361,3175,3355,3290,3097,3408,3275,3197,2826,2989,3339,2905,3206,3253,3014,3218,3221,2779,2597,3385,3390,3380,3298
3122,3346,3043,3331,3026,3187,3217,2745,3034,2710,3016,3346,2972,3146,2991,2918,3147,2298,2739,2548,3384,3370,3355,3202,3539,3689,3635,3681,3500,3624,3724,3530,3551,3485,3421,3634,3220,3316,3139,3065,3283,3390,2941,2736,3675,3666,3618,3483,3119,3361,3175,3358,3292,3100,3416,3271,3199,2827,2995,3338,2906,3207,3243,3012,3227,3212,2779,2594,3376,3391,3379,3298
3121,3351,3042,3338,3027,3176,3197,2754,3029,2717,3018,3349,2978,3146,2984,2918,3147,2298,2739,2548,3384,3370,3355,3201,3539,3694,3626,3679,3499,3624,3723,3528,3545,3484,3425,3635,3222,3314,3131,3065,3283,3390,2941,2736,3675,3666,3618,3494,3118,3368,3176,3356,3292,3097,3417,3282,3204,2825,2995,3349,2907,3208,3257,3012,3227,3212,2779,2594,3376,3391,3379,3300
3119,3347,3039,3343,3029,3187,3220,2754,3029,2717,3018,3349,2978,3146,2984,2923,3149,2293,2749,2549,3391,3371,3355,3196,3540,3684,3621,3696,3500,3623,3722,3528,3545,3484,3425,3635,3222,3314,3131,3064,3275,3388,2939,2732,3683,3676,3618,3492,3118,3373,3166,3360,3293,3100,3416,3282,3204,2825,2995,3349,2907,3208,3257,3009,3228,3218,2779,2595,3382,3391,3382,3287
