ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3524,3687,3605,3676,3534,3604,3713,3537,3542,3466,3384,3613,3197,3339,3398,3078,3354,3420,2923,2715,3669,3666,3618,3522
3529,3678,3607,3669,3542,3605,3716,3539,3536,3459,3389,3611,3191,3342,3405,3078,3344,3408,2922,2715,3669,3666,3618,3522
3523,3678,3609,3672,3544,3602,3719,3526,3538,3467,3383,3611,3191,3342,3405,3078,3344,3408,2922,2715,3667,3665,3617,3519
3522,3682,3612,3672,3544,3602,3719,3526,3538,3467,3383,3614,3191,3338,3406,3074,3349,3412,2925,2715,3672,3658,3618,3525
3522,3682,3612,3676,3545,3607,3714,3528,3544,3469,3389,3609,3183,3330,3401,3072,3350,3409,2925,2713,3662,3673,3618,3525
3524,3680,3600,3679,3549,3598,3712,3540,3537,3463,3386,3609,3180,3333,3406,3072,3350,3409,2925,2713,3662,3673,3618,3525
3522,3676,3609,3677,3542,3607,3718,3540,3537,3463,3386,3609,3180,3333,3406,3065,3348,3407,2926,2707,3663,3661,3615,3522
3522,3676,3609,3677,3542,3607,3718,3538,3542,3468,3385,3608,3177,3328,3406,3060,3338,3409,2921,2704,3664,3664,3613,3521
3523,3679,3608,3681,3544,3611,3718,3534,3541,3477,3380,3607,3173,3311,3403,3054,3335,3400,2921,2704,3664,3664,3613,3521
3521,3677,3611,3683,3542,3607,3720,3535,3538,3474,3378,3607,3173,3311,3403,3054,3335,3400,2921,2708,3662,3668,3613,3512
3534,3673,3611,3683,3542,3607,3720,3535,3538,3474,3378,3603,3166,3323,3391,3046,3334,3403,2915,2709,3666,3664,3616,3521
3534,3673,3611,3683,3547,3614,3724,3519,3540,3476,3382,3605,3158,3322,3395,3044,3334,3403,2916,2705,3662,3666,3612,3521
3526,3682,3610,3678,3544,3604,3720,3531,3540,3480,3375,3589,3165,3323,3397,3044,3334,3403,2916,2705,3662,3666,3612,3518
