ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3555,3699,3637,3695,3508,3638,3722,3390,3532,3502,3416,3634,3176,3329,3299,2950,3178,3060,2808,2625,3680,3680,3629,3504
3555,3699,3637,3695,3508,3638,3722,3405,3532,3502,3416,3636,3168,3325,3298,2948,3179,3058,2808,2590,3684,3678,3633,3510
3554,3695,3634,3690,3517,3641,3709,3407,3534,3498,3418,3628,3168,3323,3297,2938,3172,3069,2808,2590,3684,3678,3633,3510
3552,3694,3637,3692,3505,3630,3720,3403,3533,3496,3418,3628,3168,3323,3297,2938,3172,3069,2808,2618,3688,3671,3626,3508
3554,3701,3636,3692,3505,3630,3720,3403,3533,3496,3418,3629,3160,3328,3297,2932,3170,3060,2802,2616,3680,3677,3628,3505
3554,3701,3636,3696,3510,3642,3717,3404,3528,3487,3418,3628,3171,3329,3304,2939,3176,3068,2807,2618,3681,3676,3636,3505
3552,3696,3638,3688,3505,3642,3709,3403,3531,3498,3411,3607,3175,3336,3302,2939,3176,3068,2807,2618,3681,3676,3636,3512
3553,3693,3640,3686,3506,3640,3718,3403,3531,3498,3411,3607,3175,3336,3302,2949,3186,3069,2812,2620,3684,3683,3630,3519
3553,3693,3640,3686,3506,3640,3718,3400,3526,3495,3422,3628,3178,3334,3307,2960,3191,3071,2815,2622,3688,3678,3630,3514
3551,3706,3635,3682,3512,3645,3716,3398,3528,3502,3418,3638,3184,3334,3308,2947,3194,3075,2806,2622,3688,3678,3630,3514
3552,3693,3631,3689,3503,3642,3715,3397,3532,3497,3422,3638,3184,3334,3308,2947,3194,3075,2806,2620,3690,3680,3633,3514
3554,3698,3631,3689,3503,3642,3715,3397,3532,3497,3422,3640,3176,3333,3313,2954,3187,3075,2803,2614,3684,3678,3627,3513
